youtube_name,time_code,fear,sadness,anger,surprise,anticipation,joy,trust
HealthNut,T0,717,856,558,1160,2279,2792,2355
HealthNut,T1,705,1011,641,1195,2473,2935,2600
HealthNut,T2,750,1022,631,1180,2410,2827,2380
HealthNut,T3,987,1322,700,1232,2798,3714,3178
Popsugar,T0,713,1059,997,1134,2175,2130,1954
Popsugar,T1,939,1166,1298,969,1918,1734,1779
Popsugar,T2,1132,1586,1369,1394,2545,2499,2612
Popsugar,T3,843,1441,1272,1369,2226,2287,2381
Yoga,T0,791,936,1129,1171,2919,2644,3434
Yoga,T1,707,721,771,1113,2325,2095,2656
Yoga,T2,193,219,248,352,739,651,843
Yoga,T3,798,847,843,1252,2642,2391,3164
HealthYoutuber,T0,2221,2851,2684,3465,7373,7566,7743
HealthYoutuber,T1,2351,2898,2710,3277,6716,6764,7035
HealthYoutuber,T2,2075,2827,2248,2926,5694,5977,5835
HealthYoutuber,T3,2628,3610,2815,3853,7666,8392,8723
