youtube_name,time_code,fear,sadness,anger,surprise,anticipation,joy,trust
HealthNut,T0,727,730,488,1059,2457,3251,2607
HealthNut,T1,657,619,419,958,2687,3576,2523
HealthNut,T2,773,684,397,1129,2607,3971,2566
HealthNut,T3,1942,1552,972,1507,3847,6073,4584
Popsugar,T0,4723,3976,3059,4597,11525,15964,11929
Popsugar,T1,2452,2181,1771,2367,5065,6638,5335
Popsugar,T2,641,534,494,742,1562,2253,1660
Popsugar,T3,484,412,361,517,1136,1541,1145
Yoga,T0,25378,26695,17212,27025,60368,72833,59707
Yoga,T1,26051,21110,15372,23662,57933,62615,51694
Yoga,T2,4359,4484,2732,4973,11317,13032,10813
Yoga,T3,31502,25697,18196,33353,81371,85861,69094
HealthYoutuber,T0,30828,31401,20759,32681,74350,92048,74243
HealthYoutuber,T1,29160,23910,17562,26987,65685,72829,59552
HealthYoutuber,T2,5773,5702,3623,6844,15486,19256,15039
HealthYoutuber,T3,33928,27661,19529,35377,86354,93475,74823
