youtube_name,time_code,fear,sadness,anger,surprise,anticipation,joy,trust
Eva,T0,469,516,300,554,1179,1318,1228
Eva,T1,443,456,241,400,848,930,884
Eva,T2,445,652,224,358,858,1075,833
Eva,T3,324,499,167,377,803,992,777
Kristine,T0,588,599,318,758,1299,1515,1221
Kristine,T1,149,262,149,278,539,646,518
Kristine,T2,106,178,99,174,322,448,337
Kristine,T3,79,114,69,167,325,424,346
Louis,T0,218,248,196,276,498,585,515
Louis,T1,214,190,133,94,290,317,390
Louis,T2,82,139,121,128,263,267,240
Louis,T3,110,163,120,162,319,303,303
TravelYoutuber,T0,1275,1363,814,1588,2976,3418,2964
TravelYoutuber,T1,806,908,523,772,1677,1893,1792
TravelYoutuber,T2,633,969,444,660,1443,1790,1410
TravelYoutuber,T3,513,776,356,706,1447,1719,1426
