youtube_name,time_code,fear,sadness,anger,surprise,anticipation,joy,trust
Eva,T0,19277,14812,11221,16009,34479,56800,41640
Eva,T1,8632,5695,4293,6181,13791,17618,15483
Eva,T2,9462,6734,4262,8319,18621,23929,19681
Eva,T3,8178,6072,4744,6702,14686,21325,17777
Kristine,T0,1963,1549,1230,2074,4416,6786,4623
Kristine,T1,117,82,72,186,416,481,352
Kristine,T2,132,104,86,221,468,587,409
Kristine,T3,54,57,32,85,252,284,222
Louis,T0,1347,853,1050,1563,3230,3264,2996
Louis,T1,136,106,69,112,289,328,338
Louis,T2,447,315,343,491,926,872,902
Louis,T3,575,351,360,528,1037,867,947
TravelYoutuber,T0,22587,17214,13501,19646,42125,66850,49259
TravelYoutuber,T1,8885,5883,4434,6479,14496,18427,16173
TravelYoutuber,T2,10041,7153,4691,9031,20015,25388,20992
TravelYoutuber,T3,8807,6480,5136,7315,15975,22476,18946
