youtube_name,time_code,fear,sadness,anger,surprise,anticipation,joy,trust
Zoe,T0,1434,1653,1189,1949,3955,4452,3638
Zoe,T1,1447,1578,1278,1884,4054,4030,3507
Zoe,T2,1447,1578,1278,1884,4054,4030,3507
Zoe,T3,212,161,130,241,489,536,453
Tess,T0,440,718,422,741,1539,2131,1846
Tess,T1,146,220,107,198,587,678,584
Tess,T2,132,240,114,266,578,791,678
Tess,T3,131,153,116,206,573,753,614
Nicole,T0,894,1120,851,920,2046,2429,2286
Nicole,T1,332,397,290,371,858,933,949
Nicole,T2,361,533,354,507,1045,1264,1118
Nicole,T3,137,177,118,166,295,388,350
Vlogger,T0,2768,3491,2462,3610,7540,9012,7770
Vlogger,T1,1925,2195,1675,2453,5499,5641,5040
Vlogger,T2,1940,2351,1746,2657,5677,6085,5303
Vlogger,T3,480,491,364,613,1357,1677,1417
