youtube_name,time_code,fear,sadness,anger,surprise,anticipation,joy,trust
Zoe,T0,1663,1485,1050,2189,5537,7715,4476
Zoe,T1,870,710,579,1134,2538,3238,2115
Zoe,T2,3628,3283,2580,4145,9690,12857,8708
Zoe,T3,7088,6188,3645,9053,24263,33714,21480
Tess,T0,1571,1728,1153,2209,6386,11081,7108
Tess,T1,729,716,694,914,2127,3042,2225
Tess,T2,612,650,470,1054,2944,4033,2829
Tess,T3,491,467,296,786,2235,3343,2224
Nicole,T0,9116,8587,7033,9294,20361,33079,23180
Nicole,T1,2222,1696,1519,1881,4607,7043,4242
Nicole,T2,1866,1679,1453,1927,5104,7440,4620
Nicole,T3,742,627,421,702,2207,3097,2023
Vlogger,T0,12350,11800,9236,13692,32284,51875,34764
Vlogger,T1,3821,3122,2792,3929,9272,13323,8582
Vlogger,T2,6106,5612,4503,7126,17738,24330,16157
Vlogger,T3,8321,7282,4362,10541,28705,40154,25727
