youtube_name,time_code,strongPositive,positive,neutral,negative,strongNegative
Ben,T0,281,767,926,462,75
Ben,T1,1368,6366,5771,3130,464
Ben,T2,1132,3445,4062,2195,302
Ben,T3,1629,5989,5909,3922,561
Conservative,T0,1697,4522,7369,4846,1436
Conservative,T1,3731,10146,11914,9181,1226
Conservative,T2,4746,10139,15309,6592,1071
Conservative,T3,3812,12787,19248,11039,1942
David,T0,320,1432,1448,1342,289
David,T1,549,1695,2202,1422,280
David,T2,774,2821,3643,2478,488
David,T3,483,1749,2052,1096,183
PoliticsYoutuber,T0,2298,6721,9743,6650,1800
PoliticsYoutuber,T1,5648,18207,19887,13733,1970
PoliticsYoutuber,T2,6652,16405,23014,11265,1861
PoliticsYoutuber,T3,5924,20525,27209,16057,2686
