youtube_name,time_code,strongPositive,positive,neutral,negative,strongNegative
Marques,T0,4482,9581,15508,3898,582
Marques,T1,5123,11885,21275,4868,791
Marques,T2,7561,12772,21089,4419,615
Marques,T3,6804,16266,26524,7426,1250
Linus,T0,4698,8788,12529,4539,912
Linus,T1,2241,5612,10402,2602,397
Linus,T2,3039,6957,11834,3210,630
Linus,T3,3277,6560,9081,2970,590
TechYoutuber,T0,9180,18369,28037,8437,1494
TechYoutuber,T1,7364,17497,31677,7470,1188
TechYoutuber,T2,10600,19729,32923,7629,1245
TechYoutuber,T3,10081,22826,35605,10396,1840
