youtube_name,time_code,strongPositive,positive,neutral,negative,strongNegative
Eva,T0,26890,22721,28471,4356,630
Eva,T1,6986,7164,10258,1982,329
Eva,T2,9258,9604,9044,1706,208
Eva,T3,7405,7981,7819,1713,220
Kristine,T0,3238,2956,2759,527,100
Kristine,T1,161,242,166,38,4
Kristine,T2,169,243,136,28,1
Kristine,T3,94,131,86,11,2
Louis,T0,933,1729,2045,414,40
Louis,T1,106,208,143,30,4
Louis,T2,297,508,464,146,26
Louis,T3,295,613,666,148,15
TravelYoutuber,T0,31061,27406,33275,5297,770
TravelYoutuber,T1,7253,7614,10567,2050,337
TravelYoutuber,T2,9724,10355,9644,1880,235
TravelYoutuber,T3,7794,8725,8571,1872,237
