youtube_name,time_code,strongPositive,positive,neutral,negative,strongNegative
Zoe,T0,2901,3837,3422,653,85
Zoe,T1,1055,1701,1325,317,50
Zoe,T2,3365,5948,4076,1102,95
Zoe,T3,9326,11943,5525,1253,102
Tess,T0,4175,4080,3033,636,68
Tess,T1,1105,1500,1083,285,24
Tess,T2,1247,1626,1109,232,18
Tess,T3,935,1158,869,164,5
Nicole,T0,14764,15684,17275,3620,421
Nicole,T1,3037,3832,4272,886,115
Nicole,T2,3421,3640,4480,830,107
Nicole,T3,968,1261,1162,257,32
Vlogger,T0,21840,23601,23730,4909,574
Vlogger,T1,5197,7033,6680,1488,189
Vlogger,T2,8033,11214,9665,2164,220
Vlogger,T3,11229,14362,7556,1674,139
