comment,id,date,num_likes
<b>LIKE &amp; SUBSCRIBE</b> — Don’t forget to ring the bell so you don&#39;t miss a thing!,Ben Shapiro,2020-02-25T23:06:59Z,1138
"6.1-6.1-6.0-6.1-6.1-6.1-6.1🏅🏅🏅<br />Democratic President Joe Biden stimulus package is worth $11600 to my family. Thank you Mister President, a great American, a truthfully  homest leader of the greatest nation on God&#39;s green earth 🎖🎖",Super Yacht Chef,2021-03-14T05:36:08Z,0
Don&#39;t forget to sell your house on the shore as the waters rise,Bjorn Yesterday,2020-12-29T17:15:34Z,0
@Amy Sullivan yep and on prisoners.,Donna Pinciotti Kiniry,2020-12-24T03:42:44Z,0
@TRUMP TEARS or Obama turning the White House into rooming house for his  free loading in-laws and traveling to Hawaii um how many times a year?  Seriously......,Donna Pinciotti Kiniry,2020-12-24T03:40:43Z,0
"Ben, I really like you.",Donna Pinciotti Kiniry,2020-12-24T03:37:10Z,0
TYT has deeply corrupted themselves anyway. They&#39;re doomed.,Bxtreem,2021-05-09T05:50:23Z,0
Are you still worried you will be cancelled if you mention &quot;pan-sexuals&quot;?,A J,2021-05-08T11:58:28Z,0
Hes a fuckin joke,sickle falacy,2021-05-08T03:59:53Z,0
Ben you are just the right wing version of Cenk,Anthony Weston,2021-05-07T07:58:39Z,0
Fat jerk,stephen wirth,2021-05-07T01:26:16Z,0
😆,Magneto,2021-05-06T09:17:23Z,1
Cenk is getting bigger everyday.  Fat boy needs to eat less and exercise!,Kari Smith,2021-05-06T07:12:03Z,0
"Didn&#39;t like the sound of that cough <a href=""https://www.youtube.com/watch?v=NaxtSPWcyI8&amp;t=1m00s"">1:00</a>",Dʾ La Pampa,2021-05-06T05:03:15Z,0
Did Cenk ever respond? What a putz.,Daniel Grossberg,2021-05-05T19:30:36Z,0
Typical leftist.. is actually just a neoliberal,WantedArgonianMale,2021-05-03T19:52:11Z,0
A liberal hypocrite? Who would have guessed?,Matt Mills,2021-05-01T17:40:06Z,0
Cenk likes his pies!!! Lol,El Sol,2021-05-01T12:08:16Z,1
"&quot;&quot;Hey Cenk, I would like $15 an....&quot; &quot;THATS BULLSHIT YOU ARE BULLSHIT&quot; <b>chugs a gallon of bacon grease</b>",Nathan Paske,2021-04-30T15:30:05Z,0
The question no one is asking is why would unionization cause the business model to fail catastrophically?,Mr Marvellous,2021-04-30T09:04:18Z,0
In Britain we call them champagne socialists. I.e. socialism for everyone else except themselves.,Manps Padal,2021-04-29T18:46:51Z,0
