comment,id,date,num_likes
Their right... I dont care about their foolish opinions about how to live life and protect myself and family.,D Williams,2021-05-07T15:53:13Z,0
The government doesn&#39;t even know how many guns I have and I like to keep it that way.,Larry VanBarriger,2021-04-30T13:28:35Z,0
"Bad argument... Why don&#39;t we just roll Virgina and West Virginia,  North and South Dakota, and North and South Carolina back into single states...<br />Republicans have done this many time over... The while carving of the west was done in order to have even slave owning and nonslave owning states. <br />The fact of the matter is this is nothing new. There are 700k people in Washington DC paying taxes and don&#39;t even have a vote on representatives. That&#39;s literally the idea the revolutionary War and the founding of our nation was built on the back of.",8bitpothead,2021-04-29T13:09:53Z,0
only united states has right to protect themselves from good guys turned bad guys criminals,uranus0007,2021-04-18T14:19:30Z,0
Debate vaush now 1,Jane Martindale,2021-04-17T04:28:38Z,0
If you don&#39;t back gun control you are rational and sane,Josh Seegmiller,2021-04-13T00:56:45Z,0
Preach brother! Preach!<br />Just say no to Sleepy-Joe and Camel-Toe!<br />Joe should go smell them....,Robert Brooks,2021-04-09T12:11:38Z,0
It&#39;s okay...Mexicans are immune to Covid.,Ron Arkom,2021-04-07T06:11:56Z,0
I don&#39;t get it...we are going to have random vagrant kids walking around U.S cities?,Ron Arkom,2021-04-07T06:11:03Z,0
Also you don&#39;t need to &quot;subscribe&quot; to see this info.... as much as I appreciate Ben&#39;s desire to make a profit. Our country is in crisis... anyone on refuses you information about what&#39;s honestly going on at this point... we need people who are poor enough to have skin in the game!,Maggie lovinlifeforreal,2021-04-06T08:28:44Z,0
Beautiful part about project Veritas is they just show raw information,Maggie lovinlifeforreal,2021-04-06T08:23:51Z,0
I need to see the constitutional law that says &quot;Citizens shall care about other citizen&#39;s feelings&quot; <br />Can anyone point that one out?,Sean Stevens,2021-04-05T14:51:37Z,0
Hillary Clinton needs to shut up! Her term as Senate was as useless as AOC. Hillsry only put forth three bills. Naming two streets and a library. <br />She needs to go away.,G OB,2021-04-05T07:51:28Z,0
Her laugh is cringe worthy!!<br />I was waiting to hear &quot;my pretties&quot;,G OB,2021-04-05T07:32:03Z,0
Open borders during a pandemic<br />Upset about voter id <br />But wants a covid id<br />Unbelievable!!,G OB,2021-04-05T07:30:42Z,0
"It&#39;s only been a month since Biden got in and I&#39;m already asking, is Biden going to be impeached? Are we going to get a new president from the Republican party? Because it&#39;s obvious to me that the&quot;Democratic best&quot; is just the worst, most incompitent, most wreckless choice we could have ever made.",The King of Sorrianthum,2021-04-04T20:05:31Z,0
The lefts only argument is being able to label you as a bad name.,Landon Swafford,2021-04-04T11:34:47Z,0
People who have weapons for any purpose other than protection or legitimate law enforcement don&#39;t care whether said weapons are &quot;legal&quot; or not,Hunter McCaskill,2021-04-03T20:04:57Z,0
Noooo Gun control !!!! We care !!! <br />We care about your mental health but we want to keep our freedom and our democracy!!!!<br />No to a dictatorship!!!,JC A,2021-04-03T02:54:06Z,1
OK IM GOING FOR WORLD RECORD FOR ANGERING HUNDREDS OF PEOPLE IN THE COMMENT SECTION THIS IS THE PERFECT CHANNEL TO DO THIS OK GO<br />I have an opinion that differs from this man.<br />ARIGHT IM EXPECTING 50 PEOPLE YELLING AT ME FROM THE REPIES TOMORROW<br />HURRY UP IDIOTS,Nyteulo,2021-04-02T11:22:15Z,0
"That&#39;s right, We don&#39;t!",Christopher Smith,2021-04-02T00:31:17Z,0
They are completely correct I DON&#39;T CARE TO BE RULED BY A COMMUNISTS REGIME. I love America we need to preserve our traditions. The people that don&#39;t like it can leave!,I OTTO,2021-04-01T08:50:32Z,0
"I become more outraged at those who use a shooting for an agenda and angry about citizens not prepared to protect themselves or their community. Gun control proponents call police when they have trouble which proves that they believe guns are an effective and useful tool. But you cannot have one because they do not like you, they hate you actually but they hate hate.",cravinbob,2021-03-31T21:30:46Z,0
"We in Colorado call it &quot;The Peoples Republic of Boulder&quot;. Every PC law is in effect there and enforced, in fact if the man had lit up a Marlboro the people would have ripped him apart limb from limb.<br />The list of countries mass murder/shooting totals place USA at about #60 NOT #1.",cravinbob,2021-03-31T21:25:52Z,0
do the democrats actually understand the crap they are actually doing? or do they just think that everything will work out just because -_-,Robert Cartledge,2021-03-31T15:09:41Z,0
"CRIMINALS WILL ALWAYS GET GUNS,.  SO DONT TAKE THE GUNS AWAY FROM THE PPL THAT WANT TO DEFEND THEMSELVES FROM THE CRIMINALS ,,,,,!!!!!!!!    😲",hola hola #_#,2021-03-31T03:05:30Z,0
Better get used to the term mass stabbings when libtards take guns away,CJ Flannigan,2021-03-31T02:27:51Z,0
"Didn&#39;t you know Ben, according to Joe, the migrants are coming over more rapidly because, he&#39;s such a &quot;nice guy&quot;. Man, he&#39;s so humble and honest.",Reform Section230,2021-03-30T17:21:21Z,0
"I kind of am somewhat unsympathetic.  To quote Stewie from Family Guy, &quot;Eh, it was more of a regional tragedy.&quot;",Devin Stromgren,2021-03-30T16:10:25Z,0
"This is planned crowd psychology and America is being bombarded with it! From BLM, systemic racism, critical race theory, LGBTQ, cancel culture, etc... Hollywood, CNN, NFL, NBA, Opera Winfrey, Bill Gates, George Soros, etc... are all behind it! Wake up! We’re all being played!",Michael Murray,2021-03-30T14:49:26Z,0
The solution to the District of Columbia is that the State of Maryland should reabsorb the territory they loaned to the Capital so that those people are represented by Maryland.,Jim B,2021-03-30T14:33:11Z,0
Rural broad band is called Starlink or OneWeb.  The last Obama &quot;Green Energy&quot; job plan cost more than $10M for each job finally created.  This plan is yet another exercise in futility born out of ignorance and fantasy.,Jim B,2021-03-30T14:26:01Z,0
"If you support gun free zones and gun control, then you don&#39;t care about the victims of mass shootings.",Kenneth Turner,2021-03-30T14:22:05Z,0
A Loaded Show ... keep  shedding the real light of  justice and equality! We need your voice! 🙏,Mr711coffee,2021-03-30T14:16:22Z,1
CONTROL...KEY WORD.  AMERICAN GOVERNMENT NOW WANTS TO RULE. !!!! NOT REPRESENTING THE PEOPLES VOICE.   CONTROL &amp; RULE .,John Harlan,2021-03-30T13:38:09Z,0
CONTROL...KEY WORD.  AMERICAN GOVERNMENT NOW WANTS TO RULE. !!!! NOT REPRESENTING THE PEOPLES VOICE.   CONTROL &amp; RULE .,John Harlan,2021-03-30T13:36:40Z,0
Only Sick &amp; or Stupid people back the left.,Dope Flakes,2021-03-30T10:04:46Z,0
How come no one will answer my question on &quot;Cloture Rule 22&quot;.. can you use the Filibuster to block the vote on blocking the Filibuster..,Justin Beaird,2021-03-30T05:23:29Z,1
"If you don&#39;t back gun control, it&#39;s because the gun control laws we currently have are not being enforced.  EVERYONE&#39;s chances of being killed by a drunk driver, diabetes, heart disease, processed food, knife, flu (regular flu, not this bullshit pandemic crap) are FAR GREATER than EVER being killed by a firearm of any type.",Captain Obvious,2021-03-30T02:07:30Z,0
"Can you comment on how almost 90% of want to increase gun control, but the senate does not vote like their constituents want?",Travis Edrington,2021-03-29T21:56:22Z,0
How many mass shootings have there been in the last...say decade...in Australia?,Travis Edrington,2021-03-29T21:46:45Z,0
“Not fully sentient not fully alive” That was funny,Arcade Gannon,2021-03-29T20:31:03Z,0
"Ben, making fun of Kamala about the border issues and her laugh is just awesome! What kind of response is that?! This is our country&#39;s second in command?!?!",Jenny Will,2021-03-29T20:26:40Z,0
secession is the only way forward at this point. it needs to be seriously discussed in conservative circles.,idahoan dude,2021-03-29T20:20:40Z,0
"gangs care! they really want complete, not just partial gun control; black market, prohibition-based industries are always big business. 📈",c minor,2021-03-29T15:13:04Z,0
Why do they think enacting strict gun laws is going to stop anything? Criminals will still buy guns!?! only people that won&#39;t buy guns are law abiding citizens that wouldn&#39;t do this in the first place?,Miss You know - I'm right,2021-03-29T13:51:45Z,0
"what we need to do is start saying we need even more state, and they are to the south, why add just 2 states how about 8",melissa weers,2021-03-29T12:07:37Z,0
Progressive leftists make freedom illegal like a victim turned tyrant .....zero conservation of freedom...not even for themselves. Ideologues are just too stupid to see the truth that which does not require believers but stands on its own. Normal logic and intuition simply don&#39;t get habitually reprogrammed into the subconscious by the repetitive act of its use. Its very sad but its true sometimes you just can&#39;t fix stupid when hive mind oriented people attempt to bypass the individuation process by the judicious use of vilification to present the false identity of the hero within the self ....yet they have not walked through the valley of the shadow .....46&amp;2,Jeremy Schissler,2021-03-29T11:42:19Z,0
When did we stop telling the story &quot;The Emperor&#39;s New Clothes&quot; in school?,Apollo Reinard,2021-03-29T02:59:28Z,0
It is true that I don&#39;t care about people who don&#39;t want to defend themselves from criminals and from  the government that tramples on our Constitutional Rights.,John Stanton,2021-03-29T01:52:23Z,0
Nice work Daily Wire!,DT,2021-03-28T22:16:36Z,0
Thousands die by guns every year. Millions die without guns every year.,John Metzger,2021-03-28T21:40:39Z,0
"B.e.S.T f&#39;u&quot;l&#39;l D.a.T.i.n.G h.o.T G.i.r.L&#39;s —L—o—V—e—S—e—X—..❤️⤵️<br /><br /><a href=""http://18cams.xyz/"">18cams.xyz</a><br /><br /><br /><br />!💖🖤❤️今後は気をライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたもん（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした,.💖🖤<br /><br />在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`&#39;守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。.說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品市場上被忽略的部分家用蔬菜和肉類，並且學會了使用芳香的木煙（如山核桃，山核桃和豆科灌木 來調味食物煮的時候 1616963716",Vineetha Katta,2021-03-28T20:35:19Z,0
"Truth be known,  I really don&#39;t care...",Max McRude,2021-03-28T19:54:25Z,0
America&#39;s don&#39;t care until it happens to them.😂  it&#39;s pathetic when people act like they do because it makes them look as fake as America&#39;s Morals or lack there of.,Sayson Loller,2021-03-28T17:58:51Z,0
"But people are constantly afraid some psycho is gunna bust in and shoot them down, how do we deal with the stress of that happening when people get out of their homes",Acceptable,2021-03-28T16:01:57Z,0
"&quot;The philosophy of gun control: Teenagers are roaring through town at 90MPH, where the speed limit is 25. Your solution is to lower the speed limit to 20.&quot;<br />- Sam Cohen (inventor of the neutron bomb)",The Lone Rider,2021-03-28T15:32:55Z,0
I&#39;m greatly offended that Ben should talk in such a disparaging way about Ringo Starr.,musicalfringe,2021-03-28T15:19:46Z,0
"If it&#39;s between &quot;Caring&quot; and giving up all my guns, I don&#39;t care. I don&#39;t have any fcks to give at this point.",Chrisfragger1,2021-03-28T14:39:16Z,0
"@Krimsen King If you could not get ahold of guns, there are many ways to kill a lot of people. I am NOT giving up my humanity because I am fighting to keep my rights. You won&#39;t guilt trip me into anything.",Chrisfragger1,2021-03-28T21:59:36Z,0
"It&#39;s funny how a Gun Grabber in Chief gets into power, and then &quot;Mass Shootings&quot; start happening again. Makes it easier for Joe &quot;Gun Grabber&quot; Biden to grab guns.",Chrisfragger1,2021-03-28T14:40:58Z,0
The children in the USA are so dim not realizing we have answered most of these problems many years ago .what would these children do with out electronics,Joel Davis,2021-03-28T14:38:44Z,0
If u don&#39;t back gun control you don&#39;t care  such ignorent children in the       USA thinking they know better then everyone else ever to exist,Joel Davis,2021-03-28T14:36:20Z,0
You can&#39;t be a marksman without exceptional control 😇 . If there were  more competent cc holders &#39; moss hooters &#39; would take the room temperature challenge rather quickly  IMHO .,Bill Berntson,2021-03-28T13:55:51Z,0
"My gun is in my holster. Fully loaded, safety on. The only reason I will brandish it, is to protect you from the nut job trying to shoot everyone, who has a gun he stole or bought illegaly.",LeahStorm,2021-03-28T09:07:54Z,0
"@Krimsen King the only rampant guns I&#39;ve ever seen in the streets was from blm and antifa protests. And actually high rates of legal gun ownership states do have less gun violence. If you were planning to shoot people in a store, you&#39;d likely pick a place where you know very few citizens are armed. Secondly, defunding the police allows the criminal minded to feel more emboldened to act on their nutty thoughts. So I say more guns for the law obiding and more police. Third, its not your place to decide who gets to join any conversation.",LeahStorm,2021-03-29T05:05:35Z,0
"@Krimsen King a year or so ago some maniac w a knife killed a dozen people in Japan. Bomb recipes are all over the internet, arson, chemicals, etc,. When nutters wanna kill people, they find a way.",LeahStorm,2021-03-29T04:43:53Z,0
"@Krimsen King maybe, because we all just want to feel safe. But preventing and/or confiscating guns from law obiding citizens isn&#39;t the answer.",LeahStorm,2021-03-29T04:41:57Z,0
@Krimsen King I wish I had an answer for that.,LeahStorm,2021-03-29T02:33:04Z,0
I’m for gun control... as in controlling the gun to aim correctly,The Masked American Fox,2021-03-28T05:57:48Z,0
@Krimsen King plus he did get the gun legally so he was in the right having a gun but not to go and shoot people,The Masked American Fox,2021-03-28T22:43:13Z,0
"@Krimsen King there doesn’t need to be restrictions. Why? Because it’s a mental health issue. You shouldn’t generalize gun owners. We are not criminals. We simply want to protect ourselves. I would rather have a gun on me to protect myself against a criminal, then a knife",The Masked American Fox,2021-03-28T22:15:54Z,0
"In the pictures, the people sleeping in close proximity to each other most likely are wrapped in survival blankets, which are made of mylar and have that metallic side to reflect heat when used in hot weather. These blankets are typically worth 95 cents",J Moosman,2021-03-28T05:13:53Z,0
Anybody who reflexively calls for gun control over a statistically rare event is an immoral liar or coward.,raynebc,2021-03-28T04:40:39Z,0
"If you make enough laws, everyone becomes a criminal. You really want to try and outlaw guns in what is possibly the largest population of gun wielders? It&#39;s stupid and absurd, not to mention that it is a guaranteed liberty, as in God given, run for the hills if they try to take it and never give up/in, kind of set up.",Daniel Toledo,2021-03-28T01:42:15Z,0
Correct. I do not care about gun control.,Maverick,2021-03-28T01:00:26Z,0
I don’t care,Sean O’Grady,2021-03-28T00:49:53Z,0
