comment,id,date,num_likes
These are likely a similar type of person who says that people shouldn&#39;t celebrate when Osama Bin Laden or Fidel Castro died because they were human but when a guy who at worse said some mean things dies they celebrate because he may not have approved of their lifestyle,AndroidOfIceAndFire,2021-05-08T23:43:39Z,0
What is right is right.....what is left is wrong.,Fernando Guerrero,2021-04-24T22:14:45Z,0
Nicely said!,Richard Carr,2021-04-14T22:53:34Z,0
We&#39;ve taken The red pill,Spikes,2021-04-12T20:12:47Z,0
The execrable Cenk Uygur.  I think you owe excrement an apology Ben.,Siraj Azad,2021-04-08T02:29:37Z,0
But what about the time when Jimmy Kimmel simply retweeted a video of Mike Pence and MAGA supporters wished death upon him and his whole family including his young children. When I saw that I didn’t think this was the entire Right or all MAGA supporters. I though it was just a bunch of morons in their parents basement and that’s it.,Highlight Reel,2021-04-03T02:34:02Z,0
I don&#39;t understand how the left claims to be virtuous people while at the same propping up dictators/terrorists who have caused untold suffering to there people and abroad. I don&#39;t know much about Rush but if he was the person who gave a voice to conservatives and inspired other conservative media then I have nothing but respect and admiration for him,Kalae Gambol,2021-03-27T23:46:03Z,0
If Biden or Harris passed away I wouldn&#39;t say anything like this even though I I really dislike them and hate what thier administration is doing and stands for how dare you wish death on someone you disagree with.,Dan Sweet,2021-03-19T06:26:48Z,0
Left = hate wickedness and sin,Dan Sweet,2021-03-19T06:24:51Z,0
He literally mocked those who died of AIDs. If he was a leftist y’all would not defend this clown at all and you know it lol,King Sage,2021-03-19T01:32:22Z,0
Congratulations to Rush Limbaugh for one month of sobriety.,Glen Johnson,2021-03-18T18:07:35Z,0
Rush was a mean spirited egomaniac.,David Thomas,2021-03-18T14:50:44Z,0
My dad told his siblings that &quot;Rush is a fucking moron&quot;<br />The left seems to think that right wing liberals never make jokes.,Jean Paul LeBlanc,2021-03-15T14:43:18Z,0
Thanks a lot Ben for continuing doing the job Rush started.,K Sem,2021-03-14T18:43:00Z,0
Ben you rule !!,Mike Willey,2021-03-13T02:08:49Z,0
"If we were laughing at their favourite politician’s death, they’d be the first to say “How could you, you moron? Where’s your morality?”<br />Of course, the name-calling, gaslighting and projection wouldn’t be excluded, either. MAJOR HYPOCRISY.<br />They can do something because A, B, C, D, E, F, G, and the endless word salad to go with it, but if we do it, we’re the worst people on the planet because blah blah blah, going by their insane logic.",Todd Lynch,2021-03-12T09:48:11Z,0
"There’s a fine line between pseudo-intellectualism, which they display all the Goddamn time and actual intellectualism, which only happens if you’re not too far to the left or right. The Trump era needed to happen, and I’m not ashamed to say that now after 5 years of being confused as to where I stand politically. I am a Centrist, but I’m neither left or right, but rather a concept where I form an opinion on who is better based on the current situation, refusing to be biased and own up to my mistakes if somebody notices them, like if I am hypocritical on something. That’s called taking accountability for your actions.",Todd Lynch,2021-03-12T09:56:13Z,0
This is just as bad as peta insulting Steve Irwin when he died,The Gamer,2021-03-11T19:31:03Z,1
Rush Limbaugh mocked the death of gay people dying from AIDS. Poor choice to defend.,John Wilson,2021-03-10T06:31:00Z,0
The US Supreme Court &quot;ruled unanimously in 1969 that the Fairness Doctrine was not only constitutional but essential to democracy&quot;,Boris Tesel,2021-03-08T02:45:11Z,0
He literally celebrated it every time an aids patient died. I can&#39;t say i&#39;ll shed any tears,Woody Pearce,2021-03-05T19:44:35Z,1
imagine being a ben shapiro fan,Revulets,2021-03-01T04:37:27Z,2
So much for the party of tolerance and acceptance,Yet Boi,2021-03-01T03:22:54Z,0
"Well Ben, the torch has been passed from Rush to you... you&#39;re gonna make him proud",Very Triippy,2021-02-28T04:20:51Z,0
"The worst one that I heard was from one of my &quot;friends&quot; on Facebook.   I posted a tribute to Rush on my Facebook page, and one of my &quot;supposed&quot; friends on Facebook replied with the comment.........&quot;Well, at least they will only need 2 pallbearers at Rush&#39;s funeral.......because a garbage can only has 2 handles&quot;.   NO LONGER MY FRIEND ON FACEBOOK.........because I UN-friended her immediately!!!!!!!!!!!",Howard Ford,2021-02-28T03:54:50Z,0
"I watched Rush on TV.....at that time, I didn&#39;t agree with him. Thought he was pompous, and a big blow hard. He made me mad....didn&#39;t agree with anything he said.  Kept watching.....he changed me.  Started listening to the radio show.  Learned who Rush was; when he announced his lung cancer, I cried and prayed.  When he died, I cried and prayed.  It was like losing a member of my family....and I did.",ethelmurmur,2021-02-28T03:39:19Z,0
And Rush ones had a segment mocking and celebrating gay men dying from AIDS. He revelled in it. What goes around comes around I guess.,Christer Jervhall,2021-02-27T21:44:54Z,1
"Rest in peace, Rush. You will be missed!  Condolences to his friends and family.",I Hate Communism,2021-02-27T17:35:58Z,0
Great show. Rush would be pressed. Keep up the good fight!!,gary farmer,2021-02-27T17:34:48Z,0
"It&#39;s okay because when their side starts dying off, we&#39;re going to make national holidays out of it!!",American Patriot,2021-02-27T16:30:23Z,0
Do we really wanna stoop to their level tho?,dyl-dyl,2021-03-19T08:02:33Z,0
Love ya Rush - still remember many days listening to your show,J S,2021-02-27T14:56:01Z,0
Kinda like how the right bashed RBG when she died,Harrison Hall,2021-02-26T21:21:05Z,0
Whether you like a person or not you should NEVER say that the world is better off without them. That was a person with a personality and a soul the fact that they are dead is never a cause for celebration.,Jacob Habben,2021-02-26T20:51:07Z,0
"May he rest in peace, and may only good things be remembered about him.  <br /><br />Mr. Limbaugh was not a gracious man, however, in certain situations. For example, he reacted viciously when Ted Kennedy died from brain cancer, and when Paul Wellstone&#39;s life came to an untimely end due to an airplane going down. Those are only two examples. He found it almost impossible to be magnanimous or gracious (at least publicly). <br /><br />Two wrongs do not make a right. To pretend that Mr. Limbaugh was a gentleman, though, might not be exactly a fair characterization. He was not a nice man, at least not publicly. He was no Donald Trump, (who, on the contrary, actually is gracious both in  public and in private life). <br /><br /><br />Let President Trump&#39;s grace be showered upon Mr. Limbaugh, and may mercy be shone upon his memory, no matter how he conducted himself, in this physical world. There are much, much worse things in this world than simply being a mean person. We can afford to be gracious towards his memory.  <br /><br />Thanks for the content.<br />Keep up the good work.  בס״ד",Kelikaku Coutin,2021-02-26T20:22:46Z,0
"20 million listeners a week and YouTube wants me to believe that via their view count that Rush was not all that popular. Third parties have gauged Rush&#39;s popularity on behalf of advertisers, I dont have a clue what YouTube&#39;s motivation is, but it is none the less suspect!",Goober Mcgilicuty,2021-02-26T18:04:10Z,0
Rush was a very nasty nasty man. Prove me wrong,timduncankobebryant,2021-02-26T16:59:36Z,1
@timduncankobebryant tasty.,KG Sniper,2021-04-30T00:40:25Z,0
@KG Sniper boobs,timduncankobebryant,2021-04-29T16:33:33Z,0
You’re wrong.,KG Sniper,2021-04-29T15:24:54Z,0
"Shut up, Ben Shabibbo. Right wingers celebrate the death of progressives all the time. Don&#39;t try to act like conservatives are above this. <br /><br />Lol",Reverend Coffin's son,2021-02-26T12:41:10Z,0
"I really like listening to you at 0.75 speed, but I&#39;m down here in Texas.  I guess I just hear slower.",John Smith,2021-02-26T08:56:30Z,1
Very well said.<br />This video really strikes a chord for me.<br />I listened to Rush in the car for years with my late father as well. He inspired my dad who was also in media to speak his opinion. My father was a young hippie on the revolutionary left and moved to the right in his late 20&#39;s in large part because of what you&#39;re describing here. My dad went on to host an AM radio show and spent 30 years in conservative &quot;alternative media&quot;.<br /><br />Thanks for this video.,Eliyahu Korn,2021-02-26T07:27:03Z,0
Rush was a pos,TheBrindleBoxer,2021-02-26T05:30:48Z,0
Rush was absolutely bigger than life. There is no other way to even describe him. He was one in a billion. The left are nasty liars who&#39;s only agenda is to line their pockets and TRY to gain as much power as they can. Everyone knows they are crooked and they have no respect for our country or WE the PEOPLE.,Jennylmb3,2021-02-26T01:01:35Z,1
"I grew up on Rush, good good man!!! He is missed and his legacy will live on.",Shaunalea 82,2021-02-25T19:53:19Z,0
Glad there was someone here to defend the man. The media is abhorrent,djbred18,2021-02-25T18:42:39Z,0
I partly disagree with your.  believe me I do acknowledge that Rush was unique and he contributed massively to talk radio and to the world of media but let me tell you he was a loose cannon he didn&#39;t care who he was offending and he was super Racist.  Rip.,J C,2021-02-25T18:24:19Z,0
I had to google it because the news wasn’t mentioning anything about it,djbred18,2021-02-25T17:15:23Z,0
"The left - including leftist-biased media &quot;reporters&quot; and commentators - see it as their job to twist and distort and misrepresent everything in sight (including employing outright fabrications). And, OF COURSE, this is especially true with their treatment of anyone and everyone who dares to open their mouths and criticize and oppose leftist ideology. So that goes especially for someone like Rush Limbaugh. I was never a &quot;dittohead&quot; or a fan of Limbaugh, but at the same time he had a lot of good ideas, and back in the 1980s (when I started listening to his program occasionally) he was one of the very few in the media who articulated them. Leftist practice back then - and even much more so today - was to demonize everyone who disagreed with them. Rush routinely exposed the two-faced, double-standards nature of leftist rhetoric, over three decades ago. It&#39;s merely amusing how Shapiro here does exactly the same thing of exposing the utterly two-faced nature of leftist rhetoric in their demonization of Rush Limbaugh, one of the arch-critics of the left.",Steve Greene,2021-02-25T05:24:35Z,0
oh man been staying away from media this broke my heart God bless Rush he was a strong supporter of the good ol USA and what it&#39;s supposed to look like to be an American,Robert DPlumber,2021-02-25T02:23:17Z,1
"By their very logic Biden should be hated when he passes. We should hate everyone when they die. Except dogs, they all go to heaven.",BrusselSprout Boy,2021-02-25T01:57:32Z,3
"In the myopic morality of the left, &quot;Unity&quot; means the silencing and obliteration of of all opposing voices.",Jay Day,2021-02-25T01:54:54Z,6
@Razatron Idiotics Different than Rush. Too  cerebral to be like Rush. Rush was an entertainer.,Jay Day,2021-03-11T20:34:56Z,0
Well I&#39;m glad that Ben is the next Rush,Razatron Idiotics,2021-03-11T04:28:12Z,0
"<a href=""https://youtu.be/Ot_q6Y72af4"">https://youtu.be/Ot_q6Y72af4</a>",M Frankel,2021-02-25T01:28:18Z,0
"My great aunt listened to Rush, didn&#39;t take Covid seriously and died. Thanks Rush.",Bob Green,2021-02-25T01:05:59Z,0
No,Dixie Skinner,2021-02-27T17:16:30Z,0
"Yep, in the car with Dad on the way to school.",Beth Kahn,2021-02-24T23:08:51Z,0
"It’s not about left or right, political leanings are irrelevant. He was a hate filled stain on humanity. <br /><br />Anyone who makes the world more hateful, their departure is welcomed. God is Great.",Ali74,2021-02-24T23:07:13Z,3
Thank GOD for Larry elder and you ben.,John Elliott,2021-02-24T21:36:22Z,0
A massive market for conservative views . . . . think about that . . . .,Professor Bommyknocker,2021-02-24T21:29:35Z,0
"Rush Limbaugh’s legacy, in part, will be the spawning of dozens of successful conservatives who backfill the enormous void left by Rush’s passing. Rush showed the media folks that there is an audience for the conservative viewpoint. There is a market for conservative values and opinions.",John Treble,2021-02-24T21:25:26Z,0
"Limbaugh right wing radio corrupted the Republican Party by spreading hate, racism, lies, and fear. I for one won’t miss him.",Phil Westberry,2021-02-24T19:06:05Z,0
the left would like to LIE in peace......,Tim Dixon,2021-02-24T15:48:02Z,2
Well done Ben.,Galen Cox,2021-02-24T09:33:31Z,0
Hell guys am heer to giv fre check mark totoral on twitter11! <br />First twet white bad or republican bad ok thx r like for ✅,bacon get scammed,2021-02-24T06:59:54Z,0
"The left in this country is what we have instead of Putin. They use negative headlines, censorship, removing conservative channels or accounts in the way Putin uses poison assassinations to remove competitors and critics. The left-wing media seeks totalitarian group-think for America. The goal is to transform Americans in drones programmed by leftist ideology.",John Wordsworth,2021-02-24T06:42:36Z,0
I just can&#39;t believe how they&#39;re so happy of a fellow American death the left need to grow up honestly they act like children,Jordan Federico,2021-02-24T06:07:01Z,0
I used to listen to Rush when I was going to my Dad&#39;s work to help him pack his stuff to move from one office to another in LACMTA (Los Angeles County Metropolitan Transportation Authority) My father has one of his books. IMO his name will be remembered long after the Left and all their supporter&#39;s are dead and buried and bones long turn to does. May he Rest in Peace. <br /><br />My Grandfather lost his battle to Pancreatic Cancer when I was a Freshmen in High school. For about 3 months I was in depress and my IEP team I had always told me to push through it and make my grandfather proud and not let his death cause me to give up. I had class mate who where very supportive when they heard how I felt. My thoughts and Prayer&#39;s go to his family.,Ragnar Septim,2021-02-24T05:29:54Z,0
Rush certainly was “...on loan from God.” RIP my friend.,Whatthe Samhill,2021-02-24T03:34:31Z,0
The LEFT is a disease!!,True American,2021-02-24T03:14:43Z,0
I listen to Shapiro on my way in the car,Ian Schrute,2021-02-24T03:00:30Z,0
"And they praised, COUMO!!",fx802,2021-02-24T01:04:32Z,0
"Was there every any doubt as to how the Left would respond? Truth be told, once Soros goes I&#39;ll be buying beers for people.",Robert Wood PA,2021-02-24T00:36:26Z,0
"Forever Rush. UP yours Fake news cnn, UP  yours.",Carlos Garcia,2021-02-24T00:30:34Z,0
"His wife should have said that Rush had hoped to go to one more BLM protest, or some other useful bullshit. CNN would surely say something about how Limbaugh is a good role model for republicans to ascend into holy wokeness. Then their sheep listen to Limbaugh. Then they are see a keyhole of the light that was shinning into the open doorway.",Proud American,2021-02-23T23:30:52Z,0
"I hope all Democrats die  horrible  deaths, just like Rush.",Dan Crean,2021-02-23T22:58:20Z,0
"Ben Shapiro says that no one in the right called RBG a horrible, inhuman person when she died last September is simply wrong. Lots of GOP politicians, as well as conservative pundits did call her that.",Tarielka Roldán,2021-02-23T22:27:43Z,0
Get over it Ben. Rush was a literal piece of shit and the world IS a better place without him. Your epitaph will be as awful as his because you’re just the new generation of him.,John Goodfriend,2021-02-23T22:24:26Z,0
"@John Goodfriend Better to be a Republitard, than a Diabolical democRAT.",Carlos Garcia,2021-02-24T19:02:48Z,0
"@Carlos Garcia Bless your heart, you sad Republitard.",John Goodfriend,2021-02-24T00:36:44Z,0
UP yours communist.,Carlos Garcia,2021-02-24T00:34:58Z,0
"No <i>__</i> him, he was bigoted as ____. We&#39;re not allowed to celebrate the deaths of terrible people?<br /><br />People who&#39;ve expressed ideas that make our existences that much worse? <br /><br />What&#39;s the threshold? At what point does someone go to hell after they die?<br /><br />This isn&#39;t politics, the ideas he expressed weren&#39;t political opinions. We didn&#39;t disagree on frivolous little things the dude didn&#39;t think I deserved human rights because of the color of my skin.",Shen One,2021-02-23T22:12:38Z,0
"castro was a hero wasnt he? i read that the previous leader was much more violent and not caring for his people and castro came in and he was, not saying hes a good guy but he is better than the previous right?",Ripfan,2021-02-23T21:03:15Z,0
"watch when biden dies though and we start talking about the bad hes done, or Hillary...then we are &quot;insensitive&quot; and &quot;everyone makes mistakes&quot; <br />everything flip flops in politics i hate it",Ripfan,2021-02-23T20:59:39Z,1
The left has no class.,T Flynn,2021-02-23T20:36:03Z,0
I searched through Twitter to humor myself. I saw so many “restinpiss” hashtags with gifs of celebration. It was disgusting. I wouldn’t wish that on people who I disagree with. Looking at that made me loose faith in humanity.,Jackalope B95,2021-02-23T20:07:33Z,0
"<a href=""https://www.youtube.com/watch?v=JHa0P_CMNF0&amp;t=15m34s"">15:34</a> &quot;His legacy to millions of Americans is that he gave them a way to fight back.&quot;<br /><br />Yes, we saw that on 1/6. How did that work out?",September2004,2021-02-23T20:00:14Z,0
CNN shouldnt talk about division. Thats their specialty.,Alex Dahl,2021-02-23T19:53:25Z,0
Hey celebrated when aids victims died so...........,Anthony Strunk,2021-02-23T18:36:51Z,0
Never try to placate the left defending those they hate. I&#39;m thankful you posted what they are saying but we will never change their mind. They represent the far left socialist who hate freedom and COTUS. Rush loved those two things more than anything.,NBT 3,2021-02-23T17:50:52Z,0
"Very well said, Ben!",Derek Yan,2021-02-23T17:39:59Z,0
Jesus loves you soooo much! trust Him! Amen❤️🙏🙌🥰 praise The Lord,"Começa Em 1, 2, 3",2021-02-23T17:37:36Z,1
Ben I love you but you know the right had some fun with RBG death. Neither side are innocent angels.,Christelle Tremaine,2021-02-23T17:02:14Z,0
"I don’t support trump, but after trump presidency, I no longer identify as Liberal or Left. The hypocrisy and disgusting hatred I’ve seen from “my own side” made me realize they are nothing like what they say they are. So much hate I can’t stand it, and the reactions about this death only further confirm my feelings.",Christelle Tremaine,2021-02-23T16:52:59Z,0
"Yeah conservatives made a field day of RBG&#39;s death but we&#39;re not going to talk about that, are we?",Shante,2021-02-23T16:07:51Z,0
"Typical socialist democrat lie, just like Pelosi and Schitt. No facts, no proof, just accusation and printed by the biased socialist media. You people hate America sooooo much, why don&#39;t you move to Biden&#39;s country---China?",binthrdonthat,2021-02-24T00:17:14Z,0
"not a leftie..im just a peace loving Indy..i love my guns and my legal marijuana tyvm! and..F Rush..heard him for years riding w my parents/grandparents. This dude Just angrily talked sh<a href=""http://www.youtube.com/results?search_query=%23t"">#t</a> into a mix every day..as if he were perfect. cut to? drug addict...smoker. Conspiracy swilling nobody to me. RIP tho. but. <a href=""http://www.youtube.com/results?search_query=%23itiswhatitis"">#itiswhatitis</a>-trump",Jedimaster 024,2021-02-23T13:29:03Z,0
The reason we don’t like rush is because...HE WAS RACIST,Raychel Smith,2021-02-23T11:19:56Z,2
Like you ?,Vance Copeland,2021-02-23T19:42:12Z,0
I think it&#39;s best not to mention the Left and what their latest antics are. They seem to feed off news of their deeds much like a serial killer would.,P C,2021-02-23T10:15:48Z,0
Get dem guy on knees people out your country. Call immigration on dem. Get dem deported and hide.,StevexNYCperformance,2021-02-23T07:03:35Z,0
It makes me feel all warm and fuzzy when I see how distraught and growing crazy mad it made the left feel,Danny Gay,2021-02-23T06:27:53Z,0
RIP Rush.,BlackBeltDustin,2021-02-23T04:46:37Z,1
There were more tears shed at the same time in this country the moment right after Kathryn announced his passing than any other time in history of our country! RIP Rush!,Jeff Hornecker,2021-02-23T03:12:29Z,2
"Rest in peace old friend, we have never met but I felt like I have known my entire life.",joe snowman,2021-02-23T03:01:16Z,0
