comment,id,date,num_likes
LIKE &amp; SUBSCRIBE Don&#39;t forget to ring the bell so you don&#39;t miss a thing!,Ben Shapiro,2019-11-08T00:18:58Z,23
Hey I was wondering what good making them open will do? Haven&#39;t they already gone through the transcripts.,renner borden,2019-11-10T01:59:27Z,0
Hey do you really believe that asking a foreign government for dirt on your opponent is not morally wrong. forget if its impeachable or not,Daniel Fullerton,2019-11-09T20:29:04Z,0
"@Ben Shapiro, you owe Jesse Lee Petersen a lunch. Repay that debt.",Timmy Schnitzel,2019-11-08T16:11:11Z,0
&quot;Jesus was a troublemaker that got what he deserved for making trouble&quot; - Ben Shapiro. Least he&#39;s honest about it unlike some.,Adam 86,2019-11-08T11:48:20Z,2
@Suspence ben doesnt think jesus is the son of god. Look into what it says about jesus in the talmud,Prodigal Son,2019-11-08T06:38:19Z,2
ches benny,Z3ST WASABI,2020-09-04T19:17:32Z,0
The whole spray bottle thing is just further proof the left can&#39;t meme.,Brandon Romano,2019-11-12T22:38:36Z,0
It doesn’t matter if the whistle blower is the most partisan person in history if everything that he is saying is corroborated by evidence and testimony. Which is happening right now.,Josef David,2019-11-12T20:00:53Z,0
They’re wearing black because they’re mourning the death of their brain cells,Sailor Sabol,2019-11-11T19:27:56Z,2
Shapiro’s assessment of Trump is totally wrong.,Ekim Sinned,2019-11-11T13:31:00Z,0
Just dropping in to see if this video has  been censored for naming the whistleblower...,JT Garcia,2019-11-11T04:05:13Z,0
Hmmm....so when people are intolerant to other people’s opinions they don’t agree with wouldnt that make them bigots? 🤔. Ah...yes that is the definition for bigot...,joseph scott,2019-11-10T16:33:29Z,0
"Question: always amazed how Ben does not seem to get fatigue at at all during runs. After every commentary that Ben does, does he recharge with Energyzer batteries, solar panels, or diesel?",Kila Lawak,2019-11-09T23:38:30Z,1
All week long your auto has been screwed up!!!,Slow Poke,2019-11-09T21:00:51Z,0
"Ben, stop trying to sell me your shekels!",Potato Hole,2019-11-09T16:18:21Z,0
