ids,titles,Date
v6Vqdjx-E5A,Traffic Stop MELTDOWN Goes Viral,2021-05-08 20:00:07+00:00
9cf41WU67fQ,Ben Shapiro Reviews Biden’s First 100 Days As President,2021-05-08 17:00:05+00:00
vkcmnSJx6x4,INSANE: Dems Redefine Mothers As &quot;Birthing People&quot;,2021-05-08 00:02:51+00:00
3gOfJoqI0GU,Happy Birthing Person’s Day! | Ep. 1252,2021-05-07 17:00:15+00:00
4MYX5qlyPDU,The Democrat Agenda To EXPAND Government,2021-05-07 00:00:01+00:00
nMtsXMDBNQM,The Left&#39;s Push For Big Tech Authoritarianism,2021-05-06 22:30:02+00:00
_ajgiP0ALqU,Who Will They Ban Next? | Ep. 1251,2021-05-06 17:00:15+00:00
vortmlz4gq8,Inflation Is On The Horizon | Biden&#39;s INSANE Spending Problem,2021-05-06 01:00:08+00:00
CEXVKH646Zk,How Conservatives Can Fight Back Against Big Tech Censorship (w/Sen. Josh Hawley),2021-05-05 23:00:08+00:00
5UXozGUJ3vM,Liz Cheney Is Not Forwarding The Republican Agenda,2021-05-05 21:05:13+00:00
c7wIh9yWMug,Facebook&#39;s Anti-Free Speech Rulers Maintain Their Trump Ban | Ep. 1250,2021-05-05 17:00:14+00:00
xpxmxi09vxY,Facebook Upholds BOGUS Trump Ban,2021-05-05 16:56:23+00:00
arPfDqEtO_g,Teacher&#39;s DISGUSTING Cop Meltdown &amp; A Case For Chauvin Mistrial,2021-05-04 22:43:21+00:00
ZsxFaMX4YPA,The Biggest Story In The Country Nobody Will Report | Ep. 1249,2021-05-04 17:00:14+00:00
DGC_fj60w84,Jordan Peterson&#39;s Warning Against Hookup Culture,2021-05-03 23:35:51+00:00
ArHV9Rp1hn4,Left vs Right: Who&#39;s More Likely To Push Fake News?,2021-05-03 23:30:01+00:00
MZBlwbJQMpw,NYT Columnist Makes An INSANE Claim About Racism In America,2021-05-03 22:51:59+00:00
ZJW0o3gmpH0,The Establishment Media Are Driving Us Toward Civil War | Ep. 1248,2021-05-03 17:00:14+00:00
GoJ88nRzAdg,Jordan Peterson Reacts To Red Skull Comic,2021-05-02 19:00:07+00:00
gDNvHF4T6Ag,Jordan Peterson On The Emptiness Of Hook-Up Culture,2021-05-02 16:00:31+00:00
_wdWkTHubg4,Jordan Peterson | The Ben Shapiro Show Sunday Special Ep. 114,2021-05-02 12:00:25+00:00
Tr6aCsk0edk,Larry Elder Explains How He Became A Conservative,2021-05-01 20:00:09+00:00
TABoe_wLPYc,Andrew Yang Makes the Case for Universal Basic Income,2021-05-01 18:00:15+00:00
i6-2a_7mhvw,Joe Rogan’s Thoughts On The Rise Of The Intellectual Dark Web,2021-05-01 15:00:13+00:00
asjZm4mXPa0,Here&#39;s What @The Daily Wire Uncovered About Biden&#39;s Border Crisis,2021-04-30 21:22:57+00:00
3lKh1DST7B0,Leftists LOSE IT After Senator Scott Says America Is Not A Racist Country,2021-04-30 20:33:00+00:00
kR2mJ11APHg,Uncle Tim And The Very Racist Left | Ep. 1247,2021-04-30 17:00:14+00:00
