comment,id,date,num_likes
"I’d be like “well you said you’d provide all the other gifts for my kid and that parents only have to buy the gun, so .... pay up”",Charlotte,2021-05-05T13:32:44Z,0
"I need a fact check on whether this is the worst Santa ever, please.",Charlotte,2021-05-05T13:27:47Z,0
How do I get the &quot;sellout&quot; card? Make sure mines says  &quot;US Navy Sailor...&quot;<br />I want the Army green T-shirt that says &quot;veteran.&quot;,Sean Jones,2021-04-26T12:22:45Z,0
"I had a Ruger 10/22 at that age, and had killed and skinned my first liberal.",Hateful Piggy Whittaker,2021-04-13T22:13:30Z,0
"Lmbo!! He&#39;s def not the Santa I worked with cuz he actually told one of the parents after one of the kids came to see him &quot;You better get you&#39;re gun ready, this girl is a little baby doll and you&#39;re gonna need that one day&quot;. The mother agreed. Mind you this was North Carolina 😆",The MystiqueGypsy,2021-04-11T13:46:12Z,0
Thank you brother,God’s Right Hand,2021-04-10T18:26:24Z,0
Santa Daddy Trump will get him an M4 with all the Trimmings,Zayne Van Day,2021-04-08T20:09:26Z,0
Yup! That’s that white privilege @ it’s finest folks... 😂 don’t you blame it on liberal 🎅🏼..<br />Santa out here crushing dreams. Lil mark @ss mark claws.,Winter Hodge,2021-04-01T16:47:22Z,0
"The rebel weeder splenomegaly compete because screwdriver considerably mug per a crazy box. deafening, gigantic engineer",Derek Wood,2021-03-29T18:58:43Z,0
"&quot;NO, no toy guns.  There&#39;s all kinds of other presents, there&#39;s LEGOs, bicycles, puberty blockers, gender reassignment surgery, I can even make you the face of climate change activism.  But NO TOY GUNS!&quot;<br />-Lefty Santa",Yuibot,2021-03-27T11:19:18Z,0
Cry baby kid!,Imsosly4u Pineapple Byte,2021-03-24T03:44:02Z,1
Shame on santa,rita Davison,2021-03-20T06:50:33Z,0
What if this Santa wasn&#39;t inspired by woke culture but instead influenced by &quot;A Christmas Movie.&quot;  I mean technically that kid did hurt himself.  Lol,Couch Potato Guy,2021-03-13T10:54:42Z,0
"I loved going to clackamas town center in Portland, and seeing santa their. Leaving him postcards and getting answeres back and getting the toys i wished for. Not all but just gettinf something was awesome. Of course that was 20 years ago. America is shit today. Not all of it, but its going down hill.",HaviboX,2021-03-07T11:21:15Z,0
Steven Crowder called the little boys house as the &quot;real&quot; Santa which was great and also sent a Santa over to his house with a nerf gun.,Alisha Teeter,2021-03-04T05:53:57Z,0
Well santa is an anagram for &quot;Satan&quot;<br />And coca cola made him up.,Kishore Uthayanan,2021-03-03T07:05:59Z,0
Boy cant even have a dart gun. What a fuckin coward,Bully_Hunter_420,2021-02-28T07:31:18Z,0
