comment,id,date,num_likes
That’s a Democrat plan they plan to ruin this country,Patti Hodges,2021-05-08T23:50:07Z,0
I really wish 50 cent would let everyone know what it was that attracted him to her. Mabey it&#39;s bc he really love Donald J Trump&#39;s blonde hair.,Pam Galloway,2021-05-03T22:16:56Z,0
I pretty sure 50 cent knows he&#39;s a black man by now. I can&#39;t figure out why 50 cent ever even got involved with this nut.,Pam Galloway,2021-05-03T22:15:05Z,0
Mike Tyson,Christopher Wortham,2021-04-29T08:47:50Z,0
"Im from Brazil, I know what is to live in a place where you pay a lot of taxes and is a shit hole, believe me.",Washington de Sousa,2021-04-24T11:02:41Z,0
"Ummm. That&#39;s not how the tax system works. Although I&#39;m not for taxes of the poor, you don&#39;t get taxed at the 62% for below $400k, just for over.<br />So if you made $400,001.00. you&#39;d only pay 62% of that one dollar, so $0.38. not $248,000.62. To say you&#39;re not going to take a raise because that puts you over the $400k &quot;limit&quot; is plain stupid.<br />Even Jeff Bezos only pays 10% his first $9,875 too.<br />Taxes are a tiered system.<br />Don&#39;t get me wrong, I think the new tax plan of Biden&#39;s is stupid too. But everyone loves to go after the 1%, which in Virginia is only going to affect the top 1%.<br />Here&#39;s the current tiers:",Anon Nymous,2021-04-23T08:26:55Z,0
Facts,Cedric Vickers,2021-04-21T21:44:47Z,0
Lollll that thumbnail 😂😂😂😂😂,RISSA REAC.X,2021-04-17T10:38:13Z,0
right now as of 3/1 i see 908 dislikes that i assume means i like taxes lol,Sean Wellsyaknow,2021-03-01T18:18:36Z,0
this is one of the dumbest things I&#39;ve ever seen. Is this not satire?,Brian Morton,2021-01-30T10:02:09Z,0
Youd also get a pay raise if govt didn&#39;t tax your company for things like social security.,Ryan Roach,2021-01-28T19:27:51Z,0
Rich people will not pay 62% THERE are loop holes for the rich lol....the people that vote for Biden are homeles and unemployed and very very rich....only people that pay tax are hard workers that get  PAYED and cannot cheat on deductions...poor think that the rich will be tax and they a happy...IDIOTS...🤣🤣,Bright Diamond,2021-01-24T23:11:10Z,0
Except he didn&#39;t... he was misinformed like the you and your audience. But you two like it that way to profit off the ignorant.,Shaneo0oo,2021-01-20T01:45:52Z,0
"How can we get Trump back in The White House? Not Possible unless, we REMOVE AND SEND TO PRISON, Nancy Pelosi, Chuck Schumer and Adam Schiff!!!",scaryperryx1050,2021-01-14T05:19:13Z,0
50 Cent is 🤓 smart!!!,scaryperryx1050,2021-01-14T05:10:07Z,0
How you guys feel that trump lost ?,g loc,2021-01-06T08:01:33Z,0
College was useless for me just put me in deeper debt!!,TerraBoo992,2020-12-30T23:30:46Z,0
"<a href=""https://www.youtube.com/watch?v=eCzp5d2CZ-Y&amp;t=6m54s"">6:54</a> And we see millions of it going to places like &quot;Transgender something in Pakistan&quot; WTF is wrong with you American&#39;s. Or the people behind those decisions. PAY OFFS. That&#39;s what&#39;s wrong with them. They&#39;ve been paid to screw America. And you&#39;re being lied to in order to support it. How&#39;s that Biden vote feeling to you people who voted for him now?",Snowman374th,2020-12-27T18:01:22Z,0
Keep backing him up u starting to look like a lil blk trump,Shoe Bizz,2020-12-17T05:18:10Z,0
"That&#39;s the real reason for the ferst civil war  most 98% of Confederate soldiers or there family  was to poor to have slaves and most went racist  until  they convinced the black man that we were  and the blacks became  racist  , and we clashes  because of there lies like thay lieing now",nobody Who ??,2020-12-13T04:31:20Z,0
