comment,id,date,num_likes
"And yet they want us to believe that those mindless, can&#39;t answer a single question, boneheads, swept the election!!  <br />LOL    They&#39;re  🦇💩🤪<br />Kamala as a running mate is how they&#39;re ensuring a woman of color, that they can easily manipulate, makes the presidency by suddenly saying biden is &quot;suddenly&quot; unable, unsuitable,  too I&#39;ll, whatever BS, we saw years ago, verbage they choose.<br />These idiots are clearly serving the enemy!!",CircleB1097,2021-04-13T15:05:04Z,0
Lol well he won sadly,Ryan Mizell,2021-03-13T13:03:04Z,1
"Why does she keep telling us she&#39;s black ?  <br />She sure doesn&#39;t black . If you think she&#39;s bad now, wait till she&#39;s president !  🤡😨",Chappy,2021-03-10T01:15:56Z,2
"Looks like you called this one, along with others, WAY WRONG 😄😆",Danny Lopez,2021-02-20T22:19:13Z,0
🤢,katie,2021-02-14T01:25:09Z,2
"I laugh everytime, and thats a good thing these days!",Susan Brown,2021-01-27T21:55:17Z,0
Scarry times around the world. But it is in God&#39;s hands,Susan Sims,2021-01-21T06:02:26Z,0
"Is it weird that I feel this strange sense of satisfaction whenever one of them uses their &quot;deep voice&quot;, like when they say &quot;yeeeuaaahh&quot;?",FBI 1987,2021-01-19T16:07:40Z,0
"So yea, this didn&#39;t age well 😂 tah well",Britt Kupper,2021-01-09T13:55:53Z,0
You talk about racism and then describe a whole country of people as red dot Indians? That’s like calling you both a couple of buck dancing African Americans.,De C,2021-01-03T10:43:42Z,0
Yall realize shes bi racial right ..well.. BLACK..parents are jamaican..k...,Amir Murray,2020-12-30T04:03:26Z,0
This aged well idiots,Harold Joseph,2020-12-19T17:33:44Z,1
Listening to these two poor excuses for twins make my head spin.<br />At the end Joe Biden did win the election with Kamala Harris.,magnetmac1,2020-12-18T04:28:37Z,1
Joe are you trying to win lol 😂🤣😂😆😂,J C,2020-12-16T06:28:29Z,1
He didn&#39;t just try...,Music by A.D,2020-12-26T20:22:29Z,0
Lol she ain&#39;t no aferican American. Her ancestors are from a state in India called Tamil nadu. Am Indian I know damn well. People Tamil nadu state in India were celebrating her win. She Indian American.,sam Sj,2020-11-23T07:13:54Z,0
I think the Democrips did more than enough to atone for what happened to blacks when they nominated Obama.,William Smile,2020-11-22T07:49:23Z,0
Hindsight is 20/20  huh. Who knew they had a smartmatic voting plan.,Maureen Parisi,2020-11-20T03:24:36Z,0
Red dot india 🤣🤣🤣🤣🤣,King Me,2020-11-15T04:21:56Z,0
He win her! And your boy lose,Debra Hall,2020-11-14T06:18:30Z,0
I got UNSUBSCRIBE wtf 🤔🤔🤔🤔,saul casasola,2020-11-13T14:04:57Z,0
Are yall African because you&#39;re as light as she is..hmmm,Wanda Browning,2020-11-11T22:53:13Z,0
Kamala ? India ?<br />Didn&#39;t she state at one point that her family was Jamaican ?,Weng & Stan's World,2020-11-11T13:14:03Z,0
That didn&#39;t work out too well for y&#39;all asses,Christopher Landers,2020-11-08T16:35:22Z,0
And he became 46 just like that. You both are ridiculous I thought you had sense I’m glad your views fell you deserve failure 🤣,Leticia Soto,2020-11-08T10:36:27Z,0
Why y’all have a Texas accent now?,crystal zapata,2020-11-08T06:04:47Z,0
"Oh I forgot, You probably don&#39;t think you are Black.",Felecia Hill,2020-11-07T19:22:56Z,0
