comment,id,date,num_likes
"A lot of uninformed comments. With some cursory research, most of the claims with regards to the deaths tied to the riot have been debunked. Especially the fire extinguisher one. The only 100% confirmed death was Babbit. There was also video evidence of what was going on inside the building and it looked like a bunch of people who never thought they&#39;d get that far. One idiot even took a podium. Some smoked weed. Most were passive and the violent ones often just tuckered themselves out like children after a tantrum. As far as riots went, this one was embarrassing.",Anono Miss,2021-05-05T19:14:40Z,0
Unarmed women standing in front of a door... Made the violent insurgent sound real innocent as she climbed through a barricaded and guarded entryway. Lmao,Whatever,2021-04-17T06:19:19Z,0
After the capital thing I went to  work and my Trump hat was deemed a symbol of terrorism  but no one ever said anything about my hat until that day I said fair enough but I quit.,Dan Sweet,2021-04-15T17:42:45Z,0
"Talking about Pelosi and her hands...in prison, that&#39;s how you tell who is full of crap.",Joshua Tolar,2021-03-10T10:55:56Z,0
"Mitch McConnell, Lindsey Graham, and Mitt Romney all play conservative. McConnell and Pelosi are best friends.",Joshua Tolar,2021-03-10T10:54:28Z,0
Wow,smithchild80,2021-03-01T11:02:15Z,0
"I like how the Republican Party has went from anti-slavery patriots to conspiracy theorist who defend people that storm the capital building, obstructing congress, and murdering a cop that was protecting the democratic institution. And all that over a relatively secure election, claiming that it is fraud. My father is a republican, he is so pissed off about what his party has become",Jackwarrior 237,2021-02-28T21:43:18Z,0
These guys are identically stupid,CatchTheseSticks,2021-02-28T04:25:59Z,0
"Agreed, you can’t call them domestic terrorists because they were just “trying” to support the US president of our country! That’s kinda idiotic to call them that, Lol! (NOW you wanna see some true terrorists,.... BLM!) but anyway back to these crazy ppl-<br />But yea these people were “crazier than hell” as the Twins would say. They were angry (as they shld have been) that our president was cheated and they demanded something to be done about it. (Yes they went to far, went about it the wrong way). <br />And look at those victicrats that are crying about their traumatic intrusion on the White House (only because it was their house) they cared then. <br />But these are the same folks that actually ALLOWED the real terrorists here, <br />BLM to do WAY WORSE and continue to do more damage just because these folks were made some damn criminal got killed by police during their resisting, running, fighting, just making the cops jobs much harder. Which lead to them getting themselves killed. <br />How does that make any sense at all??!!!",slinkysmurfette,2021-02-25T11:29:05Z,0
Just angry republicans?😂😂 who were acting as domestic terrorist. The definition for domestic terrorist isn’t hard to look up.,Terrell K,2021-02-23T23:50:29Z,0
Funny how it&#39;s bad apples on the right when it comes to the capitol riot but when it came to blm there where all bad??? And terrorist?? What happened to these mf?,Trellthephotographer📸,2021-02-17T07:11:53Z,0
I don’t understand why the dislike count is so low on this video. These dudes are speaking pure RUBBISH!,Kdot Mart,2021-02-14T04:18:44Z,0
One brain cell between two bros.,PresidentWordSalad,2021-02-14T01:54:56Z,0
