comment,id,date,num_likes
If you were to tie Nancy&#39;s hand she would not be able to talk.  Look at hear finger pointing and her palms down hand signals.... she&#39;s a dictator / control freak.,The Bobbit,2021-04-26T13:50:25Z,0
She’s evil!,Dallas Lemieux,2021-04-08T18:14:42Z,1
that bags a nut look at my watch lol,Don Matter,2021-03-26T02:55:42Z,0
Fake catholic.  She doesn&#39;t have any problem killing babies.,Denise Renard,2021-03-23T23:43:15Z,0
Hello ski just tell the truth you don&#39;t like President Trump never have,Linda Salter,2021-03-21T02:05:26Z,0
Right behind Joe and the rest of the democratic zombies<br />Screaming brains we need some brains,Owen Hagghety,2021-03-20T07:07:08Z,0
"She should be following behind the steps,",Owen Hagghety,2021-03-20T07:05:51Z,0
I thought it was watching The View<br /><br />She&#39;s a natural she&#39;ll fit right in,Owen Hagghety,2021-03-20T07:01:39Z,0
Seems like once you mention hate it manifests itself in front of your eyes. Full of hate.,Dyslexic Boba,2021-03-12T14:57:19Z,0
Please Stop diluting the respect we should show the One who gave us Life.,Goku21 AkAcp,2021-03-08T02:17:22Z,0
"Shes Catholic,  they were behind the crusades. Of course she hates everyone.",William Wright,2021-03-07T03:28:54Z,0
1m views 45k likes? Come on guys!,Zack Zimmer,2021-03-01T16:58:05Z,0
Pelosi: Its about the constitution! But we wanna remove the first 2 amendments! Also i pray because im religious but i believe abortion.,Zack Zimmer,2021-03-01T16:53:47Z,1
"The only time I’ve felt bad about a reporter, my man almost got hexed",Sam Smith,2021-02-24T12:24:07Z,0
Hate hate hate hate hate hate,Sean Wellsyaknow,2021-02-22T02:23:55Z,0
I thought she was using sign language,Reallifematters,2021-02-02T12:58:56Z,0
All these old farts in washington should not be able to be working until they are decaying. It&#39;s no wonder Washington stinks like rotten flesh. Pelosi Sanders Biden. They need too be let go.,Libertas Allgeier,2021-01-24T12:33:00Z,0
she&#39;s a huge mess...🤮🤮🤮,John Tossey,2021-01-23T02:37:25Z,0
"Hahahahahahaha Not only does she hate our president, she hats all of us.",Donna Bashline,2021-01-11T04:59:53Z,0
"&quot;I&#39;m Catholic&quot; don&#39;t mean shote, witch! You may be that you certainly no Christian.",Stephen Smith,2021-01-10T14:40:56Z,0
Nancy Pelosi is loooooosing it,Dick Cheese,2021-01-06T14:03:35Z,0
She is no longer free to use her reason because she has sold her soul. Thanks for the comedy relief.☺️,Lisa Marie,2021-01-04T22:24:44Z,0
Poor thing is losing her dentures.,Lisa Marie,2021-01-04T21:35:17Z,0
"She hates Trumps as much as her Catholic pope hates us Christians!  These same popes back in the days of Romans soldiers were across the European nations as the inquisition evil these Catholics burned these Christians as Joan of Ark, Knights Templars!  The beautiful Historical life of Yeshua d Christos at 12 yrs. old through his 18 yrs. lived in Glastonbury, England with His Great Uncle Yosef of Arimathea!  Prince Charles during his engagement to Princess Diana made this Documentary of The Historical facts of Glastonbury, England 🏴󠁧󠁢󠁥󠁮󠁧󠁿! The life of Yeshua Messiah had been sent there by her Mother to protect Yeshua with her Uncle Yosef a, Tin Mine owner!  He’d travel down the Coast of the Mediterranean Sea selling his Tin to the Romans, Southern Egypt Hebrew Kings living and owning this part of Egypt to protect the Three Giant Altars of our “YAHVEH EL!” Yes!   These English word Pyramids weren’t built by any human man YAHVEH EL teaches us in Job of His Building of His Holy Altars which did and shall again Light up this entire Universe and Beyond on the First Day of Eternal Third Earth 🌎 Age!  The Hidden Mystery in “The Holy Sacred Hebrew, Greek and Aramaic Manuscripts Writs,” “The Masorrectic Text” Teaches us of His Capstone shall return the His Gold laid Capstone inside the Hidden Chamber under inside this Chamber, Mr. Hawas; Egypts Leader of all Excavations  and this Egyptian woman leader of Pharaohs’ Mummys’ thought and hoped this drilling Square Door these men from America/ Britons pros had these professions drilling inside this chamber thinking there’d be Treasures of gold mummy etc. These ppl find in pharaohs tombs!  Surprised on their facials features as I’m cracking up into laughter I’d nearly choked being an asthmatic patient I’m unable to laugh full bodied laughter anymore!  The older I’ve gotten the worst it is!  I’ve discovered as President George Washington as well knew this Mystery as spoken in These Holy Writs!  These human men were so busy shaking hands back slapping one the other on gaining entrance as their being so busy back slapping with joy for naught as neither of them were watching and paying attention to this woman as I’d watched with laughter knowing her puzzled face with wonder of something isn’t right!  I’m aware of imaging YAHVEH, YESHUA and His RAUCH having a, blast in Heaven at His dumb Ishmaelites and Israelites men so unlearned of His Holy Writs for they’d only knew the Magnificently Gorgeous Mystery and why this empty Chamber of solid Plain ugly color of Concrete walls and ceiling plain dull with a, concrete rectangular box glued with concrete Box about 3” long and not quite 3” wide empty box!  ( not sure the measurements) not large now wide men laughing sweating for nearly no oxygen with near to 10-14men and this lady sweating in this long longs and head gear one Ishmaelite rabbi hated women so much as his mother had been a, paid woman of the night!  His hatred of his mother back multi hundred yrs. ago made this rule when he’d took the role of leader of Muslims:  forced women to hide their bodies for in his eyes women were evil and brought men to sin!  HÀ! Lier men lust of women is power over a, weaker sex!  Raping is fine thinking he’s clear of whoremonger isn’t the Womans’ fault. It’s mans fault!  Desires of the flesh and power over another is what brings men down to hell with their sin!  This woman had enough hot in this heated chamber with lights heating the tiny room with so many men with cameras, microphones, fans as too many ppl piling in! She’s screaming: “Hush!” “This isn’t any Pharaohs’ Tomb!” “Hush!” “Hush!” “This isn’t any Tomb for any Pharaoh,  in fact This entire chamber is ugly empty and useless  place!” I’m saying oh lady how sad your ignorance of the “HOLY WRITS,” (Sad you are to have no knowledge how Fortunate you Ppl are to be the first human race to enter this Holy Chamber you’re in!) Even Washington knew the Holy History of this Chamber!  She’d yelled at men to leave begin leaving before she passes out! This chamber isn’t for any Pharaoh and why he’d had this built for not even King Tutankhamen could fit in this empty concrete wasted box!  Empty wasteful excuse of a, chamber!  Once all were out she’d shaking her head as she’s looking at this Center Giant Altars saying: “Why would these Colorful wealthy pharaohs’ waste Money on these pyramids for nothing at all!” “Every tomb we’ve uncovered are filled with elaborator colorful walls, pans of golden coins, Vases of their body parts,  servants, horses, etc to ride out in the underground chambers with their mummys in every tomb!” “Those broken into and robbed but, this pyramids were built for what?” “Waste of time!” “Why?” She’d walked away rejected and questioning herself of why? Madamn, I’m saying! If only she’d know what I’ve found out to The Hidden Mysteries as spoken of in Englishs’ KJV Bible Ephesians!  I’m not a, person with all these initials behind my name but, this layman I’m one which sought out to discover the Learning of These “Bibical Original Hebrew, Greek And Aramaic Manuscripts Writs!”  Since I’d been a, 3yr.old little girl I’d always knew I’m not being taught the Truth of the WORD of GOD!  Too young to find the TRUTH I’d asked my mother, father, Grandmeré and Grandperé yet, all told me the same thing as these Sunday School teachers taught!  I’d tell them as I’d aged telling them it’s foolish untruths!  I’d never believed they’d eaten an apple 🍏 in the garden and they’d felt naked! I’d eaten many apples 🍏 we, had a, farm I’d lived on since a, small child!  Only time I’d felt naked I’d been bathing! To me no flesh snakes can walk, cannot talk, cannot hand Ève an apple, snakes cannot read the Holy Bible as it wasn’t written yet!  This little girl wanted the truth!",Meria Johnfroe,2020-12-30T08:56:58Z,1
"Took me over forty plus <a href=""http://yrs.to/"">yrs.to</a> discover these magnificent TRUTH! If only most: “Men of the Cloth” would do as i, they’d make and bring such enlightenment to these children of YAHVEH!  Most of His children are going to be cast into hell! Sad!  This woman which claims she’s doesn’t hate President Trump then He surly doesn’t need enemies!  Her pagan religion is so evil it’s scary!   Truly an Evil religion.  These days when the pope ordered this church of Mary that Yeshua had built for Mary, His Earthly 🌎 mother!  This church Yeshua built of Red Brick these soldiers burned down. As prince Charles showed us the only L-shape red brick tall wall left standing of Marys church our Sweet Savior Built with His hands.  The Living Well Yeshua built for His uncle still flows beautiful water Charles walked downward to fill these reporters and crewmen water! He’d had built a, beautiful fence to keep ppl out less the guards there allow certain times ppl may get water from there!  Then he’d shown where the Tin Mine which has been Blocked to keep ppl out!  Then he’d walked to an area where this cemetery is fenced up. There lay tombs of Yosef of Arimathea, Mary, Mother of Yeshua, Mary Jr. the Half sister of Christ.  His Four Half Brothers lay near by.  Matthew, Mark, Luke and Lil’John of the three Chapters of 1, 2 &amp; 3 books of John! Then he’d taken us to the Village if Glastonbury. Every Main Street buildings are forced to have this Gorgeous and intricate Stain Glass about 3’x 10-12” window with this large ship 🚢 with Yosef of Arimathea at the Helm and Young Boy sitting at the Bow is Yeshua d Christos.  Every future Builting erected must place this stain class! Beautiful colors! The Angelica Church of England!  Wow, beautiful and has been there for many Centuries back to when Judahs’ King Zedekiahs’ Princess daughter Princess Tara owning these Cities and England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 alongside Ireland:her sister Princess Tia-Telphi,founded Ireland 🇮🇪!  Princess Scotia claimed This northern land she’d named Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿 after her named.  These three Princess were brought to this “Isles of the Britons” by Yeremiah!  Yeremiah was instructed by YAHVEH EL to, bring these Three Twigs to these isles.. His Blessed Son of Yosef, son of Israel 🇮🇱 = Yacob!   Ephriam and Manasseh had been there before Yeremiah had been ordered to bring these Princess of Judah to mingle with these two Blessed Israelites.  European consisted of 8/10 Tribes of Israel.  Yudah and Benjamin stated In Yer’USA’lem being their Hatred and jealousy of Ephraim being given the Abrahamic Blessings from Yacob= Israel was ordered by YAHVEH EL before He’d died.  Ephraim and Manasseh the eldest brother, ordered to watch and protect his brother and his family as All 12 sons of Israel brought their father Yacob= Israel to bury him between Leah and Rachael his loving Wife.  Both women were his wife but, Rachael he’d loved the most.  After the burial Yosef left his sons and grandchildren as he’d returned to South Egypt where he’d lived with his wife and the Judean Hebrew kings.  When Ephraim ordered the 11 sons tribes to be ready by morning to travel North to that Promise land of Milk 🥛 and Honey 🍯!  Today, Our Blessed Founding Forefathers knew this New World America, was to be this Promise Land!  Hence, why  Washington DC is designed as the Holy Roman Cross Yeshua d Christos died on!  Why?  Christian Nation!  Our Forefathers knew they were sons of these Blessed Saints if Israelites!  Yudah and Benjamin, stayed In Yer’USA’lem and became known as Jewish Ppl!  This is why they’re not of the Blessed Children because of their non belief of Yeshua D Messiah!  They’d never expected their God would come as a, baby!  They’re waiting for His return at the Judgement Day!   Truthfully and Sincerely,<br />A, Servant of Yeshua d Christos",Meria Johnfroe,2020-12-30T09:49:16Z,0
There still a rumor she does crack? Or is that old now,Reaper 1310,2020-12-23T07:42:26Z,0
Praying to satan maybe... She’s bat shit crazy.,Courtney Dykes,2020-12-22T22:20:33Z,0
Oh please get over your self woman,Isela Pdz,2020-12-22T18:44:33Z,0
Go get your hair done for christmas when yall say christmas is cancel this year stay home. Stay safe and wear your mask. Disobeying their owen orders......... I find it very funny,Frank Campbell,2020-12-21T10:48:02Z,0
The devil in white coat....,Frank Campbell,2020-12-21T10:44:26Z,0
Lies,Frank Campbell,2020-12-21T10:44:02Z,0
"Thr president can&#39;t just intervene. The president can advise. But your govérns have to ask the president for help. If the president had that kind of power why would we need governments and other political parties. And Nancy Pelosi knows this she been in government how long now. I say this how can you do a job. And not know how to do it. She sits in many meeting however many their is. And not know her job. These people sound so stupid and unintelligent. She says she blames trump for kids with guns. But did she go to trump and say her state or city need help. Did she sumit a request. Requesting help. Not she didn&#39;t. You know why. Cause it will show she is inadequate. And not fit to lead. So she tries to take the easy way out and lie. Which i see comes so easy for these politions that we vote in these high places........wow very incompetent.and shameful to agree to work for the people, when it is all for personal gain. So predictable.........",Frank Campbell,2020-12-21T10:43:24Z,0
Wonder where her mask is???,Mel R,2020-12-11T19:55:52Z,1
Doesn’t even know the difference between a question and an accusation,Gary Cozart,2020-12-08T13:15:48Z,0
Thou dust protest to much,Regina Murray,2020-12-07T17:23:20Z,0
"that&#39;s what rules over us? COME ON, MAN!!! (Joe Biden voice)",Cap,2020-12-06T19:19:38Z,0
MAKE AMERICA 🇺🇲 TRUMP AGAIN!,AUGUSTO NICK POLANCO,2020-12-06T17:11:41Z,0
Polosy you are an absolute moron.,William Burns,2020-12-06T04:29:58Z,0
🤣🤣🇺🇲🇺🇲💯 y&#39;all two guys are such a HOOT!! Yyeeaahhh!! 👊👊,Ginger Phillips,2020-12-04T00:33:16Z,0
This lady is nuts!,Christopher Gvozd,2020-12-02T23:45:56Z,0
"I don’t like the hate word either.....however, I hate Nancy Pelosi",Shirley Harold,2020-12-01T00:26:41Z,0
She will never retired she needs more ice 🍦 cream lpl,nina delmontininadel56 n,2020-11-29T03:39:37Z,0
She is a evil 😈 devil crazy,nina delmontininadel56 n,2020-11-29T03:34:46Z,0
"She’s a Commie, not Catholic. She just hides out in the Catholic Church. Be careful her dentures might fall out.",Aviator182,2020-11-25T04:56:57Z,0
Praying to a different god perhaps,sabrina white,2020-11-20T19:20:07Z,0
Lying dumb ass BEEEOTCH !!!!!!!,Richard Brewer,2020-11-19T01:04:49Z,0
Trump 2020,Vince D,2020-11-18T20:55:01Z,0
That old bat can&#39;t speak any better than Sleepy Joe!,trae stuart,2020-11-18T20:33:17Z,0
It was a question you dumb azz not a statement.,Just Me,2020-11-18T19:42:04Z,0
Omg this women is in denial she&#39;s the big coward.,Bob Phillips,2020-11-18T17:42:45Z,0
"She is crazy as an out house rat , she is contradicting everything she has ever said before.",Douglas Estes,2020-11-18T16:23:17Z,0
I think she&#39;s in denial that by the middle of the week her eyebrows have crawled to the middle of her forehead! I heard they slide back down on the weekends though. Lol,Laverne Pisco,2020-11-18T15:51:37Z,0
Cool as fuck,Darrell Needham,2020-11-18T12:32:30Z,0
Why was she showing her watch. And just because you don&#39;t call ur actions hateful out loud doesn&#39;t change that those actions and words are hateful. She&#39;s stupid.,Tempestt Breez,2020-11-18T04:08:02Z,0
Shut up Nancy,Karen Merritt,2020-11-18T03:54:02Z,0
"Tell the truth, u r a cold hearted bitch! U hate him, u know it and u also know that being Catholic, u can ask forgiveness! Own it woman!",Brenda Armstrong,2020-11-18T01:19:10Z,0
She hates that reporter.,Eric Slagle,2020-11-15T00:47:11Z,0
She just put that guy on watch alert,Wilma Himes,2020-11-14T16:28:54Z,0
"She praying, alright,  to SATAN",Kerri Butler,2020-11-14T13:12:41Z,0
She&#39;s on mental drugs,Steven Lyons,2020-11-14T05:21:14Z,0
"These 2 are t just smart, they know how to word things perfectly! Love these guys!",C H,2020-11-13T04:33:23Z,0
She was raised in a catholic house but thinks it’s okay to behave the way she does? 🤭 I’m not catholic but she gives all Catholics a bad name,C H,2020-11-13T04:27:53Z,0
"Pelosi is one of specific Dems whenever they open their mouth, lies lies lies and more lies 🤣🤣🤣🤣🤣",Phuong Martinez,2020-11-12T18:27:21Z,0
Wow. She Can&#39;t even speak!!!,Matthew Shaker,2020-11-10T19:52:17Z,0
This butch is crazy af y isnt she in a home by now,Lee james,2020-11-10T09:44:08Z,0
Curing dog call me Soldier liar Coast to Coast dealer that&#39;s how she was raised evil crap can&#39;t even go to the supermarket and find any ice cream to sell at her house,Hot Wheel man Raven,2020-11-10T04:40:02Z,0
What&#39;s wrong with hate I love God and I hate evil,Mark s,2020-11-10T03:30:38Z,0
When the problem be solved we would not need a civil war everyone would get what they want I think that be fabulous but again that&#39;s my opinion and I know we&#39;re not allowed to have those anymore,Mark s,2020-11-10T03:29:17Z,0
Here&#39;s a suggestion since they&#39;ve been trying to impeach President Trump since he got elected let us divide America in the two portions let them have president-elect Biden as their president and Nancy Pelosi and the rest of that bunch of liberal hate and we&#39;ll have our own country President Trump,Mark s,2020-11-10T03:28:28Z,0
You can’t be catholic and a DemoRAT you dumb old witch.,Tori Romo,2020-11-09T23:31:31Z,0
She’s a twat,Milantique Studios,2020-11-08T20:57:15Z,0
Lol shes a nut😅😅😅😅😅,smiles 123,2020-11-08T05:32:06Z,0
She&#39;s a lunatic 😱,C.A. R,2020-11-08T03:59:20Z,0
More lies from crazy Nancy,chevyfan 82,2020-11-08T01:10:36Z,0
Please don&#39;t call yourself a catholic,Our Simple Family 4,2020-11-07T22:06:42Z,0
Huh?! Giuliani never went to the Ukraine to use &quot;Quid pro Quo&quot; as an M.O. for a foreign policy defense initiative that was already &#39;fait accompli&#39; ?! The issue was &#39;delivery&#39; not &#39;re-constituting&#39; the terms. THAT...is Abuse of Power; over-riding The Peoples Congress.,Mark Walker,2020-11-06T19:29:57Z,0
I think Pelosi is in tremendous denial of life and is a douche.  She is such a fool.  Actions speak louder than words - She hates the president that&#39;s obvious.,Leslie mashmann,2020-11-06T07:46:55Z,0
She needs some stronger meds. Needs to just disappear too! Old dried up piece of leather lookin self.,Matt N,2020-11-06T06:14:39Z,0
That bitch doesn’t know how to pray!!!,Oscar Enrique Cerro,2020-11-05T21:38:39Z,0
I&#39;m gonna pray foy for your sorry ass....,1985250r,2020-11-05T21:24:52Z,0
This bitch is bat shit crazy....,1985250r,2020-11-05T21:24:28Z,0
Haha I think Pelosi is trash.,Adam Pearce,2020-11-04T19:46:49Z,0
"Well, we hate you, Pelosi",Paul Walker,2020-11-04T18:46:42Z,0
Pelosi is the worst excuse for a human.....,Dee Dee Smith,2020-11-04T15:20:16Z,0
You do hate  President  Trump .and she slurs her word like her false teeth are gonna fall out .Love your show guys ..,Melanie,2020-11-03T22:22:26Z,0
Damm even my ugliest piggy 🐷 is cuter then Pelosi !,TheVeganNut,2020-11-03T18:00:19Z,0
Is this dumb bitch for real she is as bad as Biden how the hell is she still in this game,Billy Jax,2020-11-03T16:17:56Z,0
She is such a hypocrite I think she needs to go back to her big mansion and go eat some ice cream out of her fabulous refrigerator,Elva Cartwight,2020-11-03T00:37:07Z,0
Bull shit,Nolen Pitts,2020-11-03T00:26:46Z,0
Man I fucking laugh with you two so hard 🤣 the two most honest brothers you’ll ever meet 👍🏼🙏💯 did everyone see her hands ? They went north west south east in seconds 😂,Lana Omari,2020-11-02T14:42:30Z,1
Hay Cruella DeVil where is your mask????,Charlie Shirley,2020-11-01T17:02:53Z,0
You got that right,Richard Willingham,2020-11-01T14:02:20Z,0
She should be in a old people&#39;s home and she prays 4 the president to die every night i h8 fake fcukers..,Simon J,2020-11-01T01:12:28Z,0
She is so full of crap,George Grover,2020-10-31T06:56:26Z,0
If Pigosi doesn’t hate anyone then WHY DID SHE HAVE BULLET SHAPED PENS FOR SIGNING IMPEACHMENT DOCUMENTS.<br />She wanted to SHOOT HIM.<br />No ones fooled.,Rhonda Wentzell,2020-10-30T20:54:15Z,0
"Pelos,i we Americans cannot afford to work to pay for illegal immigrants, <br />You are a mean disturbing old wretched hateful human toward America and rhe Patriotic Americans!!  TERM LIMITS FOR ALL POLITICIANS.<br />God Bless America 🇺🇸",C.JoyceB.,2020-10-30T14:13:25Z,0
Lmao 😂 NASTY NANCY...... SWAMP MONSTER 👹,Jo Mishler,2020-10-29T22:14:00Z,0
Evil,Deborah Bronstein,2020-10-29T19:02:29Z,0
You better pray for yourself....We Hate you.,Clinton Gregg,2020-10-29T06:12:52Z,0
Nancy not much different  from. Mitch McConnell.   Both old smelling drunks .. only diff Nancy  hates trump .does she have right to yes trump has talked shit about her and lots more people.   Most deserve  it .as Nancy  does. .all politicians  are in spot lite. <br /> Should  be ok with being cut down spit on .shit on . Dragged threw the mud<br />.......oh wait that&#39;s what trumps doing to us.   Maybe he learned from  Nancy .,Mike Beck,2020-10-29T03:57:59Z,0
That looks like a sign of aggression pointing and swinging her hand in front of everybody she needs to learn how to control that..being she Catholic,4 Hearts,2020-10-29T00:33:35Z,0
I RESENT YOU saying YOUR Catholic...you are not.,L,2020-10-28T12:13:12Z,0
Subbed and liked. U guys r awesome!!,k diddy,2020-10-28T10:04:02Z,0
Yes you do.  You are the author of hate,Tam Wam,2020-10-28T03:24:14Z,0
Then why do you spread so much hate.,Nothing Fancy Just Us,2020-10-28T01:56:34Z,0
Trump needs a meeting face to face with pelosi she is evil !,Oof Oof,2020-10-27T22:40:03Z,0
She’s batshit crazy,Rishi Kumar,2020-10-27T22:27:20Z,0
Fkoff,Continuum Free,2020-10-27T19:50:37Z,0
"Your not a Christian in my humble opinion, different spirit different character. She has a father John <a href=""https://www.youtube.com/watch?v=z1cJonM_E-w&amp;t=8m44s"">8:44</a>.",RC,2020-10-27T19:33:08Z,0
"Unfortunately it&#39;s in their power to make the laws, you know as well as I do they&#39;re not going to make a law to put a term limit on their own wallet. Maybe one day people will come together and make them. Ridiculous.",Bryon August,2020-10-27T17:00:25Z,0
Well I guess I&#39;m not Catholic because man do I hate her. And what was that thing she just did when she said about no gun violence in like holding it upside down like yo Gangsta get against the wall. It offends me to hearing her talk about somebody else who doesn&#39;t uphold the Constitution... The founding fathers were just rolling in their grave.,Bryon August,2020-10-27T16:58:15Z,0
You guy are good. She is getting ready to impeach Trump if he gets reelected.,Carol Danson,2020-10-27T12:11:06Z,0
I guess she is against killing babies because she is Catholic too....,KJ Mc,2020-10-27T10:56:39Z,0
Hahahahaaa.  She prays he will die.,KJ Mc,2020-10-27T10:45:22Z,0
Lot of decay in dems,Mark Lowe,2020-10-27T08:56:18Z,0
God doesn&#39;t hear her prayers ! Psalm 66::18,Don Ayers,2020-10-26T10:59:50Z,0
She don&#39;t hate the president. She just wants to impeach him.. confusing.....go trump.2020 USA USA USA,vk kon,2020-10-26T08:03:46Z,0
Retire...go trump.2020 USA USA USA,vk kon,2020-10-26T08:02:10Z,0
Oh guys wow this is GREAT.She is the DEVIL 😈......<br />TRUMP 2020 🇺🇸🇺🇸,Lisa Campbell,2020-10-26T07:09:28Z,0
Who is she looking at,Apollyon Wraith,2020-10-26T04:12:30Z,0
She is full of hatred the whole left is full hatred.,Darrin & Tina Dardar,2020-10-26T03:48:22Z,0
&quot;As a Catholic&quot; ??!! You is pro abortion!!,Joe Leisure,2020-10-26T01:50:41Z,0
&quot;I pray for the President all the time.&quot;<br />She probably prays he chokes on a mento or something insane like that,Ricardo Carmine,2020-10-25T22:56:32Z,0
She needs to help the homeless in her community,Sha Robes,2020-10-25T22:23:11Z,0
Well it sounds like she hates Trump to me,Arko 2 seven,2020-10-25T13:05:00Z,0
Biden back tracking on shutting down Oil/Gas/Fracking trying to get elected and get House &amp; Senate so he can do his Radical stuff the Far Left wants him to do!  Don&#39;t help him ruin our Country,SK,2020-10-24T17:31:49Z,0
"Biden wants to overhaul Supreme Court - doesn&#39;t want to send Drug Dealers &amp; Drug Users to jail.   He wants to send them to Rehab on Tax Payer Money = Do you want Druggies Not Pay for Killing Your Daughter or Son on Drugs?   Is he going to let KILLERS FREE TOO!   That has started already in some Liberal Courts - Killers aren&#39;t get much of a sentence or go to Jail for Short Term and Getting Out.    <br />Free College under $175,000 With Tax Payer Money!    Obama/Biden/ACA Healthcare he wants Single Pay (Can do if he gets House &amp; Senate)   All this on TAX PAYER MONEY!!<br /><br /><br />Biden is trying to scare your with the COVID - We have Vaccines Coming!!!   Don&#39;t listen to Him He will promise you anything to get Pres, House &amp; Senate!!!!",SK,2020-10-24T17:30:39Z,0
Total Liar Hippocrate Kent,FR5190LT172,2020-10-24T13:57:07Z,0
"Suffering succotash,,,,",15saige,2020-10-24T13:42:05Z,0
She  SO WORRIED BOUT LIL ONES.. Y SHE WITH PLANED PARENTHOOD THIGS!?????,JOSE72 Arvizu,2020-10-24T02:01:27Z,0
Speaking of which .... How long that carcase pelosi gonna keep her position????;,JOSE72 Arvizu,2020-10-24T01:59:48Z,0
YES SHHEEE HATES!!! N SHE IS AGAINST THE CONSTITUTION OF AMERICA,JOSE72 Arvizu,2020-10-24T01:57:54Z,0
This bitch mutters more than dirty sleepy joe... SMH,whispering outdoors,2020-10-24T01:23:32Z,0
Nancy &amp; Biden share a  demented brain cell  &amp; both lie  &amp; are Evil. Let&#39;s get rid of these old bags already haven&#39;t they cause enough damage to the country.,Ivy C,2020-10-23T23:33:10Z,0
As a bitch you hate America,Bobby G,2020-10-23T23:14:41Z,0
Stop saying your a catholic you are satan you witch.,Ivy C,2020-10-23T23:14:12Z,0
"Yeah, she prays for him to die. Sorry P.O.S. Drunk Bitch!!!!",Bruce Martin,2020-10-23T22:23:09Z,0
"PSA - mental health is running rampant with disorders and this video was an example, this is your brain, this is your brain on pills and alcohol. Please help these people get to their closest loon bin.",Sarah Black,2020-10-23T22:20:46Z,0
