comment,id,date,num_likes
"Given Trump&#39;s habit of watching TV for extended amounts of time, I&#39;m pretty sure he watched a lot of movies back in the day before his presidency, and I think that&#39;s how he developed his twisted sense of logic of how things work IRL: Hollywood physics.<br /><br />Like in that same briefing he wanted to find a way to get heat or UV light INTO people&#39;s bodies, akin to the UV bullets in Underworld film, or when he insisted that there had never been a category 5 hurricane (despite having witnessed two of them during his administration alone) pretty sure he was thinking of the F5 tornado mentioned in the movie Twister.<br /><br />Again, Trump has absolutely no clue how physics work IRL and taking account of both his level of denial and ignorance pretty sure he adopts shit he saw randomly in movies throughout his entire life.",610 Hobbies,2021-03-05T20:41:56Z,0
I love trump. I injected disinfectant into a mouse and it didn&#39;t wash for a week. Tried it on bubba he goddam didn&#39;t wash for a month,Wood Heating & Cooling,2020-07-21T09:56:42Z,0
"The guy is LOCO MORONCCO!! JUST LOOK AT HIS YOUNG ADOLESCENTS DAYS CHECKS HIS GRADES ETC. AND IN TOP HIS GERMAN BACKGROUND, SOME KIND OF PSICOLOGICAL DISTURBANCE, for sure.( not all Germans)",Alvaro Fortunato Samayoa,2020-07-21T09:52:42Z,0
Sarcasm UhNO not buying this sorry Iihave a workibrain,Marianne Janis,2020-06-21T01:22:28Z,0
You should watch Sarah Cooper lip sync to his nonsense!,T C,2020-06-13T14:56:37Z,0
"of the daily barage iof crimes committed by trump... Faux Smugly says something kinda&#39; against trump?...... beat it!!!..GET GET out of America, FAux!!!!!!!!!..you are Not WElcome Anymore!!!.. we will steal your sponsors till you bleed ALL your money... YOU HELPED BRING THIS CLOWN...who is NoW ..KILLING US!!","Tim, formerly T'Town Tim",2020-06-02T20:51:44Z,0
"How on Earth would a third party decide the truth of something when not even there?<br />We can all watch the same video as Pakman, and &quot;the fox host&quot;. Why does what some fox host believe determine what Trump&#39;s intent was? What does the janitor think?",berenjervin,2020-05-11T13:21:27Z,0
Where have these people been living under a rock ? Fox and Frauds 🥴🙄,Kimberly Sikorski,2020-05-03T19:14:14Z,0
He is a stripped jackass,Debra Thiel,2020-05-02T04:36:25Z,0
This POS is the dumbest tool in the toolbox!,Alex Biro,2020-05-01T15:59:50Z,0
"Need to start posting where you get these video clips from so we can throw them in people&#39;s faces without having to show them this entire video. Or if they aren&#39;t found alone because you didn&#39;t he editing yourself, you really should start posting those clips alone so we can use em",Steven Mugnaini,2020-04-30T19:40:43Z,0
What does &quot;Data Male&quot; mean? And &quot;Established 2005&quot;?,Sherry Burns,2020-04-30T18:12:06Z,0
Funny watching Trump cult followers performing their mental gymnastics trying to explain what their Fuhrer said.,Byzantine41,2020-04-30T10:09:40Z,0
"Mr.Covuto of Fox News,I am amazed that you finally have the gots to speak up about Mr.Trump’s falsehoods.Pls see if you can talk to Sean Hebert,Mr.Tucker,Laura Ingram,George Jeannen and the rest of the propaganda crew in Fox News to stop promoting lies.I hope Fox doesn’t fire you as they did to Mr.Smith.",Benjamin Ofoha,2020-04-30T04:52:25Z,0
"I had to watch twice to notice Trump handing out souvenirs pens.  Where’s the Republicans that lost their mind when Nancy Pelosi handed out pens for the Impeachment? So many things wrong here.  His staff are unmasked, only one foot apart and lauding Trump as he lives in denial.",Alicia Howell,2020-04-30T04:12:10Z,0
Sarcasm when people are dying would get anyone else fired,Chad Beadle,2020-04-30T04:12:00Z,0
Good luck with your tomato plants! They sound great.,Deborah Minter,2020-04-30T03:25:26Z,0
How did that dude get a talking job when he can&#39;t speak?,Bernie Basset,2020-04-29T23:28:02Z,0
You&#39;re curious why Trump didn&#39;t admit he made a mistake? The right has a serious case of selective amnesia.  Proved repeatedly.,Itosalix,2020-04-29T22:51:07Z,0
"When will trump supporters realize that he can not be trusted with American lives (or ANY lives) or our well-being. The sooner he is removed from the White House, the sooner America can improve and be safe again.",Renee Stanfield,2020-04-29T22:29:02Z,0
How can anyone say he never said it?! ITS ON VIDEO!!,anthony machuca,2020-04-29T21:35:42Z,0
I guess FOX NEWS doesn&#39;t want to get sued again!!!,Pearl Barkley,2020-04-29T21:17:54Z,0
"<b>David ~</b> Many of us are starting to <i>crack</i> while following isolation requirements. On behalf of myself and your many loyal supporters, <b>thank you SO much</b> for being the <i>sanity glue</i> keeping us together! We need you more than ever. Be safe, be well.",MyQueenFreddieMercury,2020-04-29T21:04:23Z,1
"Cavuto isn&#39;t a bad guy, overall. He&#39;s not one of the real crazies on Fox.",drakus40k,2020-04-29T18:56:54Z,0
Well... That anchor is fired. Too bad for failing Fox news. Oan would never suggest Trump was wrong. Sad,Mathew,2020-04-29T18:52:08Z,0
"Cavuto Hates Trump too he&#39;s one of the few on Fox that don&#39;t like him either he gets bashed for it too constantly sucks for him bashed on the left and on the right, Yes Cavuto&#39;s conservative but Cavuto hates Trump&#39;s warp of conservationism, Cavuto does have overlords and wants to keep his job.",F00LSG0LD215,2020-04-29T18:24:02Z,0
Trump has no concept of irony or sarcasm. What gets me is how arrogant he must be to think that his idle wondering out loud could produce a ground-breaking medical breakthrough.,Michael Dunn,2020-04-29T17:58:44Z,0
It wasn’t sarcasm. It was like a conversation I had with my 4 year old about why you can’t put poisons in your mouth.,jessdee Schulthz,2020-04-29T17:52:36Z,0
Cavuto is one of the man if not the only man with real balls who works for Fox news after Sheppard departure,tainfo Bos,2020-04-29T17:29:24Z,0
"Interestingly, when he said this joke~~~&gt;     about cavuto being fired, I wasn&#39;t in the least bit surprised... It didn&#39;t even cause a reaction, until he said he was kidding!",digital1 ministry9,2020-04-29T17:15:58Z,0
Guy sounds like he has Corona.,RandomRobin,2020-04-29T16:33:30Z,0
"He confabulates- he must be intellectually challenged by some sort of disease. He struggles, but pretends he doesn’t.<br />After all he is a very stable genius. WTF 😱",Linda Odd,2020-04-29T15:53:38Z,0
Yeah we all know sarcasm and this was not so. Even if he wants to claim sarcasm this is not the time for it. It’s a major fail both ways.,T M,2020-04-29T15:44:04Z,0
Trump is criticizing Fox News and favoring OAN (he’s probably getting a deal for Trump Tv)....but if trump does to war with Fox News- that would be sweet,jetetarro,2020-04-29T15:38:18Z,0
While I understand you have to address and discuss what the so-called president says.<br />You also know he&#39;s lying - about everything.<br />So why???,Sven Danø,2020-04-29T15:22:19Z,0
"Uhh-oh, Looks like Neil doesn&#39;t understand how to follow what the Trump lie is supposed to be.",Calisa Hardy,2020-04-29T14:24:53Z,0
