comment,id,date,num_likes
This was a cheat. No one wanted this man in any office. How&#39;d he win?!,Brian Perro,2021-01-06T12:38:54Z,0
This poll should be investigated. Mitch is not one to be trusted . he an Graham knows how to fix the outcome,Everett Crutchfield,2020-11-11T14:36:07Z,0
Liberal media gets it wrong again.  Amy McGrath is done in politics and all of her liberal west and east coast sponsors!,Jeff Scott,2020-11-11T02:36:22Z,0
"I  CAN&#39;T BELIEVE HE WON HE NEEDS TO GO TO OLD FAISON HE DOSEN&#39;T UNDERSTAND WHAT PEOPLE GO THROUGH THAT ARE WORKING CLASS I MAKE 30,000 YOU MAKE millions",Karen Suttell,2020-11-10T04:52:21Z,0
This didn&#39;t age well lol,The Monday Channel,2020-11-09T04:47:34Z,0
That&#39;s exactly why I don&#39;t watch stupid people like y You! money will buy anything!  That&#39;s why I never listen to people like you,Elizabeth Britton,2020-11-08T20:05:12Z,0
"You poll seems to be about 30pts inaccurate, can we say biased 😂",Downtown Big City,2020-11-08T19:59:59Z,0
Hahahahahaha how did that shit work out for ya?,4821jeffrow,2020-11-08T12:32:23Z,0
You really thought we were electing amy McGrath lmao he blew her completely out,Uwu 016,2020-11-08T03:27:13Z,1
Liars.,QoeBa,2020-11-04T08:43:10Z,1
Get rid of that itch,Callie Mae Bordley,2020-11-04T02:59:16Z,0
Well I guess this stunning new poll can suck it. Mitch wins again.,Gary Whitt,2020-11-04T01:15:22Z,0
"💭4 MORE YEARS OF DONALD TRUMP, REPUBLICANS AND COVID 19,AND THERE WANT BE ANYONE LEFT ALIVE 😤😷🤧",Latisha Hunter,2020-11-03T21:41:32Z,0
"i hope  he looses  he deserves  to loose  ,",frank patton,2020-11-03T15:30:05Z,0
Hello.   Is time for Is evil and disgusted and cold hearted old man.   to go.  He never agree to helping the american people with money. It seem like it was his money. Like if it was coming out of his bank account.   People like Ted Cruz and Marco Rubio and John Cornell need to go. God Bless America.   God Bless Joe Bless and Kamara Harris,Raul Villanueva,2020-11-03T15:29:38Z,1
Good. Now the turtle can retire to his swamp!,Alaric Sanford,2020-11-03T11:41:14Z,0
"Nov.3,2020,5:50AM.TodayElectionDay McConnellDidn&#39;tFollowOurFounding FathersConstitutions,Cheat,Lindsey&amp; WorstpresidentlnHistorytrump.Biden WillWin,WillBringAmyOutOfSupremeC.",Mary Cosme,2020-11-03T10:00:02Z,0
"Nov.3,2020,5:45AM.McConnell lsNot EvenLikedlnHisStateKentucky,Most HatedPersonM.McConnell.You&#39;ve CheatedByFraud,trump,Linsey&amp;RestBy FraudSupremeC.JudgeKavangh&amp;Amy-",Mary Cosme,2020-11-03T09:46:59Z,0
"He had over 75 bills  on his desk that were bipartisan  and he wouldn&#39;t  let Senate vote on them ,wasn&#39;t  doing his  job,time to send him packing",Dean Flory,2020-11-03T01:37:21Z,1
"Come on  kin tuck  dump mitch ,do your state  and country  a favor  do your duty!!!!!!!!",Dean Flory,2020-11-03T01:27:12Z,1
GET HIM OUT!! AMERICA NEED BETTER LEADERSHIP IN SENATE.,Iretha Savage,2020-11-02T20:19:34Z,0
Yes!!!!!!!!!! He needs to be voted out! VOTE!!!!! My home state vote him out!!!!!,Judi Christophersen,2020-11-02T15:49:27Z,0
I want him out of there..he gots to go..,Morris Brown,2020-11-02T15:13:03Z,0
Very good,Michelle Sibilly-Francis,2020-11-02T05:47:38Z,0
"moscow mitch is corrupt as trump is.he needs .he has blue hands so he needs to retire. those drugs his wife is shipping here is causing his hands to turn blue... his wife &#39;s family has been busted smuggling drugs into the u.s..                 <a href=""https://www.washingtonpost.com/news/fact-checker/wp/2018/05/04/the-kooky-tale-of-cocaine-mitch/"">https://www.washingtonpost.com/news/fact-checker/wp/2018/05/04/the-kooky-tale-of-cocaine-mitch/</a>",james gibson,2020-11-02T05:09:34Z,0
Hopefully Mitch will be gone  soon,Lupita Martinez,2020-11-01T23:58:13Z,0
It&#39;s disgraceful <br />It&#39;s extremly important more than ever needs to be no doubts American people are suffering,Guillermo Cruz,2020-11-01T23:29:22Z,0
President Joe Biden 2021,Ted lomibao,2020-11-01T23:00:06Z,0
I can only hope,Frankie Tee,2020-11-01T22:29:05Z,0
How much did they pay you for telling lies?,John Freehands,2020-11-01T22:18:29Z,0
Fake polls from Fake news channel. Keep quiet and stop receiving the people. Repent,John Freehands,2020-11-01T22:17:45Z,0
I hope he looses.,Christine Choptij,2020-11-01T21:28:09Z,0
good,Eleanor Mattice,2020-11-01T20:57:18Z,0
"Kentucky . Throw this crook , hypocrite dinosaur to the curb .",Peter Lansdowne,2020-11-01T16:03:29Z,0
Hopefully people in Kentucky will do everything in their power to retire him.,Joseph Yamson,2020-11-01T15:50:57Z,0
Mitch Mcconnell sucks big time !! Liar and doesn&#39;t give a crap about anyone but himself !! His old butt needs to go sit down somewhere else besides the Senate !!,Raven Comas,2020-11-01T15:31:42Z,0
Mitch does not support Trump. Mitch sold his prescription reform vote for 40 thousand dropped in his charity. Political charities are legalized bribery. The republican party barely supports their own candidate. The political system is a farce. Vote against incumbants!,Duane Laxo,2020-11-01T15:22:01Z,0
"Way to much, get him out 🐑",Melissa Griffith,2020-11-01T15:04:41Z,0
"your done Mitch,welcome Amy 💥",Melissa Griffith,2020-11-01T15:02:04Z,0
The fact that entire world recognized your perverted way of dealing with our justice system and stacked the court with Republican judges with another list of others you want in the future. You must be out of your mind!  You would not even bring the bill to protect our elections!  Your gift of a steel mill from Russia has disturbed the nation!  You cannot favour your party every single time and make justice decisions  that are one-sided!  Bye-bye!,Lucyloo Jones,2020-11-01T14:34:29Z,0
Great for him loosing,Karen Evans,2020-11-01T10:49:06Z,0
It&#39;s about time for you to go Moscow mitch. You&#39;ve been in the senate long enough. It&#39;s time for you to go moscow mitch. I assure you; You wont be missed. You should have been gone.,Milton Green,2020-11-01T10:34:15Z,0
Mitch belongs in the ground,Bud Anderson,2020-11-01T06:42:17Z,0
She just killed him in their debate.,Mubasshir Hossain,2020-11-01T04:50:43Z,1
GOOD,Renelle Dickerson,2020-11-01T04:23:22Z,0
Ditch Mitch!,Bonne Bell,2020-11-01T02:07:46Z,0
Time to go bye,TRINA SMITH,2020-11-01T01:12:15Z,0
We hope he lose why is congress getting paid when Americans are out of unemployment jobs cutting hours can’t pay bills in food lines why are they getting same pay they lost no money due to covid Americans did and the holding help hostage they checks should be held till they make a deal America struggling congress getting paid for nothing off tax payers money bullshit,Catorsia Rogers,2020-11-01T00:38:05Z,0
SEND MOSCOW MITCH HOME,Robert Ray,2020-10-31T22:50:10Z,2
HUZZAH‼️🥳,Hecate's Daughter,2020-10-31T21:54:43Z,0
Maybe America can/will investigate what his wife has been doing also. She is as bad as he is.,vmcmillen1,2020-10-31T21:36:34Z,0
I have been for term limits because of mitch.Him and others like him career polutians. And before any body starts about the constitution sit down please.Because this was never meant to be a life long career!!! People of Kentucky turn off fox news and think for your self for once.Take a look around you what do you see around.Take a look on where he lives.And where you live big difference. Your state is among the poorest in the country.Nothing to be pround about.Looks like some thing out of LIL ABNER!!!,eric oxner,2020-10-31T21:17:41Z,0
Do you feel the heat mitch?,David Presnell,2020-10-31T20:18:57Z,0
WOW THIS IS THE VERY GOOD. NEWS OH MY GOD HE IS  GUILTY. FOR ALL THE CRIMES DONALD TRUMP DO. WE NEED DESPERATELY MCONNELL OUT OFF THE SENATOR I BELIEVE HE MAKES TO MUCH DAMAGED ALREADY,caridad Garcia,2020-10-31T19:05:10Z,0
David I really follow your show because I am doing pretty much the same thing in my country <br />What equipments do you have and what would you recommend for me<br />I just use a tablet,DELTON ASHBERT RENO MARIN,2020-10-31T17:31:02Z,0
👍👍👍TAKE UM DOWN AMERICA...HE IS THE ROOT...DO YOUR RESEARCH ON MCCONNELL AMERICA,Yolanda Phillips,2020-10-31T17:06:17Z,1
I am not for either just for what is right  he can go,Bevon Viechweg,2020-10-31T16:11:58Z,0
Hurrah!! Let’s hope that trend carries through to the end and he loses his seat! <br />He has caused enough pain and suffering <br />in his time In office!! HE NEEDS TO FIND A NEW   JOB!!,Carlene Stephens,2020-10-31T15:18:02Z,0
Adios and take your corrupt wife with you.,Michael Riner,2020-10-31T15:11:51Z,0
He cares absolutely Nothing for everyday folks as he has demonstrated by his absolute refusal to lift one finger to help those who are hurting during this pandemic. I literally pray The Lord will remove this entire pack of crooks from the entire U.S. government and replace them with people who will actually work FOR the American people and not against us.,stillwill2215,2020-10-31T14:56:15Z,0
"Kentucky you have taken back your State. GOOD FOR YOU, MITCH DOES NOTHING FOR YOU.",Cynthia Pikoulas,2020-10-31T14:14:01Z,0
This is incredible news. Slightly more encouraging to me is that we actually have a third candidate running and he&#39;s a conservative. Hopeful that he takes a significant number of votes away from Mitch.,Denise de Rossi,2020-10-31T11:34:50Z,0
"Ditch Mitch,He is Prejudice",Ruthie Dickerson,2020-10-31T11:02:56Z,0
"Instead of these jobs being lifetime. At 65 years old,take your butts home.This needs to change.",Ruthie Dickerson,2020-10-31T11:00:54Z,0
I really enjoyed voting against Moscow Mitch.,Rob Atwood,2020-10-31T09:13:33Z,0
"People are angry at Republicans, and Trump and Mitch are The MAIN REASONS. THEY ARE SO UNPOPULAR, and hateful!",Karen Smith,2020-10-31T08:24:26Z,0
Do you think so much early voting will sway voter&#39;s on election day?,millieo,2020-10-31T08:09:42Z,0
This is probably another lie you fake news . Can&#39;t tell the truth.,Linda Ward,2020-10-31T06:48:00Z,0
"So. Moscow Mitch, you now must realize that your days are very likely OVER...FOREVER!  JOY TO THE WORLD!<br />what are you going to do?  I would not plan on government...perhaps trump or Biden will let you hang around the White House...cut the grass, cut your hair, ....the possibilities are endless for him!  Of course, there must be an understanding......no moreTV, no more showing up with battered hands an something on your face!",Lucyloo Jones,2020-10-31T03:41:03Z,0
"Mcturtle soup mitch,is. A compromised russion/Chinese bot! Total POS!,no morals,walking<br />Bootlicking,mushroom sucking<br />2 legged doushebag!<br />His state deserves better!",Geno Garciano,2020-10-31T03:14:14Z,0
Its time to put him out to pasture. Holding up a stimulus bill when 🤔 Millions are going hungry can&#39;t pay bills. He&#39;s a PERFECT example for TERM LIMITS!!!!,Lori Bryant,2020-10-31T02:45:19Z,0
"He&#39;s done enough damage,get him out.",Larry Tennant,2020-10-31T02:30:02Z,1
Unfortunately McConnell will not loose because he and his wife make sure any and all contracts for Kentucky go through her and then McConnell gets his nomination based on those contacts she might pass on for Kentucky.,Teddie Huber,2020-10-31T01:15:33Z,0
<b>Yes!!</b> I hope it happens.🤗 Kentuckians deserve better..much better. I dont party or drink but I&#39;d celebrate that defeat.,Missy V,2020-10-31T00:02:00Z,0
"I love to hear it , a big sucker from clown trump is going out , and prepare to long long vacation  in prison !!  I love it , damn you Mitch",tony phan,2020-10-31T00:01:56Z,0
Great news to hear this. This made my day.,Marleen Daniel,2020-10-30T22:52:41Z,0
Mitch looks like he is always sucking on a lemon.,Loyd Thornley,2020-10-30T22:25:00Z,0
He need to be voted out ASAP🤷‍♀️🤷‍♀️,Phenomenal Black Woman,2020-10-30T20:21:43Z,0
Please Kentucky  vote for change and ditch Mitch!  It would be great to send a message that no Senator should stay in office if they can’t represent their state or their country well.,Elizabeth Dillinger,2020-10-30T19:48:37Z,0
P,Security Officer,2020-10-30T19:14:35Z,0
"McConnell Graham Pinocchio and the (tea party conspiracies wackos) gop/libertarians have destroyed the gop by corruption and grifting <br /><br />EVERY VOTE MATTERS<br /><br />republicans know if the people Vote they will lose <br /><br />We need such massive Voter turn out as to rebuke any attempts at denying the Voice of the People<br /><br />Vote Early <br /><br />If possible take your absentee ballots and mail-in ballots directly to the supervisor of elections office to ensure your vote is counted call and request information that your vote was counted <br /><br />Vote for the Blue Wave Tsunami <br /><br />November 3, 2020",American Dog,2020-10-30T18:57:37Z,0
"The end of Trumpism<br /><br />As of this moment the following states are turning Blue moving forward with President Biden <br /><br />While some have called them toss-up states the fact remains all these states were Red Republican states <br /><br />Today they are registering as Blue what we digress is they want an end of the gop trumpism and have moved into America’s Blue Biden Democracy as Republicans are fleeing by largest numbers ever demanding an end of trumpism<br /><br />Here are the states<br /><br />Arizona Texas Iowa Ohio North Carolina Georgia and Florida<br /><br />Our sleeper state call believe this Kentucky can go Blue as well<br /><br />McConnell Graham Pinocchio and the (tea party conspiracies wackos) gop/libertarians have destroyed the gop by corruption and grifting <br /><br />EVERY VOTE MATTERS<br /><br />republicans know if the people Vote they will lose <br /><br />We need such massive Voter turn out as to rebuke any attempts at denying the Voice of the People<br /><br />Vote Early and Vote for a Straight Democratic Top and Down Ballot <br /><br />If possible take your absentee ballots and mail-in ballots directly to the supervisor of elections office to ensure your vote is counted call and request information that your vote was counted <br /><br />Vote for the Blue Wave Tsunami <br /><br />November 3, 2020",American Dog,2020-10-30T18:56:53Z,0
"Time for him to go, he doesn&#39;t know what is the reality is!!!",Debbie Curry,2020-10-30T17:54:59Z,1
&quot;Moscow Mitch&quot; is a made man who doesn&#39;t care about the Wellbeing of Kentuckians. Dump Mitch and his Wife .,R.F.K. PeaceNik19,2020-10-30T17:35:10Z,0
Pass us a stimulus check now,Trina Pullen,2020-10-30T17:31:49Z,1
VOTE BLUE NO MATTER WHO!  WE HAVE TO FLIP THE SENATE AND GET RID OF TRUMP&#39;S ENABLERS AS WELL!   GO VOTE IN PERSON IF YOU HAVE TO!   OUR COUNTRY&#39;S FUTURE DEPENDS UPON IT!,Bud Moore,2020-10-30T15:49:56Z,0
"The best news I&#39;ve heard in 4 years...   Moscow Mitch needs  to go,  He hasn&#39;t done anything for Kentucky , or  for the rest of the country , in Over 20 years...",Joann Garrison,2020-10-30T15:15:48Z,0
I don’t think Mitch McConnell deserves to get back in there I don’t wanna see him back in the Senate,Ruthie Brewer,2020-10-30T14:52:29Z,0
Get Rid of the Plug,carlos Magana,2020-10-30T14:05:50Z,0
"All Republicans in the Senate should go..!!!!  Our nation has NOT received any more help during this pandemic because the Senate helped Trump to twist the American people&#39;s arm because we are hurting to give Trump a vote if he wins reelection. Trump wants to give another help to the American people AFTER HE WINS, Its obvious Trumps does NOT want to do for America unless America does something for him. Because If Trump,&quot;TRULY LOVES AMERICA, HE WOULD DO FOR THIS COUNTRY ANYWAY.&quot;   The Senate are supporters of Trump and have forgotten about the people who sent them to Congress. GET RID OF Mitch AND ALL THE REPUBLICANS IN SENATE...!!",James Lee,2020-10-30T08:22:43Z,0
"I pray this is true...This and Trump losing and Graham losing would be better than Christmas for the USA!...If this comes to pass, I will open a bottle and make merry!",dai iahi,2020-10-30T05:37:28Z,0
a new  fed  A G  can make  a difference  after the fact.  if they  do their job .voter  suppression  is  a federal  crime.its  a civil rights  violation if proven  and  there  is  long jail time  if convicted,tim kahn,2020-10-30T04:57:12Z,0
its hard to  find people too put their  name next to an  X  .hill billies,tim kahn,2020-10-30T04:52:20Z,0
I hope this is correct!,laura j phillips,2020-10-30T04:29:49Z,0
I hope turd Mitch looses.,Heriberto Perez,2020-10-30T04:29:06Z,0
