comment,id,date,num_likes
"Mr.President, play us that old favorite song, &quot;Oh what you&#39;ve done to me&quot;, on your trumpbone.",Slomowalkersays,2020-06-30T23:53:10Z,1
Yay,Patricia Webster,2020-06-19T20:21:52Z,0
This presidency was a waste of time to be honest,Mr.M1Garand 25,2020-06-06T07:17:51Z,0
"National polls don’t matter. The only polls that matter are NH, MN, AZ, MI, WI, FL, NV, TX, GA, IA, and OH. That shouldn’t be how it is, but that’s how it currently is. I don’t even see TX and GA, but I guess they count as critical states.",{ADL} Raygun,2020-06-05T03:39:53Z,0
"Watching from afar, what is truly scary is actually how close the race will be, how can so many Americans vote for someone so against democracy and the rule of law.",Ray Payette,2020-06-04T00:53:04Z,0
even FoxNews turn against Trump&#39;s crazy ideas,ba sook,2020-06-02T08:12:16Z,0
Want to Never hear another word from trumpCO INC&gt;?  VOTE BLUE ALL DOWN THE TICKET!!!!,"Tim, formerly T'Town Tim",2020-06-01T15:35:00Z,0
"Yeah, but Trump is leading with degenerates, lowlifes, and serial killers.",Jeff Karas,2020-06-01T08:46:50Z,0
"Don&#39;t under estimate that trumpists, managerial elite, metropolitan elite, and salty white men will double down on their horrible 2016 vote. Plus the meme war and propaganda from the right that&#39;s already begun vs Biden that seems to captur the votes of low information voters and horrible people will bye brainwashed",ARC strider,2020-05-31T20:06:48Z,0
"Yeah.....you better get rid of Trump or that civil war tapping on your shoulders will become a reality. <br />You need a miracle. <br />Division, destruction and death......<br />Thank you Mr President.",Bill Brown,2020-05-31T12:55:07Z,0
"I just can’t understand why anyone would vote for Trump, unless your rich and it doesn’t matter. This just shows how out of touch with reality so many Americans have become.",dennis clay,2020-05-31T06:04:55Z,0
I bet your Wisconsin analysis melted trumptards minds into mush,James Dawson,2020-05-31T05:30:45Z,0
"If that poll number isn’t hideously worse for trump after these riots America, ALL OF AMERICA IS LOST. one day beyond is a sorry ass slider. Do you guys watch the news?",Lu Guy,2020-05-31T04:56:05Z,0
It take a long time to fix what trump has done.,T Bones Fishies,2020-05-31T03:25:23Z,0
"China and russia won&#39;t deal with Biden- he can&#39;t and won&#39;t be bought like trump.  Israel, turkey, uae and Dubai already &quot;own&quot; trump &quot;stock&quot;, and they will promote the trump brand with real estate deals for nuclear technology.  trump has already illegally sold nuke tech to the Saudis.  What&#39;s a little nuclear arms race in the middle east to him?  He got paid for it, along with the money the administration got for selling out our military servicemen and women to s.a.  He also sold out the Kurds - our once strongest ally in the fight against isis.  The art of the deal or the art of the steal?  <br />You decide.",Mike Cooper,2020-05-31T01:34:06Z,0
At this rate Trump will have to start a war to get his numbers back up.,Walter Grams,2020-05-31T00:13:33Z,0
"I hope that Democrats won&#39;t be complacent and not voting because of the &quot;surefire win&quot; over Trump. Polls are one thing, the election result is another and what&#39;s ultimately going to decide the outcome is the Electoral College.",Johan Nilsson,2020-05-30T22:03:12Z,0
Democrats voting for Trump ??? WTF? That’s truly insanity !,Aziza Ibrahim,2020-05-30T21:05:25Z,0
"Biden is such a weak candidate that Trump could easily get re-elected if the economy (not Wall St but jobs for American workers) goes up before Nov.  It will go up if people are going back to work and if a covid 19 resurgence starts after Nov.<br />I wish these stats reassured me, but they don&#39;t.  We still need to work hard to GOTV.",Bryna Waldman,2020-05-30T18:57:42Z,0
"David, I wonder if you know Brian Tyler Cohen? You guys remind me of each outer.",ian caldeian,2020-05-30T16:18:24Z,0
"I can understand Trump&#39;s base largely sticking with him, but how the heck can 4% (1 of every 25) of Democrats switch their vote TO Trump, with everything that he has done?! That&#39;s actually a huge amount of people.",siukong,2020-05-30T02:34:33Z,0
"I&#39;m a social democrat, but you still need to remember the impact of &quot;most likely voters&quot; and the electoral college.",burghler,2020-05-30T01:30:50Z,0
"I am calling on any Trump supporter to explain to me how they can still support a man who is guilty of committing the 7 deadly sins and at least 9 of the 10 commandments.  Additionally he used a fake doctor&#39;s note to get out of the draft and attacked a war hero who actually fought in the war that Trump cheated to get out of.  So, how do you still support him,  I will be happy to answer any question regarding the validity of any of my claims but you know what I&#39;m saying is true.  One last thing, a President is someone your children should seek to emulate, someone whose actions set an example, so I ask you, if your 15 year old son was to come home from school some day and say, &quot;i grabbed Linda&#39;s puss* today&quot;is that going to be alright?  Where&#39;s your argument to what he just said he did?",harry johnson,2020-05-29T23:09:02Z,0
For America to not lose face absolutely NOBODY should vote for Trump.,Robinsinpost,2020-05-29T22:03:50Z,0
He already knows he&#39;s going to lose. He&#39;s going to call the election rigged if he loses. He lost the majority last time but still won - and STILL lies about it.,Chrissy Reed,2020-05-29T20:51:50Z,0
I hope Afro-Americans realize what they have to lose.,Eric Judkins-van buren,2020-05-29T20:45:55Z,0
"I love how you differentiate between FOX polling and FOX news. Even FOX news isn&#39;t all bad. There&#39;s a couple of reporters of whom I can&#39;t remember the name that are pretty decent.<br /><br />Hannity and the with of the east (Ingraham?) Aren&#39;t among them.<br /><br />They&#39;re beyond biased. Even beyond brown nosing. It&#39;s pure propaganda. These people might jump ship in a whim though. Remember their reporting on COVID, from hoax to threat to reopen the economy.",Timo van Tiel,2020-05-29T20:35:56Z,0
That doesn&#39;t mean shit. Polls are fake results based on assumptions. Because people are people. They are emotional and unpredictable.,Robert Vanderzalm,2020-05-29T19:14:53Z,1
Not an American but please don&#39;t vote for trump,insertname here,2020-05-29T18:05:35Z,0
"I can’t get too excited about this because Trump is a cheater and is in concert with Putrid Putin. Plus China is pissed as sh!t at him and may also get involved in our elections, so who really knows what will happen. Nobody.",D. Mills,2020-05-29T16:31:12Z,0
I wonder what kind of coup will Trump try to keep him in power?,Louis Paquet,2020-05-29T15:49:23Z,0
Please stop using Trump’s likeness as your thumbnail.  He already gets all the attention he craves.,S M,2020-05-29T14:01:49Z,0
my favorite stories. Trump down,They Call Me Crazy,2020-05-29T07:27:59Z,0
The one thing you&#39;re ignoring is that there will no doubt be voter suppression and illegal vote interference. We need to aim for more than an 8% lead.,Christine Musselman,2020-05-29T05:12:31Z,0
The only way to get him out is to vote. Do not assume ( like last election) that he will not get in,Kelly Anderson,2020-05-29T05:11:55Z,0
"Even if the economy gets better and the virus gets better how can anyone still vote for Trump. He failed the American people , and the US , when we needed a real President the most during this pandemic. He can’t lead. He has no empathy when people needed to fill reassured and safe. It has been all about himself. He doesn’t care about the deaths. Only his re election. Selfish.",Jane Knight,2020-05-29T04:05:14Z,0
