comment,id,date,num_likes
That&#39;s an awesome idea! Trump wouldn&#39;t have any time tio speak!! Waste of orange skin..,Kristen Russell,2020-10-10T22:17:40Z,0
If in the first 12 words out of the mouth is not a direct response to the question the mic. needs to be turned off.,Jan Bruml,2020-10-05T17:43:47Z,0
Why is it necessary to have the two men in the same room or where they cannot see each other.,Jan Bruml,2020-10-05T17:42:30Z,0
Absolutely cut the mics.  There is no way Trump would EVER agree to that.  But honestly I think debating Trump is pointless.  He is incapable of doing them.,Lenneth,2020-10-05T10:41:19Z,0
"They should have a virtual debate, THEN they could mute him!",E Elliott,2020-10-04T15:14:24Z,0
"I think the solution that you recommend could be very problematic and would not work in practice, especially with trump as he will attack it and he will even make good points about why it&#39;s wrong. Even the mute button is pretty problematic as well if it&#39;s applied against the person interrupting when they do. <br /><br />I think the best and perhaps the only thing that can be done is to mute both candidates during the opponent&#39;s dedicated two minutes REGARDLESS of who&#39;s speaking and how much interruption is going on and no one gets muted otherwise.",Osama Qasho',2020-10-04T09:54:52Z,0
"How about putting them in separate rooms and letting them debate that way?If one starts interrupting the other,then you can mute the mic without the other candidate&#39;s mic picking up the interruption.",Vito Cirilla,2020-10-03T19:15:21Z,0
"<a href=""https://www.youtube.com/watch?v=EYcWC08av7A&amp;t=2m53s"">2:53</a> Can Trump get any worse",Justice Forcier,2020-10-03T19:10:24Z,0
"Shock collars, see who comes out, up the volts/amps each time they go against the rules",Charles Horne,2020-10-03T14:01:23Z,0
"Giving the moderator an “option” to mute is a bad idea, it then looks like bias. The solution is just to mute the other persons mic anytime it isn’t their time to speak.",naVid,2020-10-03T13:48:31Z,0
"Don&#39;t mute candidates, just put a voice distorted on their mic when the other is speaking.",Louis Fairbairn,2020-10-03T13:26:50Z,0
when you&#39;re selling the real lucy i&#39;ll totally be on board,Grant Hucklebottom,2020-10-03T11:44:51Z,0
Futher debates between the narcissist trump and Joe Biden are unnecessary. It will be a repeat of the first trump bully trainwreck. voters should have easily made a decision after watching the first debate debacle. Narcissist trump will never abide by the rules so no more shitshow bully festivals for him.,Kathy WILLIAMS,2020-10-03T06:32:55Z,0
Put each candidate in a plexiglass sealed-Soundproof room where a moderator has control of incoming and outgoing noise.,Camilla Smith,2020-10-03T06:22:44Z,0
"Isolation booths. Controls what we hear and what they hear. Keeps them separate in case Trump decides he wants to walk around or stalk Biden.  Also keeps them from spreading disease to one another, the moderator &amp; the audience.<br />This works because the television audience will still see Trump behaving like a toddler in full tantrum but it won&#39;t disrupt the proceedings.",Bob Dobbolina,2020-10-03T06:10:48Z,0
With trump catching covid. There may not be further debates. Very well could croak.,Big Mike,2020-10-03T05:15:53Z,0
So clusterf%&amp;CK part 2 &amp; 3. Hope they mute his mic when Biden talks. Put up a barrier between the 2.,Big Mike,2020-10-03T05:12:51Z,0
For now.<br />Today’s developments change things. Muuuaaaahhhh,Cynthia Anderson,2020-10-03T04:40:56Z,0
New Debate rule...there won&#39;t be a debate!,lutemule,2020-10-03T04:13:08Z,0
Yup.  Harris is gonna kick Pence’s pasty ass,BeeDragon,2020-10-03T00:58:08Z,0
"So THAT’s why he suddenly has Covid.... A childish temper tantrum in response to them blaming new rules on him, which is right.....and if he can’t interrupt and bully Biden and the moderators he doesn’t want to play",BeeDragon,2020-10-03T00:55:28Z,0
Like trevor noah said get a squirt gun it would mess with trumps hair,kevin murphy,2020-10-03T00:45:36Z,0
They need to cut trumps mic,ramos1258,2020-10-02T23:07:54Z,0
