comment,id,date,num_likes
"It should be of no surprise when many Trumpublicans utilize the infantile tactic of what aboutism. This is a seventy plus year old man, once leader of the free word doing what most well adjusted adults were corrected for and learned from as young children. Republicans / Faux- Conservatives aren&#39;t sending their bestlyist and brightest. Whatever happened to this group supposedly being all about personal responsibility , moral and ethical high ground. Wasn&#39;t Trump sold as being sent by Divine Intervention, self proclaimed chosen and ordained by God; what gives????",Mike Johnson,2021-04-30T20:20:43Z,0
He has always lies he is no good he is the worst evil man. need to get lost Trump go away now CA,Susan Montes,2021-04-28T19:48:25Z,0
Trump has made sure the biggest threat to American citizens is American citizens. <br />anyone still supporting Trump is part of the problem not solution.,Darrin Taylor,2021-04-20T13:11:25Z,0
Deflect...deflect...deflect,That blonde guy 3,2021-04-16T19:13:53Z,0
"&quot;Did alot of moves&quot; <br /><br />Wait, what??? 🤦‍♀‍️",Girliejax,2021-04-09T22:05:12Z,0
Off Twitter... seems like he’s off everything but drugs. Why can’t he do a zoom call? He’s gon back to 1955 here.,Minix G4,2021-04-09T11:58:06Z,0
"Oh my god, he is such a baby.",OP 1000,2021-04-01T17:24:46Z,0
"WHY should he speak of Jan 6. Did the Democrats talk about blm terrorists holding our nation hostage. SO...He turned on the tv..He did a lot of moves means he tweeted for Guards and Twitter blocked his tweets. Trump told Pelosi to have troops and Pelosi refused. Pelosi IS respinsible..Trump offered 10,000 troops....The Mayor of DC wanted troops and Pelosi refused. Trump had no power on blue States encouraging blm anti&#39;fa.. And he was threatened to not interfere by National watchdog organizations. Damn...You guys know how to twist the facts. Media Propaganda. No wonder he doesn&#39;t do interviews with you.",G Bird,2021-03-31T20:09:26Z,0
"<b>Why the fuck is David Packman still talking about Trump? He is no longer President, he is completely irrelevant. Stop giving him undeserved attention. He will go down as one of the worst US presidents right next to Nixon. There’s no point in even co wrong him and I feel like David is just doing this for clickbait revenue. What a terrible stupid video not worth even discussing!</b>",xele fonte,2021-03-30T23:22:53Z,1
I can’t wait till the day we don’t have to see that weird face and that strange voice anymore.,kathy Turner,2021-03-28T15:14:38Z,0
"Either Trump had the capability to stop a terror attack and did not, or he did not have the capability to stop a terror attack. In either case, he was not demonstrating &quot;executive power&quot; to &quot;protect and defend the united states against all threats both foreign and domestic&quot;. In either case, he was not being a president. In either case, he forfeited his presidency and all the power that comes along with that position. So, either the president of the united states is incapable or unwilling to stop a terrorist attack against the united states. Trump supporters have a hard decision to make. Are you supporting incompetence, or are you supporting terrorism? Terrorism is any act that promotes terror, which is extreme fear. And im sure that 100% of the targets were experiencing terror as their lives were threatened by countless rioters with military weapons. So it qualifies as terrorism. So, ALL Trump supporters, do you support terrorism or so you support incompitence? There is no 3rd option. Pick one.",brandon day,2021-03-28T01:00:00Z,0
Covfefe!,niraD nagroM,2021-03-27T12:02:07Z,0
He would go back tweeting in a heartbeat if he could,free spirit,2021-03-26T20:13:17Z,0
What a dummy the country voted in,Frank Munoz,2021-03-25T10:59:57Z,0
"Don&#39;t waste time showing this nasty  Creepy Creepy morons. USA  on these days need to hear agradable things. Don&#39;t show, please,this dangerous 🐍anymore. At least you like to hear this bully and narcissist.",Franklin Garcia,2021-03-24T13:11:02Z,0
The crowd in the mall at his inauguration was the biggest ever. PERIOD!,Miss Teach,2021-03-23T15:58:06Z,0
God forgive me I hate trump!   The House Speaker is NOT in charge of security!,Candy Land,2021-03-23T00:20:33Z,0
tRump wanted so desperately for his targets to be executed that now he is pouting with more lies!,Irish Diva Jeffries,2021-03-22T23:46:42Z,0
TRump is a terrible liar.,Robby,2021-03-22T22:19:50Z,0
Fn-fn FN FN piece of SH-T 😠.......,john thomas,2021-03-22T22:02:07Z,0
"The Man who Declares himself smarter than everyone , the expert on everything, can&#39;t F$#@ing spell .hummmmmm",Eli K. Webber,2021-03-22T15:42:36Z,0
"In support of our election skepticism, we cite Time Magazine’s comprehensive report, The Secret History of the Shadow Campaign That Saved the 2020 Election.<br /><br />If everything in that account is taken as true, then Trump supporters were correct to discern a “conspiracy” (Time’s word) to assure a Biden-win, and were well within their constitutional rights on January 6 to protest.",William Conrad,2021-03-22T12:44:46Z,0
"Perhaps the FBI should be investigating whether Ashli Babbitt was waved in, and if there should be some additional training in federal law enforcement about when it’s okay to kill an unarmed invitee on federal property. <br /><br />Because, let’s face it, had Amy Schumer and Emily Ratajkowski been gunned down when they breached the Dirksen Hart Senate Office Buildings based on a ridiculous conspiracy theory about Brett Kavanaugh, someone would at least be in trouble.",William Conrad,2021-03-22T12:42:56Z,0
"Trump’s inauguration was accompanied by violent rioting and, a few weeks later, armed insurrection (under the current definition) as a Putin-truther shot up a Congressional softball practice.<br /><br />Where was the FBI when we really needed it to stop actual political violence based on a wild conspiracy theory?",William Conrad,2021-03-22T12:41:53Z,0
"Voter fraud incited the situation, it wasn’t a riot, it wasn’t insurrection, it was people pissed that democrats get to ruin American elections, cool 😎",Anti Social,2021-03-22T10:28:54Z,0
Trump is being suspicious and inore.,Ramon arredondo jr,2021-03-21T17:43:58Z,0
Stop calling him “president “ hi is not president anymore!!!!! He’s a loser!!!,Manuel Cavazos,2021-03-21T11:48:30Z,0
&quot;If delusional was a person&quot;,OS Muzik,2021-03-21T10:54:24Z,0
"I know for a fact, if all platforms,  and those that are engaged with<br />DJT. conversations, would distant themselves from this despicable <br />deranged, individual,  not even <br />recognize his existence. This clown <br />would go away. He is like an old penny, that keeps coming back.",John Barrientes,2021-03-20T16:54:19Z,0
He did a lot moves= he was jumping for joy that he would be getting a second term. &quot; It was terrible (that the ploy did not work)&quot;,Hubert Sang,2021-03-20T16:33:30Z,0
I did alot of moves?????,Aztec Warrior,2021-03-20T15:02:29Z,0
This is why trump likes the uneducated people. With the millions that support him says something about America,Rick Huis,2021-03-20T13:11:22Z,0
He was laughing and his son was higher then a kite with his girl friend listening to the song Gloria.,Arhidia Bremena,2021-03-20T06:32:41Z,1
I think he’ll run butI don’t think he’ll win. I think Mike pence will run. Possible win.,Horace Stacey,2021-03-19T23:22:25Z,0
Trump is truly a psychopath.,Juanita Ross,2021-03-19T20:10:14Z,0
"Why do they keep saying he may run in 2024 he should be barred from ever running again, they should b saying will he be in prison by 2024 that&#39;s why I don&#39;t give these media outlets no likes their all being soft on him after all the criminal acts he&#39;s done.",Theodore Lockhart,2021-03-19T19:34:07Z,0
"He lost by 4 million popular votes in 2016 the electoral college put him in the Whitehouse, in 2020 he lost by 7 million popular votes but he lost the electoral vote too, so how was it stolen he flat out lost most of the country don&#39;t want a tyrannical violent blabber mouth racist, and the only way he&#39;s like his voters is in hatred, ignorances, racism and stupidity he eat pizza wit knife and fork while his followers eat pizza like a pig.",Theodore Lockhart,2021-03-19T19:24:35Z,0
He always has someone else to blame no matter what it is.,Kim Walsh,2021-03-19T09:19:09Z,0
Why did the moron deploy the national guards to Portland and not to the Capitol? because the rioters are his supporters,Allen Yeong,2021-03-19T04:01:40Z,0
Unless trump is being arrested or in a courtroom. <br />Please don&#39;t air his BS.<br />He doesn&#39;t deserve any extra attention.,Chereese Ferreira,2021-03-18T06:00:52Z,0
Trump rambles a lot but everything that comes of his mouth are lies and self praise.,Larysa Collins,2021-03-18T03:13:36Z,0
Lock him up!!!! Lock him up!! Lock him up!!!!,Dean white,2021-03-18T01:31:02Z,0
Trump =to a fascist he is Hitler so narcissist,Guillermo Rosell,2021-03-18T00:45:43Z,0
I am from England. Why is the American ex president not in jail?,BUZZ BATES,2021-03-17T22:21:13Z,0
SO HAPPY THAT FOOL ISN&#39;T IN OUR WHITE HOUSE!,christina tanki,2021-03-17T16:38:34Z,0
"WOW, HE KEEPS LIEING &amp; CONFUSING HIMSELF. <br />He keeps doing it more and more.<br /><br />lock him up....  he sift subject because he knows it.  he committed treason",Ricky Reed,2021-03-17T13:54:20Z,0
Please highlight donnys ageing to show what its like to have empathy like all previous presidents had at least in some capacity. It is begining to show how much empathy he has for himself. He looks a wreck,Ray Fiedler,2021-03-17T10:49:51Z,0
Sizes? I hear Trump has small hands!,Robert Hamilton,2021-03-16T23:43:29Z,0
Not the president anymore..,Joy Walker,2021-03-16T20:20:43Z,0
I barely knew myself.,Howard Dennee,2021-03-16T17:27:11Z,0
"He&#39;s so not relative anymore, what poll numbers are he talking about, president Bidens are at 56% higher than his ever were! Maybe that&#39;s what he was talking about 😂😂",Leanna Zimney,2021-03-16T14:56:54Z,0
"Yeah, he was doing moves. Probably the dance moves in that annoying GrubHub commercial.",Bucinka8,2021-03-16T13:40:50Z,0
"We already know he&#39;s guilty. His supporters can deny it til they&#39;re BLUE IN THE FACE, but the fact remains that they KNOW he did it. LOLZX <br /><br />They know he did it. <br />You know he did it. <br />I know he did it. <br />EVERYONE knows.<br />They live on Fantasy Island and are completely detached from ALL reality.<br /><br />This is a guy who put a HASHTAG on a terrorist watch list so he could have someone else to blame when he and his supporters committed these acts. Period, point blank. And everyone knows THAT, too.<br /><br />Listen to him talk. ALL he talks about is himself. Every sentence starts with me, mine, I. Never us. Never them. Never the USA. JUST HIMSELF. If people can&#39;t see through his facade than I feel sorry for them.",The Potty Mouth Politician,2021-03-16T10:48:54Z,0
"Wasn’t even near 100,000s?? He watched terriorists attack his far right white supremacy militias stop blaming Seattle Portland which by way Portland never stopped fighting since George Floyd because Trump sent phony feds there that amped up violence dirty bastard vans yanking people in no one knows who these people were That kidnapping damit",Colleen Klatush,2021-03-16T09:57:26Z,0
"Considering all his legal imbroglios, how could he possibly be a candidate ?",Chris Hauke,2021-03-16T04:09:42Z,0
Just a dam lyie.The whole interview was a dam lyie.,john thomas,2021-03-15T21:53:55Z,0
"The responsible siamese phylogenetically man because honey shortly buzz beyond a interesting cream. special, adhesive gram",Laurene Breneman,2021-03-15T21:46:52Z,0
Yah you too you would have too big of thumbs to tweet,Joy Smith,2021-03-15T17:18:55Z,0
If trump ever told the truth the orange pumpkin would explode all over the place,Faylene Gostanian,2021-03-15T14:26:53Z,0
"I see FOx has not adepted to the new reality....It is Former President Trump, not President Trump. Man is no longer in charge.",Jolyon Goldschmitz,2021-03-15T12:48:41Z,0
He shouldn&#39;t be in politics.<br />He should be in jail as someone&#39;s &quot;boy-toy&quot;.,Jay Roy Sims,2021-03-15T11:51:26Z,4
Bragging about how big the riot crowd was 😒,nathan mckerrow,2021-03-15T07:32:10Z,0
You can&#39;t run for president in 2024 from a jail/prison cell.,lori dyson,2021-03-15T03:49:17Z,0
"Loser loser loser, the biggest loser ever ..",Jenn S,2021-03-15T02:47:14Z,0
OMG 😞. He can always find a way to brag can’t he?  He is so pathetic. I will say it every chance I get....I’m so happy that he is no longer our President. He is the worst president in the history of presidents. Gawd.,Shanan Alexander,2021-03-15T02:18:10Z,0
"What an idiot trump is, and now back on Twitter, he couldn’t stay away, he said not long ago, he did not do his tweets, he got someone to do them for him",joanne h,2021-03-15T01:07:16Z,0
He lies and y&#39;all just suck his lying up and ya stupid actions are so racist,Kym Maurice,2021-03-14T18:52:30Z,0
Hes a POS liar !,Cleveland Desmond,2021-03-14T18:20:20Z,0
"Don&#39;t give trump money, he will only use it to pay lawyers or debts of his own.",Ron Crook,2021-03-14T18:09:30Z,0
&quot;Did a lot of moves.&quot; They were dancing.,mabuloo,2021-03-14T16:11:52Z,0
He didn’t listen to anything what he say. He tweeted like 80 times a day. Smh,Shawn Graham,2021-03-14T15:36:59Z,0
If he turned it on when he heard about why he didn’t say nothing as a president &amp; why he didn’t walk with them like he said. Then if you didn’t walk why wouldn’t you watch as they walked. This guy is ridiculous,Shawn Graham,2021-03-14T15:33:58Z,0
He and his kids loved every minute of it !! 😲,Verna Morales,2021-03-14T14:16:20Z,0
"🙄🙄..  <br />JUST~STOP~GIVING~HIM~ATTENTION!!! <br />Omorosa advised and warned the media to do this back in 2018, and they haven&#39;t heeded her advice yet..<br />Without attention--negative or positive--the dude would simply mentally implode..",Wayne Wright,2021-03-14T11:37:11Z,0
On the phone Former President Trump,Randall Castro Sr.,2021-03-14T01:45:54Z,0
He is the former president,Randall Castro Sr.,2021-03-14T01:44:20Z,0
"He’s just looking to make more money, always.",Cee Bee,2021-03-13T19:54:55Z,0
He told the rioters he would “be there with them” at the Capitol but he never went. He possibly could have kept them from breaking into the Capitol.,Cee Bee,2021-03-13T19:53:57Z,2
Trump was once a president : Fact <br />Trump is an abysmal loser : Fact <br />Trump is the worse president in American history with the worse approval rating : Fact <br />Trump will never get into power again : Fact,PETER SAINT PIERRE,2021-03-13T19:08:07Z,0
"Trump and family was watching tv in a tent, his kids dancing, smiling, jr. Was showing them on live tv and trump looking at a big screen tv. Why no one show that including during the impeachment trial?",Sharon Keyes,2021-03-13T16:06:08Z,0
"Trump was the President of the United States, the most powerful man in the world - and now he&#39;s back to being a buffoonish nobody! OF CAUSE he sounds deflated! Desperately, desperately deflated!",Alan Moss,2021-03-13T10:48:35Z,0
A man with swiss cheese for a brain more wholly than a worm riddled casket in the ground in a Louisiana swamp constantly trips over his own tounge. The reason he has spent hundreds of millions on lawyers and would not testify before Congress is he cannot speak two sentences without lying and telling another lie about the first lie. Just another Hitlarian GOP president.,Will Storm,2021-03-13T05:33:11Z,0
The scary part is that he believes his own crap!,Roos view,2021-03-13T03:05:44Z,0
You can’t argue with Donald Trump. He contradicts himself and deflects the blame and does it so fast that some people will perceive it as though he knows what he is talking about and that Trump is intelligent as a result. That is probably one reason why Trump received as many votes as he did.,THE JACK HQ,2021-03-13T02:09:31Z,0
He is a good ranter to false stories he made up and actually believe the mind is dangerous,Terry Butler,2021-03-12T12:11:59Z,0
"Oh by the way Fox , so called &#39;news&#39;, Trump is no longer President! Please get your s**t straight will ya?",T S,2021-03-12T03:51:44Z,0
LIAR LIAR LIAR.,Qween.B Lance,2021-03-12T03:08:41Z,0
Mr perpetually vague or lying pos,Rita Mulloy,2021-03-12T01:18:08Z,0
"YouTube  is trying to erase  the millions of pro President Trump ,comments as fast as they appear on on YouTube ,but they can hardly keep up ,or  keep awake LOL",Dalin Murri,2021-03-12T01:00:09Z,1
Put on front Street again.,Gary Conner,2021-03-12T00:36:31Z,0
Incorrigible.... The man is beyond redemption,Haris Nandwani,2021-03-11T23:27:03Z,1
You are going to HELL. LAIR,Edna Stephenson,2021-03-11T14:17:36Z,0
He is so full of shit he doesn’t know which end to wipe.,GTB,2021-03-11T12:19:37Z,0
Nobody is polling for him anymore.  Crawl back under your rock Dumpster.,WatchfulKitten,2021-03-11T09:46:09Z,0
Shouldn’t that say FORMER President Trump?,Ged Jones,2021-03-11T01:27:56Z,0
"And I say AGAIN. NOT A RIOT! An Insurrection, David!! Ur joining the MSM in perpetuating the diminishing of the January 6th, 2021, attempted Coup. If ur not part of the solution, David,...you’re part of the dam problem.",Traekas7!,2021-03-11T00:25:53Z,0
"Youtube is afraid to show all the millions of Pro Trump comments  ,they have a full time job trying to delete them as fast as they are posted ,LOL. just post one and see how many seconds it last , CHICKENS.",Dalin Murri,2021-03-10T23:40:27Z,1
Can somebody explain to me how right wing and leftist YouTube channels are any different? This comment section is almost identical to crowders.,Lou Clarkson,2021-03-10T23:00:03Z,0
Don Orange sounds so pathetic without the power of the Oval Office.,vikamann123,2021-03-10T12:30:14Z,0
