comment,id,date,num_likes
"these are preparing US taxpayers to see his tax filings from recent years, but still I think we will be in shock during his impeachment to see how many more billions he has lost.........",A T,2019-06-14T14:09:11Z,0
"Honestly I dont really care about tax returns. I didnt care about Bernies either. I still think they should be released tho since it would help us know if there&#39;s any corruption in there. The fact he refuses to release them tells me he&#39;s hiding something wrong he did. That argument aside, he ran on being a good buisness man. Because of his own actions he&#39;s brought so much attention into his taxes.",un mog,2019-05-31T20:24:30Z,0
"If he shows me his tax return, I’ll show him mine.",Harry Brooks,2019-05-28T02:55:43Z,0
"We&#39;ve already known this, in his Comedy Central roast you get to tell them one thing not to make jokes about like your kids or family...he only chose &quot;don&#39;t say I&#39;m not as rich as I claim&quot;. There&#39;s comedians that worked on this roast that confirmed this.",hnljojoilbvtgfyvgub,2019-05-20T14:46:31Z,0
Every candidate in the last 4 years hasnt has a world wide influence that can be a national security Risk.,Warren Mitchum,2019-05-13T18:37:37Z,0
Trump wasn’t insinuating that they were bad ppl. He was just pointing out nearly half of Americans don’t pay income tax while receiving the majority of government assistance. So rich ppl pay majority of taxes and you proved that multiple times.,Warren Mitchum,2019-05-13T18:34:59Z,0
How is he still a billionaire that runs businesses in multiple countries if he’s not a great business leader. I mean hell he makes mistakes and sometimes it is strategy I mean hell a loss of 1.17 billion to not pay taxes for 8 years. A 8 year hiatus from the irs. I think it’s worth it honestly. I mean he still had billions. Look at Warren buffet. Lost 300 million in a trade with I think j&amp;j so yeah he’s human like you but unlike you he’s worth more cus he’s more valuable then you. Once you bring a country out of massive poverty then you can talk about trump.,Warren Mitchum,2019-05-13T18:32:45Z,0
"Yep, I plan on claiming bankruptcy on my taxes to get out of paying also. I&#39;m not broke, just don&#39;t want to pay, that&#39;s okay right IRS??",Chris Buttonshaw,2019-05-12T16:58:05Z,0
Your logo thing in the background is lagging.,QuasiELVIS,2019-05-12T13:52:07Z,0
I think what he says about dodging taxes is more incriminating than proving that statement is false.,Beth Houghton,2019-05-11T23:27:22Z,0
"Trump wrote: The Boston Red Socks visited the Whitehouse. You dumb ass Trump supporters that spell the way Trump doe, socks is spelled Sox you jackasses. HAHAHAHAHAHAHAHAHAHAHAHAHA",Jack Dudley Austin Jr.,2019-05-11T19:41:00Z,0
Cocaine deals.,Jack Dudley Austin Jr.,2019-05-11T19:36:37Z,0
"BARR LIE TO SENATE IN HE&#39;S  DECLARATION! ABOUT  THE MULLER REPORT!   HE COMPLETELY LIE! AND LIE!! TO THE SENATE! !  AND IT SEEMS THEY ARE SATISFIED! WITH THE LIE!! THEY LIKE IT!!!------ALL CRIMINAL MINDS! LOOKS EACH OTHER! AS BARR! IS NOW ASSOCIATED! WITH TRUMP!  NOW BOTH GET THE RESPONSIBILITY! IN ALL CRIMES! DONE BY TRUMP! AND HE&#39;S ASSOCIATIONS!-BARR IS HIDING! THE REAL REPORT MULLER SEND TO THE DEPARTMENT!  SO MULLER WILL PRESENT HIMSELF! IN CONGRESS! THERE  WOLD BE SEEN CLEARLY!  THE WAY A TRAITOR  (BARR) MISLEAD! AMERICA! AND CONGRESS OF AMERICA!  IN ACCOMPLICE WIT A CRIMINAL PRESIDENT !  TRUMP!-----SO MR MEGHAN! IS TELLING TRUMP IS&#39;NT INNOCENT AS HE CLAIM!  , IF HE WERE INNOCENT!  HE HAVE NOT THE NEED TO ASK EVERYBODY AROUND HIM! TO SAYS THE CONTRARY!    THE TRUTH  IS HE IS A FRAUD GUILTY ON ALLK THE CRIMES! ARE SURFACING IN ALL THE HONEST MEDIA!    ONLY A BETRAYAL ARE GIBING HIM A  SUPPORT!",rleb blco l,2019-05-11T16:31:56Z,0
Trump won&#39;t release his tax returns and is desperate to hide as much of the Muller Report as he possibly can. Surely if there is nothing to hide he wouldn&#39;t be able to release them fast enough. Just how self-delusional are his remaining supporters?,edpistemic,2019-05-11T13:06:23Z,1
It doesn&#39;t matter to Trump supporters.  Trump can kill one of their family members and they would still support him.,Adlin Ling,2019-05-11T07:12:31Z,0
The trouble is the type of person to vote Trump in has a relaxed attitude to people paying taxes. OK so this is about not paying tax cause you&#39;re bad at business however Trump voters will just see this as the tax man persecuting Trump. He will just lie his way through it.,Alan Simmons,2019-05-11T05:36:46Z,0
Did Cheeto ever pay the million dollars he claimed he and melania were going to donate to charities? Somehow I doubt it or he would be telling everyone what a great guy he is and that hasn&#39;t happened yet.,kitkat75,2019-05-11T02:07:16Z,0
"trump lost over a billion dollars,in less than ten years, what an imbecile!",William Ridge,2019-05-10T20:27:40Z,0
There must be something really juicy on those taxes that Trump doesn&#39;t want anyone to see.,Turey Taino,2019-05-10T16:42:16Z,0
David Pakman is a Clickbaiter!,Yo mama,2019-05-10T15:40:34Z,0
Ahhhhhhhhhhaaha !!! trump&#39;s a broke a$$,jorge liranzo,2019-05-10T15:23:22Z,0
