comment,id,date,num_likes
"But if there were no saudi arabia, there would not be terrorism in the world.",Zaher Ahmadi,2021-04-28T14:12:56Z,0
"Love from pakistan...plz tour of my country...&amp; look natural beauty..history,love,mountain,k2,nanga parbat,lahore,&amp;much more....",mian zahid,2021-04-27T20:05:34Z,0
Did MBS sponsor this trip?,Dexield,2021-04-26T18:12:28Z,0
💕 🌃 YA QAHHAR ALLAH BLESSING AND PROTECT HAMARE AKHRI 🔚 NABI HAZARAT♥️MUHAMMAD♥️MUSTAFA SALALLAHO ALAHE WASALAM PER LAKKO CRORO DAROOD SALAM HO AMEEN YA ALLAH BLESSING AND PROTECT ALL MUSLIM&#39;S YA ALLAH,ABLA Abla,2021-04-25T02:01:57Z,1
"This is part of Yemen occupied by Saudi. Yemen has deep rooted history , Saudi’s are nomads lived in tents and ride camels",Alfred . Ca,2021-04-23T19:47:40Z,0
"So, Not All Middle East is Just Desert no Green Place",Уuda 유다 Herlambang21,2021-04-23T06:08:47Z,0
"Hi Eva i had no oppurtunity to explore the country beyond Makkah, Madina and Taif probably my visa was restricted. I think from now on i will try to explore. However i do know the history and culture of Saudi Arabia through reading novels and the books of the traditions of Prophet Muhammad and of course The Qur&#39;an. A book &quot;Road to Mecca&quot; written by Muhammad Asad describes a lot of detailed history and culture of the contry. I like your travel videos. Thanks for sharing.",Adie Kosongtiga,2021-04-22T10:39:29Z,0
I can’t imagine why someone would want to visit Saudi Arabia,Manivannan Manivannan,2021-04-21T14:48:05Z,0
No wy this extremist  religious country.<br /><br />You are really an oppotiniste,MrReal,2021-04-21T05:30:06Z,0
since short time im watching your videos one after another you do excellent I can&#39;t just stop watching😍. Creating from swiss,s.,2021-04-20T18:32:47Z,0
I wish somebody lived there still,pics pictures,2021-04-20T01:54:06Z,0
It&#39;s probably only a Fairy-tale place for any tourists like you. I bet that in many other places within that country where woman could be beaten for many reasons. Oh it such a lovely time then because any negative opinion of women&#39;s beatings in countries like these is Islamophobic. Maybe this place isn&#39;t as strict but other places of Saudi Arabia are unforgiving especially the beheading.,Lorcan Mcdonna,2021-04-18T11:20:39Z,0
"Just the same way I saw testimony of how Austin helped a man make -$50,000 weekly Profit I tried now am also sharing my testimony with over,$10,000 from the company  thanks for the good did he has done for me for this short period of time",Dorrls Kansas,2021-04-18T02:10:52Z,0
-+/1/5/3/0/4/2/8/5/8/70/W/h/a/t/s/A/p/p/&lt; With&gt; /<br />                        A/U/s/t/In/,Dorrls Kansas,2021-04-18T02:11:00Z,0
"Excellent vlog on an unknown, unique place of KSA.",Planet London,2021-04-13T17:22:12Z,0
🇸🇦♥️🇸🇦♥️🇸🇦♥️🇸🇦♥️🇸🇦♥️🇸🇦♥️🇸🇦♥️🇸🇦♥️🇸🇦♥️🇸🇦♥️🇸🇦♥️🇸🇦♥️🇸🇦❤🇸🇦❤🇸🇦❤🇸🇦♥️🇸🇦♥️🇸🇦🇸🇦♥️🇸🇦♥️♥️🇸🇦👍📸 amazing video,Atiqullah Otmanzai,2021-04-11T21:11:01Z,0
👑🐎 afghanistan peace 👑🐎 poverty end 🌍🌎 hukmrano ka kam kamyab 👑🐎,Usman Mani,2021-04-08T10:19:25Z,1
"I like your journeys. Go to remote, unique  out of beaten paths. Meet genuine people and foods 👍",Redblue,2021-04-07T14:52:47Z,0
