comment,id,date,num_likes
No this actually looks very adventurous 😁,Khushboo Sharma,2021-04-17T15:08:18Z,0
In Ireland it rains like this every day lol,ᚐᚇᚆᚐᚋᚆ ᚋᚐᚉ ᚉᚑᚅᚉᚆᚒᚔᚏ,2021-01-24T18:04:26Z,0
"Its a miracle, you have survived extreme accommodation in Nepal and now rain in a cheap tent. There is nothing you are not capable of.",Perpetual Grin,2020-10-11T20:46:53Z,0
Awesome!,M. AHMAD,2020-09-02T15:28:23Z,0
Hooooo Keepsafe there.. Heavy rain..,Malou Plata,2020-08-06T11:03:04Z,0
Can i come now,william martin,2020-08-02T18:28:01Z,0
Did u made ur video alone?😲,Irfan Ahmed,2020-07-28T15:46:25Z,0
You are one beautiful women. Gorgeous,Britmatt81,2020-07-08T12:03:53Z,0
too many clothes on,Gavno Nadoroge,2020-07-07T02:14:12Z,0
U’re so Funny 🤣🤣🤣,DR Pical,2020-05-15T03:09:43Z,0
Simply admit someone was standing outside the tent pouring water on it to create this &#39;dramatic effect&#39;,supersonic,2020-05-03T20:34:52Z,0
Hit me up if you have got plans to visit Hadhramaut since you are still in Yemen!,Ahmed Al Habshi,2020-04-13T17:58:53Z,0
"if it&#39;s for me , having the lens not working is more worse than the weather.",Esmail Albater,2020-04-10T19:45:35Z,0
"I hope you&#39;re ok Eva. I&#39;ve always really enjoyed watching your vlogs and the enthusiasm that you bring to the world. It is really difficult for a lot of people right now and I imagine being on a deserted island living in a tent would be quite tough. Good luck, keep your spirits up and I look forward to seeing your new videos when you&#39;re ready to post them.<br />I hope you&#39;re keeping safe Eva.<br /><br />Take care.",Zohab Zee Khan,2020-04-10T10:40:08Z,0
"Watched Mike&#39;s Video in Bangladesh, I did not know that you knew Mike, I have been following Mike, for a couple of years, got to know him through Subscribing to the Fighter Boys (Finn Snow, Daniel March, Kyle and Bret Maverick all in The Philippines), I also saw him in your video in Thailand when you were getting your tattoo.",Archie Lauder,2020-04-10T10:11:38Z,0
"Hey Eva,  just read your note in video description, are you saying that you prefer not to possibly infect yourself at the risk of infecting an entire vulnerable island that has no proper health infrastructure. Isn&#39;t that selfish? Also, didn&#39;t you travel through multiple airports, including Egypt which has Coronavirus cases, before arriving in Socotra? Also, do you know that many young people can have Coronavirus but just show no symptoms? Your actions are unethical. Our government placed anti-Coronavirus measures. They asked tourists to leave on that flight. You refused. <a href=""https://www.middleeasteye.net/news/coronavirus-youtube-backpacker-criticised-isolation-yemens-socotra"">https://www.middleeasteye.net/news/coronavirus-youtube-backpacker-criticised-isolation-yemens-socotra</a>",saveyemen,2020-04-10T01:09:12Z,0
"Are you okay? You got injured and, then this rain. Stay safe. Love from India.",Tanmay Dutta,2020-04-09T20:04:38Z,0
Please I need help my channel,Pexdiepie,2020-04-09T12:34:33Z,0
Brave girl,Khalid usman,2020-04-09T10:38:01Z,0
Eva Zu Beck You Are Amazing And Stay Safe. I Have Watched Your Many Videos Related To Pakistan And I Love That Videos.. I Love You From Pakistan...,Sami Khan,2020-04-09T08:28:29Z,0
It&#39;s an adventure. So enjoy every part of it. Look you are enjoying it 😉😉 Best wishes from Pakistan. Stay safe😉,Javed Gilani,2020-04-09T08:12:05Z,0
GOD BLESS U SIS,Srinivas Radhe,2020-04-09T05:11:29Z,0
wow,C য়া ম,2020-04-09T04:44:00Z,0
Waiting for the next video....,deepak Kp,2020-04-09T04:37:25Z,0
She’s just laughing and having a good ole time in the wind and rain. Me?.....I’d be FREAKING OUT!,Joanne Chris,2020-04-09T04:22:09Z,4
Very impressive but can you go and visit North Korea?,TILAPIA LANG MASARAP,2020-04-09T03:59:45Z,0
Comes with a price,Maria Parreb,2020-04-10T15:29:37Z,0
Your videos are too short Eva !?<br />I hope you only stay in that tent during the day ...<br />Stay safe.//,Tadele Lamma,2020-04-09T02:10:01Z,0
Come to my house i will give u room !?,Nagi Ramzi,2020-04-08T23:43:23Z,0
That is a rather creepy invitation,Maria Parreb,2020-04-10T15:26:51Z,0
"i loooove sleeping in a tent when its raining , don&#39;t know what it is , it just knocks me out ....",james daley,2020-04-08T23:27:44Z,1
Nothing better than the sound of the rain while you&#39;re falling asleep,Maria Parreb,2020-04-10T15:11:18Z,0
It must be fun stuck in the tent😊😊,m shafiq,2020-04-08T23:15:22Z,0
Haha eva YOU gas the storm is not going to kill you . coved_19 will . Enjoy your time in paradise,TECH PRO,2020-04-08T22:40:00Z,1
Eva Pakistan  🇵🇰🇵🇰🇵🇰 miss you 😥😥😥,Per FOX,2020-04-08T20:16:30Z,0
You&#39;re too cute. Can&#39;t watch you anymore...,Waqar Jilani,2020-04-08T19:16:28Z,0
Hi Eva am a big fan of your videos.. happy to know you are safe.. making videos in this tough times.. hats off to you.. you rock.. stay safe Eva.. love u,Manish Arjunan,2020-04-08T14:29:10Z,0
cool!,ajaycan,2020-04-08T13:46:25Z,0
"After watching this, <br />I suggest you to National Geographic Adventure group :)",Pakistan Culture,2020-04-08T10:57:39Z,0
"I don&#39;t think she will be approved. Actually, many people working for National Geographic have come out condemning her actions for staying in the island and refusing a flight to leave after our government placed some anti-Coronavirus measures. <a href=""https://www.middleeasteye.net/news/coronavirus-youtube-backpacker-criticised-isolation-yemens-socotra"">https://www.middleeasteye.net/news/coronavirus-youtube-backpacker-criticised-isolation-yemens-socotra</a>",saveyemen,2020-04-10T01:04:42Z,0
i am your fan from Karachi pakistan,Sabrina Khan,2020-04-08T10:04:44Z,0
Hopefully rain calm down there in island,David Frias,2020-04-08T08:38:35Z,0
Howz your leg??,RIWAYAT THE HOME TRADITION,2020-04-08T07:46:39Z,0
Love u eva<br />Yuo have such a nice personality.....<br />Pretty impressed🥰🥰🥰🥰🥰,asad kayani,2020-04-08T06:59:17Z,0
"Can you please share the details of your equipment that you use?? Specially the camera that you use for video recordings , thanks",zk1997,2020-04-08T06:19:51Z,0
i wish i was there with you,AntonG Collector,2020-04-08T04:57:54Z,0
Im here to see you smile one more time,Gamer Doc,2020-04-08T04:29:44Z,0
girlllll i must say u r so brave and strong! following u since  u came in Pakistan  💚❤💚,PEACE WORLD,2020-04-08T02:42:38Z,1
It&#39;s time for a trail sponsor sister!,HuangXingQing,2020-04-08T02:33:15Z,0
it is april  it is rain season of horn of africa,somali Bilow,2020-04-08T01:48:25Z,0
Good luck for the weather... Be safe,Muhammad Waqas Baig,2020-04-08T01:23:27Z,0
Beautiful,Najeeb JB,2020-04-08T01:16:28Z,0
🙏🙏🙏,A Harun,2020-04-08T00:36:48Z,0
I read in local news Yemen government said some visitors left socotra island in last few days you are one of them?,Sublex Tube,2020-04-08T00:01:11Z,1
"@saveyemen she&#39;s been there for more than 20 days now, is she showing any covid19 symptoms?",Maria Parreb,2020-04-10T16:03:56Z,0
"No, she did not leave. She refused the flight to leave and is putting our island at risk. <a href=""https://www.middleeasteye.net/news/coronavirus-youtube-backpacker-criticised-isolation-yemens-socotra"">https://www.middleeasteye.net/news/coronavirus-youtube-backpacker-criticised-isolation-yemens-socotra</a>",saveyemen,2020-04-10T01:02:53Z,0
"I have been in similar situations, so I can totally understand how you feel right now. Morale seems high, so that&#39;s good. <br />That tent really doesn&#39;t look great. It seems a bit too floppy even for a cheap tent, are you sure it&#39;s anchored correctly?<br />Anyway, good luck and enjoy!",MrItsalie,2020-04-07T23:35:31Z,0
"Eva, kommst du nach Wien?",Erdo Yilmaz,2020-04-07T23:04:52Z,0
❤️📕🖤✊🏿💚🥦,Maurice Torres,2020-04-07T22:46:47Z,0
"Well, at least you don&#39;t have cooties like me. I watched this and another video but don&#39;t have much strength and slept 15 hours or so. My father gave me coronavirus maybe, as he&#39;s in the hospital with it. But on a good note, you can edit videos on your Samsung S10+ with Adobe Rush. I&#39;ve done that on my S10 and it rocks. You&#39;re a pro I&#39;m sure you could do rather well with it. $10 a month and there&#39;s into online for doing it etc. I hope your camera is ok. Doesn&#39;t look waterproof. Might want to stick to your S10+ it&#39;s waterproof like my S10. I used to shower with my phone when expecting important calls or listening to music before I set up my Amazon Echo Dot to play music. And for power here&#39;s this: <a href=""https://litsolar.com/products/wireless-lit-solar-powerbank"">https://litsolar.com/products/wireless-lit-solar-powerbank</a> I don&#39;t have it but I have a similar one, not as awesome and from another company but very very useful. It has solar panels and can charge my phone wirelessly. Comes in handy if the charge port gets wet. Stay dry! 🙏🖖📖 And don&#39;t forget about ebooks!",Joseph Barney,2020-04-07T22:06:19Z,0
Eva is tomb raider change my mind,John D'Isselt,2020-04-07T21:48:52Z,0
"Be safe in these crazy times.  Should reinforce your tent, when you get a chance.  Any video of the nasty storm?",Tommy Hu,2020-04-07T21:09:03Z,0
Ah.  Memories of military training....,T T,2020-04-07T20:47:54Z,0
Wow I pray you made a Best Friend there? Yes ?,International Evangelist / Prophet Deborah Gamelli,2020-04-07T20:42:26Z,0
Maria Divinagracia They are adorable!,International Evangelist / Prophet Deborah Gamelli,2020-04-10T15:54:25Z,0
"Yes, she made a lot of kid friends, kid-young goat 😂",Maria Parreb,2020-04-10T15:29:03Z,1
Stay safe and positive👊,Teresa Rattray,2020-04-07T20:30:33Z,0
"Eva, you showed some buildings and a town earlier. How far away is somewhere that you could stay inside during the rain? Just curious. I&#39;ve spent lots of days stuck in a tent during the rain, it can be a fun experience...if the tent holds up!",Gabriel Traveler,2020-04-07T20:26:23Z,5
Dc,Wasim Ulfat,2021-01-09T17:12:53Z,0
Take some shorts of rain outside if you can ❤️❤️,Nomad Diaries,2020-04-07T20:26:01Z,0
I like your smile 😍,Ajay Purabiya,2020-04-07T19:43:08Z,0
Love n respect from karachi😍😍😍😍,MUJAHID MOHIUDDIN,2020-04-07T19:40:30Z,1
Next video &quot; Surviving Extreme Rain Only With A Smile ! &quot; :) <br /><br />Stay safe Eva,Just10Case,2020-04-07T19:29:45Z,0
"Hi Eva, maybe you can do a book recommendation video",Maurice Casalta,2020-04-07T19:05:27Z,1
What book were you reading??,rizwan ahmed,2020-04-07T18:37:34Z,0
Thank gosh your tent did not blow off.  Scary!  Glad you are optimistic genetically. What an adventure being on an island and braving the tough weather and still blogging.,C,2020-04-07T18:28:25Z,0
Have the locusts arrived yet?,siphonsnob,2020-04-07T18:04:00Z,0
"They arrived to Yemen in January then moved to Muscat in February, they died with covid19 when they reached Iran in March",Maria Parreb,2020-04-10T15:32:54Z,0
Allah keep you safe and take care dear,SULAIMAN ESSA,2020-04-07T18:00:39Z,0
"wishing you sunny skies, and loving your silly giggles through the storm.",Bela Bernath,2020-04-07T17:59:38Z,0
Would love hear that how did you survive today.,Abdullah Zaheer,2020-04-07T17:50:02Z,0
When will u come back home? Pak,Abdul Sameeu,2020-04-07T17:40:28Z,0
Stay safe Eva plz and take care ..we all do care about you here ..so be responsible for this 😂😂👍,Omar Bodaweelah,2020-04-07T17:27:24Z,0
"they say these rains are not natural they are man made ,to make the weather cold and the virus do its maximum damage ,as it favors the   low temperatures ,big conspiracy theory",Ameer Zaib,2020-04-07T17:16:36Z,0
Do you actually believe that Big Conspiracy Theory?,Maria Parreb,2020-04-10T15:44:06Z,0
Maybe when the rain stops you can go to the higher mountain or go to a Wadi because it will have water,fuller mouseii,2020-04-07T17:09:04Z,0
How is your leg condition ?,Ahmed AlShalchi,2020-04-07T17:00:28Z,0
Stay safe eva.,Lobina Bangalisan,2020-04-07T16:56:32Z,0
Sexy looks,Alem Kichu,2020-04-07T16:50:46Z,0
Pervert hahaha,Maria Parreb,2020-04-10T15:45:08Z,0
Stay safe,Soulful vibes,2020-04-07T16:50:41Z,0
Stay safe,Nappy Roots,2020-04-07T16:49:23Z,0
"Even with the cheapest of tents and the brokenest (is that a word? lol) of cameras you captivate! &lt;3  -,--;-@",Ruud van Hooijdonk,2020-04-07T16:03:50Z,0
Dear Eva ... Wish you all the best from 🇵🇰,Inayat Khilji,2020-04-07T15:55:26Z,0
If your staying in the same spot could you not build some sort of windbreak over the top of your tent with driftwood?,chris sparshott,2020-04-07T15:48:21Z,0
"look at her enjoying all these outdoor moments <br />getting stuck on an island <br />tripping from a mountain, getting injured<br />and  getting trapped in a rainstorm",Zurain Shah,2020-04-07T15:11:54Z,0
I love you eva,Hunzla Ahmad,2020-04-07T15:11:05Z,0
God helps you<br />Keep smiling,Sajid Hussain Memon,2020-04-07T14:58:34Z,0
I couldn’t see what you’re reading...I’d love to see some reading recommendations from you! Also I just wanted to let you know my family and I are also quarantined on an island lol!!!!! Xo xo from NY,Kareema After Addiction,2020-04-07T14:56:30Z,1
your great keep growing up with more hard work 🙂🤩🤩,JD WAZGAAR,2020-04-07T14:51:11Z,0
how are you uploading these vlogger when you are living in Socotra Island,waqar khan,2020-04-07T14:49:07Z,0
Stay safe...,otoka yeptho,2020-04-07T14:45:38Z,0
Stay safe,Ali Cheema,2020-04-07T14:33:55Z,0
Watching from Kuwait 🇰🇼♥️♥️♥️,Elmer Laggui,2020-04-07T14:32:40Z,0
"Sister plzzzz take care .. Thanks Eva for consistent vlogs, your vlogs helps me to pass my few time in such bored Quarantine Days...God bless you..Your biggest fan &lt;3<br />&lt;3 From Pakistan !",Rameez Gilani,2020-04-07T14:31:45Z,0
Wishing you safety all the way from Pakistan! 💚❤💚,Fizza Abdul Maalik,2020-04-07T14:28:50Z,0
Wishing you sunny weather and sunny skies.<br />Pakistan sends you love and warm wishes.,Usman Qadir,2020-04-07T14:27:47Z,1
"You are most welcome to Yemen, Eva. I wish that there was no war in our beloved country, I would invite you to visit Sana&#39;a, Mareb and Taiz, the oldest cities in the Arab peninsula. However, many thanks for you for those videos on the magic Yemeni island, Socotra. You really showed its shining face better than Yemeni tourist ministry, thanks again. I looking forward to reading your upcoming BOOK &quot;Socotra In The Time Of Corona, 2020&quot;. Stay safe dear.",المركز القومي اليمني للأبحاث والدراسات - مركز أوام,2020-04-07T14:24:36Z,1
The intensity of these rains is the first time ever as far as I can remember. Rain in April is also unusual for this time of the year in the Arabian peninsula. Climate change is happening. Rainfall in the Arabian peninsula and in the Sahara desert is increasing.,multan prarie,2020-04-07T14:24:27Z,0
Rain storm in Yemen comes from the Arabian Sea,Maria Parreb,2020-04-10T15:52:47Z,0
@multan prarie  but Eva in the Indian ocean not in KSA,المركز القومي اليمني للأبحاث والدراسات - مركز أوام,2020-04-07T18:25:55Z,0
@المركز القومي اليمني للأبحاث والدراسات - مركز أوام It has been raining in Saudi Arabia with intense hail for the past three days.,multan prarie,2020-04-07T14:59:34Z,0
Socotra if far away from Arabian Peninsula,المركز القومي اليمني للأبحاث والدراسات - مركز أوام,2020-04-07T14:26:52Z,0
"i am glad you decided to stay, though not so much due to my previous comment but because it was the right thing to do for your soul.  You are a lovely woman and I enjoy your videos.  I wish we could meet just to exchange travel experiences, some day, if not on earth then in the life after.  Stay healthy and continue your positive attitude on camera!  Ciao! Josh",Josh Hernell,2020-04-07T14:20:20Z,0
Be careful to ou😋,Fatfat Bebeh,2020-04-07T14:18:26Z,0
God bless you. <br />Be safe. <br />❤❤🇵🇰,sanan malik,2020-04-07T14:11:54Z,0
Pls upload next about u pls take care dear sis,Salma Allahuddin,2020-04-07T14:09:48Z,0
take care🙏🏻,Foxy Lady,2020-04-07T14:08:22Z,0
😀😀😀😀🇵🇰🇵🇰🇵🇰🇵🇰,Muhammed Athenan,2020-04-07T14:02:27Z,0
Very natural and full of enthusiasm and excitement...,Fresh Wave,2020-04-07T13:49:29Z,0
Take care and enjoy,Khaleel N.T,2020-04-07T13:41:03Z,0
You make me laugh. Just enjoy it it&#39;s part of the journey!!!😄,Richard Fulmer,2020-04-07T13:35:55Z,0
The most narrative video so far😁,Radek Lust,2020-04-07T13:31:13Z,0
Be careful and have fun times😊👍,ali almohandis,2020-04-07T13:31:11Z,0
I want to be the wind in your wild dreams😴😴😴😴😂🤣🥰,SHAMEEM UK,2020-04-07T13:29:45Z,0
I like you I love you,Salman Khan,2020-04-07T13:18:01Z,0
"eva, positivity really radiates from you ❤️ so much love from Zamboanga City",Dar Wina,2020-04-07T13:17:00Z,0
Use tensegrity.,Sky Dance,2020-04-07T13:08:44Z,0
i hope i was with you? sweety,omarالليبي .ليبيا مقبرة الطغاة,2020-04-07T13:02:17Z,0
Come  back to the world. Trust in God. Fear not.,David Dothager,2020-04-07T13:02:15Z,0
She is living rough,Public Tree,2020-04-07T12:59:53Z,0
"There is sunshine after the rain, stay safe and enjoy it...de filipinas con Amor....",Raul Tejano,2020-04-07T12:57:27Z,0
Be safe :),Basim Al Lawati,2020-04-07T12:57:16Z,0
Omg  nice,مستنصر حسین تارڑ,2020-04-07T12:55:23Z,0
"This brave girl is much better than our so called Tigers and Tigresses,chauhdranis,waderians , and the descendants of all burger families,nawabzadees,and khanzadees.salute to her.Allah protects her, ameen ✨",Imtiaz Ahmad,2020-04-07T12:52:09Z,1
❤❤❤❤👍👍❤❤❤❤متابع من العراق السلام عليكم ورحمة الله وبركاته,علي علي,2020-04-07T12:49:25Z,0
Love you eva❤❤❤<br />From pakistan🇵🇰🇵🇰🇵🇰,shah faisal,2020-04-07T12:49:05Z,0
Love the positive attitude through all that. Looks kinda fun. Stay safe love!!,Sagradu Kitchen,2020-04-07T12:46:30Z,0
Hi Eva I ask you several times to reply me back say hi to me but you didn’t it’s not a good attitude I am following your vlogs from a year wana discus with you several things stay safe in Yemen and have precautions for corona virus @eva Zu Beck,Shoaib Charisma,2020-04-07T12:46:29Z,0
Maria Divinagracia depends on behavior &amp; manner bcoz someone is willing to respond somebody don’t that’s why you’re not Eva because you don’t have good behavior &amp; manners too so I don’t need your concern at all thanks enjoy your quarantine,Shoaib Charisma,2020-04-10T18:56:07Z,0
If I were Eva I will never respond to your demanding request,Maria Parreb,2020-04-10T15:47:21Z,0
🌹🌹🌹🌹🌹🌹,Sadam kori,2020-04-07T12:43:35Z,0
U r strong brave women <br />Soon badtym wl go awy,Ali Jan,2020-04-07T12:38:00Z,0
Take extra careful Ms. Eva. Stay strong. Be safe.💪,Barry Gilbert,2020-04-07T12:37:13Z,0
It&#39;s just rain - get out there in rain or shine it is all good on that island.,Libyan Soup,2020-04-07T12:31:33Z,0
Love,Ansar Hussain,2020-04-07T12:31:21Z,0
Take care Eva..stay safe,Annuar Arifin,2020-04-07T12:30:46Z,0
