comment,id,date,num_likes
"Interesting that you put this content out there. The idea that some goverments put bureaucracy and obstacles for people to travel feels to me like an abuse on the part of the governments. The right to move freely, and to make a living wherever anyone is, is a personal basic right. Yet governments ban this all over. It&#39;s an abuse to lock a place and tell an individual you cannot enter. Earth belongs to everyone. Of course it is hard when someone has ill intentions, but for this we need to address the issue differently, instead of banning all population from a specific country to travel. Specially when policies are made with all sort of personal interests and where a country can be banned just because another country has specific interests in the resources of said country, or just wants to discredit said country.<br /><br />&quot;Powerful&quot; countries stay powerful in the same way that rich people stay rich. They create systems that allow them to keep those positions, no matter what. They win, the rest lose. By doing this they keep the gap with the other countries wide. There&#39;s inequality. And there&#39;s usually no desire to close that gap. Inspite of the diplomacy saying the opposite. Those are usually false words like those of the politicians and corporate owners that have ambitious goals to reduce climate change.<br /><br />Hundreds of years ago people from european countries (French, German, Portuguese, Spaniards, edit: just realized I forgot to add English) travelled the world. Went almost everywhere, &quot;conquering&quot; other countries. They got there, wiped out populations, cultures, believes, languages. They brought with them diseases that killed hundreds of indigenous peoples. Yet these very same countries ban the entry now to the population from those countries they invaded so many years ago. Countries they extracted their resources, richeness, treasures, even people. Countries they left with such deep wounds. And as far as I know they haven&#39;t even been repaid or at least apologized for. Rarely even acknowledged. <br /><br /><br />So this idea of banning people from traveling, feels like such a ... hipocrisy when looking at their own past, such lack of acknowledging the world belongs to all beings, to respect, to own in the sense of taking care of them. And what we need to heal is the fear, the disconnection, the anger, the pain. Not to break the natural bonds that are created when people travel.",anmahek,2021-04-23T23:46:54Z,0
I have Greek passport...,Andreas Tsaragklis,2021-04-19T19:32:38Z,0
"We&#39;re one step closer to have free-visa access to Schengen area, wish we got this privilege after this pandemic ends (our government always negotiate every time with European leaders and EU commissions), wait for me visiting Europe without visa.<br /><br />Cheers from Indonesia 🇮🇩🇵🇱",M Dzul Nurfaizal,2021-04-16T06:15:47Z,0
I know what you mean I was a Turkish citizen to travel to Europe or USA was very hard however I have changed my destiny.,Eren A.,2021-04-13T22:49:45Z,0
Luckily I have a Finnish passports😌,Jibril,2021-04-10T23:35:57Z,0
"<a href=""https://youtu.be/MWQ6AcT4dtA"">https://youtu.be/MWQ6AcT4dtA</a>",Salah Chaara,2021-04-07T18:46:12Z,0
"Ah being an Indian passport holder isn&#39;t the best but definitely better than the case for some countries! Though, I will always be envious about my sibling having a US Passport just because they were born there!",Riya Patil,2021-04-04T16:56:02Z,0
I am from Bangladesh. I want to travel the world but unfortunately have weak passport &amp; low bank account. Geting  inspiration from you that never give up so easily.,Muhammad Samiul Islam,2021-04-03T14:45:26Z,0
thanks for this information.I have a dutch passport from  the netherlands.i never knew that I could travvel  visa free  too 94 countries,Rick Engelhart,2021-03-31T17:54:03Z,0
Bro pvililiged passport tbh polish passport is shittiest one from all eu passports XD i know it cus i have one myself,MQdzQ,2021-03-26T23:13:52Z,0
It&#39;s really nauseating when some Polish proper garden tool tries to lecture me on my supposed &#39;privilege&#39;. I still remember the Iron Curtain when most Polish people couldn&#39;t travel anywhere west.,Daniel Menefrego,2021-03-13T13:31:20Z,0
"even more of a problem now with covid worries , so not really realistic atm",aragorn4242,2021-03-03T15:52:23Z,0
I&#39;m Canadian and I&#39;m even more privileged then the OP&#39;s passport (pre-covid rating). But we all get blown away by Singapore&#39;s and Japan&#39;s passport power!,Darcy Cardinal,2021-03-01T02:55:03Z,0
You are a wonderful and interesting young lady.  Travel is magical.,SEAVet69,2021-02-27T15:17:55Z,0
