comment,id,date,num_likes
"Thanks everyone for bearing with me over the last month with no uploads. If you&#39;d like to follow my daily updates, head over to my Instagram: <a href=""http://www.instagram.com/evazubeck"">http://www.instagram.com/evazubeck</a> 😄 Video schedule going back to normal from now on, with weekly videos! Much love 🌸",Eva zu Beck,2020-06-14T13:22:17Z,327
"Eva. As u love Pakistan. Why,t u are not <br />setling in Pakistan by marrying a Pakistani youth ?",Salim Uddin,2021-03-28T09:44:06Z,0
I literally have tear up on every video of your channel!!!,Lucy,2021-03-20T03:16:28Z,0
"New subscriber here,from Philippines...keep safe always.....",Sea Side Official,2021-03-13T03:56:53Z,0
@Ezekiel Landyn I am trying it out right now. Looks promising.,Malcolm Jeremiah,2021-03-09T02:59:21Z,0
Not sure if anyone gives a damn but in less than 15 minutes I hacked my girlfriends Instagram password using InstaPortal. You can find it by Googling for Insta Portal account hack if you wanna try it,Ezekiel Landyn,2021-03-09T02:48:57Z,0
Beautiful video no other youtuber does it quite like you. Keep em coming,Jay B,2021-04-28T23:39:52Z,0
Is it Yemeni Island? Pretty beautiful,Shinawar Ali,2021-04-27T23:42:36Z,0
I really admire your courage..great travels Eva..I haven’t been in the middle of all your videos..gonna watch them all..learning a lot from all of these..,Meadow Loves,2021-04-27T18:00:34Z,0
u should try snake island lol hahaha,KITTOY videos,2021-04-26T06:24:09Z,0
Somehow you don’t see the problem with you going to an island that isn’t yours and chasing the inhabitants away. Can you imagine how scary that must be for them? Sometimes uninhabited should stay that way. Just sayin!,Life With All Of Us,2021-04-23T02:01:02Z,0
"she&#39;s talking about kindness, gli italiani dicono cazzo",Beatrice Trevisi,2021-04-22T12:37:50Z,0
Rat Island 🏝 how nice.....,mefe1988,2021-04-22T05:12:49Z,0
Rats? You mean emergency food. 😂,CommandoJenkins,2021-04-21T07:12:54Z,0
someone help this girl shes homeless,Alliaaa,2021-04-20T20:11:51Z,0
Wow ❤️,Mike Francis Roa,2021-04-16T15:17:20Z,0
I can think of at least one thing worse than an island full of rats and that is an island full of roaches crawling all over.,moosefactory133,2021-04-14T22:02:08Z,0
I would endur a thousand nights with rats to spend one in your company.,Brian Morger,2021-04-14T02:50:13Z,0
You are so courageous girl... Taking risks like you is a damn difficult thing. You raised the bar so you deserve all the pleasures. Love from India.. Come in my country too...❤️,Rajeshwari Bhatiwal,2021-04-13T07:38:53Z,0
"This is rat infested ? Try Karni Mata temple in Rajasthan, India.",srgadjon,2021-04-10T05:49:21Z,0
I&#39;m so amazed by how brave you are for going far on a remote island with all men only.. my anxiety could never lol,Raezhell Racho,2021-04-08T11:29:14Z,0
I’m jealous‼️ hello from Kentucky4/2021🍀❤️🌈,albert spencer,2021-04-08T04:55:12Z,0
"Shoot them, eventually there won’t be any. Then you can live in paradise.",albert spencer,2021-04-08T04:52:05Z,0
AWESOME VIDEO🐲,albert spencer,2021-04-08T04:49:39Z,0
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🙏❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🍀😇🙏🌈❤️❤️❤️❤️❤️❤️❤️4/8/2021❤️❤️❤️❤️❤️❤️🙏🙏🇺🇸❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌈🌈🌈🌈🌈🌈🌈🌈❤️❤️❤️❤️❤️❤️❤️❤️🌛🌈☀️🌈🌎,albert spencer,2021-04-08T04:48:43Z,1
Where are the rats? I don’t see how you can make video about a rat infested island and not show any rats.,Ernest Mitchell,2021-04-07T13:29:57Z,0
"za wczesnie dla ciebie dzieciaku na ten angielski... szkoda...troche obciach...dla kraju ,,,",Jan Kowalski,2021-04-05T21:24:58Z,0
Is rob your boyfriend? And is he with you in every travel?,fen Beb,2021-04-05T01:33:04Z,0
