comment,id,date,num_likes
"Wow Eva, you were living a real episode of Survivor there, as beautiful as it is, I am thinking you were happy to get off the island. You must have missed food variety too.",Have a Great Day,2021-04-21T12:27:09Z,0
"Safe travels. Thanks for sharing, Lord-Jesus-Christ com",Moses Exodus,2021-04-19T23:22:21Z,0
Круто,Yaro Traveler,2020-12-27T22:02:42Z,1
Nœ,Gaming,2020-12-21T19:07:14Z,0
Awesome please maam eva im so proud and inspire your all vlogs,Bryan Adlaon,2020-12-08T09:25:56Z,0
👍👍👍👍👍👍👍👍👍👍👍👍👍,Soran Deutsch,2020-10-06T12:05:34Z,0
U r looking too much beautiful in this video ❤,Syed Shehryar,2020-09-10T21:24:17Z,0
YayayayGirl❣️❣️❣️👍👍👍😍😍😍,Annie Linkous,2020-08-23T23:36:47Z,0
where r u from Eva??,SFH Educational tv,2020-07-24T09:45:05Z,0
is Eva the only women on the island? lol,Renan Teles,2020-07-11T14:02:54Z,0
💕💕💕💕💕😊👍👍👍👍👍,Genius Roque,2020-06-22T06:24:23Z,0
Got an FAQ 4U...yor an attractive woman...has any1 fr d male crew try 2 hit on u?,jonas halili,2020-06-19T20:50:02Z,0
No cats???,sham sham,2020-06-07T11:37:23Z,0
Welcome to socotra ❤️🌹,خالد البدري,2020-04-30T17:17:36Z,1
"Wtf is this, only fish was a tiny puffer fish, this chic would starve to death if she had to catch her dinner, 🥴",Big eye Tuna,2020-04-20T12:58:38Z,0
Someone tell that kid that pufferfish can be lethal sometimes,Kamal AL-Hinai,2020-04-17T11:52:58Z,0
You look like kalyani priyadarshan .😉,kunukkitta kozhi N,2020-04-16T11:22:49Z,0
Eva mine favourite ........ <br />Mine Video gallery is full of your videos ....Love u ....,Kalsoom kiani,2020-04-16T09:36:39Z,0
Eva mine favourite ........ <br />Mine Video gallery is full of your videos ....Love u ....,Kalsoom kiani,2020-04-16T09:35:26Z,0
the kids are legends.,Jamal A.,2020-04-15T19:09:29Z,0
Stay safe 👍👍👍👍👍,Abdul Sattar,2020-04-15T12:46:55Z,0
We want to see u in swimming suit.plz,anees ahmed,2020-04-15T11:27:56Z,0
Nice,Altaf Hussain Bahaar,2020-04-14T22:23:19Z,0
Bedouin life is very interesting,AHMED ZAITON,2020-04-14T20:46:02Z,0
"<a href=""https://www.youtube.com/watch?v=ZIJXHuQ1zB8&amp;t=1m40s"">1:40</a> 🍚",Sona Munda,2020-04-14T15:07:32Z,1
Eva my love 😘♥️,Omran Bella,2020-04-14T13:57:20Z,0
Awesoume!!,stefan kruidenier,2020-04-14T13:13:04Z,0
"Eva Zu , r u married or single ?",Hanif ullah,2020-04-14T12:29:34Z,0
🇾🇪🇾🇪🇾🇪,محمد المعمري,2020-04-14T06:47:47Z,0
"Hey Eva, wanted to ask if you ever felt unsafe (harassment) during your time here on the island? I mean from the locals or anyone else? ...",M K Sal,2020-04-13T23:58:37Z,0
Assalam o alikum <br />Wonderful travel video for your viewers. Nice vlog and simple sequence of ideas. Travelling around the world is amazing. Your team is putting up the best services in these restricted times. Keep doing...appreciated .thanks,Riffat Tanveer,2020-04-13T21:54:15Z,0
Very nice video <br />Lovely island ❤,TalibMallick طالب ملک,2020-04-13T20:40:23Z,0
So sweet dear love you dear,Fahad Hussain Bhutto,2020-04-13T19:31:21Z,0
You should start fishing and du some activity,Basty Koye,2020-04-13T15:12:59Z,0
"For your information, <br />The strongest and largest predators on the island are cats.",aiman AHS,2020-04-13T13:32:42Z,0
Where are you right now eva,Yar Muhammad Shah,2020-04-13T11:19:55Z,0
enjoy with beautiful location we stay in home 😔😔 covid-19,Gul zeb,2020-04-13T08:15:01Z,0
Hearworm. Now I got that song in my head.,Will F,2020-04-13T08:00:34Z,0
"Socotra seems like a nice place to be marooned for a while.  Have you seen Dracaena cinnabari, the Socotra dragon tree (or dragon blood tree) yet?",Nicholas Featherston,2020-04-13T07:24:40Z,0
"Wooow , I am Yemeni and this is first time I have seen my country is beautiful.",AHMED BAHAKIM,2020-04-13T02:31:13Z,0
It&#39;s been while we don&#39;t see you smiling!! But eventually you are laughing... 😂 Oh NA na what&#39;s your name,adel mohammed,2020-04-12T22:35:17Z,0
"Oh NA Na, what&#39;s your name, it was  the most beautiful part of the video.... Nice feeling when you see local laugh with foreign people, to let them feel happy....",adel mohammed,2020-04-12T22:33:42Z,0
Living the way of the ancestors by the sea 👍👍,Mick Angelhere's World,2020-04-12T21:45:32Z,0
"Hi, I watched your videos in Socotra.  Also, I am a pharmacist.<br />How can i help",الحمد لله,2020-04-12T21:08:03Z,0
Love from karachi 😍😍😍😍,MUJAHID MOHIUDDIN,2020-04-12T20:01:56Z,1
