comment,id,date,num_likes
"Safe travels. Thanks for sharing, Lord-Jesus-Christ com",Moses Exodus,2021-04-20T00:29:10Z,0
Hi Eva come here philippine is beautiful views province 😍😍😍👍👏❤👼👼👼,J A,2021-01-30T02:53:25Z,0
🐠🐟🦞,crystal harris,2021-01-26T04:22:13Z,0
WOW. ❤️,crystal harris,2021-01-26T04:18:53Z,0
Can you please visit kilmia it’s just the nearest neighborhood,Omar Lucky Boy,2020-12-06T19:30:02Z,1
Love your energy,Kids& Babies,2020-10-08T15:38:34Z,0
Make a video of Yemen traditional fishing...this one is modern,Azman Abdullah,2020-10-03T08:34:59Z,0
Wish a trip with you 🙂,Travel Lover,2020-09-29T05:35:37Z,0
&quot;You have to try over and over again&quot;<br /><br />That&#39;s why it&#39;s called &quot;fishing&quot;  and not &quot;catching&quot;. ;-),Diving Quokka,2020-08-19T19:17:44Z,0
Beautiful place..beautiful music..beautiful girl..prefect,budak takdir,2020-08-18T05:31:07Z,0
Love u from pakistan,saleem khan khan,2020-08-18T02:43:18Z,0
Wasn’t expecting to see Catch &amp; Release! Amazing ❤️ Was also really cool to watch from your point of view of not being a fisherwomen.. The way you explained the sustainable practise was beautiful 😊,LEDGE LORD,2020-08-03T11:16:05Z,3
"Such a beautiful place so untouched by humans , I’ve never seen these islands before, thank you for showing Yemen and it’s islands x",Linda Ormond,2020-07-28T21:20:26Z,0
🤲.🤓,ASAD Mahmood,2020-07-28T00:43:34Z,0
כן המשפחה אוהבת לצפות במשפחה שלך ובילדיך,ASAD Mahmood,2020-07-28T00:43:04Z,0
"damn, living like most of us would want to . Live it!",Thanatos Rekt,2020-07-18T23:18:56Z,0
"Eva, thank you for making this quarantine days more exciting and inspiring!!! 💖💖💖",Ana Mendez,2020-07-12T14:40:07Z,0
This looks like heaven on Earth!,Rachel C,2020-07-01T21:43:12Z,0
So nice,Zabed Mia,2020-06-29T07:22:41Z,0
Love your videos,BayArea 80,2020-06-28T18:37:21Z,0
"so remote Island is it not though,en why dont you leave with a boat or a ship to Mukkalah and then tp Oman and then you can fly to your home land, dont tell that there is no ships and boat to mukkala, i&#39;ve been there this is how they get there food and every thing from Mukkalah...... you can leave but you just making your own movie, and this deasirt island called Suqatra if you dont wanna call it YEMEN .",Sami Alfareh,2020-06-28T12:53:13Z,0
Nice video,Ahmed Badhib,2020-06-27T13:09:41Z,0
"I wish you a happy life, son of yemen.",ابن اليمن,2020-06-26T04:57:28Z,0
Six hundred years back i think i was Yemeni.  I have a natural instinct for Yemen.,Tajamul Hussain,2020-06-21T14:59:43Z,0
💕💕💕💕💕💕👍👍👍👍🇾🇪,Abdlah Alnazc,2020-06-18T14:25:39Z,0
great,Majeda Ali,2020-06-16T21:16:10Z,0
Your stay in Socotra is more intelligence work job rather than vloger visit!!,wail alghazaliy,2020-06-13T04:53:04Z,0
🇾🇪🥰,أحمد عبدربه المسيكي,2020-06-10T23:25:22Z,0
