comment,id,date,num_likes
Can I go again? 😍,Eva zu Beck,2020-01-12T16:26:18Z,87
"was that a vegetaarian meal?, ill be honest my friend im straight up omnivore, however ive eaten vegetarian several times ( i say friend cause i dont consider you an enemy :) )",yamahonkawazuki,2020-07-09T15:49:03Z,0
Yaaaas again please 😍😍,Gnoobi Top,2020-05-13T12:12:05Z,0
"Eva, you need to experience the Qatar dunes, so much better",Omar Ascari,2020-01-19T15:33:19Z,0
Where is ur &quot; sindhi ajrak &quot; ? We Pakistani r missing ur smiling.,pretty look,2020-01-15T16:52:36Z,0
Kamal AL-Hinai what he say akhi,Musa Rind,2020-01-15T14:04:20Z,0
After watching that boat in the desert i was like Eva would chants something and this desert would be filled with water. 😁,Azhar Khan,2021-04-04T10:46:48Z,0
Sweet lovely adventure from these two lovely couple.,Shiela Leyva,2021-03-16T10:58:11Z,0
Beautiful take care,Junjun Naladunik,2021-03-11T13:41:10Z,0
😘,Juma ALhawasi,2021-03-09T04:12:44Z,0
❤️❤️❤️,Merc Martinez,2021-02-26T22:59:33Z,0
"Where do you go in Amman? You discover these places of many beauty. Many places of valleys ... mountains ... coasts ... nature.  Pristine areas ... and lots of campgrounds.  And in the country of security and safety, do not be afraid, where do you go, and love the camp. It is normal to not be afraid. Praise be to God, you are in the country of safety and peace and the nature and nature of the Omani people.",هيثم عمان,2021-02-26T08:20:05Z,0
"<a href=""https://youtu.be/6GL_JO7Tsxc"">https://youtu.be/6GL_JO7Tsxc</a>",Paul Raj,2021-02-25T01:06:00Z,0
"eva, you should have a satellite phone and even more, a satellite internet device",Santosa,2021-02-17T08:04:22Z,0
❤️👍,elena pagala,2021-02-15T03:01:39Z,0
Amazing video and adventure. Oman beautiful country.,Sunshine Tours Oman,2021-02-13T10:58:19Z,0
"After a while of watching your vlogs with Mike on your travel , I could feel that love is in the air...❤ Oh,,,you really look good together. Makes me checks each of your collab travel vlogs with Mike and him with you as well.❤❤❤. Thank you for taking me to the place where I could not imagine exists. I&#39;m always fascinated with the espectacular views of nature, I&#39;m loving every single travel you made guys. Much love and support from Philippines❤",Mysarang Lifestyle,2021-02-09T00:33:48Z,0
"Eva you are making me want to drop out of med school. I feel so trapped in my life, you inspire me so much.",Shanaya Grace Gayosa,2021-02-08T18:32:40Z,0
Same here! It changed my perspective when I discovered how beautiful the country is especially it’s people.,Dr. Benny Panakkal,2021-02-08T16:14:13Z,0
magnificent❤️,crystal harris,2021-01-26T03:41:18Z,0
"I am glad you enjoyed your trip to Oman. Yes, we do have untamed nature and sites for wild camping all over Oman. A true magical and an amazing destination for campers ... with unforgettable experiences and moments to live. Do Come Again.",Ibrahim Alkharusi,2021-01-12T13:18:59Z,0
You from where,majed maajed,2020-12-18T06:59:17Z,0
Who is the man with u?,Abdul Lateef Ansari,2020-12-10T03:38:07Z,0
One of my passion is adventure especially trekking. So nice to see you on this hike.,abunaser ikram,2020-12-04T06:49:04Z,0
How can that guy speak Urdu 😯,Mickey 313,2020-11-28T01:54:13Z,0
I just wish that when I was in Oman you were already making your Vlogs. Stay happy! I love all your travel vlogs. Be safe always and God bless you always!,"John Kam, Jr.",2020-11-24T13:44:47Z,0
Super pretty travelling 😘....eapecially when you swim with the lights of plankton...what an awesome moments.,Yance Nazifah,2020-11-23T12:41:29Z,0
"Impressive, you understand good urdu",AP H,2020-10-20T05:35:05Z,0
