comment,id,date,num_likes
I love you Ms. Eva I really really appreciate your videos 😘😘,Janes Khay OBCINAL,2021-04-19T12:26:34Z,0
what is the name of that island? like? what country is it in?,Jakub Bar,2021-02-22T12:25:59Z,0
... and the bottle of rum...,Angel Kyurkchiev,2020-11-28T15:30:32Z,1
Eva... just discovered u n m in love wth yr passion for adventure n u r a true Braveheart !!<br />Love u,Aish Musa,2020-11-25T08:58:37Z,1
Don&#39;t know,Abdul Lateef Ansari,2020-11-15T03:55:04Z,0
I think what happened to those remains are tragic. They probably have been stuck there for either extreme natural phenomenon or they went inside the cave and got stuck there &#39;til they die.,Siyaa,2020-09-10T03:03:01Z,0
Soo beautiful island and thank you for this blog.,samim ansari,2020-08-23T18:13:21Z,0
Thank you for showing the beauty of Yemen to the world,Saleh Altam,2020-08-04T09:41:59Z,0
"By the way they are organized this looks to me to be a community ossuary of sorts, which would be a form of secondary burial. This form of burial is not uncommon around the world, and can be found in different forms cross-culturally.",Madeleine L.,2020-08-03T18:32:24Z,0
IN ONE OF MY PLACE HERE IN THE PHILIPPINES . THEY PUT THE DEAD PEOPLE IN CAVE. AND AFTER SOMETIME FOR MANY YEARS THEY TAKE IT BACK OUT OF THE COFFIN PUT IN THE BOX THE BONES AND BRING IT HOME.,Jandie Olivares,2020-08-02T04:47:03Z,0
I think your fishing friend eat them! 😵🙈😱,wowza,2020-07-26T21:40:07Z,0
"I dont know if its just the screen of my phone, but the video quality of this vlog is so good. Il try my ither phone if its the same",Gerard Voughn Faust,2020-07-18T19:40:48Z,0
I think they die in there old aged😊😗<br />just want to say hi..fr the Phillippines here,Bertson Abacan,2020-07-09T12:36:46Z,0
Very nice,Dr shoaib khan Herbalist,2020-07-06T16:19:21Z,0
☠💀,Clarissa Tomisa,2020-07-01T18:06:15Z,0
🗯!!,Erwa Ben alwirdعروة بن الورد,2020-06-26T21:18:01Z,0
"Eva, stay strong. You are amazing and lovely human being. Corona locked down will be over soon. Keep making your wonderful videos in the meantime . How do you charge your camera , phone etc? Who is your phone and internet service provider in Island? I’m sure you ignore any nasty or discouraging and ignorant comments..🌹🌹🌹❤️🇵🇰❤️🌹",tarana1000,2020-06-23T12:34:35Z,0
Eva You must write the name of the island <br />Socotra (Yemen),دي جي مكس نبيل Dj MiX NaBeeL,2020-06-23T01:07:09Z,0
Im from yemen,حضرمي BBC News,2020-06-14T22:34:19Z,0
"Those are people pre Islam. Even in Areas in mainland Yemen, we have similar burials.",الأسود العنسي,2020-05-31T05:00:34Z,0
Are there poisonous snakes on this island?,Theodore Rzepski,2020-05-20T01:29:40Z,0
Bones of people who ate raw urchin 😉,Kris Ragu,2020-05-04T05:14:42Z,0
⁦🇾🇪⁩⁦🇾🇪⁩⁦🇾🇪⁩⁦🇾🇪⁩⁦🇾🇪⁩  👍👍👍,جسوم 107,2020-04-23T15:21:14Z,0
much love from Yemen💚💚,Arab Laugh,2020-04-16T03:21:34Z,1
You will spend on this island the best days of your life .. and it will be your best trip. 🌹😷,Adnan moflhi,2020-04-15T11:26:40Z,0
الله يا سقطرى,احمد عبدالله,2020-04-13T17:20:00Z,0
The bones have been piled as an offering of some kind,Khaled al-Adwani,2020-04-10T11:47:41Z,0
"In fact, this is not a cave but a grave This is one of the ancient rituals of Socotra people",OS MTB,2020-04-07T01:01:20Z,0
👍👍👍👍👍👍👍👍👍👍👍👍,Soran Deutsch,2020-04-06T16:19:23Z,0
"Eva i think this cave is For patients with smallpox that afflicted the Middle East more than 100 years ago, there are many caves that have been used, such as quarantine",F A,2020-04-06T11:45:46Z,0
What happened is they gathered it and kept it there to attract tourists.... They wouldn&#39;t die hugging like that🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,أبو زراره,2020-04-06T11:17:50Z,0
This is mysterious,Daisy -,2020-04-04T20:44:45Z,0
"<a href=""https://www.youtube.com/watch?v=oGzmCAZIRaw&amp;t=1m35s"">1:35</a> they probably died Eva...🤷‍♂️",esshtd,2020-04-04T19:07:47Z,0
Oh no and I thought they were alive 😁😢😢,Ελληνας Μουσουλμάνος,2020-04-12T13:39:47Z,0
"I think, according to what I heard from the ancestors, that not long ago, maybe 100 years before. the only dependence was on livestock for that. Once there were droughts, people would starve to death, so they would be buried in the caves, because then there would not be enough power in the living ones to bury them in the usual way.",Ahmed The servant of Saddam Hussein,2020-04-04T18:02:27Z,0
And this is called: A Horrible Quarantine Story,mrehan,2020-04-02T13:49:27Z,0
It is a beautiful place !!!,Rash Roush,2020-03-31T14:31:45Z,0
"Possibly the bones of Captain Hook.... Hahahaha <br />Now you just gotta find Peter Pans remains and we&#39;re good....Lmao<br /><br /><br />Stay safe, Stay Strong, Stay Blessed <br />1",SA H,2020-03-30T13:55:32Z,0
Welcome to Yemen l hope you will visit us in the rest of Yemen,Sublex Tube,2020-03-30T12:40:47Z,0
So be careful don&#39;t get away from the corona virus and catch older virus from this grave cave,سعد محمد سعد,2020-03-30T04:26:48Z,0
"Eva,,, hi,,,. This Saad from Saudi. I like your videos, you have nice lovely spirit. Eva,, people at Arabian penensula hundreds years ago used to bury their dead inside caves. Specially when they faced someone kind of diseases like what is going on worldwide now",سعد محمد سعد,2020-03-30T04:24:11Z,0
alai killed them and put them in the caves,Fozan Usman,2020-03-29T19:06:11Z,0
Actually which island are you on?,Zubair Tarsoo,2020-03-29T14:01:26Z,0
"You should first ask the locals about the human remains and then tell us what they have said, then, after that we can just guess. Finally, God knows",Saadٍ,2020-03-29T09:17:35Z,0
A group of 14 people came to the island and they were trapped there ... some mysterious things preyed on them. People hid themselves in the cave where they died or were killed by these mysterious things.,J B,2020-03-28T10:46:05Z,0
Eva taker,Jon Binauro,2020-03-28T09:42:06Z,0
1 shirt for the entire week? I’ll pass.,Joanne Chris,2020-03-28T03:32:27Z,0
"Heaven! Do this people have internet? Or you are going somewhere else to download this videos. Thank you for making them, by the way😉",Michele Stout,2020-03-27T21:49:20Z,0
"Eva once again amazing , fantastic and fabulous video...keep it up...your biggest fan 💚<br /><a href=""http://www.youtube.com/results?search_query=%23Quarantine"">#Quarantine</a> <a href=""http://www.youtube.com/results?search_query=%23Day"">#Day</a>",Rameez Gilani,2020-03-27T21:21:56Z,0
The human bones got there because the people who live on that island treat themselves to human meat every now and then,S,2020-03-27T20:12:51Z,0
I have no Ideia...Maybe they were cavemans ☠️💀 Cavewomens..Who know?,Pedro Belmont,2020-03-27T19:43:45Z,0
What do locals say? About what happened about how did those bones end up in the cave? A &quot;burial&quot; site?,MayMood Arabia - ميمود,2020-03-27T18:06:25Z,4
This is a question for archeologists to answer,zwhnekrh,2021-01-23T18:10:59Z,0
After every 23 years it gets to eat...,GARNISHIZZLE,2020-03-27T17:48:13Z,0
I think it was a traditional way to put the dead bodies in a cave  or maybe people were living there and I hurricane hits the island and they died there and no one know about there for ages 🤗😅,شبح الرياح,2020-03-27T10:05:35Z,0
Can anyone please tell me this island real name and where is located,Safiyullah Safi,2020-03-27T08:43:28Z,0
Dont step to bones.,Abdisamad Adam,2020-03-27T08:40:21Z,0
Fake fre fake fake fake fake fake fake,Pardonator42 _,2020-03-27T08:05:03Z,0
"A group of trekkers might went there.<br />The moment their food is finished, they started eating them selves, the last guy died of starving and finally end up with no one.",Habeeb Ashraf,2020-03-27T03:06:33Z,0
The Earth has human remains everywhere. When Jesus Christ returns he will call the righteous dead to eternal life!! Oh WOW it could be soon!! Check it out. Read the Bible to see!!,Richard Fulmer,2020-03-27T02:38:52Z,0
Those are the skulls of people who was raped!,Pinoy MTB E-Bike,2020-03-27T00:25:46Z,0
You look like Catriona Gray,gwapings4layf,2020-03-27T00:11:26Z,0
An ancient burial site?,keosh777,2020-03-26T22:45:24Z,0
Hi Eva Sheldon from Trinidad . It&#39;s nice to see places that I can&#39;t visit . Thanks for the vlog,sheldon Kowlessar,2020-03-26T22:41:15Z,0
"I think it’s highly irresponsible for people with platforms to be promoting travel right now. You are encouraging reckless behavior which can cost human lives.<br /><br />If you’re traveling to a place where there is a risk that you’ll introduce disease and where the local people do not have immunity, you are doing something unethical.  How do you really know if the virus is not on Socotra? How many were tested? Were you tested? You are young and could be asymptomatic. Its clear Yemen&#39;s healthcare system could not handle an outbreak. How painful would it be to look back on these photos/videos, unsure if you played a role in spreading a deadly disease to this precious community. There is a long history of western explorers doing this to indigenous people. <br /><br />Please ask yourself, did you stay out of safety, or ego? These photos and your giddiness seem like a romantic story to boost your likes and followers. Sight-seeing with local fisherman is not &quot;quarantine&quot;. Choosing to miss a flight is not &quot;getting stuck&quot;. Its playing with fire.<br /><br />While the rest of the world stays indoors, putting community above self, to protect one another, you do the opposite.  I urge you reevaluate your responsibility as an influencer, and your actions at this time.",momonala,2020-03-26T22:31:52Z,1
Cave burials are very common in many parts of the world.,RANI YAFAI,2020-03-26T22:05:36Z,0
Love from karachi😍😍😍😍,MUJAHID MOHIUDDIN,2020-03-26T19:13:23Z,2
Probably there was a lockdown before.. &amp; they all died there in hunger..,Phos Graphi,2020-03-26T18:37:38Z,0
Quarantined long back,Maj K,2020-03-26T16:20:50Z,0
They ate  each other.,Jude Volta88,2020-03-26T15:42:34Z,0
such a wonderful place!!,GTR 26,2020-03-26T15:05:50Z,0
14 👻 + 2 😷 <br />Maybe her final destination<br />😢,cool spring,2020-03-26T12:53:06Z,0
Massacre.😣,MARLON SARMIENTO,2020-03-26T12:31:36Z,0
Simple answer to your question is that ... It is a forgotten genocide that no one has reported UN before so it is your turn to do it now...,Ahmed AlShalchi,2020-03-26T11:54:46Z,0
is this jacks paul channel now i saw dead ppl over there lol,ZXBLIZZARD,2020-03-26T11:27:28Z,0
Good women traveller in the world  !,Afaq Shah,2020-03-26T09:05:03Z,0
"May be its like a cemetery,died people were left there",Backup Data,2020-03-26T08:45:47Z,0
I am in yemen can I help you,ناصر مساعد,2020-03-26T08:39:26Z,0
This was were Melisandre did black magic to make Stannis as the King,Felis Nigripes,2020-03-26T08:38:33Z,1
Eva You didn&#39;t mentioned the Lication... Very nice  video.,3D writing by me,2020-03-26T08:25:33Z,0
"Hi, there! I admire you...=)",Maricel Vallejos,2020-03-26T08:20:27Z,0
How come you have internet there,AA AM,2020-03-26T08:19:45Z,0
I love to spend sometime on this island,funny clips 2018.seconds to laugh,2020-03-26T08:18:01Z,0
"Those bones 😱<br />How did you get your drone fixed, or did you have to buy a new one??",Travel Hacking Teachers,2020-03-26T08:17:29Z,0
They died of Corona Virus,Ray Zee,2020-03-26T07:06:16Z,0
I prefer to be in that island at this moment 😕Enjoy Eva🤗,Ja Red,2020-03-26T06:56:18Z,0
Usually those are used for black magic,Malvivo90,2020-03-26T06:21:28Z,0
Allways be carefull eva from the corona virus 🙏😔😊,Jonathan Sonza,2020-03-26T06:19:54Z,0
Could be a local serial killer who dumps his victims bodies there...,Transporter Uk,2020-03-26T06:04:23Z,1
Caves have been used as burial places for thousands of years and once people started farming and living in permanent settlements they would bury their dead within the house under the floor. In some instances even in the corners of the dwelling over the centuries the practices of burying the dead have changed however in some parts of the world it remains unchanged.<br />What you see there is a ritual of burial that our far distant ancestors laid their loved ones to rest 👍,Mick Angelhere's World,2020-03-26T05:26:17Z,0
Appaerently it&#39;s where all the covid 19 patients go to die<br />Sorrry everyone,Camp Ari,2020-03-26T05:23:29Z,0
