comment,id,date,num_likes
"Safe travels. Thanks for sharing, Lord-Jesus-Christ com",Moses Exodus,2021-04-20T01:04:15Z,0
I cannot possibly love you more,Chris,2021-03-25T14:12:48Z,0
Ohhh...i remember my baby goat. She always cried whenever I left her in the field. So cute.,Mysarang Lifestyle,2021-02-11T15:19:31Z,1
I like her and the chidren are so cute!,merc 340sr,2021-02-02T15:59:54Z,0
Very nice 👍 I am big fan of you<br />! Please also subscribe “ London Dua Review” to see different places and reviews about them in London. Do not forget to Subscribe “ London Dua Reviews” please,Danish Sibghat,2020-12-14T02:36:09Z,0
Wish a trip with you 🙂,Travel Lover,2020-10-05T05:12:58Z,0
today i will let all the ads play without skip it. All for supporting Eva.,Dean Kayree,2020-09-11T08:52:55Z,0
Hey eve dear .why so small vids???,S N,2020-09-09T06:06:27Z,0
"Я не понимаю, жалко детям сладкое купить? что ты им машешь?((( неприятная девушка...сплошное любование",dorama tok,2020-09-05T04:52:31Z,0
WOW THE STONE ARE VERY BEAUTY I WANT MORE OF MONGOLIA. IF ONLY I&#39;M STILL YOUNG I WANT TO STAY DER FOR GOOD. CAN U GIVE ME SOMEONE TO BE FRIEND MONGOLIAN MAN. JEJEJE.,Jandie Olivares,2020-08-02T03:10:42Z,0
<b>from I N D I A</b> 🇮🇳,KAMAL YARLAGADDA VLOGS,2020-07-27T19:44:13Z,0
Two guys are your bodyguard goats be careful she may spread china virus lol😀😀😀😀😀,Madhusudan live and let others live,2020-07-20T17:17:43Z,0
sunshine all the way!!!!,srđan živanović,2020-07-03T10:22:40Z,0
🗯🤣<br />Goats<br />الماعز لطيفه اسمها بيلي<br />وفي الحقيقه احب المراه الحنونه الطيبه😍,Erwa Ben alwirdعروة بن الورد,2020-06-23T21:50:08Z,0
تخيلو هذه الجزيره مع دوله غنيه بتكون احلى جزيره بالعالم,صلاح سالم,2020-06-18T16:35:28Z,0
eva please don t be selfish your audience live to see the face of one by one those beautiful people and specially children. talk to them arabic they look very friendly don be very white woman please.,Omid,2020-06-16T22:26:27Z,0
I laughed your dozens of children 😂😂,fancy Gold,2020-06-09T19:52:03Z,0
I&#39;m wounder to seen  such a wonderful  video/volg.,Zoadur Rahim Porag,2020-05-22T15:06:29Z,0
eva when are you coming to south india ?,MOVIE DREAMERS,2020-04-19T18:24:30Z,0
How’s Billie these days,M H,2020-04-12T22:42:36Z,0
Can we Change places Hhhhhlol,Ayman Maqsa'a,2020-04-10T19:43:19Z,0
"Nice video Eva. The grossery owner looks as any suspicious muslim indvaded  by an infidel... I dont appreciate the sick ideology Islam but loves your traveling updates, they are great!!!",Philip Mejlstrup,2020-04-07T22:29:08Z,0
Really I loved your way to describe your feelings and opinions about sth because you are talking without thinking you are talking from you heart  I wish you can visit more places in my country Yemen and You are welcome any time 阿里 Ali,Ali Alhamidi,2020-04-07T00:56:14Z,0
I was in Socotra last month as you! I&#39;m jealous of you staying longer to travel😆 I wonder how to upload your video there because of terrible low signal.<br />Anyway I&#39;m looking forward to your next video. And stay safe😉,Mayumi K,2020-04-06T19:00:37Z,2
"<b>I am from Yemen, I welcome all of you. There are other videos of my photography in Yemen. I hope you like it</b>  😍🇾🇪💙",محمود عياش HD,2020-04-06T05:34:48Z,1
اليمن موطن الجمال <br />اهلا وسهلا بك في سقطرا 🇾🇪🇾🇪🇾🇪🇾🇪,صدام المجهلي,2020-04-06T00:52:09Z,3
@Ala lomeh كله يمني مابش اختلف <br />🇾🇪جنوبي شمالي واحد,صدام المجهلي,2020-05-02T01:45:11Z,0
رحب بها في صنعاء مش بسقطرى <br />سقطرى جنوبية مش شمالية,Ala lomeh,2020-04-06T07:34:34Z,0
"Beautiful is putting it mildly!  Where would you have warm waters, sunny skies, and a laid back lifestyle when most of the world is building monstrosity, corporates sprouting up like mushrooms, where kids have no time to enjoy freedom unless supervised, and ofcourse sell sugar to kids to poison their pure bodies.",C,2020-04-05T00:31:43Z,0
"<a href=""https://www.youtube.com/watch?v=ujpoMkaYGsQ&amp;t=2m50s"">2:50</a> when i finally win against my friends on monopoly!",KD HB,2020-04-04T17:57:48Z,1
Hi...Where are you ?,Shamim Abid,2020-04-04T10:45:11Z,0
When you come back to Pakistan,izhar Ahmed,2020-04-04T07:25:08Z,0
Eva you should in pakistan in carona virus,izhar Ahmed,2020-04-04T07:24:48Z,0
Y yyyyyy u still not upload video ... insah Allah u r ok ...,Junaid ali,2020-04-04T06:32:07Z,0
"If there is any such thing as reincarnation, I want to come back as you in my next life.",Joanne Chris,2020-04-04T04:42:30Z,0
Good work,The Crushes List,2020-04-03T20:52:25Z,0
Are you all ok? Why no blog?❤️,"Angela Smith, ArtsyAngieArt",2020-04-03T15:47:25Z,1
"I&#39;m so happy  to see Mik-Mik  ( Mike ) one of The FIGHTER BOYS 💪💪💪 Amazing place and nice adventures, Thank you for sharing your awesome vlogs 😍 Be safe Guys and Take care 😍😍😍God Bless 💖 from : Toronto",Brenda Tagadtad,2020-04-03T11:44:58Z,0
Belated happy bday eva🎂🎉🍾.. Keep safe and healthy.💞 🙏 A new friend from🇵🇭,Dairen Ili,2020-04-03T08:12:54Z,0
Hi Eva please upload the video I m weriod about u .. insah Allah u r safe ...,Junaid ali,2020-04-03T07:15:43Z,1
yemen is the best place to live in. Socotra.,علي العلاو,2020-04-03T06:23:34Z,0
Yemen is the only country left with no case of corona. Your in the best place right now. Hospitality is great and weather is amazing,Yemen Tribez,2020-04-02T21:55:29Z,0
"The good news is that you very likely won&#39;t get coronavirus... the bad news, depending on how you look at it, is that you may be stranded there for years or even forever depending on how badly the world falls apart due to this. After watching numerous other YouTubers I am a fan of either get stranded in foreign countries or abandon vehicles, motor homes, or their personal possessions to take sudden flights home, I saw your video and it takes the cake, as they say. Stranded on a remote island off the coast of Yemen, one of the most improvised countries in the world... wow. By the way, we are &quot;stranded&quot; inside our home in California and you can watch my videos to see not only updates about our own situation, but also my rants about the coronavirus situation both here and around the world.",adriennefloreen,2020-04-02T19:27:29Z,0
"For years or forever? :) Now you are too dramatic. Leaving the island (i guess to Yemen mainland) is probably more dangerous then her risks on bad consequences if she might get the virus. It&#39;s a serious virus, but for a young non overweight woman the risk is very small.",Leo,2020-04-05T16:42:12Z,0
"<a href=""https://youtu.be/u2Psqo7zqMY"">https://youtu.be/u2Psqo7zqMY</a>",Voice of East,2020-04-02T16:00:58Z,0
"Hi<br />I am RASHID from PAKISTAN  🇵🇰<br /><br />regurarly watching your VDO&#39;s.. and like it <br />Plz stay safe 😷 and my  pass my greetings and best wishes to every one there, 🙏",MrAwan1975,2020-04-02T07:47:08Z,0
The Pied Piper 👍,Mick Angelhere's World,2020-04-02T06:18:29Z,0
God bless you,shahzaib pardesi,2020-04-02T02:01:04Z,0
Yalla 😂💙,Muhammad waleed,2020-04-02T01:16:29Z,0
"Love from United Kingdom, Stay Safe, !!",H0NE5T1Y??,2020-04-01T20:52:31Z,2
Did you really find a bf or not ? Nick is your fiancé I hope so.,Wildlife Natural,2020-04-01T16:16:27Z,0
Alla That&#39;s ABU WALAD 😃😃 ..<br />I missed those biscuits 🤤🤤,iosofin,2020-04-01T14:18:44Z,0
