comment,id,date,num_likes
"Well, this is officially the start of my stay in Europe for a little while - thanks so much for watching and following along 😍I&#39;ve a few more videos from previous travels that haven&#39;t been edited, so some of my &#39;old travels&#39; are coming back (trust me, some of them are pretty epic). But there will be new adventures, too 🙂 Hope you stick around for more, stay safe!",Eva zu Beck,2020-07-05T13:47:02Z,410
"I&#39;ve been watching a lot of your travel vlogs this evening. Safe travels. Thanks for sharing, Lord-Jesus-Christ com",Moses Exodus,2021-04-20T03:11:10Z,0
@Zev Jaxon I am trying it out right now. Seems promising :),Troy Paxton,2021-03-28T14:22:23Z,0
Dunno if anyone cares but in less than 15 minutes I hacked my girlfriends Instagram account by using InstaPortal. Cant link here so search for it on google :),Zev Jaxon,2021-03-28T14:07:06Z,0
So brave and intrepid!,Richard Stansbury,2021-02-04T01:16:50Z,0
My name is Arlyn Bocanegra from the Philippines. I just subscribed to ur channel. All are amazingly beautiful... I love u Eva. Hope u can visit Philippines for a beautiful vlog. God bless,arlyn bocanegra,2021-01-10T15:22:23Z,0
Good journey and good experience gained,Ku Shafrizal,2021-04-21T14:31:36Z,0
I really like your style in filming and narrating these vlogs =),Benedikt Schott,2021-04-20T08:10:04Z,0
"<a href=""https://www.youtube.com/watch?v=RnZoMEzhAhM"">https://www.youtube.com/watch?v=RnZoMEzhAhM</a>",SHAHEEN FEEL TV,2021-04-15T15:28:38Z,0
NICE,SHAHEEN FEEL TV,2021-04-15T15:28:32Z,0
"I like it. A lot. We are obviously different kind of people. I love traveling too, but it is to get away form the crowded and busy city i normally live.",Wong Tik Ki,2021-04-09T15:22:53Z,0
"The husky half-brother simultaneously tremble because blood lamentably walk apropos a plain cactus. nutty, gamy crown",Jimmy Faltz,2021-04-08T19:10:08Z,0
Eerie... the word to describe the airports.,Kim Turner,2021-03-30T14:14:56Z,0
My crush 😍😍,Bess da Bess,2021-03-26T13:27:03Z,0
Jest coś takiego w Polakach w naszej barwie głosu. Jak tylko włączyłam filmik wiedziałam że jesteś polka I nie ważne gdzie się wychowałas/ urodziłas to po prostu płynie w naszych żyłach,Oxymoron,2021-03-20T19:52:30Z,0
SO SWEET. SO BUEATIFUL.,M Ibrahim,2021-03-19T14:41:56Z,0
These are the times of lies and deceipt. Thats what it is. Everyone should be flying and left alone.,Salma Nassif,2021-03-15T10:41:02Z,0
100%,Krissy W,2021-03-16T15:30:17Z,0
فرانكفورت das war schön von dir,Abdulsalam alzreer,2021-03-11T12:15:51Z,0
Its amazing to see this from a different perspective. I have been traveling internationally for a while during the pandemic because of my work. And its almost scary how empty the airports are.,sten13 gaming,2021-03-09T22:26:48Z,1
You said the aribic  word right oMG keep up the good work!,ABH 49,2021-02-25T22:31:11Z,0
I enjoy watching your blogs 😊 thank you 😊 come soon here in the Philippines soon 😊😘😘 stay safe and good luck to your next blog 😊😘,Me Mie,2021-02-22T16:10:34Z,0
Just watching your  vlogs in  l love like your vlog now so interesting amazing and beautiful just like you.keep up and keep safe and healthy.God bless8❤,Jinky Paringit,2021-02-19T03:58:23Z,0
"around the world the airport is like this during covid not Asia? Europe? middle East?all the same ? hope recovery soon ?2019 I visit to Dubai ,abu dabi airport bussy.really grazzy covid .",linda sri mulyati,2021-02-15T13:13:10Z,0
"hahaha...enjoyed your recorded trips. After the pandemic , you are welcome to visit Malaysia .....make that your bucket list",FelixVetServices EXOTICS,2021-02-15T02:40:42Z,0
You definitely miss your dog 🐶❤️,samantha mae orbiso,2021-02-06T05:38:05Z,2
Awesome episodes,Moses Kwereba Gathua,2021-02-03T12:14:05Z,0
"The drama, emotions, and storytelling are so potent and compelling. It&#39;s taking my breath away as a fellow human and frequent traveller. Thank you for sharing.",Richard Chen,2021-02-01T08:09:43Z,0
Scamdemia control virus.,Araina Diaz,2021-01-31T06:15:42Z,0
Super!,atot zara,2021-01-31T00:39:21Z,0
Abu Dabi is one of my stop over with  Emerates air line from Dammam to Abu Dabi to Manila I&#39;m watching from Dammam Saudi Arabia.,Nelson Banez,2021-01-26T17:29:23Z,0
