comment,id,date,num_likes
Over to you: would you accept a stranger&#39;s invitation? 🙃,Eva zu Beck,2020-11-08T13:36:25Z,226
Yes but I  interact well  before going to meet,Shinawar Ali,2021-04-27T16:38:42Z,0
Eva mam r u comming to India🇮🇳,Jaswant Singh,2021-04-23T03:51:17Z,0
"I already did.When visiting northern sweden, we met someone on the plane, that inveted us for a visit to her house. Gave us a lot of tips, what food to try or where to buy things. Also went to her house.",Skulkx,2021-04-22T11:28:46Z,0
@Eva zu Beck It is your kindness to old ladies. ☺,Hakim Adeem,2021-04-18T08:07:53Z,0
What&#39;s the best apk of hospitality u can recommend ?,Ighil Ighil,2021-04-18T04:00:48Z,0
"Loneliness caused her inviting you, how is she living alone?",Shinawar Ali,2021-04-27T16:40:42Z,0
"What an Angel, she seems to be. So i must make The Official Invitation to her, NEXT TIME YOU ARE IN THE HIMALYAS COME STAY AT SHANGRI LA with us Richard Conway, Catherine and Sally Hughes are all very Anxious to Meet you...! FY",Remedi Motors #HOW TO SAVE MONEY ON CAR REPAIRS,2021-04-26T22:16:04Z,0
"There are too Many Bad and Some Wicked People Even. I don&#39;t care if they say they is Good People, don&#39;t except invitations from Strangers..! Use your Youtube Monies and Stay at the Hotel...! This is what the Script Distributor Says and FY...!",Remedi Motors #HOW TO SAVE MONEY ON CAR REPAIRS,2021-04-26T21:45:20Z,0
"The germans from Transilvania, we call them “ sași “ from the word saxons.",Marius Stefan,2021-04-25T02:55:16Z,0
Likes your videos from Bangladesh,Rejoan Kobir Nishan,2021-04-23T17:40:20Z,0
Love from space 😂,NILESH KR RAJWADE,2021-04-23T05:30:33Z,0
That Edith is a wonderful woman! That was surely a blessing to be able to stay in her home and talk with her! Beautiful story.,Claudine à moto,2021-04-21T15:50:09Z,0
"Made me cry towards the end. Love the song, so inspiring. And your message at the end, really so inspiring. 💕♥️ This was so beautiful. Thank you for sharing moments like this. 💕♥️",J.A,2021-04-21T06:08:00Z,1
и песничка и запеаа бабиве :D,Deo Ananas,2021-04-20T13:36:06Z,0
You soooo beautiful eva 😁🤗 I love u!!!!!!heheheh,Yalcamama Ibrahim,2021-04-20T07:31:22Z,0
Love the history and culture.....,fernandesstanley,2021-04-13T14:20:42Z,0
What a sweet human Edith is ☺️,Midian B.,2021-04-12T23:58:09Z,0
purest form of love,Ashok Kumar,2021-04-10T19:56:26Z,0
Hi  Eva  Hello  good. Morning 🌞 🎉❤️🙏👍. I was  watching Last youtube  Manipur. And  thanks but  this  block  contry  as Garmany  In this alatana v,Vishwas Kashid,2021-04-10T16:11:14Z,0
Super super 👍,M Raju,2021-04-10T08:35:42Z,0
What a wonderful experience 🥰🥰,Cindy Eyler: Spiritual Mentor - Healer - Travel,2021-04-10T06:35:51Z,0
"That was an radically astonishing brave woman, your such an inspiration indeed! Elated watching from my house to yours, keep inspiring! Stay safe! Much love and Godbless",Braven Vender,2021-04-09T16:40:24Z,0
"Edith reminds me of my childhood just a few villages away from her place. It just looks alike and the traditional clothes just gave me the chills, as did her singing. Like her daughter, I live in Hamburg... maybe my mom even knows them. Would love to return to Transylvania my „Siebenbürgen, süße Heimat“, one beautiful day.",Harald inho,2021-04-07T20:40:02Z,0
I want to meet you pakistan 🇵🇰 come gmmm,Mushtiar Engineer,2021-04-06T22:20:46Z,0
please come Bangladesh again.!,Hope BD,2021-04-06T19:17:04Z,0
"I love your videos, let’s go to Mars on 2025❤️🪐🪐🪐🪐🪐🪐🪐🪐🪐🪐🪐🪐🪐🪐🪐",Isaac Tin,2021-04-06T04:53:30Z,0
I would like to invite you here in the Philippines,Benjamin M. Velez Jr,2021-04-05T03:34:56Z,0
Hi Eva 👋 ilike you,Benjamin M. Velez Jr,2021-04-05T03:34:03Z,0
"wow, the gift WAS very special. I got goosebumps.",DJ Kim,2021-04-05T03:31:59Z,0
Which country is this and which city?,obie sario,2021-04-04T08:05:43Z,0
Very good,Velu parthiban,2021-04-04T06:35:40Z,0
Imagen living where you don&#39;t lock your house or car wow that went out the window years ago here in America such a shame,Tn wild man,2021-04-03T17:27:52Z,1
"Edith was just so full of energy &amp; life &amp; was so happy to have you in her home, what a lovely lady..❤️",D J,2021-04-02T15:45:34Z,1
The way you speaking so nice and beautiful 👍🌹,kerala india,2021-04-01T17:37:18Z,1
It&#39;s a memorable one.,I Ph,2021-04-01T14:45:53Z,0
"try Indonesian especially Javanese living,..",achmad basori,2021-04-01T14:38:07Z,0
Come again in Bangladesh pls...,abul kalam,2021-03-31T19:19:27Z,0
"I would accept a strangers invitation for sure. I would do exactly what you did though. It always seems safer when they come to you asking, not when you go to them. The world IS for the brave.",Have a Great Day,2021-03-31T13:36:39Z,1
Cool<br />Thanks <br />Mulțumesc,daniel dorel oloier,2021-03-30T21:44:29Z,0
"Love watching your videos, Eva...Full of positivity and simplicity.I feel as if you are my next door neighbor . God Bless !!",shanti kamath,2021-03-29T05:06:54Z,0
Love you from Pakistan,Asghar Ali,2021-03-28T18:37:55Z,0
Love your journey  dear ❤🙌,kKiran Roy,2021-03-27T18:56:59Z,0
❤️,Rahul Raju,2021-03-27T07:11:57Z,0
Beautiful video. Not too crazy about the click bait title. I would’ve still watch it if it had a different title 🙂,Darisan,2021-03-26T14:34:38Z,0
When you come to Pakistan please come to my village and spent time with our family,Talha Riaz Sports Analyst,2021-03-26T07:40:44Z,0
Love this! 💕,Pretty Flyers & Designs,2021-03-26T03:02:55Z,0
Ha.. i knew you are German 😊 I find you work amazing ..  I couldn’t do this video camera stuff.. putting a cam in everyone’s face upon arrival/goodbye ect. Comes across more like a job than actually going though the experience just by soaking it all up. I think especially welcomes and goodbyes are sacred moments and for me a camera would just make this too awkward. Still I enjoy your encounters and following you around the globe😄 the song was a bit odd though and I like your personality how you seem resistant to make moments like that not awkward,Johnny Rabadur,2021-03-26T01:15:31Z,0
"Another great video from my favorite content creator. Stay Blessed. Loved the vlog, it was impressive as always&quot;",Basit Ali world,2021-03-25T12:51:04Z,0
So how abt ur plan to nepal,Santosh Gurung,2021-03-24T18:29:33Z,0
"Eva, as nice and interesting as your travel vlogs are, most people watching will never be able to experience it the way you do. Although I hate to say it, you are priviliged. Therefore, your vlogs, in a way, create envy in most, not inspiration to to do the same, as as most cannot, unless they too are of the privileged. Again, I do hate to say this, but your vlogs seem to put you more  at the centre. Strong personality.",verjon and,2021-03-24T00:17:52Z,1
"Lovely village , Edith is a lovely lady , your one brave girl to travel like that but,  at least your making memories. Stay safe.",Staffy,2021-03-23T20:23:50Z,0
Edith and Eva are singing are beautiful. Two travellers meet each other. Experienced traveller (Edith) Vs Young traveller (Eva). Very nice,Shahul Bathusha,2021-03-23T12:52:16Z,1
"This is all truly wonderful. I tend to be a little too introvert for my own good, but your travel stories are really inspirational ! <br />Cheers!",Mentalbug,2021-03-23T12:20:29Z,0
"You are so beautiful eva,,,, thanks for your videos",Jojo Dumalagan,2021-03-23T00:59:41Z,0
Thanks for smiling and helping us smile too,Gaurav Singh,2021-03-22T19:26:48Z,0
The world belongs to brave ❤❤<br />-Eva zu beck,Angelo Idulog,2021-03-22T12:36:00Z,2
Eva zu beak iloveyou babe so beatifull babe iloveyou somach babe I&#39;m pakistani,falak prince,2021-03-21T16:06:10Z,1
I wish i could visit Edith once in my life 🥺 Such a kind lady Such a Personality &lt;3,Meer Khan,2021-03-21T12:01:12Z,1
I loved Edith&#39;s song so much! What a thoughtful gift to give. There is such power and soul in the words. The world needs more people like her in it.,Topher Hoskins,2021-03-21T08:04:13Z,5
Oh my God <br />Nice vedio,Saleem Amjad,2021-03-21T06:13:59Z,0
Wonderful. I love the friendship struck up between young and old with mutual respect and kindness.,Linda Wilson,2021-03-21T05:24:34Z,1
Pure beautiful moments.🙏🙏😊,Dave Girard,2021-03-20T23:16:27Z,0
"Oh Eva, that was so beautiful!!!! You were truly blessed with your time in Transylvania with Edith. I love your videos and I love the fact that even though we do not know each other, I get to go on all your wonderful adventures with you from the comfort of my home on my cell phone 📱 thank you so much and may you always be safe.",chris c.,2021-03-20T17:28:29Z,1
You found an opponent worthy of your cringe!,Daniel Posavec,2021-03-19T18:06:37Z,0
She is a strong contender for the cringiest girl on Earth.,Ben Hicks,2021-03-18T20:06:58Z,0
&quot;The World Belongs to the Brave&quot; . i like that . very true .. greetings from Northern Ontario Canada,travgpeters1,2021-03-18T03:32:29Z,0
That was a beautiful story‼️🥰I’m so happy it turned out to be such a great experience. Thank you for sharing! 🙏<br />I don’t know how I found your channel but I’m so glad I did!😊💕,Lori Robinson,2021-03-17T22:03:41Z,0
Dracula place !!,Gede Roni Yansen,2021-03-17T18:24:04Z,0
If only I could be black &amp; do things like this. Ppl are not so welcoming.. I would love to do this 😩,Porshe Maysonet,2021-03-17T14:24:29Z,0
Pardon? 🙁,Afrasiab,2021-03-22T16:23:32Z,0
Wow❤,Mary Suzette Catipon,2021-03-17T14:03:06Z,0
"Love your video sis, i am cambodian. poor country in the world",Cambo Share Idea,2021-03-17T11:50:27Z,0
I always again and again watching to you in 24/7 viewing live streaming online unlimited video clear sounds great listening....OFW PILIPINO KSA 20 YEAR WORK LAND BASE ....,Ernesto Poblador Mosquera,2021-03-16T22:07:44Z,1
"I live in Transylvania, I consider this part, the most beautiful side of the country. All kind of people come here to visit, but I am happy to see that travellers like you, who is not afraid to discover the people&#39;s life beyond the postcards, keep coming here aswell. I hope you had a magical time in Romania.",eviciqee,2021-03-16T13:21:52Z,0
I love seeing this. My beloved friend was born in Romania. His dream is to go back and visit. I hope his health returns and make his dream came true.,Lupe King,2021-03-16T04:29:43Z,1
"Aside from being optimistic, that was one crappy song. No balance and no rhyme in it at all. Worst composition!",Abass Faizy,2021-03-15T22:02:59Z,0
Love u Eva! Thank You for sharing this great experience from around the world💖 I am so happy that I found your YouTube channel. My dream became to travel alone somewhere someday...,Bolor tuyaray,2021-03-15T15:14:27Z,0
So lovely.. I love how edith shows how excited she Was meeting you eva.,Shiela Leyva,2021-03-15T12:38:10Z,3
"Thank you so very much , I was just like you when I was younger , God Bless your heart sweet heart , stay safe , 👍🏼🙏❤️🇨🇦",Heather Bowlan,2021-03-14T19:04:29Z,0
Edith is a pure love 🙌🏻🤍,Nina Majerčíková,2021-03-14T17:01:27Z,0
Amazing place and beautiful people. Thank you for sharing their village to the world.,Glen Espartero,2021-03-13T15:55:47Z,0
I watched many of your vids and this is one of my faves<br />Thanks for the smile ( im on a quarantine after working in a covid ward )<br />😊,Edilyn Constantino,2021-03-13T11:28:53Z,1
Can you go see Edith again? haha,Bee,2021-03-13T03:23:32Z,0
Adevărat!,Brunchi Iulian,2021-03-12T23:39:00Z,0
you are a beautiful being,3S POKHARA,2021-03-12T17:17:32Z,0
Why do Romanians look like they&#39;re straight out of Borat? Except the German lady lol,ada slovak,2021-03-12T16:38:33Z,0
"Repent , the kingdom of God is at hand , read your bible for yourself, and pray , there is nothing our three in the world ,as God to guide and protect you ,if you have any question please ask me,",tinaj sews,2021-03-12T14:59:03Z,0
Danke,Danilo del Rosario,2021-03-11T17:21:45Z,0
Just loved to know such safe places on earth still exist.,ADITI GUIN,2021-03-11T12:32:26Z,0
Love the ending line “World belong to the Brave” and that is so true❤️❤️❤️,B S,2021-03-11T00:16:27Z,0
"How absolutely strange.  I never have a house without a horseshoe over the door with the ends up.  Each door has one and it is for good luck and to protect the ones who live in it.  Now mind you, I live in the US in a pretty forward thinking community.  No one questions it.  LOL",Judy Brezina,2021-03-10T20:06:44Z,0
Dear friend 💗 you come back Pakistan. Lahore,Shameem's kitchen,2021-03-10T17:34:19Z,0
This was so special. I’m jealous! Lol What an experience. Can not compare these experiences to anything. ♥️,Elizette Nelson,2021-03-10T16:26:17Z,1
I love this.. such a special trip,terri G,2021-03-10T15:57:03Z,0
Way to go    wonderful job congrats!!,John Swann,2021-03-10T13:56:42Z,0
Brilliant stuff. Thank you so much - and your new friends as well.,bitegoatie,2021-03-10T05:44:50Z,0
Where should I hide the body?,MyHusbandIsNotGay Yet,2021-03-09T16:05:52Z,0
I liked Edith and rosie too much. Such positivity. <br />Love to u mam. U r such a sweet human being,shilpi mukherjee,2021-03-09T11:50:55Z,0
I hope you could visit phillipines too...there&#39;s a lot to discover here too..,Joaz Henry Villagracia,2021-03-08T17:35:05Z,0
"Omg, I played this video just because I was like &quot; this thumbnail looks like  it&#39;s my country &quot; and I was right :))) 🇷🇴",Georgiana Alexandra,2021-03-08T06:50:49Z,0
"Whatever you can do ,or dream you can  begin it just begin it.<br />Nice thoughts",JHAMS TV,2021-03-07T14:18:42Z,0
Watching here from Philippines I always watching your videos .May God guides you always Mam Take care,JHAMS TV,2021-03-07T14:10:06Z,0
Lovely,Arnaldo C. Marques,2021-03-06T23:46:52Z,0
❤️ beautiful ❤️,Sikandar Khan,2021-03-05T08:57:34Z,0
"Ooh I think I must be in this genealogy, something deep spoke to me I can&#39;t describe. What a treasure",RG,2021-03-03T02:56:26Z,0
What a lovely lady Edith is. You are so fortunate to meet such lovely people and visit such awesome places. Enjoy life Eva.,Serena CN,2021-02-27T16:53:45Z,0
I was expecting yu in pakîstan aGain for psL,Saadi Ali,2021-02-25T20:53:05Z,0
love the song 😊 <br />powerful words ✨,Drew James,2021-02-25T10:53:13Z,0
"Made me so teary at the ending part where Eva was saying goodbye to Edith and her friend Rose. Made me remember of my Belgian English land lady, she is always full of wisdom and I really cared for her 💕",awomansmodedevie,2021-02-25T02:07:49Z,1
This was really inspiring episode... Never ever have seen such things 🤗😊 thank you for uploading,Ishrat Ajmeri,2021-02-24T16:54:52Z,1
Oh she is so gorgeous 🤪😘😘😘,Anonymous Boy,2021-02-21T19:55:20Z,0
"Great, that they keep this heritage treasures of houses. Even in their original countries they don&#39;t do so, as soon as they are being sold, beautiful longstanding and artisanal houses are &quot;replaced&quot; by ugly cheap modern &quot;buildings&quot; There is one in front of me, where obviously the man living there has left for quite some time now, it hasn&#39;t changed a bit since then and now they want to destroy it. Love",dukenegju,2021-02-21T19:27:44Z,0
The food looked amazing .  I&#39;m not sure that it was all vegetarian though because the last dish appeared to have eggs in it.,Ronnie Williamson,2021-02-21T06:19:17Z,0
"Things like this put me as an Englishman to shame,, wherever people travel to. far and wide, around the globe, to the most sophisticated societies to the poorest and least advanced places, there is someone who is multi lingual, and 99 times out of a hundred can speak English..  This is a throw back to our complacency centuries, where we thought every one else in the world, was ignorant and should speak our language. So much so that in my schooldays, ( I was born 1950), there was no option or lesson on languages in any of our schools.. I would have loved to learned another tongue or two,, Especially French German, Spanish. but alas I am not self determined enough to &quot;go it alone&quot;, especially now, as everyone seems to want to speak English. Therefore on holidays or meeting people of different countries and cultures, I feel the odd one out, as at least the very &quot;uninitiated&quot; will try their English on us,  but I am too embarrassed and ignorant to try their language! And as far as I am concerned the English are ignorant and complacent as far as that goes as it appears I am not the only one!",chris bond,2021-02-20T18:52:24Z,0
&quot;This is the way&quot;,no,2021-02-20T16:58:09Z,1
Anyone from Bangladesh? ❤️,Kazi Zidan,2021-02-18T07:40:04Z,0
I really enjoy your experiences....it always make me smile....with love from Trinidad and Tobago.,Randy Deokiesingh,2021-02-17T03:12:42Z,0
Wish to have a friend from there... They are lovely and humble,Shedir Star,2021-02-15T14:04:59Z,0
How do you travel during the quarantine restrictions? Must you first stay 14 days alone isolated?,Cydrike LOR,2021-02-15T07:51:20Z,0
I love how you got my same adventure vibe and same excitement in travels. Who pays for all the travels you do?,Alba Tavano,2021-02-15T00:24:11Z,0
What a special place and Edith and her family are gems!,Ceil Constante,2021-02-14T22:57:15Z,0
"Hello Eva ,I invite You to My country ,in Tabasco México .",Jose Luis Arcos Martínez,2021-02-14T17:40:40Z,0
Check out the Saxon blacksmith ! Very cool.,BrownLeaf,2021-02-13T20:16:12Z,0
Visa undo zu back,Shamseer C,2021-02-13T12:31:12Z,0
Eva is so beautiful. No wonder many peoples invite her.,Ana Ben,2021-02-13T02:37:49Z,0
Hospitality is cool!... Nice one...,Jhang Sanih,2021-02-12T14:53:50Z,0
Missing you in Pakistan-,Nadeem Ali,2021-02-10T04:55:41Z,0
Your love is so very real,sattwa,2021-02-09T20:21:27Z,0
"I enjoy watching,many places yuo’ve gone.bueatiful places like you.nxt time visit also the philippines.",Melchor Chua,2021-02-09T19:20:53Z,0
Eva is so beautiful 😍,Raymond Kho,2021-02-09T13:54:04Z,0
Am addicted this blog thanks a lots God Bless and keep safe always ...,Imelda Pasco,2021-02-07T13:58:20Z,0
"A good experience to share. <br />When travelling, i also like to go a “ road less traveled “",A.Rozian ARO,2021-02-07T06:58:52Z,0
Edith is a pure soul! I love her,sheentheexplorer,2021-02-07T04:22:21Z,2
This place belongs to bald and bankrupt,Make Gurung,2021-02-06T16:58:38Z,0
😍😍😍😍👍🏽👍🏽👍🏽🏃🏃🏃,Philip Abando,2021-02-06T09:04:30Z,0
Organic traffic😂😂,luqman hakim,2021-02-06T04:52:11Z,0
Wunderbar!,L Land,2021-02-06T03:48:59Z,0
"That is how I started my first travel, I was invited to California!  Great video, good food.  I am jealous of all your adventures but keep traveling and thank you for taking us there!",Michael S,2021-02-05T21:22:57Z,0
"This look so fun, another unique experience 🥺❤❤❤",Lara Jezreel,2021-02-05T11:01:57Z,0
Thankyou for this.. I learn a lot,VBangtanwarrior,2021-02-05T07:09:32Z,0
"You are so brave, independent and you do very good vids n present well.<br />Cheers",robertson pereira,2021-02-04T13:32:04Z,0
"Go girl,travel alone...Until things will go really wrong...Won&#39;t be sorry!",nicolas sosolic,2021-02-03T17:52:07Z,0
"I would love to travel with you.  I am fluent in Spanish, runner, biker, retired, and have a lot of time to travel!",Manuel Juarez,2021-02-02T19:43:33Z,0
Wonder full,Imran khan imran khan,2021-02-02T17:11:58Z,0
"That was a wonderful experience.. to be a total stranger....I still remember during my European days in Meerbusch ,Germany..I was the only Asian on that train and the  passengers was mostly Germans..it was really  a strange feelings  for me..first time to feel that way..but it was 33,yrs ago...good for you Eva...keep traveling and goodluck..",Antonio Adventure Attack,2021-02-02T00:32:38Z,0
Beautiful Transylvania  !,45vidocq,2021-02-01T17:05:24Z,0
Edith is a sweet woman!!😍,Brandy Montgomery Reeves,2021-02-01T05:14:39Z,0
"I am from East of Turkey,we still don&#39;t lock the doors during the day even when you need a nap.We only lock the doors night time",Habibe Boyraz,2021-01-31T19:59:59Z,0
"<a href=""https://tinyurl.com/filrtbengyansexgirl"">https://tinyurl.com/filrtbengyansexgirl</a><br /><br /><br />TANTA BEYEZAS QUE DIOS A HECHO EN ESTE MUNDO ASERE Y<br />DISEN QUE DIOS ES MALO SI DIOS ES MALO NADIE ES BUENO ASERE<br />MIL GRASIAS POR TANTA BEYESAS I loro stati di salute rispettivi prevenirli<br />ライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたもんね（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした！今後は気を付けないとねH",cherry,2021-01-31T17:48:48Z,1
I love the message of the song that Edith has taught you. You are an amazing person Eva. Has been watching your videos all day now..,Jammie BV,2021-01-31T13:59:19Z,0
"If a person like you, i would accept it..",gautam bhowmick,2021-01-30T23:03:42Z,0
Eva your doing an amazing job w/ your vlogs...ppl should subscribe asap !!! Keep it up !!,U.S. Paratroops,2021-01-30T04:12:56Z,0
I love that lady remained me my aunt Marta R.I.P  God bless you Ms. Edith you have an incredible soul.,Luis V,2021-01-30T02:52:32Z,0
"Eva .you look fresh ,energetic and charming .I love your video exploring the remote unknown",Ms Samsung76,2021-01-29T14:51:17Z,0
Lowkey more people need to subscribe to ur channel,maha elwaseem,2021-01-29T13:38:37Z,0
"Only in so called &quot;developed&quot; World or the west - you need to be wary of strangers and have 5 locks on the door.....<br />Poorer the people are, more welcoming, friendly and human they are....",istra70,2021-01-29T11:50:12Z,4
To watch abt this ordinary village is much better for me than the tourist places . .❤,Advelina Malau,2021-01-29T05:15:14Z,0
Why not Bangladesh 🇧🇩 🙄,Reaz The Traveller,2021-01-28T21:06:15Z,0
Come To indonesia please:D,God Eye,2021-01-28T18:12:42Z,0
This is really wonderful. I’m glad I found your channel.,jus1taj,2021-01-28T08:20:18Z,0
ill invite you here in my country philippines,ian sian,2021-01-27T13:10:21Z,1
