comment,id,date,num_likes
"<a href=""https://www.youtube.com/watch?v=OQy2QNomJZk&amp;t=5m20s"">5:20</a> that&#39;s like what we have in Libya called Braak  and mom does make that cabbage but with different stuffing ofc.",Nocturno E-Moll,2021-04-29T02:54:02Z,0
Cel mai real vlog,Mirela Adriana,2021-04-29T02:27:01Z,0
"well done,  Thank you for sharing",Traveling Adventure with Johan,2021-04-28T01:29:52Z,0
Love from india🇮🇳,Lalit Suthar,2021-04-27T07:02:20Z,0
"My babcia still wears her headscarf when she goes out in Chicago, especially to church.",Gallowglass,2021-04-27T06:16:11Z,0
"We too have plenty of grapes, everyone has grape vines. I&#39;m shocked the woman you&#39;ve been to didn&#39;t had grapes or maybe she did and you didn&#39;t see them? But just about everyone has grapes in their yard in Romania. Just a few people make &quot;sarmale&quot; with grape leafs though, because it&#39;s not so tasty. People usually consider sarmale tastier with cabbage leaf instead of grape leaf, including me. I don&#39;t like sarmale with grape leaf. As for headscarfs, I can give you a better explanation. Everybody in Europe wore them at some point, even Germans, French, everyone but they gradually removed them. It was part of modesty of a woman in Christianity but as people become less and less religious (which is very bad) they are removing these headscarfs and they are starting to show more and more skin, shorter dresses and so on which again is very BAD in my view. If Jesus was here now and you would ask him which woman He approves off, the modest one or the skimpy one? Guess what he would answer...",Daniel Maxter,2021-04-26T21:42:55Z,0
Next destination Philippines,Ed Godin,2021-04-26T14:19:28Z,0
Beautiful video such a beautiful people,O. R.,2021-04-25T23:35:56Z,0
I want to go there someday!,Sarah D.,2021-04-25T15:49:47Z,0
beautiful Evazu 👍,Jai,2021-04-23T23:06:02Z,0
Full enjoy village friend💓💕👌👌🐐🐐🐏🐏🐇🐇🐇🐇🐩🐩🐰🐰🐑🐑🍦🍧🍨🍏🍊🍅🍅🍇🍇🍇🍇🍓🍓🍍🍍🍒🍒🍑🍑🍐🍐🍐🍉🍉🍉🍉🍉🌱🌱🌱🌱🌹🌹🌹🌴🌴🌴🌴🌴,akthar shaik,2021-04-23T17:07:26Z,0
Why you didn&#39;t go to Poland to show your own culture?,H M,2021-04-22T16:11:42Z,1
"Eva i want to know how is life in your vilage when you are child.,can you vlog it too.,😃😃😃🙏🙏🙏😘😘😘😘",Jayden Mende,2021-04-21T14:00:38Z,0
"I just simply love the fact that your videos are not just to get viewers and subscribers, but for the first time, I find someone who is highlighting the need for country life and embracing traditions and keep them ongoing. Well done, Eva! Keep them coming!",Hadi El Jundi,2021-04-20T10:07:23Z,0
natural conditions in Europe is generally much better than Afghanistan due to the bigger rainfall in the latitude belt,Smith Jack,2021-04-19T21:22:14Z,0
As a Romanian born and raised in the country side I see my childhood in this video. I almost made me cry.  Thank you for sharing this.,Gia Kripterya,2021-04-19T08:40:07Z,0
I love romenian miss you,Bhagy Gameti,2021-04-19T08:22:01Z,0
"In wich villages you where? The names?  Nice to see something off Roemenia, so close but also so far...in this covid periode..Hope to visit it one times..",Vera Fragkoulaki - Severing,2021-04-18T14:43:52Z,0
truthfull and amazing speech to end a wonderfull program with.,Zubairu Isa Sulaiman Zubairu,2021-04-17T23:46:47Z,0
"These East European rural ladies are wearing nice headscarves as tradition. Now what will Macron say to them or the so called progressive French people ? BTW, love to you Eva ! You are an angel !",G Fakruddin Ahmad,2021-04-17T22:28:44Z,0
Beautiful East. Thanks Eva. Very near to the West but very far away now.,Gábriel Gyógyír,2021-04-17T09:00:57Z,0
i love you evaaaa!!! my favorite youtuber,Alna,2021-04-17T06:41:51Z,0
"Well, you’re not a wood chopper.  Texas",Papa Jeff,2021-04-16T23:37:49Z,0
"Cheerfulness 💅.Obeisance Eva zu beck <a href=""http://ji.you/"">ji.You</a> are treasure of gift given by Almighty and your sparkling journey gives more meaning to your life .I love this video,they are positive and powerful and you are freelance active Angel.🙏.",Selvaraj Kannan,2021-04-16T15:58:41Z,0
"<a href=""https://www.youtube.com/watch?v=OQy2QNomJZk&amp;t=5m20s"">5:20</a> aha aha, aşa 😂",Filip Faje,2021-04-16T13:35:32Z,0
Romanian and afghani foods are the same,Ali Baba,2021-04-16T09:48:55Z,0
💋💋💋💋💋💋💋💋💋💋💋🕳️🕳️🕳️🕳️🕳️🕳️🕳️,riaz randhawa,2021-04-15T22:32:33Z,0
❤️❤️❤️Romania este minunata!,Ionela Mihaela,2021-04-15T19:52:55Z,0
"Real life,i love my land!",Sebi Sebi,2021-04-15T03:30:26Z,0
Hello enjoy all.. From the Philippines..,Vivo V5s,2021-04-13T13:12:58Z,0
"<a href=""https://www.youtube.com/watch?v=OQy2QNomJZk&amp;t=20m30s"">20:30</a> I can hear &quot;Righteous Brothers - Unchained Melody (&#39;Ghost&#39; Soundtrack)&quot; 😁😜",Superdrinker B,2021-04-13T05:25:14Z,0
"<a href=""https://www.youtube.com/watch?v=OQy2QNomJZk&amp;t=06m15s"">06:15</a> Yes, we do sometimes sarmale with young grape leaves.",Superdrinker B,2021-04-13T05:08:11Z,0
100% u are Crazy .😆😆😆,Irfan Khan,2021-04-12T16:47:22Z,0
"this is how Romania it truly is ,not what you see on the TV about gypsies etc , your visit it was way to short to discover Romania , you should move here :).<br />We have a sayng here &quot;daca n-ai batrani sa-ti cumperi&quot; which means if you don`t have elders ,you should buy one,they are the last ones that are keeping the traditions,not like the new generation ordering everything .....from what i see you really like our food :) Thank you for showing the world how beautiful is our country , i hope you will come back.",like this,2021-04-11T21:37:50Z,1
🙆‍♀️🙆‍♀️🙆‍♀️🙆‍♀️that ROMANIA culture bread can make people add weight  like crazy .watching from kenya africa ❣❣❣❣❣❣,bella view,2021-04-11T05:00:31Z,0
"<a href=""https://www.youtube.com/watch?v=OQy2QNomJZk&amp;t=6m19s"">6:19</a> my (russian) mother has cooked stuff that looks exactly like that!",506 independent VIDEO,2021-04-09T09:16:47Z,0
You need different skills to live in a city.,Krishna Bhatt,2021-04-09T01:58:37Z,0
"&quot;if you have something good to tell to a  person to make(him)feel better,then say it,but if you have something bad to tell to a person then keep it for yourself&quot;-Lenuta",kaname reyes,2021-04-08T11:19:00Z,2
"Dear Eva , Sarmales  and Dolmades derieved from  Turkish Cuisine and Turkic Oguz  word of SARMA -SARMAK / ENG. &lt;&lt;To wrap, wrapping  and DOLMA/ to fill <br />, filling&gt;&gt;  ..as u v said  it could be  Grape Leaves  or Cabbage <br />.But.Dolma can be found in several different  varieties  such as ..Tomatoes, Eggplants,,Zucchini , Bell Pepers , Sweet Onions. even Squash Blossoms....Enjoy Babe...",Jamoka Bonita,2021-04-08T02:25:50Z,0
empanadas rumanas,Carlos Guzman Sr,2021-04-08T00:24:06Z,0
"Croatia, Serbia, Bosnia has &quot;Sarma&quot; (without the les) ;)",treintaydiez,2021-04-07T17:41:45Z,0
❤️ Eva im so obsessed watching you videos. You randomly popped up while browsing YT last week. Since then i watch your videos everyday. No joke i watch your vids everyday single day when free from work hahaha. Keep doing what you love to do and keep inspiring people like me around the world. hugs and kisses from Australia here 😘. love the line “the world belongs to the brave”,Jo Rybins,2021-04-07T03:56:05Z,0
