comment,id,date,num_likes
Yayy! Aren&#39;t we all just totally in love with Liria? This is the start of a mini-series of 3 Albanian vlogs before we wrap up the year on a high note! Lots of love and warmth to you all 🙂,Eva zu Beck,2020-12-13T16:21:12Z,567
Boa tarde amiga eva zu..você parece que gosta de praticar traking. Meus parabéns. Olha menina bonita eu gosto muito de andar de bicicleta pela minha região Botucatu sp. E um lugar de muita serra. E muito legal. Olha gostei muito de seus vidios. Você está fazendo aquilo que gosta. Fico feliz pôr você. Eu gosto de andar de bicicleta. Olha as vezes faço igual a você. Faço caminhada até pôr  40 km. Agora com essa pandemia do coronavirus. Manero um pouco. Mas de vez em quando dou uma escapada. Parabéns amiga linda. Obrigada abraço Brasil,Jãnio Andrade,2021-04-26T18:05:06Z,0
eva u get into really crazy and cool adventures keep it up. your channel is so beautiful,Jaram Ramez,2021-04-23T03:04:30Z,0
"Eva zu Beck, If you love this, then one day you should hike through the mountains of Greece from Mount Tymfi, Mount Smolikas, Mount Grammos, to Tzoumerka mountains, to over the Pindus mountains, Acheloos valley, to Agrafa mountains, to Karpenisi with Mountain Velouchi, to Mount Giona, Mount Varousia, to Parnassos Mountain. Hundreds of kilometers of untouched mountain beauties and incredible sceneries. Check it out. It would take you weeks to do, but it will be a trip you will never forget",Ptolemy336VV,2021-04-09T00:52:32Z,0
U R AWESOME,Abin Elias Kurian,2021-03-30T14:58:06Z,0
I would say most of us is totaly in love with you 🤗,Mika Keskikastari,2021-03-29T17:27:35Z,0
You are amazing I love you,Qorbanzada Hamidullah,2021-04-29T01:14:34Z,0
I didn&#39;t realize Albania was so beautiful. 😍  Awesome mountaind  and these colours... Pure beauty.,m s,2021-04-28T16:53:30Z,0
Hey come u here in the philipines,Gerry waray vlog,2021-04-28T16:18:22Z,0
Wow just Wow..Eva I looovee all of your adventures..great shots as well..I’m gonna watch out more from you..bravery is what really defines you..I’m out of words..❤️👌👏⛰🌈,Meadow Loves,2021-04-27T16:05:05Z,0
I am glad you are alive in the terrain alone 😆,Jenny Casakadosh,2021-04-27T10:37:28Z,0
So much Love ❤️,Dexield,2021-04-27T09:34:21Z,0
thanks for exploring the world and amazing places,Ghulamrasoul Mustafavy,2021-04-27T09:28:42Z,0
I don&#39;t know about Bunkers But My Forebears Built Lighthouses In The Middle Of The Ocean..usually on Solid Rock...!🤔🙂😃🤣 FY<br />So generous...! So giving are these People. I would say Meet be before the Script and lets do Horizontal Hugg but that is not what Happened here ofcourse..! LoL,Remedi Motors #HOW TO SAVE MONEY ON CAR REPAIRS,2021-04-26T22:48:00Z,0
That old one&#39;s definitely miss their children or grand children.,ജിബ്‌രീൽ മാലാഖ,2021-04-26T16:37:04Z,0
Lindo video un saludo desde el Salvador Central América,JOSÉ PLEITEZ,2021-04-24T23:39:06Z,0
"I first read that as trekking in Alabama and thought wow, she really has death threat.",beverly robinson,2021-04-24T21:11:16Z,0
Nice and interesing 👍👍🙏🙏♥️🇦🇱,laki lak,2021-04-24T07:27:19Z,0
"For Easter European Babushka you have never eaten enough. :) But yes, this lady was so nice, she treated you as her own grandchild.",Nikolay Rusanov,2021-04-23T19:08:19Z,0
Any Lions or Elephants there?,Tlou Tlou2,2021-04-21T09:42:20Z,0
you&#39;re indeed a very brave and courageous girl with awesome video shooting talent. kudos to you eva.👏,Bipin Kotak,2021-04-20T12:05:51Z,0
"she treated you as her daughter! thats beautiful , reflecting the grace and love of God",Smith Jack,2021-04-20T03:19:47Z,1
you are a amazing girl !,Smith Jack,2021-04-20T03:16:27Z,0
"land is enchanting and people are fascinating, thank you for your sharing, and hoping one day i can visit  there.",Smith Jack,2021-04-20T03:15:11Z,0
im gonna cry😭😭,aeyeon,2021-04-19T13:54:53Z,0
"What happened to us, we all should be living like that lady, helping and sharing",muydipalma,2021-04-18T17:47:50Z,0
do you marri me baby,sheikh tanvirsumon,2021-04-18T10:34:05Z,0
"Eva kamu gadis yang luar biasa, salam dari indonesia....🇮🇩",galaxiadin orbit,2021-04-17T10:06:54Z,0
Such a beautiful country 😮,Nursakina,2021-04-17T08:24:15Z,0
You are so brave girl!!!,Marina Molodets,2021-04-17T04:23:03Z,0
Remind me of grandmother. May All (God) bless you both with health and happiness ♥️,F A,2021-04-17T01:32:15Z,0
Shai 😍 arabic word,F A,2021-04-17T01:30:02Z,0
"God, why am i only watching it now? Always amazing Eva",Oey T,2021-04-16T16:26:53Z,0
Totally everything amazing.❤️,Vishal Gupta,2021-04-16T12:26:58Z,0
you receive what you give. they don&#39;t have to know your language to feel your warmth; therefore welcoming you. Mother teresa was from albania. nice and strong legs!,Jon D,2021-04-16T06:10:53Z,0
