comment,id,date,num_likes
"Isn’t it BEAUTIFUL?! I still cannot believe I got a chance to get dressed up and made up by Aziza, in the traditional Bosniak style. Huge thank you to Amra, Aziza, and Hamit who was behind the camera, helping me film! Hope you all enjoy this amazing tradition 😍✨",Eva zu Beck,2020-12-27T13:42:29Z,253
if you  know   Kosvo bride it is   much more   beatifull  no fce like  that  / whitte dress   we  dance   USA / Kosovo in weding,Bere KSMS,2021-04-04T09:38:00Z,0
it s a sin to cover your beautiful face...,enrico43869,2021-03-29T08:38:53Z,0
@HarBosSar HarBosSar This is More Macedonian Muslim or Albanian culture rather than Bosnian,Kristian Stefanovski,2021-03-19T17:14:09Z,0
@Brahim Sopa Videćemo...,Yasmina RAYA,2021-03-18T20:30:22Z,0
@Yasmina RAYA Republika Kosovo je nezavisna drzava i tacka. Nema nista sa Svrbijom. Srbija je genocidna drzava. Srbia je pocinila genocid u Bosni i na Kosovu. Ratovala sa Hrvatskom. Sad sa Crnom Goru se svadja scaki dan. To znaci svrbija je najlosa na ballkanu pa i u evropi.,Brahim Sopa,2021-03-18T20:09:57Z,0
This is old Torbesh-Illyrian tradition. This Video is maked in Zhupa region of Prizren in the village Ljubinje.,Jasko Bratko,2021-04-28T15:22:31Z,0
How religious are people in Kosovo?,T C,2021-04-22T16:47:35Z,0
Sorry to burst your bubble folks this is not an Albanian  tradition this is a Turkish tradition adopted by the Bosnians Who live in Kosova I am Albanian never seen never heard of such nonsense this is a Turkish tradition,Tom P. Gjokaj,2021-04-12T22:01:41Z,0
You were looking like a ghost😮😊,AGITATOR,2021-04-12T02:51:26Z,0
You can also find to watch traditional dance<br />SERBIAN WEDDING DANCE FROM KOSOVO,miljana petkovic,2021-04-05T22:13:38Z,0
"1.30, question.<br />If the vaccine contains corona(pig, bath) then why don&#39;t you people accept that if you get it well then you have corona in natural way, why you always listen to the &quot;master&quot; telling you to jump and you say how high?<br />Think!",Benji M,2021-04-05T06:28:18Z,0
you said traditional kosovo wedding and the granny in this video literally speak Serbian,Nikola Marković,2021-04-04T18:05:39Z,2
Kosovoo🇽🇰🇽🇰❤️,Melih Ünal,2021-04-04T08:23:43Z,0
What a beautiful home!!,SaraMichelleBelle,2021-04-04T03:55:06Z,0
How wonderful to hear the Serbian language  🇷🇸🇷🇸🇷🇸❤️❤️❤️,nora teknic,2021-04-03T21:47:32Z,1
"@nora teknic mhm? Al je kod nas kompleksno, ne mož ni zaisgurno da kažeš kolko tu ima država, naroda i narodnosti 😜. Ja sam npr tek pre 10ak godina otkrila Bunjevce, u Vojvodini :D",Milica Panic,2021-04-04T18:29:56Z,0
"Ja sam malo zbunjena... Deluje mi da je ovo albanska tradicija, a baba priča srpski, pa sam sad u rebusu :D",Milica Panic,2021-04-04T17:08:17Z,1
It really is ❤️🇷🇸,Antonija Korav,2021-04-03T21:53:03Z,1
Annoying!,Albana Berisha,2021-04-03T16:48:55Z,0
"OK, but you went to a Bosnian family, now that has nothing to do with the traditional kosovar bride (nuse). They wear &#39;dimi e jelek&#39;, search on Google images!","Slană, Mariane!",2021-04-03T07:52:36Z,0
Looks like what the Kalash people in Pakistan have. so sad when she takes the make-up off 😞,Hamid ahmed,2021-04-02T20:58:41Z,0
Omg😂😂😂😂<br />Aziza❤️❤️❤️,Sweet World,2021-04-02T14:15:56Z,0
If i were with you i would never let you see your face<br />But you are strong enough,Tayyab Qureshi,2021-04-02T11:51:08Z,0
May Allah bless you with pure guidance on this journey Aameen,Tayyab Qureshi,2021-04-02T11:46:09Z,1
"Come to Bosnia to Sarajevo and taste it real,real burek 👋😊🇧🇦",Tirke,2021-04-01T22:39:41Z,0
For good pig there is no bad food...,Kafa kafica,2021-03-31T20:32:22Z,0
She’s speaking Macedonian this is  not actual Albanians Kosovo 🇽🇰 I mean this is a Bosnian tradition kosova woman don’t do this but it’s cool,GoWithTheFlo,2021-03-31T03:59:13Z,0
Shume mire 😍😍 the weddings were lit I went to kosova in viti in the katunes and it was on for two days,GoWithTheFlo,2021-03-31T03:54:46Z,0
Oh my brother&#39;s would be very proud of you 💪,Samayah Jan,2021-03-31T03:41:31Z,0
"VERY INTERESTING TRADITIONS 👌 NICE!🙏🤍  I LOVE THE VIDEO! GREETINGS FROM HOUSTON, TEXAS. USA🕊🙋‍♀️ 🇺🇸",Leonor Lopez,2021-03-30T15:16:06Z,0
"Gorgeous, Eva! :)",Viktoria Tomsson,2021-03-29T18:13:34Z,0
Eva zu beck thank u so much for beautiful video,Riyaz Shaik,2021-03-28T10:35:03Z,0
"Assalamalaikum people of kosavo ,love u all ❤️❤️❤️",Riyaz Shaik,2021-03-28T10:34:24Z,0
"Oh grand mother says MashaAllah great ,she is amaging and friendly",Riyaz Shaik,2021-03-28T10:33:31Z,0
Amazing😍😍,Shivangi Tripathi,2021-03-28T07:47:48Z,0
beautyful tradition. Greetings from Serbia,Miroslav Cerni,2021-03-27T18:50:46Z,0
The first serb who doesn&#39;t leave any hate comment about Kosovo 😳,Erblina,2021-03-28T18:01:39Z,0
THEY ARE BOSNIANS AND NOT ALBANIANS ! THIS IS NOT ALBANIAN CULTURE !!!!,Shqipo Shqiptar,2021-03-25T10:02:39Z,0
Do someone know how is the name of the Village?,Jasmin Mallisi,2021-03-24T18:20:37Z,0
Bosnien or Goran Bride but not Albanian bride Looks like this,Gezim Prishtina,2021-03-24T02:12:32Z,0
"Kosovo is an occupied Serbian land, just in case someone didn&#39;t know or forgotted.",Marko Nikolic,2021-03-23T18:56:58Z,2
"Why is she speaking this Slavic language! If she is Albanian, this language is not Albanian",Ada's Channel,2021-03-21T21:44:32Z,0
Bosnian tradition,thetruth,2021-03-22T13:20:02Z,0
Keep spreading your wonderful smiles Eva!! You’re beautiful inside out!,Purna Sati Chandrala,2021-03-21T20:06:43Z,1
Is not kosova.,Schoko Lady,2021-03-21T19:29:57Z,0
"Dear Eva, respected Aziz made you look out of this world!  Perfect Mystical character for future Startrack Movies! 👏👏👏",nuzhat nada,2021-03-21T17:17:17Z,0
Serbia is a beautiful country indeed.,salmp7,2021-03-21T15:50:09Z,0
Marathon-ing Eva&#39;s vlog. It&#39;s been my dream to marry good and handsome muslim guy from Eastern Europe. Seeing her in this outfit made me dream more 😍,home alone,2021-03-21T15:12:30Z,0
"This tradition is not from Kosovo 🇽🇰 :)  I’m sure that’s from tetovo , kercovo  or like that",lilly Rose,2021-03-21T14:19:25Z,1
Its bosnian tradition,thetruth,2021-03-22T13:19:49Z,0
"This is not what a traditional Kosovan bride look like, that&#39;s Bosnian community who lives in Kosova, and they&#39;re not speaking albanian, so just to let people know that this is not what a kosovan traditional bride look like!",Eberisha Berisha,2021-03-21T01:27:38Z,0
Eva you go to kosovo and here bring traditions of bosnien! That iz bullshid! Traditionns ofo kosovo iz totallyti ather!,eurobern Bern,2021-03-21T00:30:55Z,0
"Entertaining video, but the title is misleading given that this is a bosniak and not kosovar tradition.",Julia K,2021-03-21T00:21:46Z,0
Bulgarian not Kosova Albanian 🤦🏻‍♂️,TV& DARDANIA,2021-03-20T18:53:29Z,0
I love it tht u wish to celebrate azias work.. Ur love and enthusiasm is enuf to make it shine thorough decades more ppl... Thanks for the awesome video,Haseena Monga,2021-03-20T18:20:23Z,0
"This is Albanian tradition dating back to Iliryan times so it is more than 3000 years old, nothing to do with any other nations.... this tradition is also in Albania part of today’s north macedonia in region of reka",B.starter,2021-03-20T09:19:01Z,1
That‘s Bosnian Tradition not kosovo  or Albanian trad.,L I R I D O N A I S T R E F I,2021-03-20T08:12:42Z,0
"I&#39;M FROM KOSOVO AND I CAN CONFIRM YOU THIS AINT KOSOVO/ALBANIA TRADITION, OUR CULTURE OUR CLOTHERS ARE MUCH DIFFERENT FROM THIS...THIS MIGHT BE A DIFFERENT COUNTRY CULTURE SINCE YOU WENT TO A MIONORITY LIVING COMMUNITY.",PANDA SHQIP,2021-03-19T21:08:36Z,0
"O po na vjedhin Historin Para syve o Popull,Na harrojm historin Shikojm Si Huta 👌",Alpha Wizar,2021-03-18T18:00:31Z,8
Po e vërtëtë !!!!! 😔,Bfeyg5,2021-03-21T21:16:06Z,1
wowwww nice,Arber Kastrati,2021-03-18T14:57:35Z,0
"Eva it is KosovA not KosovO.   In Kosova, no one regards themselves as &quot;Kosovar&quot;, International governments rule there, they force the people this idea. You are either Albanian, Serb, Gypsy, Turk or Gorani (Serbian muslims or Boshniaks).",Saab Sk,2021-03-17T00:14:31Z,0
"First of all Kosovo is Albanian country... And that&#39;s definitely not Albanian traditional thing,,, and to not even forget to mention they are not even speaking Albanian 🤔🤔🤔🤔",Ganimete Jusufi,2021-03-16T20:28:39Z,0
Please guys tell me the song name which played at first of video,Arun C.B,2021-03-16T18:20:36Z,0
Aziza dont speak Albanian in this video?She speak Serbian.,Zagorka Petrović,2021-03-16T17:28:19Z,0
"@Brahim Sopa moji su sa Kosova pradeda i prababa,ziveli su u Pristini ceo zivot,kao i baba i deda i moj otac,,bilo je to lepo vreme secam se tih poseta njima u Pristini.Imali su divne komsije radili sve je bilo lepo.Onda su dosla druga vremena koja sam ja izbegla i odlazak sa Balkana i iz Evrope smatram mojom najboljom zivotnom <a href=""http://odlukom.ne/"">odlukom.Ne</a> posecujem Balkan 30 godina niti imam nostalgiju.Dom mi je gde sam srecna a tamo nikad nisam bila zbog nemilih dogadjaja na tim prostorima.Ja sam budista,pacifista,spasavam zivotinje,pomazem ovde ljudima i radim sa decom u trojezicnoj skoli na spanskom engleskom i nemackom jezikom,deca iz celog sveta.Zelim vam srecu a pre svega mir u srcu i mir na tamosnjim prostorima,da se ljudi ne mrze vec vole.",Zagorka Petrović,2021-03-16T21:53:36Z,0
@Zagorka Petrović hvala za kompiment ali ne znam dobro vas jezik. Za godinu dana u JNA sto sam naucio pre 30 godina po malo. A sta se tice Kosovo od 93 godine promenio je mnogo . Kao noc i dan. Bio je okupirana od Srbie a sad je oslobodjena. I na ekonomskom planu mnogo je napredovala ali ima jos posla.,Brahim Sopa,2021-03-16T21:43:37Z,0
@Brahim Sopa komplimenti i vama odlicno pisete srpski jezik,Zagorka Petrović,2021-03-16T21:17:04Z,0
"@Brahim Sopa poslusala sam ponovo ovu baku,ovo vise lici na makedonski nego na bosnjacki koji je ijekavica,u svakom slucaju ovo je albanska svadba pa sam zato bila iznenadjena sto baka ne prica na albanskom.Vodim poreklo sa Kosova,posetila sam ga 1993 poslednji put kad sam otisla za Afriku i nisam se vise vracala na tamosnje prostore.Inace zivim na ostrvu sa jos 92 nacije u mesovitom braku i volim razne tradicije i kulture.Pozdrav,jos pisem srpski dobro pored ostalih 6 jezika koje svakodnevno koristim.",Zagorka Petrović,2021-03-16T21:15:44Z,0
@Zagorka Petrović sta to znaci ecekivala  sam da prica albanski. Kosovo je demokeatska drzava i osim albanskog   druge nacionalne manine govore slobodno svoj jezik. Inace hvala na repliku,Brahim Sopa,2021-03-16T20:54:40Z,0
CELTIC PAGAN TRADITION,NASH DALE,2021-03-16T16:08:09Z,1
Bosniak asian lol,DUDE 59,2021-03-16T13:43:59Z,0
Now i realized our teeth not white at all if we use white makeup,Safuwan Fauzi,2021-03-16T13:31:53Z,0
Now i realized our teeth not white at all if we use white makeup,Safuwan Fauzi,2021-03-16T13:31:44Z,0
What Bosnian ???? I never heard about his and I live in Bosnia <br />Omg what lies,Let's Talk Celebrity,2021-03-15T16:21:03Z,0
She didnt say Bosnian tradition this is tradition of Bosniaks who live in Kosovo. If u didnt know there is small community of Bosniaks in Kosovo.,Sara Uka,2021-03-16T12:28:22Z,0
"So to make that sure i have also facts and i think you can find it also that that is old (illyrian) traditional thing , not just bosnians as they call thier selfs today do that but also many parts of albanians but not all do that now so things just lose with the time",A Shala,2021-03-14T22:10:11Z,0
Love Kosovo 🇦🇱🇽🇰🇩🇪,xAjsi Gamingx,2021-03-14T10:23:06Z,0
Wow...my husband comes from Kosova (Vushtrri♥️) every year I go for holliday😍 but I never seen this look...it was very interssting. Thank you 😘,LaBella P,2021-03-14T08:43:29Z,0
its not kosovo tradition they speak bosna  they are bosnian who live in kosovo its not albanian tradition you are telling wrong things,its time for,2021-03-13T16:19:31Z,0
THIS IS NOT KOSOVA🙅‍♂️,Endrit Podvorica,2021-03-13T15:09:07Z,0
why is she speaking serbian language she is not from kosovo,Mendim Berisha,2021-03-13T10:17:45Z,0
Amazing..And unique videos...wow..,With The Wind,2021-03-13T10:10:23Z,0
Amazing,Myziana Zain,2021-03-12T08:46:35Z,0
"This is definitely not Albanian culture from Kosove, you got that mixed up my dear, it is cool though!",Arjeta Gashi,2021-03-12T03:36:01Z,0
Pershendetje Arjeta kjo asht tradit e vjeter e shqiptarve Me ka tregu gjyshja jeme Kur kan shku nuse kshtu e kan vizatu nusen E kan teleis mos me marr msysh Me kalimin e kohes asht hjek,Fatima Ismaili,2021-03-15T20:49:01Z,0
He speak Serbian,Bosko Dimic,2021-03-11T22:37:41Z,1
She is such a cutie,Shreya Moitra,2021-03-11T16:49:56Z,0
im from kosovo but i haven&#39;t seen anything like this before tf,B-rabbitツ,2021-03-11T12:40:43Z,0
"I never seen something like that,never,maybe long time ago they did this",be sa,2021-03-11T03:25:36Z,0
I&#39;m from kosov but it&#39;s not like this😲,Jetlira Tahiri,2021-03-10T23:47:44Z,0
"THIS IS NOT KOSOVO no no no im from Kosovo i,ve never see something  stupidness like that",Blerta H,2021-03-10T20:34:30Z,0
i am Kosovo and wtf i didn&#39;t know these,Lexii MSP,2021-03-10T19:16:40Z,0
Fantastik video,Enver Lami,2021-03-10T18:30:47Z,0
this is Bosnian tradicion ! not Kosovo!!!!!!!,Lion Lion,2021-03-10T16:42:11Z,0
This is not Albanian traditional wedding look they are probably Gorans or Serbs,Rinesa Beka,2021-03-10T15:35:02Z,1
Thanks for the good video but these are not the traditions of Albanians from Kosovo I am sorry and this woman does not speak Albanian !!,Las Vegas,2021-03-10T10:50:08Z,0
I have friends from Kosovo are not the same 🤕,Il3gal Burnout,2021-03-10T10:45:25Z,0
🇷🇸 🇷🇸 🇷🇸 🇷🇸 🇷🇸,iva ivana,2021-03-10T03:14:35Z,0
"Wer kommt aus Kosovo🇽🇰🇽🇰, weiß aber nicht was für ein kostüm die da an hat 😂😂",Lisiana Ahmetaj,2021-03-09T22:18:17Z,2
Ich verstehe es auch nicht 🤣🤣<br />Mir ist diese Form des Schminkens auch total unbekannt sowas habe ich bei kosovaren oder Albanern noch nie gesehen. Heftig! Und die Oma redet serbisch und kein albanisch. Was sind das für Leute????,Lilly Lu,2021-03-10T08:30:37Z,2
This is not our traditionally dress..we are albanian from kosovo and she is not speaking albanian 🤨🤨,Lion King,2021-03-09T16:57:17Z,0
They’re not albanian not even talking albanian thats not an albanian tradition thats macedonian,Saleh Enila,2021-03-09T15:56:59Z,0
"This is not Albanian traditional bride clothing, this is bulgarian minority in kosovo they call them “goran” so this has to do nothing with albanian culture or anything.",dul llapashtica,2021-03-09T11:56:08Z,0
I&#39;m from kosovo but these are so old clothes and woman&#39;s in kosovo never used this make up so wrong,Arijona Musliu,2021-03-09T05:27:58Z,0
This is ours tradional makeup and dress in Zupa region Prizren. Thank you Eva for coming and filming this so I can share to my foreing friends. You are welcome any time btw.,Suada,2021-03-08T13:07:43Z,4
"I live in Kosovo, iam Albanian but I have never seen something like this and never knew about it.🙄",Albert Gashi,2021-03-08T00:57:42Z,67
@Tamjan San really?,Realer Irrsinn,2021-04-12T17:18:17Z,0
"@Realer IrrsinnNice story , 30 % truth and 70% made up.Must be nice when you don&#39;t need facts to create history narrative as it pleases you !?",Tamjan San,2021-04-11T14:19:25Z,0
"@Tamjan San today&#39;s Muslim Bosniaks we&#39;re a christian religious denomination, the Bogumiles, who we&#39;re persecuted by the &quot;established&quot; Christians.<br />When the Ottomans came, they we&#39;re free to live their religion.<br />It is said, that many of them converted to islam voluntarily.<br />And? Weren&#39;t the slaves who immigrated to the balkans heathen?<br />Why do you think they became christians?<br />Partly for economic reasons , and to get on well with the christians in their new country.<br />So?",Realer Irrsinn,2021-04-11T09:49:34Z,1
@Tamjan San That&#39;s true Bosniaks are nothing else but just Serbian muslims.,Anton Gashi,2021-04-02T14:52:59Z,0
@Albert Gashi Edi sepse Iliret dhe Arberia skan pas qashtu traditin.,Gim Arberia,2021-03-28T00:12:11Z,0
That is not traditional from Kosovo. Its from Kërçovë. Albanian tradizional from Northmacedonia(Ilirida),Filan Fisteki,2021-03-07T18:38:54Z,0
"You can find this in Ribnovo village in BULGARIA 🇧🇬🇧🇬🇧🇬<br /> They look even better, check it out",Sunflower123,2021-03-07T17:28:22Z,0
This is not Bosnian Tradition,Arbresha Sejdiu,2021-03-07T12:13:02Z,0
"no, this is not traditional kosovo clothing ok.  Kosovo&#39;s traditional dress is completely different, you wore a Bosniak dress.  then traditional clothes from kosovo you have to go to Prizren in the village of Has in Prizren.  this is not kosovo clothing.",Veton Bakija,2021-03-07T09:51:35Z,0
"I am from Kosovo and I have never seen this before, I don&#39;t think this is a albanian tradition. Anyways you look beautiful.",Niki J.,2021-03-06T19:37:34Z,0
Ich bin Albanarin aber das ist nicht unsere Tradition,Eagles Beqa,2021-03-06T16:22:21Z,0
"This is not Albanian culture,you didn’t became a Albanian bride but a Bosniak bride...",Adelina Demukaj,2021-03-06T15:39:05Z,0
But kosovo is albania 🇦🇱🇽🇰<br />And they aint talking kosovar-albanian!,꧁savaaa44꧂,2021-03-05T23:57:27Z,0
DAS hat NICHTS mit Kosovo zu tun!!!😡😡😡😡😡😡😡😡😡 Dumme Menschen verbreitet NICHT so ein Mist was NICHT der Wahrheit entspricht!  Kein Wunder das du wie eine Außerirdische angeguckt wirst.,anaF ana,2021-03-05T20:49:44Z,0
This is not a Traditional Kosovo Bride,KLAUDJAA P,2021-03-05T17:52:31Z,0
"It&#39;s a misunderstanding! This is not Albanian or kosovar culture. Do not belong to us! This is actually &quot;goran culture&quot; it&#39;s a small minority which lives in Kosova, and they speak &quot;serb-croatian&quot; language! Please, before to share a &quot;culture&quot; it&#39;s better, to  make some researches before!  Good luck next time! 😁😎",Driton Gashi,2021-03-05T00:22:53Z,0
Iam from Kosovo but i don’t know what that is 😎,Arlind Bullatovci,2021-03-04T21:18:30Z,0
Is not Bisnak bride,Esma Music,2021-03-04T07:38:26Z,0
"I think they are Bulgarian minority in kosovo they call them “goran” I hope so, I’m not to sure respect 🇦🇱🇦🇱",SWEET KillERS,2021-03-03T21:33:20Z,4
"@grgr grgr jes bosnjaka since 1999 before we was torbesh for the serbs and later for the albanians gorani from dragash are serbians converted to islam, torbesh from prizren are a mix between bulgarian and albanian roots, not one of us can say his a real bosnjak just because of our language, in year 1000 kosovo was bulgarian after this 500 years serbian since 1700 turkish and since 1900 kosovo is more and more albanian",AKEBAJRA,2021-03-15T09:29:41Z,1
"I am From Prizren (Župa) we are Bošnjak and not Goran(i) <br />Gorani are something else, they have nothing to do with the Torbeš or the Bosnians.",grgr grgr,2021-03-13T23:57:54Z,1
Leute das ist nur in einem kleinen Teil in Kosovo so komme selber aus Kosovo und wir machen sowas nicht🤝,Eliesa Alidemi,2021-03-03T20:45:04Z,2
Ich habe davon noch nie gehört das man das so macht. Heftig...!!!! <br />Warum macht man das so was ist der Hintergrund? Ich Check es nicht bin total verwirrt...,Lilly Lu,2021-03-10T08:33:38Z,0
"This is not Albanian culture, and the old lady doesn’t explain in Albanian language! The traditional bride of Kosovo is not like this, this is the traditional for 1 of the 6 ethnic  who live in Kosovo! This has nothing to do whith kosovo Albanias! 🇦🇱🇽🇰",lesabra elsabra,2021-03-03T18:19:03Z,0
Ohh ok thats not Kosovo this is Bosnian Bride Klothes !?  We Alanian Kosovar had Other Klothes Bye bye,Xhevahire Tahiri,2021-03-03T12:37:57Z,0
Jep kosovan.. not albanian ore kosovoalbanian...,esm. aa,2021-03-04T15:27:55Z,0
J&#39;aime Kosovo 💖💖💖,muminka,2021-03-02T21:59:11Z,0
"Bellissima ,ma non e del Kosovo ne il costume ne la lingua forse Bosniaci👍🌟",Anja Bibi,2021-03-01T17:29:16Z,0
Kjo nuk ka absolut send lidhje me trdita shqiptar. Edhe ju lutem mos e peezini Tradition tw bukra shqiptare me kto lloj sendesh.,B B,2021-03-01T17:15:44Z,0
"This is not Kosovo, the language is Bosnian and the clothing I don’t know!  But nothing is kosovar!",Of Course,2021-03-01T02:15:01Z,7
Torbes a goran,mars Stuttgart,2021-03-01T21:11:04Z,0
"This is not the tradition of albanian brides!!!could be some other Bosniak tradition perhaps, but not ours!!!! In fact being an Albanian bride is the most wonderful thing, and we do not make the face look like that, that is ridiculous <br />i’m offended!!!",rina bajrami,2021-03-01T01:43:44Z,0
I am from kosovo and i never saw that in my life  its a bosnian thing not kosovo,Kaltrina Krasniqi,2021-02-28T12:02:18Z,6
@Jacky Rick they are gorans. Ore the normal bosnians from south kosovo. But they arent albanians. They also dont speak albanian,esm. aa,2021-03-04T15:29:00Z,0
No definitely not Bosnian,diealmina,2021-03-02T01:21:33Z,0
Im<br />Albanian too and I never saw something like this before ... maybe they are from mazedonia ore gibsys from Kosovo .. this kind of is not Albanian,Jacky Rick,2021-03-01T10:14:35Z,1
"Im from Kosovo, and i Never see e 👰‍♀️ like her?!?!? 😳",anirebla,2021-02-27T10:48:51Z,0
"@Sami Isakovic we are not bosnians, not our tradition...",anirebla,2021-02-28T09:56:52Z,0
"You can visit Bosniak villages near Prizren, in the region called &quot;Zhupa&quot; in summer and you will see a lot of different kinds of these clothing there.. I am originally from that place (Zhupa), and in summer, when we Bosniaks make our weddings, we still make it in our old traditional way.",Sami Isakovic,2021-02-28T07:03:27Z,0
"Just to be clear this is not a tradition from KOSOVO, as we know in Kosovo the majority are Albanian ca 95% and you can’t call it culture of a place if it means the minority in that place do have this kind of culture with all the respect for the minorities in Kosovo.",Larglind Albansson,2021-02-26T22:01:34Z,0
this  weding i newer  know  it is  in  Kosovo i  was born &amp; raised in  Kosovo mebe another part  Kosovo oh  that it is serbians lol,Bere KSMS,2021-02-26T18:53:50Z,0
Das ist nicht ein traditionelle  Bride  in Kosovo  warum lügst du,gjakova kosova,2021-02-26T18:39:32Z,0
"What the hell are these? 1999s costumes, are left girl!<br />Cmonn I live here and we have neevver ever wear these! Try jelek me dimija or dallame. These aint our traditional costume. Thanks!",Leonora Hyseni,2021-02-24T22:31:22Z,1
"@Sami Isakovic but she cant say Traditional Bride in Kosovo, we Albanians have another traditional clothes.. but if she says bosniaks its something else..bcs if u live here, it cant be counted as Kosovan clothes, bcs u still Bosniak btw.🤝 also we have albanians that live in Germany, but our traditional clothes cant be counted as German clothes.. hope u understood what I tried to say❤peace🦋",Leonora Hyseni,2021-02-28T09:38:13Z,0
"Maybe not for you albanians, but this is our tradition, bosniaks/torbeshs. We also live in Kosovo, we are part of Kosovo and our culture is also a part of Kosovo.",Sami Isakovic,2021-02-28T07:07:36Z,0
Wtf this is not a Kosovo thingg delete it,04 04,2021-02-24T14:55:22Z,0
"Wow, the make up is so beautifully done.",Bebs Llance,2021-02-24T04:20:21Z,1
Wow Eva cute 😂😂<br />Love from Pakistan ❤ ❤,Mr Attitude,2021-02-24T02:30:46Z,0
That&#39;s actually a really really small part of Kosovo and its called Gorani and nobody has that tradition anymore we have the same traditions as Albanians,Elhame Halitjaha,2021-02-23T14:44:58Z,2
"We have some relations with Gorani. We have a similar language to Goranis,and some traditions too,  but we are Bosniaks/Torbesh from the region Zhupa, near to Prizren. About 10% of Prizrens population is the Bosniak population (means us).",Sami Isakovic,2021-02-28T07:06:16Z,0
"This is not typical and <a href=""http://traditional.style/"">traditional.style</a> of brides in Kosovo. It&#39;s traditional for a  small group of a minority living in the south of Kosovo mostly goran and bosniak people. As far as I know and have been told about this.",Verlona Pireci,2021-02-22T21:40:40Z,0
