comment,id,date,num_likes
"Hi everyoneeeee! I&#39;m so happy to see that so many of you can relate to what I said about hospitality at the end of the video. Every time I stay with a family in a new country, I do it in order to meet ordinary people from that country. I&#39;ve always been fascinated with remote places and traditional village lives, and this is a wonderful insight into another culture.  ❤️",Eva zu Beck,2020-08-09T20:08:23Z,1242
"<a href=""https://youtu.be/HQc1g-jtf4s"">https://youtu.be/HQc1g-jtf4s</a>",Asif wawa vlogs,2021-04-15T08:57:45Z,0
Hey eva can you be my guest in Pakistan azad kashmir,Adil Azad,2021-04-05T08:56:11Z,0
I love how respectful you are with each destination you visit and stay! It shows how beautiful &amp; humbly a person you are.,Elisa,2021-03-31T02:50:33Z,0
All Thanks welcome to morocco,فرفشة وقرمشة _rosa nadasous,2021-03-26T00:12:59Z,0
Thanks welcome to morocco,فرفشة وقرمشة _rosa nadasous,2021-03-26T00:12:43Z,0
I like yours  video mam and love you much more,Sreyali Parijita,2021-04-28T13:52:30Z,0
"Village people are very honest and hospitable, Love from Afghanistan",Ghulamrasoul Mustafavy,2021-04-27T22:07:40Z,0
our people are suffering and all thanks go to the alliance especially France,Tniri Blizzard,2021-04-27T12:08:10Z,0
It’s not berber it’s amezigh please don’t use berber it means agressive people the real name is amezigh!,Sahar Bahloul,2021-04-26T10:50:51Z,1
is nice vidio thanks mrocco is very wenderfoul,ishak orial,2021-04-25T12:49:49Z,0
"Berbers are my ansectors. My great grandfathers last name was berber, from morroco. Berber people are mountain people , they have their own community. And the middle east in general adopts the originally islamic practices like men and women being separate at times, this is to respect the women and uplift them, something western culture misunderstands and media shows misinformation. Thank you for showing them in the true light:) may Allah swt bless them and you ameen",Lizzy Kat,2021-04-24T23:53:49Z,0
"Out of respect from your grandfathers, don&#39;t say berber. we are Amazigh.",lamb sauce,2021-04-28T02:09:19Z,0
"BTW you do speak Arabic with good accent, consider me Number 1 million subscriber",Fahad abdulaziz,2021-04-24T20:43:40Z,0
ماشااللہ  اسلام علیکم  یا اھل المغرب,Muneer Pk,2021-04-23T16:29:34Z,0
With love from Australia 🇦🇺 ❤,Hamraz Qaro,2021-04-23T09:10:08Z,0
MashaLlah you all videos exlant super💕💕💕💓💓💓💓💓💞💞💞💞💞,akthar shaik,2021-04-23T00:22:11Z,0
Thats nice..when you travel to the village..the human are same indeed(No new breed or samples)..with normal human feelings and sentiments of course until end of the world..unless if you travel far enough to Mars you probably see red garments and extra ordinary expectations..😱👴,habib alhusaini,2021-04-22T19:05:31Z,0
"Eva is the best one she shou many country,s love from afghan😇😇🇦🇫🇦🇫🇦🇫",Pashtoon Afghan,2021-04-21T20:19:23Z,0
Welcome to my Home 🏠🏡 town sister 👍👍👍👍🙏🙏🙏,Raghupathy v,2021-04-21T16:38:58Z,0
تليت غينا؟,sPoNGE Master,2021-04-22T21:38:25Z,1
Amazing sister am from india,Raghupathy v,2021-04-21T16:38:20Z,0
I love all my Moroccan brothers and sisters from Pakistan,Burhanuddin ghazi,2021-04-21T08:21:02Z,0
