comment,id,date,num_likes
Where u originally from Eva .?,shukrullah haidari,2021-04-29T00:16:20Z,0
Wow....,George Erari,2021-04-27T00:28:49Z,0
Why ur making sounds .... i feel like if im instead of you i will be quite 🥲,Anna The hammer,2021-04-23T14:37:24Z,0
I can’t sleep alone in my bed room,Anna The hammer,2021-04-23T14:33:00Z,0
Ur amaaaaaaaaaaaaaaaaaaaaaaaaazzzzinggggggggggggggggg,Anna The hammer,2021-04-23T14:32:47Z,0
Very Good congratulations Brazil,Netflix net,2021-04-21T22:27:21Z,0
Flying fire ball inside forest when the nigth.,Ben Advent,2021-04-20T23:31:18Z,0
This gorgeous girl lives her life to the fullest. Nothing can better describe a living full of life than adventurism around the world. I wish I am with her to take care of her and support her realize all her wildest dreams and join her up to the riskiest adventures that she maybe planning to embark with further and farther- Admirer from the Philippines,Jake Jade,2021-04-19T06:34:23Z,0
Kaaa Kaaa...Kaaa Kaaaa? Is that dude serious.<br />The bear be like...&quot;Nika....&quot;.,FrLouis,2021-04-19T01:45:44Z,0
Fantastic story!,DOHC,2021-04-17T19:28:52Z,0
"You girl, I have watched all videos and I’m scared to watch them for the Second and I fall for you lol. I wish you can bright my life. SC ibra-ham.                                                                Love sent from a Saudi student in the US 😋",Ibrahim Alharbi,2021-04-14T04:08:02Z,0
No you won’t!! she is crazy ! <br /><br />I don’t go forest alone during broad daylight!! <br />I was soo scared for you ... <br />this is seriously next level self belief???,Siddiq Ullah,2021-04-12T22:38:06Z,0
When I came from Afghanistan to Europe I had passed harder situations then this in several forests with out even a tent 😕<br />I saw your videos you have all facilities when you want to go or stay somewhere but you have nothing when you came from Afghanistan to Europe all the things you have is a coat and gloves just ordinary travelling supplies.<br />When I saw this video I had remembered my past 5 years ago.<br />Bravo keeped up 👌,Z Yaqubi,2021-04-10T02:25:10Z,0
I love you eva,Sidi Mrehba,2021-04-09T02:56:12Z,0
Do what ever you want but be with people not alone . the same way we have good and bad people . in animale kingdom there is good and bad animals and some other creatures that are not visble like gost and some others . God created millions kind of thing beyond our reach.,God is Great,2021-04-07T20:07:14Z,0
Eva try coming india,ROOPAL RAJPUROHIT.R 16BCF043,2021-04-07T15:23:20Z,0
"This is my advice for you, next time on your own, do not make any noise, lights, etc., because you are turning their attention towards you.",alpha annonces,2021-04-07T14:38:22Z,0
Woah this actually made me wanna go camping in the forest but  I&#39;m terrified to just get a glass of water at night😔😂,Maryam Siddique,2021-04-06T09:44:24Z,2
I promise you will Enjoy because there a lot of tourists spot here,Vollrath Travel adventure 93,2021-04-06T05:43:36Z,0
Have you been here in Philippines 🇵🇭?,Vollrath Travel adventure 93,2021-04-06T05:42:59Z,0
So awsome and amazing,Vollrath Travel adventure 93,2021-04-06T05:41:34Z,0
Wow Everything is my favorite,Vollrath Travel adventure 93,2021-04-06T05:41:01Z,0
Preparing your food next to your tent in bear country is not advised. Their sense of smell is 10 times better than a bloodhound.,James Sisk,2021-04-05T06:24:26Z,0
Come to indian administrative kashmir. <br />I will be tour personal tour guide.,Wajid Mirza VLOGS,2021-04-04T23:50:43Z,0
Oh i am in l......with you,kamal singh,2021-04-04T02:01:00Z,0
"<a href=""https://www.youtube.com/watch?v=rdvl4V4AZQ4&amp;t=16m46s"">16:46</a>.Just heard that animal.Did anyone?",Bright Media Journey,2021-04-03T07:37:56Z,0
there&#39;s 3rd world demons and goblin in the  forest be carful,black bird,2021-04-03T06:42:37Z,0
"You are the bravest girl ,that i have ever seen",sadeqo walizada,2021-04-01T23:07:40Z,0
Background music is so scary😢😢,Angelo Idulog,2021-03-29T06:39:30Z,0
Hey what are you doing you&#39;re scaring your viewers hhhhh just joking. And difinetly you&#39;re very bold and brave,Badshah Khan,2021-03-29T06:25:22Z,0
U are a look alike of a singer Shaina twain good luck for ur future vlogs,Mario Palola,2021-03-29T05:44:28Z,0
hala may momo diha.,carlos magallanes,2021-03-28T10:06:40Z,0
I like you,Chirmi shimrang,2021-03-27T22:39:12Z,0
You&#39;re a brave brave girl.,Akash kamal,2021-03-27T20:28:19Z,0
Love all the drama created by you Eva 🎭🎭,Karachi Wala,2021-03-27T14:16:07Z,0
"Hi, I&#39;m from India <br />One of my🙋‍♂️ dream also spending in nature🏕 at Night🌜🌛.I&#39;m waiting for that moment. There Is no face scared situations at night,then our night camping are incomplete",pRaveen ChaRy Poloju,2021-03-26T07:50:21Z,0
Are u single?,Biology Online,2021-03-26T06:57:15Z,0
I want to stay with you as partner,Biology Online,2021-03-26T06:56:58Z,0
Chass a gai wekh k tera vlogggg,Mohammad Ahmad,2021-03-25T01:10:00Z,1
"So brave girl!<br /><br />Love from Islamabad, Pakistan 🇵🇰🇵🇰🤣🤣🤣🤣🤣❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",Haris,2021-03-23T20:33:24Z,0
