comment,id,date,num_likes
which drone are you using eva ?<br />love the way you present everthing .<br />👌👌👌👌,pankaj Rawat falai,2021-04-27T05:57:22Z,0
eva i love and lastly i love u thats al for my life,Vikas Shriyankar,2021-04-25T11:27:41Z,0
love the haircut! 😂😂,Just LiveLoveLaughLoc'd,2021-04-24T08:08:45Z,0
Music and tents on desert gives this video such Nier: Automata feel,cyrkielnetwork,2021-04-20T02:08:28Z,0
"Simply inspiring,what a beautiful woman take care xx",Stuart Coffen,2021-04-19T09:26:07Z,0
Goat was hungry 😂😂,Iva,2021-04-18T22:23:29Z,0
Welcome to TASSILA sahara of Algeria you &#39;ll like the nature and the life style of touareg,Ighil Ighil,2021-04-18T01:38:45Z,0
Unbelievable....such an amazing story,gulshan ziauddin,2021-04-17T02:45:43Z,0
I invite you to come and visit in Somalia . Welcome with open hands,Dr Mahdi Sahal,2021-04-15T10:54:09Z,0
👑🐎🐐🐫🐄 🐑 milk chocolate 🍫🍫,Usman Mani,2021-04-13T08:08:16Z,1
👑🐎 jadoon Pathan 👑🐎 khilji khan Afridi khan lodhi khan pane khan yousafzai khan rajpoot khan 👑🐎 Taj shahi 👑🐎 Syed Usman khan rajpoot 👑🐎,Usman Mani,2021-04-13T08:07:06Z,1
👑🐎 malik Aun awan 👑🐎,Usman Mani,2021-04-13T08:06:18Z,1
Just wow.. Kudos,Rajeshwari Bhatiwal,2021-04-12T16:40:14Z,0
Where was the bathroom?,Diomerys Ramirez M,2021-04-09T21:17:59Z,0
"The way you clasp your hands in an upward and downwards motion while describing the bread is truly remarkable! <a href=""http://www.youtube.com/results?search_query=%23vegas"">#Vegas</a>",Jeffrey Arroyo,2021-04-09T12:08:12Z,0
You welcome in Mauritania at any time,Abdou King,2021-04-07T11:21:12Z,0
Love you from India 🇮🇳,Islamic channel,2021-04-06T19:26:27Z,0
I love this country ❤️❤️,Adam Khalid,2021-04-06T03:31:37Z,0
"Eva need text to understanding what you said, please🙏",Karyo Witoto,2021-04-06T00:42:29Z,0
"Please stay longer, give us more. This was wonderful!!!  I don’t know if you read these; but if you do, know that this was extremely interesting.  I know there is so much more to know about these great Bedouin people.  Seeing it in your video just made it SUPER,  thank you.   Texas",Papa Jeff,2021-04-05T22:08:04Z,0
"Dear Eva, please make sure to say Bismilllah before drinking and eating. As Allahﷻ is  the one that has provided and will put blessing in it. It should also be said before doing any task or going on an adventure..  This is the minimal to acknowledge and glorify our Almighty Creatorﷻ",HAYAT HALAL CENTER. مركز حياة حلال,2021-04-04T20:17:32Z,0
Didnt the bread taste like sand and charcoal though?,DJ Mibro,2021-04-03T17:56:25Z,0
Muslim Family is so welcome to Foreigner...even they are not rich people. I am Muslim from Indonesia,Diki Nianto,2021-04-03T03:06:11Z,0
Incredible experience.,Have a Great Day,2021-03-31T13:51:19Z,0
I like when you narrate traveller,Lovestrant Kemboi,2021-03-30T17:49:37Z,0
The best vlog I have ever seen.,taya mone,2021-03-29T20:01:41Z,0
I am Mauritanian😂🙌🏻🇲🇷🐪,Rim Fish,2021-03-29T15:30:12Z,0
"I just been auto playing all your videos! its like im watching a bbc documentary . You are amazing and made for this. Great locations, great filimg, editing and voice over. You are PROFEESIONAL i love it and you have lovely energy.",YazzieBean,2021-03-29T09:11:25Z,0
Man our life is over here is so bigger than those people I&#39;m kind of really really feel sorry but those kind of person are they struggling hard and the government not doing nothing eating with the food is different on my reading lot better food over here than those people oh God that&#39;s a life of Life called in desert is how God man is different and you are so amazing man I&#39;m really really thankful to you that you are the one of the most high communication recommended giveaway of this video of you only you are the great the greatest I really love you I love you videos,Sing Zin,2021-03-28T17:24:10Z,0
در اینجا انسانها تنها ریگ و خاک تنفس می کنند و حتا غذای شان باید تمام اش ریگ باشد. من آفرین می‌گویم به این مردم، من شاید دو روز را هم نتوانم در اینجا بمانم.,Mashoda Muquri,2021-03-28T17:11:55Z,0
"Very informative. Thanks for sharing, Lord-Jesus-Christ com",Moses Exodus,2021-03-27T01:27:48Z,0
oi linda família,Edson Assim,2021-03-26T14:14:27Z,0
oi linda família,Edson Assim,2021-03-26T14:11:00Z,0
what a beautiful video,rey sanbuena,2021-03-25T21:39:06Z,0
Your voice 😍,Hassan AIT OUFKIR,2021-03-25T17:45:37Z,0
Mauritian people similar to horn African people,UNITED KUSHITE PEOPLE IN AFRICA,2021-03-25T02:57:43Z,0
What i great voice you got,saleck Sidi Mohamed,2021-03-23T23:36:32Z,0
Hello there frome mauritania🇲🇷❤️,saleck Sidi Mohamed,2021-03-23T23:24:08Z,0
nice vlog,Shahul Bathusha,2021-03-23T11:26:58Z,0
eva zu beck all the best,Shahul Bathusha,2021-03-23T11:26:38Z,0
I cannot stop watching your videos! I am addicted to the cringe!,Daniel Posavec,2021-03-19T17:06:58Z,0
Thank you to Eva &amp; her team. All of you are the winners over the wild nature..Thank you so much for your amazing video &amp; your unique travelling. GBU.,Tri Ratnawati,2021-03-19T10:21:48Z,0
