comment,id,date,num_likes
Making fires naturally? with matches &amp; lighter haha!!,Solo Traveler 单行客,2021-04-20T11:18:45Z,0
Girlies trying to do man things.,skyclasp,2021-04-16T05:48:14Z,0
"Nice work Eva!   I did find a little irony in saying you don&#39;t need a massvie axe or dangerous saw, you just need a knife....whips out an expensive Benchmade fixed blade knife made in the USA.  Lol.  That skill is called battoning and I wouldn&#39;t recommend doing it with non fixed blade knives or anything cheap.",TheMVCoho,2021-03-23T02:14:45Z,0
when will u come back to pakistan,pro gamerzz,2021-03-21T19:51:09Z,0
I think that you go in to do a naturel fire !! Wdf,Farid Tisserdi,2021-03-12T23:46:26Z,0
Love your lesson here,Detox Lady,2021-03-05T06:37:51Z,0
I really love Eva and the fire that she lights up ... so warm and so cozy and so nice ...,Vinod Delta Food Industries,2021-02-08T16:49:28Z,0
How kool,Vinod Delta Food Industries,2021-02-08T16:48:03Z,0
"how to make a fire (SURVIVAL!!!) FROM SCRATCH with ABSOLUTELY NOTHING except a stove, a shed full of dry wood, paper, a knife and a box of matches 🙌 - sounds like black magic to me... 🤔",Jan Müller,2021-01-30T16:47:10Z,0
"I loved this, thanks!",Cleo Harper,2021-01-30T06:57:01Z,0
Hello how are you where are you now are you in bangladesh if you are in bangladesh you want to meet me i am from chittagong in bangladesh chittagong from karnafuli in chitta you come here and visit me and also met me i am a very big friend of yours i am always yours I follow the YouTube channel,md Shawal,2021-01-26T01:46:57Z,0
"Come on, Eva. That title isn&#39;t helping us :-(",Pretty Kitty,2021-01-20T00:29:46Z,0
"Yes, patience is a vertue.",Pierre Peelman,2021-01-05T15:06:43Z,0
"Eva, you must still learn to start a fire without matches or lighters !!!!! Not so difficult !",he PE,2020-12-21T12:36:23Z,0
Fck I waited  till end and listen carefully in this hope that you gonna make fire without match stick but 🙁,Anonymous,2020-12-19T03:59:43Z,0
You used the matchstick. watch Man Vs Wild.that guy can make fire from woods and grass,Haidar khilji,2020-12-18T15:33:03Z,0
"I&#39;m a firm believer in greasy food wrappers and napkins.  Put several twigs down to make it so air can get under it all, lay down a greasy napkin from last night&#39;s meal, a few more twigs and larger sticks, another greasy napkin or bag, and the rest of the wood in either a crosshatch pattern or a teepee.  It&#39;s like napalm.  It gets rid of litter, doesn&#39;t involve stinky petroleum, and even smells good.",eric moss,2020-12-18T12:03:56Z,0
حلو 🌹 ❤️... يارب رحمتك..... Nice,artist 1440,2020-12-17T08:30:55Z,0
Easy step : matches/lighter<br />Medium step : Ferro rod<br />Hard step : Bow drill,Aji Febriyanto,2020-12-15T06:32:13Z,0
"Matchsticks!, Eva you might as well had used a blow torch or 🧨🕯🚬the list goes on.",Akeel Ahmed,2020-12-05T01:54:08Z,0
"OMG!!!! You were in Baia Sprie. WOW 😮<br />I live there and I know the owner of this little wooden house, Daniel Leș.",Mozes Karoly,2020-12-04T12:08:52Z,0
"I call the little pieces of wood kindling,,, fyi, fire looks warm.",franklin talley,2020-12-03T16:56:11Z,0
Hey honey!  All that and you light a match!  So funny!!,Nick L,2020-11-30T21:43:23Z,1
This is the best you can do in this panadamic,Eesha Umar,2020-11-21T09:50:13Z,0
"All what you did are perfectly (scout camping skills) .... The fire is called Pyramid . A point to say , the paper should be toughly folded not to burn quickly without any affect .",عبيد الموسى,2020-11-16T05:54:27Z,0
Adorable...i admire your braveness n silpecity.,Abby's chanel,2020-11-12T07:38:23Z,0
So I&#39;m not the only one who thought she&#39;s going to make fire by friction 🙄,vagabond tales #தமிழ்,2020-11-11T10:32:43Z,1
She is so sweet,Paulo Martins,2020-11-10T21:56:20Z,0
Wow that&#39;s super stunning view I such beauty village never see ever . life arw always lavishing.,Ihsanhaqan Vlogs,2020-11-10T08:15:44Z,0
Another great fire starter is a lint. You can find it in the corner of your pockets or if you have access to a dryer it’s smart to keep some in your backpack. You can mix it with petroleum jelly and it will stay waterproof that way!,Isabel Flohr,2020-11-09T21:34:30Z,1
"An important note about using crumpled paper as your fire starter: make sure that you don’t crumple it too tightly. There needs to be plenty of space for airflow and the flames to actually catch! <br />Great video Eva, thanks for it!",Isabel Flohr,2020-11-09T21:29:36Z,0
Nothing so gezellig as an openhaard (indoor fire place) with a cup of hot chocomell and a cat on lap and  or a dog sleeping near by hearing the fire knispering 🔥,martin kullberg,2020-11-09T20:36:00Z,0
Why are You so beautyfull ¿?,Mario Brunner,2020-11-08T22:00:25Z,0
