comment,id,date,num_likes
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🤣🤣🤣🤣🤣,Hamza Bayani,2021-04-29T00:07:01Z,0
Thank you so much for showing other side of our country.<br />You are amazing❤️❤️. I hope that you enjoy your trip in Afghanistan 🇦🇫.,Zamin Wahdat,2021-04-28T23:05:54Z,0
"Despite of your 1 million subscribers i think you&#39;re channel is still underrated your vlog came with outstanding content with dramatic edition apart from that you are a charming, intelligent &amp; a very brave girl you&#39;re presentation is awesome best of luck",S.M Kamrul Huda,2021-04-28T22:28:27Z,0
Welcome to Afghanistan 💟🇦🇫🇩🇪,Ali Tanha,2021-04-28T21:01:52Z,0
Surkh koon means red blood...name of the horse you riding...,Gul Surkh,2021-04-28T20:21:08Z,0
"I never get enough from your videos, especially from my home country Afghanistan.<br />Please stay there and make videos of everything from Afghanistan BTY you are such a brave girl",Mirwais mohammadi,2021-04-28T18:31:06Z,1
"Thanks Eva for all your beautiful vlogs, be safe always with all your travels.","John Kam, Jr.",2021-04-28T17:04:53Z,0
"The last line takes the prize,  &quot;We are merely guests passing through these lands, and it&#39;s not our place to judge another culture&#39;s custom without really examining our own first&quot;",purujit negi,2021-04-28T16:19:30Z,0
"<a href=""https://www.youtube.com/watch?v=5m-zkIF84r4&amp;t=22m04s"">22:04</a> is the flirtiest part. she likeddddddd it",Caveman wild,2021-04-28T15:55:11Z,0
Beautiful ❤️❤️,Shamz KSA شمس السعودية,2021-04-28T14:55:30Z,0
The sensations of the market is awesome.,Lemur Gulliver,2021-04-28T13:08:09Z,0
So biutefull place.watching from Philippines.,Richard Cantere,2021-04-28T12:49:56Z,0
thank u for showing my Tradition ❤😍🇦🇫🇦🇫🇦🇫,Shazia Azizi,2021-04-28T12:43:28Z,0
Hope you will visit Philippines too..,Raquel Morante,2021-04-28T12:41:51Z,0
that scene he took your hand hahahahahahah so funny,jaffer tamjeed,2021-04-28T10:11:42Z,0
every time u came we welcomes u,lovely life,2021-04-28T09:49:03Z,0
"Hey Eva, I would love to travel with you for a week. I have a little bit of experience with traveling, but I would love to experience the indepth of countries. I do live in California so let me know if you&#39;d ever want to go out for coffee and talk about aspiring dreams. 🤙",Daniil lebich,2021-04-28T08:50:15Z,0
"Eva - I&#39;m not too sure about you! I watch a few of your adventures but sometimes they make me cringe...you seem so culturally irreverent and cross cultural boundaries with abandon!  Bit like (as Eric Burdon said in the song Sky Pilot), &quot;you smile as you kill&quot;. Nonetheless this is unlikely the last vid of yours I will watch. I contrast your vids with Nick (Indigo Traveller) who always seems to be most culturally respectful. I suspect you know that you sail a fine edge! And I do note that you engage consultants. But whilst you have wonderful adventures I suspect They may not be easily available for an average tourist?",Jaahda Jinnah,2021-04-28T04:56:23Z,0
IMMPPRESSIVE!   3rd time is the charm <br />Bravo,Aziz R,2021-04-28T04:52:05Z,0
"Hi Eva, I am totally fond of watching any single of your vlogs. I&#39;m hoping someday you would come to my country Indonesia. Lots of things to see and explore here. You would be so excited about visiting my country. Looking forward to hearing your reply from you, Eva.",Ambaryadi Channel,2021-04-28T04:16:42Z,0
"Eva you are the best Youtuber, you have a Magical voice and personality and your videos are so beautiful and clear which makes every second of it amazing to watch, I don&#39;t watch long video but when it comes to your short film I enjoy every second of them. Thank You",Caveman wild,2021-04-28T03:53:56Z,0
hey eva question are the distances between towns in europe shorter then in canada plus you are very brave,Jay Filgas,2021-04-28T03:50:42Z,0
Congratulations on having 1M subscribers,Mobile Legends: Bang Bang Show,2021-04-28T02:37:02Z,0
Thank you for representing and respecting Afghanistan and giving us Afghans a chance to show our culture and country to the world 🙏🏽🇦🇫<br /><br />You did a great job riding the horse 👍🏽,che,2021-04-28T00:40:44Z,1
"And for my fellow countrymen, pleas stop bringing politics and ethnic division to this comment section or even our country. <br /><br />United we stand strong 🇦🇫🇦🇫🇦🇫",che,2021-04-28T00:41:52Z,0
"That horse be like while you were trying to pick that thing up <br />“What a shitty rider have I got on me ,  can’t do sheit lol “",FF ENTERTAINMENT,2021-04-28T00:02:19Z,0
Congratulations on 1M subscribers!!🤩🤩,Ammar Tajuddin,2021-04-27T21:08:15Z,0
This game is absolutely disgusting and cruelty to animals. You can see the reins are so uncomfortable for the horses. And poor goat... It is not fun at all. It is almost make me cry.,Andrea Handlová,2021-04-27T19:16:51Z,1
"Congrats! You now reach a million subscribers. Amazing adventure everytime but really, KEEP SAFE. I wish to at least hold your camera for you in the future. Visit the Philippines when you have the time. I can be your translator.👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",Jennyvy Sigue,2021-04-27T18:27:05Z,0
How is Covid there as most are not masked? Love your videos Xx,Laura Elise,2021-04-27T17:10:38Z,0
WOW amazing,teuku Umri,2021-04-27T16:23:06Z,0
Lovely vlog really enjoyed,Shinawar Ali,2021-04-27T15:50:54Z,0
Zu Beck !!!! Pl add me in your fan club! You are some woman !,abhijit bose,2021-04-27T12:43:06Z,0
What a MANLY game Buzkashi!,Asif Shahzad,2021-04-27T08:07:37Z,0
vthkhtvlr,Dance Uppsala city,2021-04-27T08:06:21Z,0
hbihg,Dance Uppsala city,2021-04-27T08:06:17Z,0
Congratulations for 1M subscriber...  from Mongolia,Bagabandi Tumurkhuyag,2021-04-27T05:35:14Z,0
"I appreciate her showing the beautiful and intricate culture of this region. It is rare these days to see the Middle East in a positive light. But I really do not appreciate the examination of this sport. In America where I live we have similar equestrian sports with really bad abuse issues, and I feel the same about them as I do with this. You can tell the horses are uncomfortable, in pain, scared. Its very very hard to watch. I love this channel, but I wish she hadn&#39;t promoted this. There are ways to make this sport more humane and still have fun.",Morgan W,2021-04-27T02:09:50Z,1
