comment,id,date,num_likes
"Hey there Fellow Adventurers! If you were here last week, you&#39;ll know that this video went live with some serious editing issues. AND it was the only time I didn&#39;t re-watch the final export before uploading. AND I was climbing Kilimanjaro when the video went live (pre-scheduled). Miraculously, I managed to take it down with a very limited internet connection up on the mountain. Well, here&#39;s TAKE 2 😜 Hope you enjoy this story from Bangladesh, from some time ago... (Pre-COVID). Sending you lots of warm wishes from Tanzania! ✨",Eva zu Beck,2021-01-30T10:28:25Z,256
💞💞💞💞👍,Sayed Mohammed Mosharrof Hossen,2021-04-28T23:15:25Z,0
The Sylhet division is the London of Bangladesh because the majority of Sylhet Bengalis live in the United Kingdom.,taherajenz,2021-04-24T22:26:58Z,0
"I&#39;ve been watching a lot of your travel vlogs this evening. Safe travels. Thanks for sharing, Lord-Jesus-Christ com",Moses Exodus,2021-04-20T02:31:33Z,0
wow we are called tribes in bangladesh lol <br />or should i say lmao,Few seconds Of my life,2021-04-01T06:48:59Z,0
£vā i ŁO3 u,shehzad Ahmad,2021-03-31T17:20:15Z,0
Thank u so much for wonderful and lovely  presentation  our country.,Sayed Mohammed Mosharrof Hossen,2021-04-28T23:14:59Z,0
Good to see you in the sari 💖,Ganesh D,2021-04-27T23:05:14Z,0
Bangladesh......,ahmed mahim,2021-04-27T05:06:53Z,0
"Just love seeing your vedio, I had watched your vedio in Kashmir wedding and here watching for our community in Bangladesh. This is tooo awweeee and yes love your creative idea of travel vlog promoting and exploring different cultures❤️❤️❤️❤️❤️",Langlen Chanu,2021-04-26T17:37:39Z,0
love from bangladesh,CARTOON CHANNEL,2021-04-26T03:57:10Z,0
Sylhet is my Home Town,Husain Vlogs South Korea,2021-04-25T11:28:57Z,0
"Hi, I&#39;m From Bangladesh 🇧🇩.Bangladesh is a beautiful and peaceful country❤❤",Sultanaakter Fariha,2021-04-25T07:27:41Z,0
The Sylhet division is the London of Bangladesh because the majority of Sylhet Bengalis live in the United Kingdom. 🇧🇩,taherajenz,2021-04-24T22:27:06Z,0
You don&#39;t know what you  said. Don&#39;t share fake information. Share authentic facts.,General MAG Usmani,2021-04-27T15:46:33Z,1
"congrats for ur channel &amp; thanks for sharing it with us, can u please say me in what do immigration officers offenly ask in dhaka airport to foreigners that arrived there, i will soon travel to bangladesh for the first time &amp; i am a honduran woman who will travel alone to bangladesh with a tourist visa so i will have a hotel reservation for the days i will stay there, so it will be most helpful for me if u can inform me about the matter, in advance i thank u most for ur answer &amp; help...",Sally Motwani,2021-04-22T23:38:17Z,0
I see from Bangladesh.,Subbir Physics,2021-04-22T08:56:23Z,0
My gosh you look beautiful in that saree,Azimul Hoque,2021-04-21T01:53:35Z,0
Thanks🇧🇩❤,Amir Hamza khan,2021-04-19T08:54:23Z,1
Haha..... I am Manipuri Muslim.....nice they are trying to keep their culture,Salman Ahmed,2021-04-18T16:20:34Z,0
Who else finds Eva incredibly beautiful!,Anika Ali,2021-04-18T13:52:51Z,0
My mom was born in Bangladesh 😃,Zolil Miah,2021-04-17T20:23:57Z,0
when you come Bangladesh ?,milon mizan,2021-04-17T10:00:41Z,0
beautiful country.,Sm Shamim,2021-04-17T09:00:02Z,0
Eva you looks beautiful in sarris and bindi,Shrikrishna Utpat,2021-04-16T07:09:24Z,0
NICE,SHAHEEN FEEL TV,2021-04-15T15:26:35Z,0
This is beautiful. Who is not liking the video? Seriously !,Terrafoodtravel,2021-04-15T13:07:19Z,1
Look like Pretty when you put shaaree,Ifteyaj The Cartoon,2021-04-14T23:23:46Z,0
It is literally off the mainstream idyllic place of Bangladesh.,Shamim Yeasir Saion,2021-04-14T22:31:52Z,0
the hospitality of that manipuri family was pure joy to watch,Richa Ramela,2021-04-13T08:41:25Z,1
Amazing ❤❤,Rayhan,2021-04-12T08:07:38Z,0
"As a balochi i never Expected Bangladesh like this. But So beautiful people &amp; full of life,<br />Nice love From Balochistan🇵🇰❤️❤️❤️❤️❤️🙏🏻🙏🏻🙏🏻🙏🏻",Shazain Baloch شاہ زین بلوچ,2021-04-12T08:01:11Z,12
👍,Sayed Mohammed Mosharrof Hossen,2021-04-28T23:16:25Z,0
"@Azimul Hoque Balochistan is Pakistan&#39;s Largest Province by area, have beautiful landscapes &amp; also Culture. Balochistan Famous for his food &amp; beaches, Gawadar deep sea port is located in Balochistan",Shazain Baloch شاہ زین بلوچ,2021-04-22T06:03:41Z,0
their ethinc pepole,Zobaer Hossain Robin,2021-04-21T14:16:29Z,1
I never knew about Balochistan before,Azimul Hoque,2021-04-21T01:56:19Z,1
Thank you ❤️ love from Bangladesh too,Azimul Hoque,2021-04-21T01:49:13Z,1
