comment,id,date,num_likes
Here in Indonesia are lots of volcano,Shinawar Ali,2021-04-28T04:09:52Z,0
The music you have put in is actually the best it could be ❤️👍,Vishal Gupta,2021-04-26T21:28:19Z,0
Beautiful ❤️,Tushar,2021-04-25T04:51:55Z,0
Holding old lady hand and jumping  is so adorable.,M. Lamthaio,2021-04-23T16:23:37Z,0
"THE  MASAI WOMEN BUILT A HOUSE FOR THEIR HUSBAND, CAN I BUILT A HOUSE FOR EVA TOO, BOBBY FROM QUEZON CITY PHILIPPINES ,NOW IN LAS VEGAS NV. STAY SAFE,HEALTHY AND FREE.",Roberto Vergara Sr.,2021-04-22T22:55:57Z,0
"Is that mike of the fighter boys, as in vloggers in philippines?",MinoMin Mina,2021-04-14T22:22:04Z,0
"Yes that’s Mike ,her boyfriend ❤️",J C,2021-04-15T09:22:41Z,0
Do they kill the animals to get their blood or they just wound them?,MinoMin Mina,2021-04-14T22:04:25Z,0
You are living a life of dream. Such adventures.. great going girl,Rajeshwari Bhatiwal,2021-04-12T17:00:47Z,0
"I admire you soo much Eva, wish you visit kenya n come visit me In Shaa Allah.  Love you soo much. You are a brave full of courage, lady. I admired your vlogs in Afghanistan n i was like waaaah, what a daring girl.<br />Love you Eva. Making duas for you ever time i watch you. Am from kenya, kiambu county, gatundu south,kigongo village. <br />Admire you alot.",Ann Njuguna,2021-04-11T10:12:33Z,0
💕💕💕💕,YOHAN BUNONG PRO FILM,2021-04-10T09:27:13Z,0
"Love all your vlogs,, I hope you come also to philippines one day,, take care always, God bless you always,",Dennis Ranada,2021-04-08T05:27:32Z,0
I wish you came to Kenya..am your big fan,Streets and jungles,2021-04-06T09:12:47Z,0
Such A Great inspiring young girl you are. Welldone Eva.,Linda Chan,2021-04-05T10:21:07Z,0
i am indian living in america but 20 years ago i used to live in nairobi [kenya ]which is next door neighbourof<br />tanzania. recently i saw your afghanistan vlogs showing us no other vloger has shown and i became your fan. i never imagined mt. kilimanjaro climbing such a challenge. thanks,harshid shah,2021-04-04T18:51:42Z,0
Her drone does the perfect work,EndTime Revival,2021-04-04T12:27:00Z,0
The background music used during  mountain climbs 👌,Kaybee Weknowthey,2021-04-04T11:18:12Z,0
"Eva, this may be my favorite video yet. What a beautiful people and stunning scenery.",Have a Great Day,2021-04-04T00:46:29Z,0
My country Tanzania 🇹🇿 ❤ ♥,soleimani abdul,2021-04-04T00:09:41Z,0
"eva dont end making travelling vlogs,,,u can ask to vote to ur subscribers, i am sure no single one will vote for option of quiting or ending these travelling vlogs please.",Shakeel Anjum,2021-04-03T23:35:55Z,0
You literally said Chai and I loved it It sounds asian❤💐,Bsnu Sandesh,2021-04-03T05:31:02Z,0
Awesome 👏🏽 place. 👍🏽👌🏽,Olivia Herrera,2021-04-03T02:43:08Z,0
I aspire to be this good with people.,hani,2021-03-31T07:39:33Z,0
"So interesting!  Thank you for taking us to this beautiful place, revealing some of their unique customs (loved watching the demo of spreading the dung mastic without having to do it myself) and their charming exuberance. These seem to be genuinely happy people.",Lois Sharbel,2021-03-31T02:29:22Z,0
"Like drinking blood,ewwwww",Areefa Aslam,2021-03-30T19:38:45Z,0
Iv been watching your vlogs for awhile now.  There very well done and very informal. Very nice.,Francis Doran,2021-03-29T04:46:50Z,0
You are rally doing a good work Eva. I admire you very much,Ernest Adjei,2021-03-28T10:00:38Z,0
A lot of people don&#39;t know why African children are so &quot;curious&quot;. It&#39;s their role to keep an eye on strangers. Adults don&#39;t have to worry about visitors causing trouble because children are always watching them.,Myron Platte,2021-03-28T09:10:58Z,2
Thanks for this comment! I was looking for it...,Karlchen Müller,2021-04-04T05:48:54Z,1
When you come to Ethiopia?  similar societies we have called Hammer&quot;&quot;,kefale asrie,2021-03-28T08:06:48Z,0
wow.. quite different from the landscape where their Kenyan counterparts live in,Jamy W,2021-03-27T18:31:01Z,0
Nice trip with unforgettable memories,pRaveen ChaRy Poloju,2021-03-26T12:07:31Z,0
Eva honestly I like your travel blog really beautiful and funny especially your dance step😁,shafeeq v abdullakkutty,2021-03-25T19:55:17Z,0
