comment,id,date,num_likes
"Thank you for being here to listen to Nazima&#39;s inspiring story! If you got this far, please remember that every little counts in our fundraiser here: <a href=""https://www.justgiving.com/crowdfunding/skiingafghanistan"">https://www.justgiving.com/crowdfunding/skiingafghanistan</a> ✨ The world belongs to the brave!",Eva zu Beck,2021-04-17T11:36:19Z,242
"Taliban are going to take control as per news,and all these activities will be stopped, <br />Pakistan considers Afghanistan as it&#39;s back yard",Hass tv,2021-04-28T01:53:46Z,0
@Erref Yu What Taliban is doing IS NOT REAL ISLAM !,Brisco Madani,2021-04-24T12:49:05Z,0
Visit us here in a far away island in the philippines,Renan D Gonzales,2021-04-22T06:14:22Z,0
Madam will you come to India??,Heinam Leinam,2021-04-20T22:20:39Z,0
go to takhar dashtu qala as a tourist place for you.  because there is a place called my i khan from Alexander the great.,Abdulkhabir Jamily,2021-04-20T21:31:47Z,0
👍,myjeepzia,2021-04-29T04:42:26Z,0
"We always hope and try for a better future in Afghanistan, especially for the women of Afghanistan.",Najib.K,2021-04-28T18:47:55Z,0
Nazima is a courageous and brave female!! I love her desire to take risks for what she wants in her life. I hope that she receives it all and more ❤️,Lalannie Knoll,2021-04-28T16:49:29Z,0
"Such a great story, incredible work!",doddsy,2021-04-28T16:22:41Z,0
"May logical, scientific sense be their guide...",HypatiaNation,2021-04-28T13:55:50Z,0
"one day <a href=""http://www.youtube.com/results?search_query=%23malala"">#Malala</a> will see this brave girl too",Ash. Ab.,2021-04-28T13:12:33Z,0
I need work pls help me,Bal Jeet,2021-04-28T10:39:06Z,0
Just let u know that an Afghan we serve the possible best thing what we can afford to our guest and the sad thing is in their situation that was the best ... appreciate what u have never complain because there are people who are dreaming of having what u are complaining about,Mr Jan,2021-04-28T02:55:53Z,0
That girl is beautiful &quot;in &amp; out&quot;. <br />May God bless her with all she needs..,Sai Charan Teja,2021-04-28T02:01:00Z,0
"She looks  very cute ,beautiful and lovely",Kailashpati Rai,2021-04-27T22:11:49Z,0
"Hope you visit Indonesia as well, waiting to see you soon",Shinawar Ali,2021-04-27T15:19:51Z,0
"My aspire to reach Bamyan,  an hope for the day this country would be free of conflict an civil wars",Shinawar Ali,2021-04-27T14:53:05Z,0
"Wunderbar schön Eva,ich wünsche dir viel Erfolg ❤️✅⛷⛷🎿🎿💐¡",Sadiq Rezai,2021-04-26T22:45:01Z,0
The music is perfect for this video.,Paiman,2021-04-26T18:38:03Z,0
nazima should better know that Islam give respect to women before guidance of islam people used to buries their daughters alive..,jan tariq,2021-04-26T17:49:16Z,0
They should know this is not the culture of Afghanistan.and she is  adapting wild west culture where there is no respect for women they see women as a toy or tissue paper....,jan tariq,2021-04-26T17:36:51Z,0
Brave!,Jessela Merciful,2021-04-26T17:29:51Z,0
"In every travel video about Afghanistan, they find a girl from Bamian who says that girls outside of Bamian can&#39;t leave the house, can&#39;t go to school, or work, etc.  Completely incorrect.  I don&#39;t know if these girls are mistaken or what but Afghanistan has schools and universities in many cities, even Kandahar and Helmand, the stronghold of the Taliban, and women attend those universities and work in all cities of Afghanistan.  They even participate in national music idol show and are hosting TV shows, etc.",Yasmine A,2021-04-26T02:33:06Z,0
"Amazing video, i&#39;m really appreciate the content and i&#39;m so thrilled  about how strong are Afghanistan people. 👏👏👏",Thiago Do Carmo Nunes,2021-04-26T01:05:32Z,0
"My heart breaks everytime I&#39;m remembered of the extreme oppression women around the world have to endure.. I fight my own fights for equality, but they are so minuscule in comparison to the struggles that women face in other countries.",iisamorii,2021-04-25T21:55:16Z,1
"This is Eva&#39;s best video ever, so inspiring, what a story of overcoming all obstacles. Makes my own crazy adventures seem boring. PEACE FOR AFGHANISTAN❤💃🙏",planet Guantanamo,2021-04-25T20:28:13Z,0
An inspiring and excellent story...thank you for sharing,evan388 vloggz,2021-04-25T18:37:33Z,1
What a stupid culture,Bobby Sierra,2021-04-25T11:00:14Z,0
"her English is good, where did she learn if she didn&#39;t go to school?!",Alotaibi Noor,2021-04-25T07:06:27Z,0
so truth sister Eva khan jan.,Mohammad Amin Armani,2021-04-25T06:31:47Z,0
This woman from Afghanistan looks a lot like Eva to Beck hahahahah I thought you found your twin sister in Afghanistan.,Бијели рис,2021-04-25T06:04:07Z,0
"WOW, WOW, WOW, what to say? You&#39;re a great woman and as inspiration. Salute!",sid gau,2021-04-25T02:49:36Z,0
Thanks for showing beautiful side of our country,Basir Attahee,2021-04-25T01:24:08Z,0
You&#39;re a brave woman!,Sarah D.,2021-04-24T19:58:00Z,0
"advance congratulation for 1 million subscribers on utube,,keep ur struggle for masses of these poor but brave contries like afghanistan, pakistan etc... nazima is a brave girl like u....thanks",Shakeel Anjum,2021-04-24T19:51:47Z,1
Such an inspirational person! The world need more like her!,Shaun Walford,2021-04-24T19:02:25Z,0
I have fall in love with bamyan after watching this vlog series.,Mustafa Jamali,2021-04-24T17:35:51Z,1
May gods grace...will bring your life come true . Godbless,THE LLOVER,2021-04-24T17:11:15Z,0
May the old angry men get a grip and let these women live thier life to thier fullest potential.,MR T,2021-04-24T14:33:36Z,1
