comment,id,date,num_likes
Waiting 4 ur new vlog,Shinawar Ali,2021-04-28T16:08:48Z,0
I watch because if I leave Canada it will cost $2000 to get back in due to their quarantine rules. I understand it but I don’t want to empty my wallet.  So I will travel vicariously through Eva.,Irondogart,2021-04-28T13:44:41Z,0
Love the tattoo. Thank you for the great videos.,Michael Bruce,2021-04-27T02:25:53Z,0
I hope she Teleported Herself Clean after all that..! She will most Likely be doing a Covid Script..! FY,Remedi Motors #HOW TO SAVE MONEY ON CAR REPAIRS,2021-04-26T20:42:35Z,0
Any malayali here?,haris punnakkal,2021-04-26T17:02:42Z,1
dislike for click bait title,George Smith,2021-04-26T12:34:07Z,0
Best advice from running Zambia: carry a rock or two in your hands in case you get chased by baboons!,Katy Ellis,2021-04-26T09:07:03Z,0
"What you have done is taken the fun out of what you started a long time ago with Volging. Now you want to turn into a serious journalist, not good! Don&#39;t let people take you away from the root of your existence Eva. You have just put the weight of the world on your shoulders!  It&#39;s not that serious...Just have fun and it will show through your work! From a Non-vlogger that has traveled for over 40 years!",tourdogg,2021-04-23T02:38:48Z,0
"What you said about the kind of videos you want to create going forward...  I give you Anthony Bourdain and the way he created a &#39;cooking/travel&#39; series which was also history and politics and culture and empathy building AND uber cool all simultaneously.   Such portrayals CAN help create something better, one heart and one mind at a time.  I wish you every success in finding ways to use your success in enriching and deepening ways.",Mikel Azure,2021-04-22T12:58:42Z,0
Love from Bangladesh 🇧🇩,Md Riyadh Ahmed,2021-04-16T11:01:13Z,0
Keep Moving .. All wishes from🇮🇳,Sugesh Soman,2021-04-15T02:59:04Z,0
"Relax, just be yourself, you&#39;re gifted as you are, don&#39;t try to build an ideological frame around you (becomes unavoidable if you insist on structuring and rationalizing reality and extract a message to deliver no matter what). Just let it flow as it comes, you&#39;re fresh, your view is untainted. Don&#39;t listen to do-gooders !",autnocens,2021-04-14T13:19:53Z,0
"Out of all depressing things around us in era of this Corona pandemic,when I just feel like traveling,watching your vlogs is more than a meditation and wanting to stay alive more , that someday , this Corona will end, so that  I wake up one day just to travel these palces you have shown us via vlogging. Keep up! Eva! We love to see more vlogs 👍",S h,2021-04-14T11:10:44Z,0
1M subscribers for this nice channel very soon 🔜🌸,Mr Sporty,2021-04-12T19:44:46Z,0
HEY EVA YOU ARE BETTER ON THE BİKE . I M WAİTİNG UR BİKE TRİPS İMPATİENTLY,Ahmet Kulali,2021-04-12T14:54:04Z,0
Hey pretty eva i love yaaahh,Yangyang Rebolos,2021-04-12T01:36:29Z,0
I am so sorry y,Mined Stories,2021-04-11T05:37:01Z,0
"You and the Dutch lady with motorcycle who is traveling &quot;Itchy Boots&quot; are my favorites. Brave and inspiring ladies. Keep on traveling for yourself first, we second.",Jon D,2021-04-10T05:27:06Z,0
Those kids 🤗🤗🤗❤️❤️,tess martinez,2021-04-09T08:41:16Z,0
Greeting From Indonesia,ANWAR Skin Bulukumba,2021-04-09T08:13:23Z,0
I love your statement! Keep up doing this kind of content :),maryjane kelly,2021-04-08T09:18:07Z,0
"Did you wait two weeks after taking that Covid19 test prior to visiting very closely with all those children? Travelling during a pandemic is tricky. You are literally carrying bugs and germs with you community to community... I ask because I enjoy your style of travel vlogging with more of a purpose. But I do not want to invest in watching a channel that talks about responsible and thoughtful travel but is really just another example of the long arm of privilege and colonialism. (Which would actually make a good episode. The anthropology of travel vlogging. Both pros and cons as they relate to the people whose lands you traverse.) Anyway, not trying to judge just get some more info to know where you stand. Thanks",Tanner Phillips,2021-04-07T13:41:26Z,0
"Ohh Noor has such beautiful eyes .Running 205km ,wooowww I would like to try it. By the way I was producedin Arusha ,my parents used to be expats working in Tanzania for 20 years for the British Govt. I once too been victims of bed bugs in Madagascar and it&#39;s awful ,after a few days withoutproper sleep I would end up halucinating and dreamings sometimes that bed bugs where all over me.Awful !",Akarmouss Ait Tizi,2021-04-07T07:03:00Z,0
You are the best vlogger so far full stop.,Self- sufficient,2021-04-07T05:54:49Z,0
you simple and beautifull eva.,sophia jenel catalla,2021-04-07T00:35:31Z,0
"Know that you&#39;re one of the people I look up to as a traveler, and more importantly, as a woman. Thank you for being an inspiration :)",Travel Habeat,2021-04-06T04:07:12Z,1
Thank u 🙏,Claude River,2021-04-04T07:10:09Z,0
Truly liked the way u do ur vlogs....I&#39;m left wanting to hear from you more....and if imitation is the best form of flattery I will start travelling,Neeraj Bapat,2021-04-04T05:26:25Z,0
Come visit India....be my guest. Together we will explore the world. Love and peace from India. Stay safe ma’am.,pratap gaikwad,2021-04-04T01:51:24Z,0
"This video came up on my suggested watches and I was surprised, that people are still traveling.  I noticed a few travel vloggers still posting at this time.  Whilst I enjoy travel and watching travel videos by independent vloggers, I don&#39;t think it&#39;s responsible travel at his time.  It encourages others to travel outside their local area and potentially spread the virus.  Let&#39;s follow the star trek motto &#39;the needs of the many, outweigh the needs of the few&#39;.  Keep to your area and only make essential travel.",Barry J,2021-04-03T09:01:50Z,1
Nice statement. Lot’s of love from Switzerland,Irina Jannat Vlogs,2021-04-01T10:36:21Z,0
