comment,id,date,num_likes
As a bamyani inhabitant . thank u,reza hazaristani,2021-04-29T02:32:53Z,0
"Everything is amazing here in Afghanistan but you cannot see it. Although security situation is not too much good and that’s why living is hard here. Not just for foreigners, also for afghans. However this brave people can handle it.<br />Thanks, from sharing of this information with others, and what’s that everything has a good and bad side.",Yaqub Safi,2021-04-28T23:42:08Z,0
"Thank you very much for coming to my beautiful country Afghanistan, We have a lot of such historical places in Afghanistan if any tourist come here i will take her/ him to those places, Afghanistan has the most beautiful natural places",Movie 24,2021-04-28T22:41:45Z,0
Just fall in love with Band e amir..,Mehedi Hasan,2021-04-28T19:33:43Z,0
🇦🇫🇦🇫🇦🇫🖖🖖🖖🖖❤️❤️❤️❤️❤️,Qais Mohammadi,2021-04-28T18:25:57Z,1
I will be in Afghanistan in two week! First time in 12 years. so excited!,Najib.K,2021-04-28T18:13:04Z,0
🇦🇫,Fayazi Group TV,2021-04-28T17:18:08Z,0
❤️,Istiaq Ahmed,2021-04-28T16:14:35Z,0
Thanks a lot to show another face of my country. Hope all humans in world live in  stability and peace ✌️ <br />Thanks a lot ms...,Lda Abbas,2021-04-28T15:54:43Z,0
❤❤,Shikha chandel 18ph172,2021-04-28T15:09:24Z,0
You look like afghan gril,Shafi Mazoori,2021-04-28T12:58:28Z,0
I am from Afghanistan here is not humanity and kindness. Life here is unfair😥,Cheragh Ali Arman,2021-04-28T12:20:28Z,0
Good Job,Ali Mixing Studio Pkistan Sindh,2021-04-28T12:04:34Z,0
Thanks for your trip in Afghanistan 🇦🇫 I’m Âmįr I’m also Afghan - hope you see again in Afghanistan 🇦🇫🙂,Abdul Basit Ahmadi,2021-04-28T10:12:20Z,0
😍😍😍💞👍,Sayed Mohammed Mosharrof Hossen,2021-04-28T09:09:23Z,0
Many thanks for making this beautiful documentary! ✌🏽,Baba Nawid,2021-04-28T07:31:20Z,1
"How amazing, thank you for showing such beautiful aspect of Afghanistan 🇦🇫",FAR ENGIS,2021-04-28T07:26:22Z,0
Hazara People Living In The Bamiyan Province. Hazara People Is Shia Muslims.,Struggle & Justice,2021-04-28T03:36:56Z,0
🇦🇫❤️,Rahim Haydari,2021-04-27T22:56:55Z,0
