comment,id,date,num_likes
Love from Pakistan,MUHAMMAD ALI,2021-04-13T09:18:29Z,0
"Did You read Mark Twain? You travel, explore and speak in his spirits and words. Only politicians and most media portray countries different from reality.",john stoica,2021-04-02T12:31:14Z,1
Your bravery is inspiring! Love from the U.S. Great Lakes! ✌🏻❤️,Padelicious,2021-03-31T01:29:46Z,0
Go vegan,Music by Jenna Brawley,2021-03-17T05:51:09Z,0
Hello eva i watched most of your travel vlog i was so amaze the adventure and the place.. Stay safe and take care,Jecibel Deliva,2021-03-13T00:02:01Z,0
I love you eve😍😘😘😘😘,andris lubovs,2021-03-05T21:12:11Z,0
I love you eve😀😀,andris lubovs,2021-03-05T21:11:55Z,0
"Dear Eva, Am a fan of your vlogs. Am living in INCREDIBLE INDIA. Am inviting you to see vibrant culture, unity in diversity and enjoy hospitality in our country too. Our land is the most beautiful country in Asian continent. Every state of India speak a different language still we are one as India. Welcome to the land of sages, yoga, Ayurveda etc. Namaste 🙏🙏",Seema Nair,2021-02-28T06:26:24Z,0
Love uuu ❤️ from bangladesh 🇧🇩❤️,Adiba Naznin,2021-02-05T12:38:07Z,0
"Loving the Caucas region. You’re an amazing Ambassador for the people, countries , and their culture and customs.",Miron swyst,2021-01-20T04:34:59Z,1
Thank you from Armenia!!!,SA Group,2021-01-06T17:32:18Z,0
This girl is full of positive energy and  her videos are so inspiring and and her english is a pleasure to listen she&#39;s going to make a good mother and grandmother one day keep up the good work eva 👍,SENAD MAROVIC,2021-01-04T13:09:38Z,1
I always follow you.i like your content.and love you @Eva,informative spy,2020-12-29T19:22:27Z,0
Actually Mexico City has a great reputation among travelers.,Rexx,2020-12-25T04:22:39Z,0
❤️❤️ From🇵🇰🇵🇰🇵🇰,Raja Nousherwan,2020-12-24T16:58:18Z,0
Where does your accent come from. I can’t pick it.,adayforayear,2020-12-08T09:18:16Z,0
"I love your Vlogs Eva.  Your presentations are wonderful, beautifully enjoyable.  Wonderfully done.  Glad I’ve come across your Vlogs.  Thank you, ~Mary",M S,2020-12-07T12:01:03Z,2
"Eva, I came across your videos two days ago and can’t stop watching. You’ve inspired me to plan my RTW trip. May God bless you and keep you safe.",Yohlean Smith,2020-12-05T10:28:55Z,2
Wanted to see more of korea :(,Grace G,2020-12-03T20:56:16Z,1
Wish a trip with you,Travel Lover,2020-10-03T06:40:07Z,0
Love you Eva stay safe xx,Linda Ormond,2020-09-24T18:26:53Z,0
bravo inspired me check out my channal for austria and vienna europe,mbaworldat,2020-09-18T22:57:33Z,1
You should visit Sri Lanka.....I love to hear you describe my country in your charming cute way......Love u so much.....,Aruna Lakmal,2020-08-20T06:54:58Z,1
I was checking most of ur travels but haven&#39;t found anything yet about the Philippines.I hope you could experience the tropical islands of the Philippines and its beautiful people and its amazing hospitality.,Ramil Repil,2020-08-15T07:53:09Z,1
Just found you last week and binge watching. Thrilled you visited Armenia and hope to one day see a longer video on your travels there.,Cami FromRI,2020-08-14T22:20:51Z,2
I love u,Sony Z3,2020-08-14T18:07:24Z,0
Keep smiling live long &amp; happy. We are waiting u to come back to pak.,Sufyan Mughal,2020-08-14T03:31:55Z,0
Hi miss eva i am sufyan mughal from pakistan. Plz come back to pak we pakistani miss u so much. So much respect &amp; love from pak.,Sufyan Mughal,2020-08-14T03:31:13Z,0
Gracias por visitar México!!,Jorge De León,2020-08-12T02:02:51Z,0
"Watching your videos makes me happy.<br />I hope you come to Vietnam once, my country has many beautiful scenes, diverse culture, rich cuisine and friendly people, ...<br />It is in Southeast Asia &lt;3",Hải Nguyễn,2020-08-01T13:21:09Z,2
Hi Eva! I have been watching your videos. Your understanding and respect for cultures is marvelous. Keep it up!,Tamiz Khero,2020-07-19T05:27:15Z,0
Come visit us in Algeria 🇩🇿🇩🇿🇩🇿 the country of the brave martyres,Kamel Boukheit,2020-07-18T10:30:53Z,0
"<a href=""https://youtu.be/uXDPPkuRimQ"">https://youtu.be/uXDPPkuRimQ</a>",Nishat Khan,2020-07-18T00:54:38Z,0
"Hi Eva♥️, why you just don&#39;t make more videos in Turkey, ı think it is the perfect place to discover for you... Hope you will pay attention to what ı said.",Mehmet Mc,2020-07-16T11:44:46Z,1
"This ( Lord Jesus Christ ) is the true God and eternal life. 1 John <a href=""https://www.youtube.com/watch?v=0JJM2SL3Hkc&amp;t=5m20s"">5:20</a>. <br />True happiness:<br /><a href=""https://youtu.be/mbeTFOd4tw0"">https://youtu.be/mbeTFOd4tw0</a><br />Does the HOLY BIBLE permit a woman to preach: by John MacArthur <br /><a href=""https://youtu.be/n8ncOf82ZJ0"">https://youtu.be/n8ncOf82ZJ0</a>",Satish Reddy,2020-07-15T08:03:05Z,0
New subscriber here.. Watching from NY...,Maria Theresa Natoza,2020-07-14T01:25:56Z,0
Dimana tempat nama pohon  dengan nama diri sendiri,Rusli Rusli,2020-07-12T04:36:50Z,0
Do u have a international license.,mishal nizar,2020-07-12T02:59:10Z,0
International vehicle licence,mishal nizar,2020-07-12T02:59:30Z,0
“I believe God made all nationalities equal.”  👏🏼👏🏼👏🏼,Radi Anky Juremi,2020-07-09T17:01:56Z,2
Eva.........,RoKom vlogs,2020-07-05T05:05:26Z,0
The country look like Pakistani Love Eva from Pakistan,Tahir nizamani,2020-07-02T15:50:21Z,0
😍🇵🇭,Clarissa Tomisa,2020-07-01T15:44:01Z,0
Me: can speak Spanish<br />Also me: reads subtitles,lina nalli,2020-07-01T11:24:44Z,1
"Eva, Why don&#39;t you try in the Philippines?",Vicente Lopez,2020-06-23T11:25:12Z,0
💕💕💕💕💕👍👍👍👍👍,Genius Roque,2020-06-22T02:05:21Z,0
Mind blowing smile!!,Zoadur Rahim Porag,2020-05-27T07:48:35Z,0
❤️❤️❤️❤️❤️,Noman aFRiDi,2020-05-22T03:28:15Z,0
All Pakistani are miss you<br />Your smile is like an angle,ibrahim i,2020-05-12T18:08:53Z,0
Good to see you Eva,Rinzin Namgyal9,2020-05-01T20:39:13Z,0
Love you Eva from Pakistan😊,Pari Paikar,2020-04-21T18:31:41Z,0
❤️,Michele Stout,2020-04-20T01:05:32Z,0
Hiii..love all the evas vlog..soo cool. I wish i had experienced them all..haha,Myziana Zain,2020-02-27T08:30:25Z,0
hi eva im ur avid fan..ilove what ur vlog mashaALLAH,jazmine backr,2020-02-26T01:22:23Z,0
Amazing,S Limbu,2020-02-22T07:03:07Z,0
Another fantastic video!,Detox Lady,2020-02-14T14:29:15Z,0
Eva you visit already philippines?,Jon Binauro,2020-02-02T04:06:35Z,0
"Love from Kashmir, Pakistan",wasiq nisar,2020-02-01T08:37:54Z,0
u travel too fast but DF is the best,Mariin80,2020-01-31T14:47:57Z,0
"Love you. <a href=""http://www.youtube.com/results?search_query=%23Eva"">#Eva</a>",Ali Raza,2020-01-29T00:18:31Z,0
You learn a lot from travelling...,Belinda Carina Boco,2020-01-24T21:09:37Z,0
Wow...i will get there soon..,Belinda Carina Boco,2020-01-24T08:47:15Z,0
Bangladesh watches you too🇧🇩❤️,Open Wrt,2020-01-19T15:10:30Z,0
I loveee how she travels! So simple and her style looks so effortless.  I hope one day you would make video about packing/hacks! Just because i like your style of travelling!!!  LOVEEE!!!,Happyheartslee,2020-01-19T03:42:42Z,0
😍😍😍😍😍😍,Francisco Villanueva,2020-01-18T04:55:34Z,0
Nice,BENZAMIN LUPHENG,2020-01-13T16:31:52Z,0
Please write/vlog more about Armenia.,Celia Rebagoda,2020-01-13T02:29:04Z,0
"Alrights,, 😍😍😍😍😍",Buyuthikum Barajalazim,2020-01-12T14:16:17Z,0
"Awesome expression at <a href=""https://www.youtube.com/watch?v=0JJM2SL3Hkc&amp;t=9m54s"">9:54</a>",DR,2020-01-04T13:03:39Z,0
"Thank you for giving us a window of the world, in stark contrast to the pictures created by the mainstream media. I must admit, I see the places you are visiting and I worry about your safety (perhaps based on those same media reports). You are fearless!! Thank you for including us in your journeys and mission to live your life on purpose.",Kim Rudd,2019-12-31T18:05:54Z,1
Yeah its a good vibes✨✨✨✨😁💕,JajZ Z,2019-12-27T02:30:20Z,0
<b>Beautiful Places....</b> 😊😊😊,Mahnoor's W0rld,2019-12-26T19:07:22Z,1
"I&#39;m not going to lie, I&#39;m watching her videos because she&#39;s got good content, but mainly because she reminds me of kate upton. And Kate&#39;s beautiful.",Mekongman,2019-12-24T01:35:28Z,0
Pakistan Pakistan Pakistan and eva . Love from pak,Apna channel status what's app.,2019-12-21T03:56:37Z,0
Miss Eva your nationality please..,Hilda Gisalta,2019-12-20T14:19:47Z,0
You are great,Muhammad Farooq,2019-12-03T05:33:54Z,0
