comment,id,date,num_likes
OMG!!!! so so beautiful,Ruh Afza,2021-04-26T23:36:04Z,0
Nice,abdelaziz karar,2021-04-26T22:56:07Z,0
Love from India😌,Chandru Shanmugam,2021-04-26T15:47:40Z,0
Cantik giler...bilalah covid nak berakhir,Perindu Syurga,2021-04-24T07:51:33Z,0
U should really ladakh bog dang in nubra velly india,Issaq Ali,2021-04-12T15:43:12Z,0
Pakistan is very beautiful country every one visit to Pakistan swat,Mehmood Khalid,2021-04-09T07:37:35Z,0
Beautiful life,Arif Abdullah,2021-04-05T15:21:06Z,0
Zabrdast,Baba Baba,2021-04-01T22:17:41Z,0
eva pakistani love u,tehzeeb malik,2021-03-30T10:35:49Z,0
i wish i can come that place too i love there culture❤️❤️❤️❤️❤️❤️❤️,Rubi Tusin,2021-03-20T14:17:19Z,0
Came to this area and enjoy with this lifestyle 😊,Rahim Quba,2021-04-06T11:09:26Z,0
Love u,Hunting BD,2021-03-18T17:25:23Z,0
That flute so peaceful,amalalnck amsk,2021-03-13T02:41:54Z,0
So amazing to see this culture. Wish world shared more about culture than politics and everyone would love each other more.,Sangeeta Phukan,2021-03-11T23:54:49Z,0
PAKISTAN is a land of hospitality and loving Nation. ❤<br />PAKISTAN ZINDABAAD...❤❤❤,P Z,2021-03-10T17:17:42Z,0
Music is  irrrelvent . this music from punjab .,Saleem Syed,2021-03-10T14:12:19Z,0
Soooooo cool 😎!),Michelle Freyre,2021-03-08T07:17:16Z,0
May ALLAH always bless you with his blessings and fulfill all of your wishes INSHA&#39;ALLAH AMEEN .😎.,Basir Shahab Markhor,2021-03-06T17:04:51Z,1
❤ ❤,Sudip Banerjee,2021-03-02T02:55:01Z,0
Great travel and adventure.  .,Antonio Adventure Attack,2021-02-27T15:46:30Z,0
"<a href=""https://www.youtube.com/watch?v=9UhPmVR2sO0&amp;t=5m01s"">5:01</a> I thought the goats 🐐 were cockroaches😅😂",ABH 49,2021-02-25T22:00:55Z,1
need a wife from there,Hiyaaa,2021-02-19T08:30:56Z,0
"Despite of your beautiful videos, your accent is very sweet and beautiful , you are invited to study Islam.",Mir Mir,2021-02-10T03:42:53Z,0
I see you more and more beautiful in every other vlogs,Samdup Tamang,2021-02-06T12:22:07Z,0
How does the  owner recognize their sheeps? 😀,YE HA,2021-02-06T02:36:46Z,1
💕❤🇵🇰💕❤,Mushtaq Ahmad Khan MAK,2021-02-02T18:54:25Z,1
Thank you! it yielded in me a great smile. There is LOVE here. Wonderful,Shmuel Kaufman,2021-02-01T21:07:42Z,0
Wakhi is Tajik 😊<br />You can find some house in Afghanistan/ Tajikistan and Uzbekistan,Sanji,2021-01-20T20:04:04Z,0
Also in China,Rahim Quba,2021-04-06T11:06:50Z,0
Amazing 😻,Karma Gyaltsen,2021-01-20T15:23:05Z,1
Amazing how detailed your subjects are on resourcefulness and culture of the local people <b>***</b> their food is yumm,Miron swyst,2021-01-20T04:03:45Z,0
Thumb Up...,Norazmi Mohd. Arshad,2021-01-20T02:29:15Z,0
I just found your channel by the Wakhi wedding video. Then I opened the videos tab and search for 10 more. What a BEAUTIFUL videos you create along with the people of the places you go to. I am SO sincerely happy to see videos outside america and europe! Sick! I hope the best for your travels and the people you meet in them!!! Greetings from Colombia! Would be amazing to have you here as well!!,Salomé Arrieta,2021-01-19T20:20:53Z,0
We the wakhi people live in a beautiful place. Its hard to live in winter.,Rahim Quba,2021-04-06T11:39:43Z,0
"I m totally amaized and speech less what a work you &#39;ve done,<br />The way you captured the whole video your style,your editing,and the way you tell a story is totally amaizing,<br />Very very nice video.what a great efforts you did.<br />Totally speechless,",M.Sohail Tayyab,2021-01-18T12:21:53Z,0
Really amazing ava you show us our country beauty,Allah Karim,2021-01-18T05:30:19Z,0
Masha Allah beautiful Pakistan love all Pakistani peoples,Allah Karim,2021-01-18T05:29:34Z,0
U r the best travel vlogger ever Eva.,Haja Mohideen,2021-01-16T02:42:35Z,0
Pakistan Zinda bad,Esha Gull,2021-01-12T13:03:48Z,0
eva plz come back pakistan miss you,Our Account,2021-01-08T23:39:01Z,0
Love this vlog 💕,Mohammad Tariq Saeed,2021-01-04T12:50:21Z,0
"Enjoyable..   I want to invite you to visit Turtuk in ladakh india, we have the same life style and we are the only balties in India.",Atty Han,2020-12-31T06:50:19Z,0
"I have been in Wakhan corridor Afghanistan, so beautiful, wild and amazing - and safe (careful with your stomach)",ramsestoo,2020-12-30T15:36:27Z,0
Pakistan wakhi so much English thrown in. Afghan wakhi in the actual wakhan corridor .. is not polluted.,tanner loehr,2020-12-29T22:33:33Z,0
You are awesome EVA!!! ❤️,Abaan Javed,2020-12-28T18:43:04Z,1
what happen to the old documentary  of the hunza?,Fort Bumper,2020-12-27T14:00:10Z,0
Greetings from Mexico!,Perla De la cruz,2020-12-19T18:41:42Z,0
You are doing well by discovering hidden beautiful people and promoting cultures better than any government <br />What a great job you are doing there may god bless guide and protect you,Ramzi Harrat,2020-12-18T16:38:36Z,0
"yer, but you cant be touching other people kissing hands, what about social distancing, what about contagious virus spreading?",dji zzah,2020-12-16T18:07:58Z,0
"Sheep of Wakhi peoples <br />Hello there &quot;I want a Selfie&quot; 😊🧡💚<br /><a href=""https://www.youtube.com/watch?v=9UhPmVR2sO0&amp;t=5m28s"">5:28</a> &lt;= watch it",Mysterio Boy,2020-12-09T17:07:51Z,2
"Wow, I was literally just searching the Wakhi people and then Eva’s video popped",Ari the Hebrew,2020-12-06T22:46:20Z,2
Why are you searching for wakhi people?,Rahim Quba,2021-04-06T10:51:38Z,0
You look like them,Debbie Cooper,2020-11-30T08:26:16Z,0
💖💖💖💖💖💖💖💖💖💖💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞Салом алейкум из Таджикистана город бадахшан 🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯🇹🇯💖💖💖💖💖💖💖💖💖💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞,Кубод Кубодов,2020-11-28T04:45:31Z,1
Couldn&#39;t hold back from giving a 💖💖💖💖💖💖💖💖💖💖😭😭😭😭😭😭😭😭soo beautiful god bless all these cuties in the vedio especially the older sir of the household and those kids 🤩cho sweet 😊,INCHARA JAGADISH,2020-11-25T05:48:42Z,1
"Beautiful, love your travel videos... Its my dream to travel like this 💯❤️",jumanahuzefa,2020-11-23T17:22:28Z,0
"Thats great Eva, I am Gojali too , please do visit Gulmit as well. You,ve really figured out how we live :-)",Saber jan,2020-11-22T18:01:46Z,0
"Eva  jee,,, All we can say to you from the heart is: &quot;Sadqey Jawan Apke&quot;..... Thank you so much!!",che75rokee,2020-11-21T12:14:01Z,3
Great life Eva,Sridhar Palle,2020-11-21T01:42:53Z,0
lots of love from hunza valley.come here again i ll be your guide.,Izhar Ali baig,2020-11-20T18:53:23Z,0
"Eva zu Beck I idolize you and your videos, you are doing an Amazing job  creating your Documenery.",Bryan A. Chambers,2020-11-19T23:30:49Z,0
"Really I love too  much Pakistan Pakistan , what a amazing scene of hillly mountain, pleasant weather as well as natural beauty ufff ,,, greeting from India....",Tandon Tennyson,2020-11-19T03:44:14Z,1
Eva for president!!!🥰,Michael De Vere,2020-11-18T19:53:37Z,0
Wunderbare Reportage,robabnawaz,2020-11-16T21:54:17Z,0
"you like me..travelled there 94,95",Hillebrand Katja Daniela,2020-11-16T09:20:21Z,0
In my country the people living too and we calling them Pamir people.,Sabir I'm a polyglot and linguist.,2020-11-13T15:20:27Z,2
Welcome to our home town,Nature Discovery,2020-11-09T13:13:51Z,0
M from Pakistan I watch all yours video I really like u,Syed Shoaib,2020-11-08T02:55:07Z,0
M from Pakistan I watch all yours video I really like u,Syed Shoaib,2020-11-08T02:54:57Z,0
Assalam u aliakum everyone<br />Great job great news<br />I&#39;m from Pakistan and<br />I live Peshawar city h,Saeed Afridi,2020-11-07T17:49:02Z,1
SO SWEET SO LOVELY.,M Ibrahim,2020-11-07T15:48:43Z,0
"It&#39;s not just Wakhi people who have these traditions, it&#39;s the same right across this region.",Alia Osman,2020-11-04T21:25:27Z,0
Really amazing my friend,DAILY_UPDATES__@,2020-11-03T12:57:37Z,0
♥,VC NisaM AthavanaD,2020-11-02T08:04:30Z,0
Nicee,Biafo Tour and Tourism,2020-11-01T05:01:24Z,0
Finally a decent video on YouTube. Well done.,SamR,2020-10-29T22:10:21Z,0
Nice video,Farooq TV Entertainment,2020-10-29T17:26:51Z,0
Your channel is interesting .....,Nawaz Khan,2020-10-27T12:18:02Z,0
Pakistan is a beautiful country with beautiful people. 🙏💗,eden baruelo,2020-10-21T12:22:05Z,0
❤❤❤❤❤,dangkiewdor khongwir,2020-10-21T10:13:07Z,0
Masha Alhaa...our country is soo beautiful....😍😍😍,Muhammad Aslam,2020-10-18T13:54:34Z,0
M from Pakistan.but never listen about these people  and not go there💔💔,Muhammad Aslam,2020-10-18T13:52:02Z,0
