comment,id,date,num_likes
"I&#39;ve been watching a lot of your travel vlogs this evening. Safe travels. Thanks for sharing, Lord-Jesus-Christ com",Moses Exodus,2021-04-20T01:46:06Z,0
That mountain 🏔 goat 🐐 was so cute!!,CuriousGeorge,2021-03-22T00:13:40Z,0
I just fell in love watching your vlog just right now....thanks for the tour. A lot of love from the Philippines. Keep it up🥰,Simply Crissy,2021-02-25T01:25:27Z,0
Who pays for the insurance while you are travelling for the car.,Sharen Mcpherson,2021-01-28T01:56:55Z,0
"I&#39;d rather sleep in the car, it&#39;s more cosy and less work to build up the tent and everything...",Guitarplayer93,2021-01-18T22:20:17Z,0
I notice you enjoy being alone.,Cesar Leon,2021-01-18T21:14:43Z,0
I&#39;m here before she get 1M subscribers💕,Cris Yna Boncales,2020-12-15T07:09:49Z,0
"i asked this women which camera are you using,she never replys me :(",Mohammed Adnan Khan,2020-10-07T11:24:57Z,0
What kind of pyscho doesn&#39;t sleep with a pillow. They definitely would of burned you at the Salem witch trials😅,Pharoah Akhenaten,2020-08-05T14:25:09Z,0
Eva can u please adopt me so that i can travel the whole world with u😘😍,Jaeann Balisi,2020-07-21T07:20:03Z,0
eva love you so much from kurdistan🙈❤🥰,ekhlas farhad,2020-07-09T23:23:47Z,0
💕💕💕💕👍👍👍👍👍,Genius Roque,2020-06-23T10:31:10Z,0
You are one such gutsy lady.where u really all alone or had support staff with u.what an incredible mental strength u have.but take safety precautions,Sana Ikram,2020-06-09T08:02:20Z,0
"Omg you remind me the memory in beautiful country, Oman 🇴🇲",Metinee. K,2020-05-25T06:40:39Z,1
"Wow, this looked like such an amazing adventure!",Mike's Road Trip,2020-05-11T14:46:28Z,0
Brave lady. I envy your job. Number one fan. Love your videos.,Ramiro Rodriguez,2020-05-07T05:42:41Z,0
"So happy to discover your vlogs, have to see them all,. Don&#39;t pear missing anything of your vlogs,, love from Oman.",واحة أمل,2020-03-14T20:51:19Z,0
"Good morning , how was the hike up the mountain ? , and fyi, the meal looked delicious:)",C M,2020-03-06T13:34:21Z,0
Very nice blog,Ulysses Garcia,2020-02-25T09:57:06Z,0
"Dear Eva, beautiful capture from Jebel shams my favorite place in Oman especially during hot summer to refresh. I am living in  Oman capital Muscat❤️❤️❤️",Shihabudheen@KL10,2020-02-12T21:24:03Z,0
How attractive!,Rafi Jalalzay,2020-02-06T05:18:41Z,0
Love it❤️,Fazal Rehman,2020-01-29T17:37:23Z,0
Looks pretty scary...,Belinda Carina Boco,2020-01-24T21:11:53Z,0
Goodluck miss Eva :-) love your travel vlog ;-),RIZALITO TAN,2020-01-23T21:42:19Z,0
"I think you&#39;re one of the absolute best, natural travel story tellers out there.  Your video editing/narration/music is second to none.  What is best is that you open the eyes of so many people to the fact that while governments might not get along, people all over the world naturally do.  You are breaking down prejudices and barriers, all the while showing was a beautiful place the world really is.  I&#39;m going to binge watch every episode.  As a traveler myself, I feel luck to have found this channel.",tricepilot,2020-01-19T12:50:27Z,0
logisch dass der nie in produktion gehen wird - das ist ein 2 takt motor !  eine dreckschleuder auf hohem niveau,Pauli Manker,2020-01-17T18:07:38Z,0
Safe journey home... 🦊,Tanya Hanna,2020-01-16T02:29:33Z,0
"these videos are so interesting, please be safe out there though!! much love for the films 💜",4KTV,2020-01-14T22:18:24Z,0
"Wow, you are beautiful! Where are you from?",Rokas Kriščiūnas,2020-01-13T16:12:12Z,0
Beautiful oman,Rahma Hillal,2020-01-13T11:43:38Z,0
I enjoyed watching this vlog and Oman is a beautiful place but through out the whole video I kept thinking that someone may do something bad to her its scary,Althea Chua,2020-01-11T10:12:20Z,0
"well done EVA u got heart,i would sleep in the car because camping is long",Qaisar Wahr,2020-01-10T00:07:49Z,0
Eva eres una chulada de muger.,Ismael Rodriguez,2020-01-09T23:31:00Z,0
How about start exploring south America?,Choco Later,2020-01-09T21:16:15Z,0
visite Bangladesh 🇧🇩,SOYKAT MIAH,2020-01-05T15:40:45Z,0
"youre freaking awesome, much love",Alien Boy7,2020-01-02T15:03:06Z,0
I am your great fan watch almost every single vedio you upload I wish to meet you once in my life I am From Pakistan and my city is lahore,Innocent Shahzaib,2019-12-31T20:30:10Z,0
I love campaigning,Innocent Shahzaib,2019-12-31T20:27:31Z,0
👍🌷🌷,ابو طارق ابن رفيع,2019-12-31T15:43:22Z,0
You&#39;re sooooooooo charming.......  👍👍👍👍❤❤❤,Bernard Joseph Marto,2019-12-31T05:26:31Z,0
❤️❤️❤️❤️❤️👏🏽👏🏽👏🏽👏🏽👏🏽❤️❤️❤️❤️❤️❤️❤️❤️,Thanh Phuo Cuong,2019-12-31T02:23:07Z,0
Wow you&#39;re an amazing woman!!!,Carolina Ramírez,2019-12-30T08:06:08Z,2
اهلا وسهلا في الشرق الاوسط<br />welcome to middle East  Eva🌹🌹.,شبل العكيدات,2019-12-29T17:52:36Z,0
How are you safe alone?,Alison Pascoe,2019-12-29T04:22:13Z,0
i&#39;m from Oman but i never went on adventures like this <br />but you inspired me to do such a wild adventures !!,Mazoon,2019-12-28T08:56:59Z,16
Eva&#39;s videos are so nice,hello ahla,2019-12-28T02:30:48Z,0
