comment,id,date,num_likes
Thanks guys for your wonderful comments! I’ve had a great time filming in Skardu! Another vlog about this region will be coming out in the next few days 😊 See you soon 🙏,Eva zu Beck,2019-04-15T14:39:51Z,676
Eva did u think that u r able to do a vlog about my country  Algeria !!!,Med Negresh,2020-08-27T09:45:15Z,0
Do a vlogg on Poland? Want to see your home country. Why you leave Poland?,Its not broken,2020-08-24T22:08:01Z,0
Where are the videos on Poland? Great to see your own country.,Perpetual Grin,2020-08-24T22:04:34Z,0
@Safari Birds yes I&#39;m from skardu,BALTI GAMING,2020-07-03T09:02:29Z,1
Yes I&#39;m from skardu.,BALTI GAMING,2020-07-03T09:01:52Z,0
"Safe travels. Best wishes, Lord-Jesus-Christ com",Moses Exodus,2021-04-14T01:14:37Z,0
May ALLAH always bless you with his blessings and fulfill all of your wishes INSHA&#39;ALLAH AMEEN. 😎,Basir Shahab Markhor,2021-03-09T21:52:56Z,1
Facebook  there&#39;s a very amazing follower behind you  see your when you in  Romania  . Very innocent following نام بھول گیا ۔  she is like you  if u search you will be possible comunicat she&#39;s awake mind girl .I saw you today my FB but I mistakenly forgot.ya Allah,Ayat Ullah,2021-03-08T13:43:52Z,0
"Eva, u are the great traveling among the travel vlog which I have been seen in very channel.good job and great camera editing,iam ur fans traval channel .from india north-east may God bless u in every way and ur journey.thank u eva zu.....👍",Khulin Kamei,2021-02-09T08:18:53Z,0
Excellent. So inspiring. Thank you for your amazing tips😘♥️ Be safe and enjoy travelling♥️,It's Cecille,2021-02-08T16:14:39Z,0
does s10 plus internal camera app supports external microphone for vlogging purpose ?,Tapan Gupta,2020-11-25T15:39:13Z,3
harika çekmişsin başarılar,7LSOR,2020-11-11T15:35:10Z,0
Sponsored,Govind Singh,2020-09-20T19:14:45Z,0
Massive Respect and Love from Pakistan 🙌🏻🇵🇰🙌🏻,Omair Ayaz,2020-09-16T18:42:07Z,1
Who was guide and camera man?,S N,2020-09-10T01:25:54Z,0
really we r enjoying the trip with ya  and Pakistan  is pretty,Med Negresh,2020-08-27T09:43:21Z,0
👍👍👍❤,Khyber,2020-08-16T11:40:58Z,0
"Also did this with my Note 10+!!! <br /><br /><a href=""https://www.youtube.com/watch?v=aeT3DsFxFyU"">https://www.youtube.com/watch?v=aeT3DsFxFyU</a> <br /><br /><a href=""https://www.youtube.com/watch?v=hYr9QWaJ63A&amp;t=6s"">https://www.youtube.com/watch?v=hYr9QWaJ63A&amp;t=6s</a>",Kimii More,2020-07-15T17:10:11Z,0
"Hi Eva <br />we are 05 traveling kids, your work is really an inspiration for us. We are learning a lot from your vlog. We are waiting for your next vlog. Love your work Eva 💓 , God Bless U . <br />Keep Smiling 😊<br />05 Traveling Birds <br />Pakistan Zindabad",Safari Birds,2020-07-03T08:08:05Z,0
Eva zu iloveyou babe so beatifull babe iloveyou somach babe ☺😃🙋🙌💪,falak prince,2020-06-22T20:00:04Z,1
Hhhh the PIA doesn&#39;t even have tv screens🤣🤣🤣🤣🤣🤣,Jawad Ahmad,2020-06-06T19:38:58Z,0
"Watching this on s10+ inside Islamabad, Pakistan",Lift us Up,2020-05-24T03:52:49Z,0
Have you really used Samsung s10 plus to film this video? video quality is excellent.  I am also planning to buy this camera.,PASSANG LEPCHA,2020-05-18T08:14:11Z,0
I❤️ u kiki,Kamran khan,2020-05-15T19:52:49Z,0
"Hi Eva, im also a travel vlogger using only my smartphone which is samsung galaxy J5 only. I want to upgrade my phone. Would you recommend S10? I want to see your actual shot using it. Thanks!",Nash Vendivil vlogs Maniniyot TV,2020-04-23T12:44:52Z,0
You&#39;re my greatest inspiration! dayum!,The Igorot Wanderer,2020-04-01T15:48:39Z,0
Can I know whats the name of the tripod you are using?,TRAVELFEEDASIA,2020-01-30T06:48:37Z,0
Wow amazing,Belinda Carina Boco,2020-01-28T18:34:55Z,0
Love u eva,Adnan raja,2020-01-24T18:14:57Z,0
This was epic,Kamran Ahmed,2020-01-19T01:05:41Z,0
So nice vlog,WHITE GAMING YT,2020-01-17T09:10:30Z,1
