comment,id,date,num_likes
You&#39;ve no idea how happy it makes me to know that the video made some of you smile 😍 I couldn&#39;t stop laughing in that water! We are so lucky that we have such beautiful creatures on this planet with us. Enjoy the vlog!,Eva zu Beck,2019-12-26T16:50:35Z,253
"Safe travels. Thanks for sharing, Lord-Jesus-Christ com",Moses Exodus,2021-04-20T00:39:35Z,0
❤️🇴🇲,عماني تاج راسك,2021-04-08T04:15:46Z,0
Is Mike your boyfriend??...coz I. Am in love with your courage and integrity with nature,Ankit waghela,2020-12-03T17:28:28Z,0
Addition to my vlog your underwater shots are the best we have seen of them playing with you,Linden Nash,2020-08-25T20:49:10Z,0
I always watch your vlog and i really like it..eventhought im busy at work your vlog is like my stress reliever... from phillipines ♥️♥️♥️,Jona&Gerwin,2020-08-10T14:20:11Z,1
I love dolphins!! This is pure joy and excitement! The water there is out of this world!! 🐬💙🌊,Laura Elise,2021-04-22T23:06:12Z,0
"Thank you Mam Eva for sharing your videos, showing how beautiful the world is. By doing that, you&#39;re also connecting us to nature, how to appreciate its pure and natural beauty.  I really love and impressed about your thoughts, your feelings in each videos.  you share. Inspiring, informative, educational, eye opener. I&#39;m your fan right the first time I watched your videos. <br />Thank you Mam Eva. Stay safe and more power. ❤☺👍<br />Darwin from Philippines.",Niwrad Yagud,2021-03-30T12:07:22Z,0
So beautiful!,Trinity Inspiration,2021-03-29T13:23:14Z,0
cheer up Eva :)  try searching the dog and dolphins playing together..they naturally get along and can speak to each other in their own voices..i would love to see that for real,Doug Thompson,2021-03-27T23:36:30Z,0
What a nice experience. I am from India.,Snigdha,2021-03-24T13:24:03Z,0
Amazing moments. Can i know where this place in Oman???,Abdullah Alajmi,2021-02-27T12:23:31Z,0
I can’t get enough of your videos.  You are beautiful and brave!,Doug Kutner,2021-02-21T01:11:03Z,0
"incredible magic moments! such a lovely creatures! great great joy to get so close to them! I am happy to watch this movie! All of yours, Eva, but this one makes me happy",Daniel Cormos,2021-02-17T21:51:49Z,0
Tears of joy! Why not. Made me tearful too. In a nice way. Thanks.,Marina,2021-01-28T19:46:09Z,0
I am so jealous that is a dream come true I’ve always wanted to do that,crystal harris,2021-01-26T03:25:26Z,0
Ahahahahahah... Pure contagious joy!!!! There was something more than dolfins; love was in the air!!,Lorenzo P.,2021-01-19T16:11:15Z,0
I’m new here! I’m in love with your videos! So inspiring!,Baltazar Family,2021-01-18T17:00:19Z,0
Among all the videos i have seen so far..this particular one I see you very happy..,Marissa Kumar,2021-01-15T20:13:16Z,0
annoying narrative..,Lucas Filewalker,2021-01-06T14:39:41Z,0
The relationship and trust between dolphins and humans i always find so intriguing! I adore them so much.  I hope one day I get to experience that 🙏 side note: I believe there&#39;s an interesting story about the dolphins and humans on how they lived together with a high intelligence and were able to communicate with one another.  Something like that...I think or I could be making it up lol,"TAROT, DREAMS & EVERYTHING IN BETWEEN",2021-01-05T02:31:46Z,0
The relationship and trust between dolphins and humans i always find so intriguing! I adore them so much.  I hope one day I get to experience that 🙏 side note: I believe there&#39;s an interesting story about the dolphins and humans on how they lived together with a high intelligence and were able to communicate with one another.  Something like that...I think or I could be making it up lol,"TAROT, DREAMS & EVERYTHING IN BETWEEN",2021-01-04T21:03:22Z,0
،👍,Jasim Aljradi,2020-12-24T20:16:12Z,0
"Luv is <a href=""http://www.youtube.com/results?search_query=%23blaind"">#blaind</a>",Yasim Imran,2020-12-21T07:24:29Z,0
เหตุการณ์ไหนที่เลวร้ายถ้าเราไม่ยืมคืนแรกเอาออกไปมันยอมไปไม่พ้น,ศรรา อีนคํา,2020-12-14T18:43:36Z,0
อย่าน้อยใจนะถึงคุณไม่มีใครอย่างน้อยก็ยังมีผมที่คอยเป็นเป็นห่วงคอยเทคแคร์คุณอยู่,ศรรา อีนคํา,2020-12-14T18:42:49Z,0
ผมรู้ผมเห็นใจคุณสงสารคุณเช่นกัน,ศรรา อีนคํา,2020-12-14T18:41:56Z,0
คุณรู้ไหมคนที่ท่องเที่ยวมีเรื่องเดียวที่ทำให้เขาเป็นอย่างนั้นผิดหวังในรักหรือว่าอกหักเพื่อจะลืมเหตุการณ์เหล่านั้นเขาถึงได้ท่องเที่ยวแต่ก็ไม่อาจจะทิ้งความเศร้าเหงาหรือผิดหวังที่ติดอยู่ในใจได้,ศรรา อีนคํา,2020-12-14T18:40:59Z,0
That moment you had is the definition of bliss wow this is why we live.,Grace G,2020-12-07T18:53:53Z,0
"I think it&#39;s way to Hasik ,salalah, Oman",sharmin zaman,2020-12-07T05:37:57Z,0
I thought u were traveling alone there? so u are with that guy?,alana froh,2020-11-30T21:01:47Z,0
Does anyone know where in Oman this is?,guinzette,2020-11-20T10:59:07Z,0
"hello , girl would like to know the name of the song played in the video",samuel rodrigues,2020-11-04T02:49:00Z,0
Damn swimming with wild dolphins takes balls respect! Be save Eva next time they are still Wild animals and can easily put you in danger!,kaushik suryan,2020-10-30T09:08:02Z,0
"How happy she is when swimming with dolphins.she even cry little bit with happiness,saw the emotions on her face how adoreable💚 .... love 😘",Umair Ejaz,2020-10-25T22:08:10Z,0
wow 💙,mei Me,2020-10-24T14:19:16Z,1
"i&#39;m so glad  u enjoyed it and ur so lucky that u got the opportunity to do this i am so happy that u like Oman, i am really lucky to be from such an amazing country and  proud of my country and i&#39;ve  always wanted to try that.",Fatima Al-Harthy,2020-10-23T17:49:31Z,1
"your laughing is contagious.. it feels good by just watching your vlog. keep em coming, Eva.",Wilfredo Asumen,2020-10-23T11:51:36Z,0
Great country great people Oman greetings from morocco 🇲🇦 so beautiful video 💐 happy to be a new follower 🕊️,Adil CHAHBI,2020-10-22T10:37:12Z,1
"We had a situation like that in Midway Islands,inside the reef.What i did I cracked open red urchins and lobsters they went for it,from that time on whenever they see us snorkeling they come around so funny experienced with the guys.",zosimo ybay,2020-10-19T19:22:59Z,0
Where is this in Oman ?,Happy Ibrahim,2020-10-11T12:15:50Z,0
You are crying out of joy ❣️,Uswah E Fatima,2020-10-04T20:48:34Z,0
So beautiful very nice video,master g,2020-10-01T17:50:06Z,0
I have to commend your intro and the whole video shots you are making each vlog.,Siyaa,2020-09-26T05:15:30Z,0
Thank you so much ❤️❤️ God bless you ❤️ Amman Jordan 💟,Atallah Lababdeh,2020-09-23T01:39:17Z,0
I&#39;m your big fan Eva lots of love from INDIA ❤️🇮🇳🇮🇳🇮🇳,Venktesh Swami,2020-09-21T20:15:37Z,0
"I like your teavel adventure vlogs they are so interesting, can i know the coordinates of this place in oman or the name of the place ?...Thanks",Farees Ahmed,2020-09-18T12:24:33Z,0
You arwe so expert in what you are doing..me out of order on words to say to you,Jumar Ubilas,2020-09-17T06:41:32Z,0
Massive Respect and Love from Pakistan 🙌🏻🇵🇰🙌🏻,Omair Ayaz,2020-09-16T18:40:44Z,0
"I&#39;m sitting here in Northern On, Canada, crying with happiness watching how excited you both were. I would have been right in there with you; I love dolphins .  I was fortunate enough to get to swim with them in the sea around Roatan Island. One dolphin took a liking to me and I had my own dolphin friend for about half an hour. This video brought back lovely memories.",Bad Gamer Kat,2020-09-14T18:31:32Z,1
Eva zu back love you,Muhammad Usman,2020-09-14T13:21:33Z,0
So emotional,Sachin Mp,2020-09-13T07:37:11Z,0
U r amazing ❤️,Jheel soni,2020-09-11T16:10:37Z,1
U r amazing ❤️,Jheel soni,2020-09-11T16:10:15Z,1
That&#39;s mikmik! hahaha i thought it was a dolphin.. but it&#39;s mikmik from the fighter boys haha,Jan Watanabe,2020-09-10T13:21:17Z,0
"Hi Eva , can you tell me please where this spot in Oman ?",samir said,2020-09-04T05:29:50Z,0
WOW u have done it AGAIN. I live in Florida and have had Dolphins around our boat standing on their tails and talking a chatter that is still under study by U of Florida as a form of communication!! Eva yr joy and terrific camera work was  a prize winning video of them at play. Very very few people get to swim with them in their own waters. Love linden,Linden Nash,2020-08-25T20:45:26Z,0
I love u so much❤❤❤❤,ht studio,2020-08-23T20:23:38Z,0
"Thank you, ❤️",jyjyjojojyjy,2020-08-22T11:42:54Z,0
n this is how mike&#39;s camera made your vlog..,Manish Dahiya,2020-08-18T11:40:06Z,0
❤,MK Studios,2020-08-12T10:21:52Z,1
