comment,id,date,num_likes
CONGRATULATIONS,Mani Khan Azhar,2021-04-27T01:32:31Z,0
"Why is bloody Coca Cola everywhere?They put their nose into everything so they can get good image!!Running does coming with cola?Don t think so!!Well done,Eva!!🥂",Ralu veq95,2021-04-16T13:15:36Z,0
👍💪❤️,Jo Rybins,2021-04-08T03:20:07Z,0
"I want to visit beautiful Kurdistan,n I love Kurdistan and Kurdish people.",jim robin,2021-04-07T20:02:52Z,0
Kurdistan is the birthplace of humanity,Burhan Yalçin,2021-04-04T11:01:54Z,0
The heart feels great and the head feels amazing too. That&#39;s running 🏃‍♂️.  Great job.,Tom Martin,2021-04-04T01:44:19Z,0
Proud of you 👍👍 God&#39;s plus you,Mahendren Mahi,2021-03-31T18:01:08Z,0
Crazy woman!!!😄😄😄👍 The first even....in Kurdistan...!!!,Gustavo Sanchez mumary,2021-03-29T12:08:43Z,1
I’m crying with love! You’re such a beautiful inspiring amazing person Eva! I’m so so sooo glad I’ve found your content! Thank you so much,Isolde Buí,2021-03-26T21:21:08Z,0
amazing fitness stay fit together,Stay fit together,2021-03-24T17:47:48Z,0
"to Eva zu Beck, amazing videos, honestly i admire your beuty inside and beuty outside. Honestly you are the most beautifull women i ever seen, i hope we can meet someday",Resi Pranacitra,2021-03-17T17:26:02Z,0
I wish our news media showed us more stories like this in Iraq vs only violence 🤦🏾‍♂️,Joshua Allen,2021-03-13T04:07:40Z,0
👊👊👊👍👍💪💪💪💪💪🫀💪💪💪,Elemran Sharifi,2021-03-11T04:44:39Z,1
Her biji KURD û Kurdistan,İhohi Fjvivi,2021-03-09T15:37:24Z,1
Omg you are a super woman. You let us see that you did it. We are proud eva. You keep going. Peace from Holland,zainab latif,2021-03-07T21:09:12Z,0
"Hi, A 42 km marathon is very strong for a cute and sweet woman.<br />I admire you for having finished despite everything. I really liked the video...",Juan Perdomo,2021-03-05T15:01:42Z,0
Love and long live kurdistan ❤️❤️,Sadeq Ahmadpour,2021-03-04T07:25:29Z,1
KURDISTAN❤️,AKAM KASHXA,2021-02-27T21:48:27Z,3
you are a great woman with exciting adventures,Sport Pixels,2021-02-23T14:59:50Z,0
You were the sixth runner 👏👏👏❤❤❤,Hero Barzani,2021-02-18T03:48:07Z,1
Afiya afiya&quot;😂 it meand good work good work,I see only truth,2021-02-17T01:37:14Z,0
She&#39;s tough,J & J,2021-02-13T21:51:01Z,1
✌🏽🤩♥️🌞💚,Rawan Ahmad,2021-02-13T18:05:04Z,1
Greetings from marathon Greece..🇬🇷,Kostas Cheliotis,2021-02-13T01:54:51Z,2
I wish you get your 10 million subscribers 🔥🔥🔥🔥,Ankush P,2021-02-11T12:11:42Z,1
One day I will visit this beautiful place.,Elenita Nonamaker,2021-02-03T17:59:51Z,2
"You&#39;re such a very brave and wonderful person, hope to see more of your videos. Greetings from Manila, The Philippines!",Romeo Lorenzo,2021-02-01T12:38:51Z,0
M-am simțit obligat să apăs butonul Like pentru prima dată. Bravo,The Wizard,2021-01-28T18:17:17Z,0
Oh dear how can that nasty driver not respect her as she a participant of the marathon. My heart sank when the vehicle almost grazed past   her. She is extraordinary. Thank you for your amazing videos.,Nirvasha Jithoo,2021-01-26T20:43:02Z,0
Actually doing stretching is bad before any activity.  It’s best to warm up youre body. Like jogging in place. Then do stretches.,oSo_KewL WIT_IT,2021-01-25T04:04:55Z,0
"Seen Kurdistan with normal life ,no war ,such a nice thing!....",Ozgul Tekin,2021-01-22T14:54:58Z,0
Eva czy jestes  z polski,Anna Dembek,2021-01-22T01:08:42Z,0
superb eva lovw you from pakistan,Imran khan imran khan,2021-01-19T03:23:05Z,0
Hi mam ... very nice ...42 marathon  ☝️☺️☺️,mario batang G.M.A CAVITE,2021-01-12T12:10:08Z,0
Hi <br />Mam ☺️🌅☺️your Good vlog GOD BLESS us,mario batang G.M.A CAVITE,2021-01-12T12:01:52Z,1
Nice place.. I&#39;m far from Philippines I thought there always war is hear in the news.. Wow.. Amazing place Amazing people.. Thanks sa video I really enjoy watching..,edwin gales,2021-01-09T00:18:30Z,2
You are lovely person<br />i am kurdish from Turkey. if you need any assistance which i can  just tell about it.,Mahir BAYRAM,2021-01-08T21:14:49Z,0
Eva.. a strong and brave girl,Pakistani Janbaz,2021-01-08T17:01:31Z,0
Eva I can&#39;t believe you run a marathon ! You are such an amazing person. Well done,Brenno Araujo de Oliveira,2021-01-04T02:26:05Z,0
Your an inspiration EVA,Vishnu Reddy,2020-12-28T22:44:58Z,0
Visit bali indonesia,ashy ashyna,2020-12-28T02:55:28Z,0
"eres hermosa ,you are pretty",guillermito Juela,2020-12-27T16:44:00Z,0
You are the girl in my dream last night take care always my idol😍😍😊,manuel jr florano,2020-12-25T16:01:35Z,0
Tough chic right there <b>Good job</b>,Mills J,2020-12-24T05:32:41Z,0
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,amedi,2020-12-23T17:44:50Z,1
THE HEART IS VERY MUCH FULL &lt;3 &lt;3,Rabiasohi,2020-12-23T14:36:59Z,0
Osm video,Maddy Sharma,2020-12-20T04:25:45Z,0
Awesome 👍,Munokoatuteru Jonassen,2020-12-19T07:57:12Z,0
You are amazing.  I just found your videos yesterday and can&#39;t stop watching them,skipdaddy100,2020-12-14T19:11:59Z,0
how beautiful you are !!! A real winner ! congrats!!!,Renato Varnariano,2020-12-13T21:10:11Z,0
น้ำฝนก็กำลังทำอยู่ภาพลักษณ์ของประเทศของคุณให้ดูดีในสายตาชาวโลกกับพลเมืองของคุณคุณก็จงทำให้มันเต็มที่เพื่อให้พรรคพวกของประเทศได้ดูดี,ศรรา อีนคํา,2020-12-12T15:01:51Z,0
I have never heard of Iraqi Kurdistan,Him Bike,2020-12-10T18:52:19Z,0
I rode my bicycle across India.  <br />As a white guy<br />I was treated like a celebrity <br />Very strange. <br />In villages they literally came to a stand still.  <br />LoL.,Him Bike,2020-12-10T18:51:55Z,0
Love From Dhaka Bangladesh,Shakil Adnan,2020-12-09T15:53:24Z,0
Where they chasing you with machetes?,6stringgunner,2020-12-09T04:58:59Z,0
We love you from Kurdistan you are always welcome to us comm again 💙👑,Hozan Moskola,2020-12-07T21:49:23Z,2
