comment,id,date,num_likes
"Thank you for all your wonderful feedback ❤️ I&#39;m so honoured to have been able to stay with this beautiful family, and even more honoured still that they trusted me to film their life and make a video for you all about it. If you enjoyed this vlog, make sure you watch the next one from my Oman series, which is all about how I camped alone in the mountains around Jebel Shams 🙂 See you there 😘",Eva zu Beck,2019-12-19T12:14:23Z,2093
Hi,Sibbi Touray,2021-04-21T02:57:10Z,0
Please visited the Pakistan,Abdur Rehman,2021-04-20T08:43:41Z,0
"What a wonderful experience to go live a few days, in another&#39;s culture! You are living the life many only dream of.  <br />When you had your eyes lined, you said it was not fun. What did it feel like?",C Bryce,2021-03-30T21:42:42Z,0
❤️❤️❤️👍,Mujahir Official,2021-03-30T17:33:26Z,0
Eva zu beck am serious not fake no time pass with you.. I love you I want merry with you dear friend,M Ramzan,2021-03-30T17:02:02Z,1
"If Eva marry Harald Baldr, it&#39;s 💥🔥",First Second,2021-04-28T18:03:29Z,1
I love oman is like  greenary also this is one part actually oman is greenary <br />Should say this is the one family farmers,quick click,2021-04-28T16:18:33Z,0
Watching form the PHILIPPINES,Bleze Reyes,2021-04-28T12:53:06Z,0
Evazubeck is a very friendly lady.She delivers happiness to all lookers.Thank you madom.,Mohd Mahboob,2021-04-28T10:02:16Z,0
"where are u from why u so beautiful, 🤭😉",zhiyan cute,2021-04-28T09:47:27Z,0
How many countries hav you been madom..,Mohd Mahboob,2021-04-28T09:46:04Z,0
Wowwwwwwwww,Feroz Qadir,2021-04-28T09:42:47Z,0
A great video! How did you communicate with those women? And did they say why they live alone without men? That would be interesting to know!,Elheln,2021-04-28T09:13:12Z,0
I love goats 🐐🐏🐑,Taslima Khatun,2021-04-28T07:35:14Z,0
"Wow this is amazing, u are so lucky to experienced this kind of living, i wish i could too,",Emily Chen,2021-04-28T07:31:37Z,0
What a lovely video and what beautiful children ....excellent,etabetta1,2021-04-28T06:21:27Z,0
Nice vlog,Black Virii,2021-04-28T04:10:18Z,0
This Was My parents&#39; life. I wish I grew up in such a simple life,مهند الشمري,2021-04-28T00:13:06Z,0
I love that the little one&#39;s name is Hayati. So cute!,Sweet Baby Unicorns,2021-04-27T19:28:46Z,0
WE USE THAT BREAD IN SOMALIA  especially darood tribe <br />Somali and we known As Ruub or qaxan I think original from oman,Ali Abdullahi,2021-04-27T19:12:15Z,0
but now bedwen are creating the top building in the world,Hhu Try,2021-04-27T16:50:04Z,1
Cause the world is 3ending,Abz,2021-04-27T17:00:17Z,0
Thankyou madam chhedilal barkheda pathani bhopal MP INDIA Pincode 462022,Chhedilal Rathor,2021-04-27T14:43:08Z,0
ok i like you .... just the way you are,JustAnotherAsianGuy 2,2021-04-27T14:09:16Z,0
مرحبا وسهلا بك في دار السلام,موحاش,2021-04-27T13:00:22Z,0
The little girl is very cute,minhaj uddin chowdhury prince,2021-04-27T06:03:46Z,0
Vryy nice,Raheela moin Raheela,2021-04-27T04:10:50Z,0
Background music was just chilling 🔥,Avinash Poojary,2021-04-27T03:54:21Z,0
Wow...kren...,George Erari,2021-04-27T00:29:43Z,0
"Those must be the happiest little girls I ever saw.. they’re messy hairs, beaming smiles and the cute dresses. They’re definitely living the life ♥️",Livelifelaugh,2021-04-26T20:11:13Z,2
"thx for the scripts, really. i&#39;m enjoying your videos thx fot that and your hard work. i love your contents, too. thx! :)",visitian,2021-04-26T14:25:31Z,0
Me before watching this vid: Nope.. I don&#39;t wanna live in a desert<br />Me after watching this vid: Wahhh! I wanna go there!!,Alie Kim,2021-04-26T03:00:19Z,0
You&#39;re right Rich spoiled brats never drive over an hour they have their chauffeur do it,Drew Olson,2021-04-25T21:36:39Z,0
You have a 3 USD minimum for your patreon subscription. Dont you think that is overkill for a lot of the countries you are displaying?,Gjermund Thøgersen,2021-04-25T20:59:20Z,0
"They look like Indian ethinity,,,, from Rajasthan -indian Thar desert",Kamal Sengar,2021-04-25T19:59:53Z,0
Arabs look like least you expect,Abz,2021-04-27T17:01:02Z,0
Amazing,Mukesh Jangra,2021-04-25T19:03:03Z,0
Beautiful  👪 family.... amazing  lifestyle.... with love and good wishes from India Assam....,Habib Ullah,2021-04-25T16:00:51Z,0
Did the girls milk the goats or did the women?  You said &quot;girls&#39; but the hands seemed to be too large for children.,Blue Hobbit,2021-04-25T14:12:29Z,0
You r a very brave woman who enjoys everything in a different way. Looks like u r a very easy gooing and open minded person. May Allah help u all the time.,Md Esak,2021-04-25T09:45:20Z,1
The best part of this video are the little girls <br />Everyone knows that they steal our heart 😍😍,Sonia Mina,2021-04-25T09:11:16Z,0
"Father has cruiser... Is he using this woman and her Childrens ... To earn from Tourist.<br />Atleast kids have good hair , or dress😭",Abhay Singh Rajput,2021-04-25T07:56:54Z,0
"<a href=""https://www.youtube.com/watch?v=oYJjH6Wmel4&amp;t=10m45s"">10:45</a>- gets up without meeting that adorable little girl 👧 who came to greet.. <br />that should have been impossible 😒",J,2021-04-25T05:56:48Z,0
