comment,id,date,num_likes
I hope you believe in Jesus Christ!  We are in Revelation and the Great Tribulation is straight ahead!  7 yrs of God’s wrath for non believers...,Revelation Rainbow,2021-01-11T08:14:03Z,0
Her child will be eating healthy for the rest of her life😂😂,Meeke Shrive,2020-11-23T11:07:59Z,0
thank god you washed the lentils 😂 usually people never do,JattiX26,2020-10-17T03:47:42Z,0
Around how many calories do you eat a day?,Miranda Stout,2020-08-13T21:15:08Z,0
"New to your channel and I love these videos, so inspiring! Do you have an evening snack too? I do, but you don’t mention anything after dinner. Thanks in advance. X",Becky Tucker,2020-07-30T07:19:53Z,0
So glad to see you cooking Indian food. Lots of love and good wishes from India ❤️ proud to be an Indian 😇,Diyasha Bhowmik,2020-07-20T19:04:47Z,0
I am an Indian I think you did a really great job with the daal.. only one thing no need of cardamom pods... not in the daal,Anita Solanki,2020-07-20T13:46:41Z,0
the curry looks great for vegan how many coconut oil should i used in total,athena energy Shine,2020-07-12T23:33:26Z,0
"Hey, I&#39;m an Indian and seeing you make the daal was so amazing. And eating it with some rice and naan was just perfect 😋 Just a tip, you could use a pressure cooker to cook the lentils. It&#39;s much easier and faster. Love seeing your videos 😘",Akshaya Ramachandran,2020-07-10T11:30:01Z,1
"Hi Nicole! If you don&#39;t like the cardamom pods then you can roast the pods and powder them. You can use the powder at the end..  Also, you can add your spinach &amp; any other vegetables to Dal when it&#39;s boiling.. it&#39;s yum!!",Shilpi Roy,2020-07-05T16:33:51Z,0
I will try the simple creamy banana oatmeal and dahl recipe.,Thuvaraka Mahenthiran,2020-06-15T00:19:45Z,2
Yes Dahl is so good and I love making indian food recipes.,Samantha Butterfly,2020-12-02T22:53:00Z,0
I&#39;ve never had Daal before definitely going to give it a try look so yummy ...cashew is cute...thats a huge salad bowl lol ..,Cryssie jonz,2020-06-10T20:28:38Z,0
Great channel xx as a health coach I love encouraging others to live well and your channel does just that xxx,Live Well With †ia,2020-06-10T09:08:17Z,0
M glad that u loved daal so much. It&#39;s the main food of Indian people. U should try other Indian food too. Love from India❤,divu mishra,2020-06-10T06:50:19Z,0
I’m reading HP too! ❤️❤️❤️<br />Not eating the healthiest though... 😅😬,Rayane Noberto,2020-05-18T04:15:47Z,0
Thanks for the helpful info! ✨<br />I love your cooking 💕🍎🥑<br />You&#39;re a really good cook!🥺,U KU,2020-05-14T00:43:21Z,0
"Making the Dahl for a trip to the mountains this weekend! It is supposed to be super cold, so we thought this meal would hit the spot!! Excited to try it!",Stephanie Seefried,2020-05-08T19:35:09Z,0
This looks so good😍,Sara Lorena,2020-05-08T10:22:47Z,0
These recipes are so easy to make vegan and you could be helping out the animals and the planet!,Emma B.,2020-05-07T20:50:36Z,0
What is your favorite “unhealthy” treat? Or meal?,Michelle Pena,2020-05-06T16:35:00Z,0
Can u please suggest the cook pots u use and fry pans .,Sumayya Hafeez,2020-05-06T01:40:50Z,0
I have been loving oatmeal bowls for breakfast - super filling too!,Lisa King,2020-05-05T14:31:04Z,0
Glad I’m not the only one who dances when I eat food 😂 🥑,Emma Reinhold,2020-05-05T02:00:24Z,0
What type of peanut butter do you use?,Elizabeth Henson,2020-05-04T21:47:51Z,0
I can&#39;t wait to try the Dahl recipe.,Danielle Alicea,2020-05-04T19:52:14Z,0
Hi Nikole! Loved watching this video. Where are your blue wide and shallow bowls from? The one&#39;s you served your daal in?,Janelle Vermeer,2020-05-04T14:15:43Z,0
Yummy! 😋,Anne Langfeldt,2020-05-04T11:49:15Z,0
"You already have a red lentil daal recipe, which I make on REPEAT!!! My mouth was watering watching this",Luisa Toronto,2020-05-04T02:35:47Z,0
Do the cumin seeds not bother you whole??,Emily Rich,2020-05-03T17:30:38Z,0
I love these videos!!,Amber McKenna,2020-05-03T13:28:23Z,0
I always used to think your what i eat in a day videos are so good but in india we eat so much different meals...that could not follow you exactly...but today you cooked indian food too ....loved it😍🥰😘😘,readysteadyrock,2020-05-03T08:50:07Z,0
So good😍 btw you can cook daal in pressure cooker if you have one...it just takes 10 mins to cook,readysteadyrock,2020-05-03T08:48:32Z,0
I loved your Dahl dance!,Bellepepper,2020-05-03T07:25:02Z,0
Haha! It was too good not to celebrate🤣🤣,HealthNut Nutrition,2020-05-04T15:34:30Z,0
"Where did you get that white pan at <a href=""https://www.youtube.com/watch?v=6qJdBZFVdFQ&amp;t=10m08s"">10:08</a>?",ivi122,2020-05-03T05:49:53Z,0
"What a cute salad bowl.  Where did you get it?  Love the dal recipe, yum!",healthyeatingalways,2020-05-03T00:21:56Z,0
Thank you! The bowl is from Indigo😊,HealthNut Nutrition,2020-05-04T15:37:39Z,0
"Hi, where did you get the marble chopping board from?!",Nilakshi Patil,2020-05-03T00:21:37Z,0
Your daal looks very good and a different method than @rainbowplantlife....will give both versions a try.,Shelley Picott,2020-05-02T21:34:54Z,0
"My dog would think if I set that salad bowl on the ground,  that meant it was for her. 😂",GreenEyed Lady,2020-05-02T19:23:32Z,0
