comment,id,date,num_likes
Are you having a gril,hide and gess,2021-04-28T23:07:03Z,0
Congrats xx,Sienna Deakin,2021-04-18T21:04:56Z,0
I know I’ll sob when I found out I’m pregnant,katiegirl235,2021-04-15T16:19:59Z,0
Congratulations,Christian Bitz-Nielsen,2021-03-23T14:05:04Z,0
“What a cool birthday year “<br /><br /><br /><br /><br />2020 welcome to the world ..ViRuS,Alie James,2021-02-27T22:17:14Z,0
“That’s how I got into this problem”😂💀 congratulations:)),Alie James,2021-02-27T20:07:15Z,0
&quot;that&#39;s how I got into this problem&quot; made me laugh out loud. I&#39;m so happy for you,miss bellina,2021-02-16T11:20:30Z,0
congrats,govinda sharma,2021-02-12T23:26:05Z,0
Omg congrats,Tess Miyamoto,2021-02-07T17:13:57Z,0
I knew you was gonna make me cry.. Welcome to the club momma..,Deondra,2021-02-02T05:53:30Z,0
I wonder if it’s a boy or a girl but congratulations!!!!!!!!!!!!!!!!!!!!!!!!!!!,Nate Neises,2021-01-30T14:36:37Z,0
Congrats on you and your cute baby!❤️<br /><br />I hope you have a gender reveal!!!  <br /><br />I hope it does not hurt for you...<br /><br />I am happy for you❤️❤️❤️❤️,XMC,2021-01-18T22:39:46Z,1
You made me cry ❤️❤️❤️.,Shivani Mane,2021-01-14T20:36:33Z,0
I’m so late in watching this but girl congratulations on your baby! I was crying along with you!! ❤️❤️,Guadalupe Lopez,2021-01-09T09:02:03Z,0
"<a href=""https://www.youtube.com/watch?v=OERHECydi0c&amp;t=12m00s"">12:00</a>",rat,2020-12-30T02:35:08Z,0
Man up.,SharrpDesigns,2020-12-21T18:44:28Z,1
Omg 😭😭 congrats xxx,Sweet'ems,2020-12-07T02:43:26Z,0
Omg wow,Jesse Marie,2020-12-06T22:03:42Z,0
Omg when you looked at the camera while peeing in a cup 😂😂😂,Half-pint ASMR,2020-12-04T01:01:02Z,0
CONGRATS!!!!!!!! ❤️❤️,Eden L,2020-11-29T17:49:12Z,0
This baby is about to grow up eating the best food by her mama! Congrats🖤,halle raerae,2020-11-28T06:48:37Z,0
"Whoop Dee fuckin doo! Your snatch caught a fly. Hey, but its a great head liner \[°¥°]/",Arvin Madeu,2020-11-24T15:56:43Z,1
I cried rewatching this for the third time😭😭😭😭,Meeke Shrive,2020-11-23T11:40:00Z,0
Congratulations 🎊🍾🎉 my mom told she was gonna have a baby today OMG,Mungo Roblox,2020-11-20T04:48:28Z,0
So happy for you,JASMINE GISSENDINER,2020-11-18T22:58:21Z,0
This is so beautiful ❤,1DopeAssSoul,2020-11-15T07:22:03Z,0
Vhemt,game lover boy,2020-11-02T13:58:45Z,0
Congratulations ❤️ just found out I am pregnant after months of trying !!,Living Life With Debbie,2020-10-31T14:12:14Z,0
I love her reaction! I know I would be like that if I found out I was pregnant,Vanessa Quist,2020-10-27T23:48:49Z,1
"My name is berry bruno Valdez in texas my partner and I have been trying for a baby for over two years now, We were going to a fertility clinic for about 5 months before somebody told us to contact this spell caster who is so powerful, We contacted him at this email; drfasteranswer@<a href=""http://gmail.com/"">gmail.com</a> for him to help us, then we told him our problem, he told us that we will either conceive in june 2020,but after two years of trying we were at a point where we were willing to try anything. And I&#39;m glad we came to Dr fasteranswer, Because his pregnancy spell cast put us at ease, and I honestly believe him now i am 4 months pregnant we have already bought the baby things, and his gods really helped us as well, I am thankful for all he has done. Contact him via email: if you are trying to get a baby or want your lover back. he has powers to do it, he has done mine. Can’t forget about this man dr fasteranswer Thanks.",Gabriella Pretty,2020-10-26T15:31:17Z,0
I’m so happy for you congrats,Amelia Adouko,2020-10-18T16:27:37Z,0
"So happy for you!!! I’ve been dealing with fertility issues for a while, but I recently had a late period and now spotting! Plus a really faint positive!! Fingers crossed I’m pregnant! I really am so grateful for you and I hope you have a healthy wonderful pregnancy!💗💗",Madison Gamblin,2020-10-16T08:03:42Z,0
Congrats you will have a birth so congratulations,John Luster Ona,2020-10-16T07:37:40Z,0
God&#39;s performing so many miracles for women this year,Daughter of God,2020-10-15T16:42:56Z,1
awww congrats!,Catalina Orangefeather,2020-10-15T16:38:28Z,1
Who the hell gave this a thumbs downn lol heartless monsters. This is so cute and awesome,Beth Hallowell,2020-10-15T02:44:00Z,0
Congratulations ❤️,Zakiyah Mccarley,2020-10-08T03:25:16Z,0
Did you have to pee on camera? 👁👄👁,Rachel Linton,2020-10-04T05:52:30Z,0
Omg congratulations,Ronatheunicorn star,2020-10-01T13:20:02Z,1
"nothing that can make you feel more alone—or stressed out—than trying to conceive. While you might have spent the better part of your youth doing all that you could to not get pregnant, when you&#39;re ready to build your family and the going gets tough, it&#39;s normal to have anxiety. Though TTC can feel exhausting, frustrating and lonely, the CDC estimates that more than ten percent of all couples will struggle with fertility—that&#39;s 1 in 10 partnerships.I want to thank God for putting a smile in my face, I have been looking for the fruit of the womb for the pass six years of marriage. I took in last year after taking the pill a dr gave to my husband, he met with a doctor you gave us assurance that I will get pregnant within a month after taking a particular pill. But I still call it magical pill, because it happen the way he said it. All thanks to God I have my own baby now and is a boy. You too can contact him if you have the same issue on doctoreddymon@<a href=""http://gmail.com/"">gmail.com</a> or call and WhatsApp him on +2348128107710. Feel free to reach me out on ws973397@<a href=""http://gmail.com/"">gmail.com</a> for more information",Lucas Oliver,2020-09-29T16:40:42Z,0
aww. Congrats!,Kylie A,2020-09-25T16:26:01Z,0
November baby! 🤎🧡🤍,Kaelyn River,2020-09-22T21:52:13Z,0
"Omg you&#39;re the cutest!!! I can take a test this Saturday after having to wait two weeks after we had our first embryo transfer in the 12th this month. I can&#39;t wait to find out! I feel like I am, but man the anticipation!",Rowan Thomas,2020-09-21T17:20:21Z,0
O,VexPlayz,2020-09-21T05:07:12Z,0
Congratulations,Manjula Ramu,2020-09-21T04:42:11Z,0
congratulations on your new journey 😊🎉🎉🎊,kris jen,2020-09-19T00:35:18Z,0
hey one moth month! congrats!,Hope Morrow,2020-09-18T06:31:19Z,0
I just cried laughing when you said “okay just the tip” followed by “that’s how I got<br />Into this problem” 🤣🤣,Jadorecoco,2020-09-18T02:02:39Z,1
this made me emotional ! congratulations ❣️ !!!,Elizabeth Huby,2020-09-16T13:15:06Z,0
This was beautiful,Tasha nsofwa,2020-09-09T14:27:52Z,0
When my pregnancy test is negative and I realize I&#39;m just fat...and a male.,Marl Kalone,2020-09-06T06:24:54Z,1
"Congratulations! This video was so pure and full of love! Getting that positive after trying for a long time is the best moment ever! So sweet, I just cried along with you🥰",AnaLampWoman,2020-09-03T23:14:06Z,0
"Aw congratulations!! I’m also pregnant with my second, a little girl due in December. 🥰 I love these videos because everyone has the sweetest and happy reaction, whereas for me I straight panicked with both. 😂😂 Even though we were 100% trying! Hahaha",Allyson Ayala,2020-09-02T07:30:36Z,0
I just found out im pregnant too,Joanne Keel,2020-08-30T04:15:30Z,0
Im so happy for u momma congratz,Joanne Keel,2020-08-30T04:15:12Z,0
Ohhh I&#39;m so happy for you and your hubby..Your reaction made me start tearing up so much..Cashew is gonna have a baby brother or baby sister Yaaaaayyyy🙏🏻🕊💖,Majestic Lioness,2020-08-28T09:06:35Z,0
i feel you I was going through the same thing. It is very tough when that happens and you try to be strong. It came to a point where I just gave up and then it happened...i am now 4 weeks pregnant and both my husband and I are excited. Welcome to motherhood &lt;3,Araceli Herrera,2020-08-27T16:37:25Z,0
You and Matt are going to be such wonderful parents<br />I am so so happy for you guys,Sabrina Dunson,2020-08-26T13:03:38Z,0
With God all things are possible,Sabrina Dunson,2020-08-26T13:00:26Z,0
Love your fur baby<br />So concerned when you started crying<br />So precious and sweet<br />Beautiful Cashew,Sabrina Dunson,2020-08-26T12:57:04Z,0
May God bless myself and everyone who is wishing for and wanting babies with babies babies and more babies<br />Twins triplets multiples<br />Beautiful Healthy Babies<br />Believe<br />Expect Miracles<br />Norhing is impossible<br />Believe,Sabrina Dunson,2020-08-26T12:55:02Z,0
Congratulations<br />I am so so happy for you,Sabrina Dunson,2020-08-26T12:52:09Z,0
Congratulations,MEME,2020-08-25T15:50:25Z,0
Awww when she told the dog 🤗☺💕,Tamika Chapman,2020-08-23T22:46:32Z,0
They say you&#39;re a Mom as soon as you get that positive result and you could see as soon as you saw the test your entire world changed! It was incredible to see. Thanks for sharing x,Sammshineee,2020-08-23T18:44:26Z,0
<b>hugs</b>,Alexis Chan,2020-08-22T06:45:54Z,1
"FYI you have to be trying for a year before falling under the medical diagnosis of infertility , you cannot receive fertility testing or insurance coverage for it before that. If you are over the age of 35 you should try for 6 months before seeing the doctor.",Naomi Garrett,2020-08-21T23:58:24Z,0
"I am currently 7 weeks pregnant and when I found out, I had symptoms similar to her, sore boobs and cramps, I also took ibuprofen because I thought my period was coming, and I was really tired, so after 18 months of infertility and most not even bothering to test, I tested and it came back instantly positive, best day of my life.",Naomi Garrett,2020-08-21T23:48:49Z,1
"In the beginning when she was in the car after just getting out of the drugstore, and she was talking about how she naively didn&#39;t know where the pregnancy tests were. Personally it struck a chord with me , my husband and I have struggled with infertility for over a year-and-a-half, and it reminds me how I used to be naive like her, not knowing where the pregnancy tester at in the store I&#39;m getting a expensive brand test because I think it will be positive so I don&#39;t see it as a waste of money. But after struggling with infertility for so long I know exactly where the pregnancy tests are in every single store, and I don&#39;t waste my money on expensive tests. Miraculously my husband I have become pregnant naturally and I am 7 weeks, I am so incredibly thankful. Just sometimes I miss the old me before infertility when I could be naive and bubbly like this girl.",Naomi Garrett,2020-08-21T23:43:38Z,1
Congrats!,Alexis Chan,2020-08-21T05:41:53Z,1
"She was not expecting that, but really expecting that. Lol .. but I’m so happy for you.. this makes me so happy to see one find out there pregnant.. I only have 1 child and he is 13years old.. I haven’t been able to get pregnant again after that.. but I wish I could have another one.",Destiny Rae,2020-08-18T18:41:23Z,0
“That’s how I got into this situation” just the tip.... 😂🤣 same girl same!,chaybria,2020-08-18T13:30:33Z,1
"Scrolling through comments...thinking in my head, I’m not going to cry, I’m not a crier......😭 when cashew is the only she can celebrate with at the moment. Such a raw moment for the soon to be mommy ❤️",Leah,2020-08-17T19:25:15Z,0
Congrats to you and Matt! 💞,Sajani,2020-08-17T00:59:29Z,0
Vlogs please,Maria Abreu,2020-08-14T19:36:18Z,1
Wish I could cry without tears!,Caz Za,2020-08-14T12:50:13Z,0
Why does your camera make sounds like the ghost from grudge😂. Suchhhh a beautiful video by the wayyy!!!,Carina Chiramel,2020-08-13T13:17:07Z,0
Omg we had our last period and got pregnant at the same time.,Trini Kaylie,2020-08-12T16:40:33Z,0
Her : how’s there a baby inside me ?! <br />Me: Well when two people love each other ......,Immonie Narcisse,2020-08-11T05:00:09Z,23
This is the sweetest video! My husband and I are trying and I had my first preconception visit today and this video is the best,Jenny Potter,2020-08-11T02:17:41Z,0
Congratulations,Shianna Cumberledge,2020-08-10T19:45:54Z,0
I always love the reactions of the pets on these videos 🥰,bologies,2020-08-10T08:37:25Z,0
"Omg, my eyes are sweating  😫 😭",IAmTKeyahCherae,2020-08-05T23:46:01Z,0
I love your dog so adorable ♥️,Jess Sailes,2020-08-03T01:55:29Z,0
Congratulations ♥️,Jess Sailes,2020-08-03T01:51:09Z,0
"Your reaction is beautiful ♥️I wish my reaction was like this , but I went straight to my man thinking omg <b>shock</b> and nothing from him ☹️ but I don&#39;t blame him bc ive had two miscarriages and one chemical pregnancy but currently pregnant rn and I&#39;m emotional watching this",Rose Holley,2020-08-02T18:53:13Z,0
🥰😍🥰😍,Lindsay Christine,2020-08-01T15:47:56Z,0
I am here crying and celebrating with you. Congratulations!,MARIELA ROCHA,2020-07-30T15:12:55Z,0
