comment,id,date,num_likes
"what size frame did u gt 2use 4ur vision board?? b4 gettng invitd 2a vsion board party w/ my bstfrn &amp; her wrk famLy, i&#39;ve nvr dne one tiL thn &amp; it ws reaLLy kwL&amp;fun! <br /><br />cashew&#39;s soo kwtz! 😊🐶💗 .. hugz!",Ruby B.,2020-04-06T08:11:10Z,0
That vision board looks really really good and super pretty but a bit cluttered lol. Too much going on for me but obviously if it works for you then good. I did one on a cork board but I like it in a frame the way you did it better,ivi122,2020-02-27T18:31:03Z,0
That diffuser house is so cute! Also I love seeing snowy walks. I’m in Texas so it’s 70 here haha,Jessica Cunningham,2020-02-06T15:15:00Z,0
thanks for posting your clothing picks too :),C L E A R Lawson,2020-01-26T17:21:23Z,0
Come to Cyprus guys!!<br />I&#39;d love to meet you.<br />XX<br />❤❤,Philio Andreou,2020-01-25T06:54:16Z,0
"Yes came to the Algarve you will loved it! Até breve, bjs",Chloé Isabel,2020-01-24T07:10:12Z,0
Beautiful video - absolutely love the vision board. Thank you for sharing something so personal!,Karen Graves,2020-01-22T03:24:59Z,0
"Love your vision board, Nikole! And feeling very inspired. Where did you find the frame ?",Nikki Baumgartner,2020-01-21T12:16:26Z,0
You just inspired me to do a vision board for myself and I&#39;ve never done one. Crazy right?,Laura Ramos Delgado,2020-01-20T12:17:15Z,0
Thank you for sharing your vision board with personal and work goals! Bring on a successful 2020! 😊,Sarah Ford,2020-01-20T10:01:30Z,0
You get your oils from young living? Did you have to become a member in order to get oils?,Jo Kautzman,2020-01-20T07:12:45Z,0
"Hi Nichole Happy New Year! I enjoyed your video thanks. I&#39;ve been doing vision boards for a few years now! I get poster boards from the Dollar General Store, and cut out pictures from different magazine&#39;s. I did one for January! I put a future car on the board, food items, and some personal items on the board! Hope you guys feel better! Kimberly Whisenant!⛄",Kimberly Whisenant,2020-01-19T23:27:33Z,0
Turned out so cute! I’ve made vision boards but never framed them. Def have to do this soon!!,Happy Healthy Jaymi,2020-01-19T04:13:33Z,0
👶🏽 🌰 2020?,Swany Soup,2020-01-19T03:00:04Z,0
I have never done a vision board. But yours really motivated me to do so.,naturally rachida,2020-01-18T20:35:06Z,0
You know what would be really cool? You having your own pot and pan set. Your girl needs some new pans. Mine suck at home and can’t find good ones.,Brielle Lynne,2020-01-18T18:55:30Z,0
