comment,id,date,num_likes
The guys did a great job!! I’m going to work on creating my backyard courtyard to enjoy next year. I can’t wait. I plan to build my couch and chairs. 😬 So excited though!!<br /><br />I would def add a cute little bistro set to your deck as your eating area. You’ll have somewhere you can properly sit and have a meal.,Creative Life,2020-08-23T12:46:12Z,0
awesome final product...just wondering why many homes don&#39;t have patio shades.. in case of rain just run!!,Sriram Kumar,2020-08-15T10:04:27Z,0
"You have a nice fence, if you power wash it, it will look brand new again. Then give it a coat of stain and it will match your brand new deck.",cabdolla,2020-07-27T06:03:59Z,1
Love it! 🌻 :),Sh. LOPEZ,2020-07-18T05:38:49Z,0
Curious why you decked over a basement window? Is that even allowed with city codes etc? May be a problem if you ever sell the house,Amy Lynn,2020-07-08T05:05:28Z,0
Watched this video when you first published it and now we are getting a deck built this month and I’m so excited! Did you use pressure treated wood? I also love your rug and umbrella!!,missemcee,2020-07-08T00:22:46Z,0
You need some string lights for at night time!,Stephanie B,2020-06-19T14:39:48Z,0
I loved your backyard makeover &amp; it was beautiful. I would like to make my garden backyard makeover and I need to add the chair and table and long sofa chair to lie down for relax.,Thuvaraka Mahenthiran,2020-06-15T19:36:55Z,1
You look beautiful and more feminine with long hair 🙂,Daniela F,2020-06-12T19:51:43Z,0
"Wow, that&#39;s cheating.  I&#39;ve never seen premade cement footings used before,  where you don&#39;t have to dig holes and pour cement.  That new deck is beautiful!",Barbara Schattke,2020-06-11T03:49:50Z,0
Plant some tall palms at the back close to fence for additional privacy,Reshma Ramoutar-Ackbarali,2020-06-10T01:45:45Z,0
how much was your budget?  good job.,MC Kenpo,2020-06-08T01:23:15Z,0
Looks so good! Adding lights might be something fun to add in the future too!,Cassandra Dorneman,2020-06-06T00:08:57Z,0
Your new deck looks amazing and perhaps it is time to call the decking company and have them refurbish our deck and stairs....furniture coming soon and let the good times begin.,Shelley Picott,2020-06-05T01:20:33Z,0
We FINALLY building our deck this summer! We&#39;ve been in our house for over three years and I&#39;m so excited to get it done!,Megan Mapes,2020-06-03T03:09:24Z,0
Looks so nice! I love the areal shots!,Lily Hale,2020-06-02T16:31:12Z,0
Install a vinyl or plastic yard fence to improve the appearance of the yard.<br />Your current fence looks like it was made from used wood pallets and is not attractive. It takes away from your hard work.,Kenz300 x,2020-06-01T19:23:36Z,0
making me excited for when I have my own backyard!!,keepupwithliv,2020-06-01T17:26:31Z,4
Cashew has so much less grass to play on now.,Debbie Palmer,2020-06-01T14:37:30Z,0
Where was your actual furniture from?,Feircefully Made,2020-06-01T14:16:51Z,0
So in love with that umbrella! It looks so amazing!,Idalis Stamas,2020-06-01T11:50:38Z,0
What you desperately need in your backyard is your Australian friends 😎🍻,Michael McDonald,2020-06-01T11:23:26Z,0
Looks so comfy. Painting the fence will totally brighten the whole place up. The yellow umbrella gives the backyard a tropical vibe so i was thinking few palm trees along the fence maybe? &lt;3,Sarika Nand,2020-06-01T02:38:28Z,0
Beautiful! Love the yellow pop of the umbrella. We replaced our old wood fencing with bright white non-wood fencing which helped a lot. Love Cashew sitting on the deck while they are still putting it down!!,Karen Graves,2020-06-01T01:05:09Z,0
"Them: Backyard make over on a budget!!<br />Me: the couch is $5,000 😱",Michelle Michael,2020-05-31T22:35:01Z,5
She said the furniture was from Home Depot.,Barbara Schattke,2020-06-11T03:52:58Z,0
Where is it from?,Feircefully Made,2020-06-01T14:19:36Z,0
Looks awesome!,It’s Bekah!,2020-05-31T21:31:45Z,0
OHMYY GOSH your hair is GORGEOUS keep it don’t go blonde low lights again 🙌😍,Tayy Ashley,2020-05-31T15:48:04Z,0
Wow!! Great job y’all 🥑🥑🥑,LINDSEY H,2020-05-31T14:52:14Z,0
Watching you do it made me want to do something similar but I don&#39;t have a backyard now. The donwsides of living in apartment.<br />But this turned out really great. I agree with the person who said it before that lighst will be a great idea. Maybe solar lights? Can&#39;t wait for next wideo.,Kejtrin Raven,2020-05-31T13:11:10Z,0
Do a grilling segment when Matt cooks,Angela Marcinkevich,2020-05-31T10:07:57Z,0
"Don&#39;t paint the fence , redo the fence have them build a new one , same color wood as the deck to match project #2 for Matt, dad and your brother",Angela Marcinkevich,2020-05-31T10:06:25Z,0
"The deck the whole length of the house , great size looks great I&#39;d get a too covering for rain looks cozy under the umbrella now just get a good book and your set , you stepdad, Matt and brother did a fantastic job.",Angela Marcinkevich,2020-05-31T10:03:25Z,2
Your yard is so small,ivi122,2020-05-31T03:41:15Z,0
Great job!  Pretty painted shutters next to window and flower box hung under window needed.  🌸🌿,Lyricallynn,2020-05-31T00:57:37Z,0
"Beautiful. Enjoy, you both are so deserving.",Marybel Aponte,2020-05-30T17:50:41Z,0
Looks nice so far but i think you should paint the fence 😊. Maybe in a dark brown?,Nyx Oana,2020-05-30T15:39:35Z,0
It’s so cute!!! Well done you guys,Jessica Cunningham,2020-05-30T15:32:50Z,1
Love it 😍,Il Filo di Arianna.,2020-05-30T14:48:51Z,0
Hi niclole your backyard is looking very good i really liked it. What will you do during rain? Do you have to move your patio set every time? Or is it waterproof?,Hk Kaur,2020-05-30T14:42:42Z,0
I love how Matts face lights  up when you call him a handsome handyman,Kristina Lafleur,2020-05-30T14:20:02Z,2
Why do you call him step dad?,sazia saud,2020-05-30T13:45:51Z,0
Currently redoing our privacy fence. It’s  been a slow process but well worth it!,Erin Holloway,2020-05-30T12:52:47Z,0
😱😱 this decking omg! So amazing! Well done 👏👏 real summer vibes 🥳,Catriona Clarke,2020-05-30T12:04:20Z,0
Thank you! So grateful for my talented family,HealthNut Nutrition,2020-05-30T13:20:43Z,1
"I would absolutely love my parents to fix up their backyard patio as well! We have stepping stones, but wood would look so much better. Thank you for the inspiration!",Jade Valdez,2020-05-30T11:40:48Z,0
Such a great idea!,Cooking by Natasha,2020-05-30T11:07:04Z,0
Looking great!😍,Valeriya Smolina,2020-05-30T09:12:18Z,0
Your garden is lovely fair play,karen english,2020-05-30T07:57:24Z,0
Love from India,Banashri Mondal,2020-05-30T07:15:41Z,0
Paint the fence (gloss) and add some lights and it will be even more amazing!,Mariel Paez,2020-05-30T06:36:51Z,6
Wao! Amazing transformation of your backyard 😍,Physical Teaching,2020-05-30T06:13:21Z,0
Please do another assumptions about me video,Lauren's Kitchen,2020-05-30T05:55:28Z,1
