comment,id,date,num_likes
Omj,Just Marian,2021-04-24T13:52:41Z,0
"I would like to see what would you eat, if you had czech salary or czech pension. Czech normal salary for 1/3 of Czechs is around 14 000 CZk, that´s around 630 USD. Czech pension is usually around 10 000 CZK, it´s about 450 USD.",Martina Skupin,2021-04-08T09:23:16Z,0
"Yes, quitting coffee made a huge difference on my anxiety! I quiet all caffeine 4 months ago. <br />PLEASE MAKE MORE VIDEOS LIKE THIS! ❤",Alejandra C.,2021-02-26T19:32:48Z,0
"***Nikole, how do you know when an olive oil is good quality ?",JOANNA ACEVEDO,2021-02-25T12:19:23Z,0
Did you find that gluten also contributed to your anxiety?,Colleen Laporta,2021-02-21T10:31:25Z,0
I need this coffee recipe in my life. Coffee does give me jitters and anxiety,Sara Eid,2021-02-04T17:14:15Z,0
So relaxing to watch this video and it gives me really cool recipes ideas ! Thank you :),Charline Hgd,2021-01-17T15:10:45Z,0
Smoothies are pre digested. It gives a burst of energy but then you’re hungry again,SuperKrock5,2020-12-25T18:40:02Z,0
What was the cheaper blender you used ?,josee hill,2020-12-12T16:31:18Z,0
You linked everything but the one thing I was most interested in lol the cup you had your smoothie in! It’s so cute lol,Ashlie Pienal,2020-09-19T05:09:46Z,0
"Hi Nicole, I could not find the link to the budget friendly alternative to your Vitamix. Thanks",Jennifer Amalanathan,2020-08-29T21:50:09Z,0
"It is very Helpful <a href=""https://www.themeaningofwellness.com/wonders-of-a-balanced-diet-in-your-life/"">https://www.themeaningofwellness.com/wonders-of-a-balanced-diet-in-your-life/</a>",muhammad saqlain,2020-08-27T10:17:01Z,0
I really like this video and the suggestions behind it except for suggesting to still have caffeine :/ caffeine and alcohol are the two first things to omit from your diet for those with severe or even mild anxiety,Hope Gilbert,2020-08-23T14:56:34Z,0
I agree!  I removed caffeine from my life too!,Sandy Drifka,2020-08-04T21:10:28Z,0
You must watch Sarah&#39;s Day for your inspiration 😊,Kimberly,2020-07-27T02:53:37Z,0
Read quran <br />For anxiety,chicken kitchen,2020-07-24T16:33:39Z,0
would love it if you could make a video on some homemade dog food recipes.,Kim Tae,2020-07-19T17:48:36Z,0
I am so trying that Nourish bowl for a lunch one day next week. That looks delicious,PaigeASamson,2020-07-15T20:40:24Z,0
Is Caf-Lib available in Australia?,heuheu7680,2020-07-13T23:25:44Z,0
Be careful drinking camomile tea while pregnant! Just an FYI 😊,TJ B,2020-06-27T11:55:44Z,0
I just bought your book and this coffee. I can relate so much to the anxiety and not participating in fun Starbucks drinks. I can&#39;t wait to try your version of iced coffee and make dishes from your cookbook. Thank you.,Becca Engbrecht,2020-06-23T03:54:25Z,0
"I Live in Mexico, where to find that herbal coffe????",Delia Guzman,2020-06-20T05:09:00Z,0
Very good.,Hasan Tasty Food,2020-06-19T19:13:51Z,0
"Oh my, that looks divine and so comforting. Like a hug!",Norm Clark,2020-06-11T15:39:24Z,0
"My veterinarian always tells me if I’m making sweet potatoes, make extras bcuz they are a super food for dogs. 🐾",Tina C,2020-06-05T04:02:37Z,0
I saved this videoooo!!!,Sophia R,2020-05-27T02:52:49Z,0
I AM GOING TO MAKE ALL OF THESE! I have anxiety at my dads idk why but ima do this! I am so exited for dinner yummy! The coffee looks so good 2! THE PENUT BUTTER COOKIE LOOK BOMB PENUT BUTTER WITH APPLES IS SOOO GOOD MY FAV COOKIES ARE PENUT BUTTER!!!,Sophia R,2020-05-27T02:52:37Z,0
"My first self care step, watching Nicole&#39;s videos hahha 🌻 thank you queen!!",Gabriela Blanco,2020-05-23T19:18:34Z,2
"Love the glass Clear bowl, where is it from?",Marina Gibson,2020-05-15T19:00:30Z,0
This soup was amazing. Thank you! 😊,Jeremy McKenzie,2020-05-05T23:42:00Z,0
That is not real bruschetta,Isabella Brown,2020-04-30T05:32:30Z,0
This is such helpful information and so natural and something everyone can implement!! Thank you so much for this!!  I&#39;m completely dedicated to living healthy and practice lots of natural remedies that I swear by!!!  Thanks again!!!,Aim 2 Health,2020-04-25T20:13:13Z,0
love your what i eat in a day videos!!,denia gonzalez,2020-04-10T16:08:20Z,0
"Yours is the only channel I come to for inspo. You eat real food, that is delish and nourishing. I also love the clean with me and self care videos. Keep going. Love from East Africa",Natasha Kalanda,2020-04-10T02:50:48Z,0
Omg I am Portuguese! 🇵🇹,Joana Chung,2020-04-07T22:50:48Z,0
What do you think about decaf coffee?,Rosa Borges,2020-04-06T20:09:07Z,0
Loved it! Just one tip from an Italian: it&#39;s brus - CHE - tta (brusketta) ☺️🇮🇹,Giulia,2020-04-04T11:31:27Z,1
"@Tara DC We are doing our best, thank you for staying inside keeping all of us a litte safer ♥️🇮🇹",Giulia,2020-04-07T20:57:18Z,0
Giulia hope you’re doing okay out there 💜,Tara DC,2020-04-07T20:29:02Z,1
Loved that you reuse things..<br /><br />Did you just called it &#39;chai tea&#39; n used coffee in it!?<br /><br />Ps - the Indian in me cringed🙁,Savitha S,2020-04-03T15:05:43Z,0
Chai 👌🏻☕️,SoloRomy,2020-04-03T04:38:41Z,0
That nourish bowl looks SO filling! Great idea. Thanks for sharing! I have got to get your cookbook!,Sabrina Sanjurjo,2020-04-03T03:09:10Z,0
Thanks so much so helpful! I have anxiety and depression and theres no question that food effects mental health. You are absolutely right!,liz,2020-04-01T15:44:50Z,0
Girl - you need to get yourself and immersion blender!!,skeetavint,2020-04-01T01:32:22Z,0
What was the blender you say it was more budget friendly?,Yoa Sali,2020-03-31T19:15:52Z,0
Very good video.. Thank you NIcole..🥑Love your videos so much..❤️,yashodi Rathnaweera,2020-03-31T06:22:49Z,0
I’ve been looking for caf-lib because of your recommendation. Can’t find it anywhere.... is there anything comparable that we can buy in USA?,Heather F,2020-03-31T04:02:37Z,0
There is also &quot;Roma&quot;,Annette Caitlyn,2021-01-04T16:18:18Z,0
It’s crazy how many ads you have allowed on this video. Puts me off,Nisha Bhatt,2020-03-29T13:15:11Z,0
"Hi, how to replace peanut butter? I&#39;m allergic 😕",Kristína Čehyová,2020-03-29T12:15:02Z,0
This was actually the best what I eat in a day! Loved it 💜🥑,Simple Healthy Home,2020-03-29T10:20:21Z,4
Amazing video! So much good healthy food 😋😋,mommyinontario,2020-03-29T03:37:29Z,0
For the soup could you add a chicken or veggie broth instead of water for more flavor?,Josie Davis,2020-03-29T01:15:03Z,0
Your idea of bulk and re-using the same bottles is like transferring virus and dirt. like the scoop stuff was touching you&#39;re skin and going back into the bulk container! Sorry but this not a clean way!,Bianca Aguero,2020-03-28T17:54:40Z,0
this is so weird I know but I never even thought to change how I eat for anxiety,Jessica Cunningham,2020-03-28T00:22:51Z,31
100% your diet affects your anxiety! The more meat you eat that is pumped with hormones the more anxiety you will get.,Lisa Kondi,2020-03-29T02:20:36Z,10
I like to see a deviled egg judging,Lleyton Rutz,2020-03-27T21:32:01Z,0
Hi. Will you please upload a diet thats iron rich? That would be great for people with iron deficiencies,Sana Fahad,2020-03-27T19:03:09Z,0
"Food-wise, we are really alike! I eat exactly like this and I also love it so so much:)",Maja_ _,2020-03-27T16:55:34Z,1
"Nicole I love how open and honest you&#39;ve been about your anxiety and what you&#39;re doing to take care of yourself. Your videos are such high quality and high quality in CONTENT as well!!! Love you so much, thank you for being a shining light of honesty, positivity, and health on the internet.",Lillian,2020-03-27T15:48:14Z,0
I m pure vegetarian,Uniquely successful cartboard,2020-03-27T14:47:14Z,1
Nice sharing,Uniquely successful cartboard,2020-03-27T14:44:27Z,0
"And having PhD in Neuroscience I totally agree with the expression that gut is your second brain. Among others, Serotonin (hormon of happiness) is synthesised in our gut. That alone is pretty convincing :) And if you would like to check out some of my comforting recipes I would recommend you try my Thai Curry. Already making it is super soothing (I guess all of the fragrant spices tickling the brain) :)",Travel4Taste,2020-03-27T14:07:24Z,1
Kale chips are really good,Lesley Grove,2020-03-27T13:47:45Z,0
The correct pronunciation of bruschetta is brusKetta. Ch is a ‘hard’ sound in Italian. Hope that helps 🤗,giulia Olivato,2020-03-27T08:20:57Z,6
I don&#39;t think that matters to anyone....,Life Notes,2020-03-30T01:08:59Z,0
What spices did you used to make cashew milk??,Sonya Gilani,2020-03-27T07:50:53Z,0
"What type of knife are you using at <a href=""https://www.youtube.com/watch?v=ZcByx0esVZY&amp;t=9m20s"">9:20</a>?",Karen Jankowitz,2020-03-27T07:10:23Z,0
"I came on here looking for videos to help with my current anxiety, which usually veer toward the more philosophical/psychological/motivational...I feel like I came across this for a reason! I honestly had not evaluated what I have been eating to contribute to my anxiety! I eat healthy anyways, but I think I need to be more careful..Thanks for such an informative video.",Dani Lin,2020-03-27T06:05:27Z,2
Loved this. Thank you!,June C. Rodriguez,2020-03-27T03:54:49Z,0
I’m inspired! Watching this video alone calmed me ☺️. Thank you!!,Mariezen,2020-03-27T03:41:54Z,1
OMG Your meals look so fancy,Linh Chung,2020-03-27T03:14:50Z,0
I love these calming &amp; healthy meals! So fresh &amp; full of goodness. Thank you for sharing!,Amanda Weyer,2020-03-27T01:57:36Z,2
also pls pls pls include more dessert recipes on your videos i have a massive sweettooth and i always am looking for healthy and less processed dessert ideas,Lisa Brooks,2020-03-27T00:59:16Z,1
wow that soup and bruschetta looks so yummy! will def give it a try,Lisa Brooks,2020-03-27T00:58:33Z,3
Yummmmm to all of the food\beverages in your video! I totally agree that keeping blood sugar steady helps with mood,Julie Ragle,2020-03-27T00:31:58Z,0
"Are you sensitive to even small amounts of caffeine? I am very sensitive which I have always found such a shame since I love coffee and tea and I want to benefit from their antioxidant properties, I currently drink decaffeinated coffee and green tea but find I have to even be careful with that as it seems to affect me. I&#39;m wondering if I should be even more careful.",Alma,2020-03-27T00:15:11Z,0
What are the measurements for the cashew chai milk?,Curtis H Avendaño,2020-03-26T22:19:39Z,0
These dishes look delicious.   I&#39;m keeping this video so I can make these.  Ty.,Cathy Diamond,2020-03-26T22:14:29Z,1
Nicole I roasted the sweet potatoes.   Delicious.,Cathy Diamond,2020-03-27T20:45:20Z,0
The link didn’t show the recipes? Also put my name on list to be notified when your cookbook is back in stock. Really LOVE your videos! Do you have a link where you list some of the recipes of the meals/desserts you make in your videos? 💞,Lisa Keller,2020-03-26T20:31:52Z,2
What a great video! Thank you so much!,Emily Raiche,2020-03-26T19:22:28Z,1
I eat meat,Ana Pimentel,2020-03-26T18:56:11Z,1
Smoothies are actually bad for health. Eating fruits and vegetables just as they are is way better. Check it if you want,Étoile Filante,2020-03-26T18:23:51Z,1
"They are not, they are another way to get greens in, stop with the bs",Natalie Eubank,2020-03-27T17:42:58Z,0
"According to that logic, soup&#39;s unhealthy too",Maja_ _,2020-03-27T17:01:40Z,0
where’s the ingredients n direction recipe for fudge peanut butter cookie 😕😕 it’s boring to be stuck at home so i’d like to cook something delicious rn lol,Tayy Ashley,2020-03-26T17:11:48Z,1
Where do you buy your fish ? I find it hard to know what is good quality and where it comes from!,Rebecca R,2020-03-26T16:53:07Z,0
Why did you throw away so much of the leak and the Broccoli?,M M,2020-03-26T16:39:55Z,1
Not sure if you reply to your comments but how long do you roast the sweet potatoes??,Shelby McGrath,2020-03-26T16:14:45Z,0
What are your thoughts on people drinking apple cider vinegar for weight loss?,Tammy D.,2020-03-26T16:01:42Z,1
"100% agree with you. I suffer with anxiety and truthfully when I eat poorly I definitely feel it. Just like exercise, always helps with my mental health also. I need to try Herbal coffee. ;)",MichyBeauty,2020-03-26T15:16:51Z,0
Oh my gosh that last meal! I am drooling lol,Namastay Grapeful,2020-03-26T14:54:36Z,0
"I went caffeine free this month and have to say the change in anxiety has been unreal. I’ve had absolutely no anxiety all month, even during all of the chaos right now. I’m never going back to regular coffee!",Loren Miller,2020-03-26T14:51:31Z,23
