comment,id,date,num_likes
"CA$52.99 after coupon of 5-Tier Rolling Cart Organizer, click<br /><a href=""https://amzn.to/3uHCElx"">https://amzn.to/3uHCElx</a><br />Storage unit can give you the extra space and flexibility you need.<br />A good roll pantry cart for storing bottles,onion,garlic that no need to put into refrigerator.",S Kate,2021-04-12T10:50:44Z,1
Look at daaat boo tay,Colin 4sECs BOo c,2021-04-12T04:25:11Z,0
Great ! This is very essential for our Health ❤️,Maria Połomska,2021-03-31T20:18:35Z,0
How to be a slave to STUFF,Sally Brite,2021-03-12T19:32:08Z,0
"Im following this rn, It worked out well! Thank you!",-Strawbaby-,2021-01-25T22:16:35Z,0
Hello! Where did you purchase the wireless vacuum? The link doesn’t seem to work. Love your videos! Thank you!,SV,2020-12-17T08:07:29Z,0
"Spring Cleaning for Your Match Planning Industry (Allotment One)<br /><a href=""https://decorision.com/event-planning/spring-cleaning-for-your-match-planning-industry-allotment-one/"">https://decorision.com/event-planning/spring-cleaning-for-your-match-planning-industry-allotment-one/</a>",Rıfat özkan,2020-12-06T08:24:19Z,0
"Spring Cleaning for Your Match Planning Industry (Allotment One)<br /><a href=""https://decorision.com/event-planning/spring-cleaning-for-your-match-planning-industry-allotment-one/"">https://decorision.com/event-planning/spring-cleaning-for-your-match-planning-industry-allotment-one/</a>",Rıfat özkan,2020-12-06T08:24:13Z,0
"Hello, love your videos please like, is chloe your daughter? I&#39;ve been wondering for really long",cow moo,2020-06-26T18:52:56Z,0
Omggg! How exciting! Congratulations❤❤,Rechealle Barrett,2020-06-26T14:37:46Z,0
Nice vedios,Zoya’s Kitchen & Vlogs UK,2020-06-17T06:09:06Z,0
"Hi am sorry I have a question    I saw that you’re a nutritionist and I kinda need advice from you   I literally only eat one time a day a really small amount of food and My weight doesn’t drop.Everytime I put food in my mouth I gain 2 pounds, and I only eat one time a day. Please tell me what I can do. Just in case, I weight 45 pounds at the moment I’m 13 years old and My height is 4,11feet",Mapi Martinez Eiser,2020-06-01T03:34:04Z,0
Where did you get your cute water decanter? Carafe? That you fill your oil diffuser with? Would love to get one!!,Erin P,2020-04-29T17:59:01Z,0
Awesome cleaning tools!,Irina A,2020-04-16T17:07:19Z,0
Hi Nikole! Loved this video! Do you have a good method for cleaning pillows and mattresses? Thanks! 🥑,Erin P,2020-04-06T15:39:56Z,0
谢谢，通过您的视频分享，我和我的家人学到了，好多健康的生活方式和营养的食品做法，很棒，真心感谢🙏🙏🙏,Joy,2020-04-05T13:19:54Z,0
Where did you get your leggings??,Elizabeth Williams,2020-04-04T22:06:32Z,0
Where did you get your bed frame from? It’s so cute! I love that you use all natural products too.,She's A Twin,2020-04-04T14:41:13Z,0
Omg I am so glad you made this video! Seems like everyone doesn’t believe in safe natural cleaning anymore! ❤️❤️,Katrina Longley,2020-03-31T02:19:35Z,0
"Question : Where did you get your oils rack on your dresser? I love it!! <br /><br />Also, thank you for this video!! Definitely gave me the inspiration to clean my house! I&#39;m hoping that steroid toothbrush comes back in stock in your store soon bc i definitely need it!!",Lindsay Plagens,2020-03-30T14:34:38Z,0
You can call the white robbot &quot;Eve&quot;- its wally&#39;s girlfriend in the movie :),אליסה פרמקובסקי,2020-03-30T14:27:45Z,0
Im trying to order a king size bed with frame/ mattress. Do you have a recommendation?,Colleen Laporta,2020-03-30T13:41:11Z,0
Love this video! Where did you get the glass and gold case for your oils? :),Ally Kushner,2020-03-28T18:53:37Z,0
You seem so positive I LOVE it ❤️,samantha hussey,2020-03-26T02:17:09Z,0
What program do you usea to edit your videos?,Comiendo Saludable,2020-03-25T16:16:09Z,0
This video was so satisfying!,Elizabeth Williams,2020-03-25T15:13:22Z,0
nicole: we are all staying at home a little bit more<br />Me: i haven&#39;t left my house in 2 weeks,presley smith,2020-03-25T12:35:43Z,3
Thanks,Arslan Buzdar,2020-03-25T09:14:57Z,0
What mattress do you recommend?,lisa yantek,2020-03-25T04:49:51Z,0
Just got me in the mood to clean!! I&#39;ve been doing a Theives and Lavender combo in my diffuser for immune support right now. But will try Orange and Peppermint soon ❤️.  Where did you get your diffuser? I usually order from YL but love the capacity of that one.,Kristi B,2020-03-24T15:19:18Z,0
I did the dishwasher trick just now and I’m excited to see how it works!!,Shannon,2020-03-24T14:47:28Z,0
Ahh yay! I can&#39;t wait to hear what you think☺️,HealthNut Nutrition,2020-03-24T20:51:09Z,0
I like how you use everything to clean natural and simple.<br /><br />Are you thinking of having babies ?,ELizabeth,2020-03-24T00:42:05Z,0
"hey Nicole! I love your videos, but just wanted to say that some oils is not good at all for dogs to breave in, they can be poisoned from it. So pleases everybody that has a dog and like to defuse oils, do your research before. Take care!",Titti Dahlqvist,2020-03-23T21:35:54Z,1
Excelent video,pamela castellanos,2020-03-23T16:06:56Z,0
How do you make wood cleaner ?,pamela castellanos,2020-03-23T16:05:30Z,0
HealthNut Nutrition thank u,pamela castellanos,2020-03-24T21:12:47Z,0
"All recipes are on the blog! Here&#39;s the link: <a href=""https://bit.ly/39bejt8"">https://bit.ly/39bejt8</a> 😊",HealthNut Nutrition,2020-03-24T20:44:55Z,1
You make me wanna clean my house 😁,Athina Gl,2020-03-23T06:17:51Z,0
"😉Don&#39;t forget to check out our clean home sale over on the shop! <a href=""https://bit.ly/3a3fMmB"">https://bit.ly/3a3fMmB</a>",HealthNut Nutrition,2020-03-24T20:51:55Z,0
Lovely ideas for natural home recipes! Thank you!,Marion,2020-03-22T22:13:32Z,0
"Awe, I&#39;m so happy you enjoyed it! Happy Spring😊🌷",HealthNut Nutrition,2020-03-24T20:53:12Z,0
I need to do this!!,keepupwithliv,2020-03-22T17:48:24Z,1
@Aaron Stipek i am trying it out right now. Seems to be working :),Titan Jonathan,2021-03-29T05:59:22Z,0
I dont know if anyone gives a damn but last night I hacked my girl friends Instagram account using InstaPortal. Cant link here so search for it on google :),Aaron Stipek,2021-03-29T05:43:43Z,0
I just tried baking soda to clean my stainless steel sink and it finally looks like new again.Thanks for the tip.,Cris O,2020-03-22T16:32:42Z,0
why was this so satisfying!,Jessica Cunningham,2020-03-22T15:30:28Z,1
Great video! So often I see vloggers with their perfect looking homes and wonder when do they put in the elbow work!,Becky Rollins,2020-03-22T12:56:56Z,0
