comment,id,date,num_likes
"I just discovered your blogs/vlogs. Love them! Where did you get that salad bowl, I love it!",Rosina Hackl Leiner,2021-05-08T14:03:13Z,0
"Just discovered your channel and loving your vlogs. Also loved the renos u guys did with your kitchen and backyard:) u guys did such a good job, a fan from BC 🇨🇦",Mommychelle Cooks,2020-06-07T20:02:33Z,0
Unrelated but your hair looks so cute in this one,Jessica Cunningham,2020-05-30T15:53:43Z,1
I usually take our dog Nigel for walks around the neighborhood or we love to go to two little paths not too far from our house! I also practice yoga almost every day and I try to use our treadmill once or twice a week for about 20-30 minutes at a time.,Sara Patricia,2020-05-26T02:44:14Z,0
I always love your tips! Would you be willing to share what sizes you wear for the spanx tights and sports bras?,Jessica Doble,2020-05-25T10:38:51Z,0
💕,MsLT5Here!,2020-05-25T08:57:07Z,0
My fiance and I have been enjoying daily bike rides to our local coffee shop after we get off work!,Chanley Ferguson,2020-05-20T16:11:40Z,0
"Hello, Would you share the yoga site you use?",Lisa Boyajian,2020-05-20T06:15:25Z,0
Love the huge salad bowl.  Can we find that on your shop?   Love this video.,healthyeatingalways,2020-05-20T05:03:37Z,0
Love this vid🦋💫 just started a channel if you’re reading this I’d love for you to check me out !,Emilie Scott,2020-05-19T21:52:08Z,0
I had no idea they made clothes!,keepupwithliv,2020-05-19T19:07:21Z,1
"I&#39;m totally with you! I feel tired just looking at all these intense HIIT&#39;s online, lol! But everyone&#39;s gotta find their path. I think for me, daily walks, 2-3 strength workouts... is more than enough :)",Ruby,2020-05-19T18:40:21Z,0
Just subscribed!  So where did you get avocado saver from?,Marisa Castronuovo,2020-05-19T18:07:21Z,0
Does anyone know where the difuser is from?,Sheila Gustafson,2020-05-19T16:35:16Z,0
"Love this! I’ve been doing walks almost every day it’s pretty out and more low impact stuff at home too, but now that I can hit the gym, I’m going to do weighted bench bridge ups and deadlifts, etc. and maybe the stair climber then another walk outside.",Shauna Carpenter,2020-05-19T16:33:25Z,0
I am on the elliptical right now watching your video! Love your videos and suggestions.,Lisa Christ,2020-05-19T15:03:05Z,0
I wish I could like grapefruit... Ok I have to know was it yoga with Adrienne?? I have been following her for years.,Heather Chinoski,2020-05-19T14:05:22Z,0
"I’m going to bed early! Two young kids and working as an essential worker in health, I’m exhausted! <br /><br />I’m glad you mentioned walking. I’ve been reading a great book by Sarah Wilson, “First We Make The Beast Beautiful” about anxiety. She mentioned walking a lot. I highly recommend it! Hope you are staying safe and well!",De LM,2020-05-19T12:13:10Z,1
I&#39;ll have to check it out! Thanks for the reco and hang in the Mama😊💪🏼,HealthNut Nutrition,2020-05-19T17:28:27Z,0
